reference	covering_date	discovery_id	parties	dateline	cipher_sentences	description
SP 91/5/226	1708 Sept 12	C6719667	Whitworth to Boyle	Dated Moscow, 12/16 Sept 1708.	Partly in cipher.	Folio 226: Whitworth to Boyle. Gradual arrival of delayed letters. Receipt of acknowledgement of Whitworth activities in his post in Moscow. Likely effect of the difficult times and military activities on commerce: Whitworth's advice to merchants, and his opinion on the circumstances likely to the end the war. Circulation of Queen's letter congratulating Stanislaus on his succession to the Crown, although doubt of its authenticity. Whitworth's intention to acquaint the court with the Queen's declaration. A mishap experienced by Mr. Artemonowitz: discussion of various attitudes prevalent among the Russians. Receipt of orders to pursue the redress of the merchants' grievances. Delivery of the Queen's leave for Consul Goodfellow to return home: Goodfellow successor. Positions of the Swedish and Russian armies. Possible intentions of the Swedes. Advantage gained by a Russian detachment in Livonia; details of prisoners and casualties only available. Rebellion of Don Cossacks continues; assembly of forces by Nekrassa at Panschin, where he will oppose Prince Dolgoruky. Receipt of letters from Archangel with news that the British, Dutch, and Hamburg fleets are safely arrived. Dated Moscow, 12/16 Sept 1708. Partly in cipher.
SP 91/5/240	1708 Sept 19	C6719673	Whitworth to Boyle	Dated Moscow, 8/19 Sept 1708.	Partly in cipher.	Folio 240: Whitworth to Boyle. Victory of a Russian detachment at Biala Nappa. Account of the victory as given by Russian ministers. Account of a Russian victory, led by Apraxin, at Narva in Livonia. List of Swedish captives and casualties. Aprazin's movements on the advice of a Swedish march toward Wyburg. Arrival in Moscow of Lieut. Gen. Chambers, who is relieved of his command after the action near Hollowczyn; Czar's ministers' accounts of that action make Whitworth sceptical about the reliability of their reports of these victories. Dated Moscow, 8/19 Sept 1708. Partly in cipher.
SP 91/5/248	1708 Sept 26	C6719677	Whitworth to Boyle	Dated Moscow, 15/26 Sept 1708.	Partly in cipher.	Folio 248: Whitworth to Boyle. Further particulars of the victory of Izerna Nappa learnt by Shapfiroff from deserters, prisoners, etc. Swedish regiments involved and casualties on both sides. Conditions in Swedish camp. Czar and others withdraw to Mignowitz. Czar orders meeting of Privy Council, especially those concerned in management of revenues. Speculation that the meeting is to arrange military supplies. Information from Admiral Apraxin is about the movements of Swedes at Wyburg. incursion of Swedes not far from Petersburg suppressed. Return of Tepati, sent some months previously on parole to Sweden in hope of arranging an exchange of prisoners. Prince Dolgoruky on the Don has received reinforcements. Rebels have abandoned Panshin. Enclosure and explanation of letter from Shapfiroff's brother in Mignowitz. [f. 246] Whitworth advises a sceptical attitude to Russian accounts of their own successes. Further delays in receipt of post from Germany. Dated Moscow, 15/26 Sept 1708. Partly in cipher.
SP 91/5/258	1708 Sept 28	C6719681	Whitworth to Boyle	Dated Moscow, 17/28 Sept 1708.	Partly in cipher.	Folio 258: Whitworth to Boyle. Unexplained delays in German post, possibly caused by Stanislaus' troops or by the plague prevalent in Poland. Enclosure and description of letter from Golofkin. Whitworth's opinion of the qualities of the Swedish king and army, and previously made mistakes in policy. The Czar's actions. Discussion of the military situation, including the situation in Poland and likely winter plans for both armies. Encloses list of the Czar's forces. [f. 266] Russian attitudes to victory and defeat. Description of Russian high-ranking officers. Russian strength in resources. Discontent of Russian people. Encloses reports of Swedish incursions against Ingria [f. 268], and list of the Czar's fleet [f. 270] with a description of its usual movements. Request for intervention with the post, possibly by asking Stanislaus for help in conjunction with the States General and the king of Prussia. PS: News of victory over the Swedes by General Bauer's detachment by Colodee. Account by Bauer dated [Sept. 10], which contains a discrepancy concerning the size of a certain regiment said to have been completely defeated. Dated Moscow, 17/28 Sept 1708. Partly in cipher.
SP 91/5/274	1708 Oct 3	C6719686	Whitworth to Boyle	Dated Moscow, Sept 22/Oct 3 1708.	Partly in cipher.	Folio 274: Whitworth to Boyle. Receipt of papers relating to the affront received by the Russian ambassador in London. Encloses letter from Golofkin regarding the affront [ff. 253, 274]. Whitworth's intention to clear the Government's conduct from Golofkin's imputations. Encloses letters to Shapfiroff and Golofkin regarding the affront to the ambassador. [ff. 280-291]. Whitworth awaits instructions for his behaviour in the matter. Behaviour of the envoys of Denmark and Prussia over the affair. Whitworth's desire to go to the camp frustrated by Russian custom. Awaits a reply to his request to attend the Czar. Encloses information regarding movements of the armies in Lithuania and Ingria. [f. 292]. Relations between Britain and Russia and the significance of trade in those relations. PS: Extract from a letter from Mr. Stiles, recently arrived through Archangel, concerning the affront to the Muscovite ambassador. Possibility of a special envoy being sent to the Czar. Imminent departure of the young Russian noblemen for England. Dated Moscow, Sept 22/Oct 3 1708. Partly in cipher.
SP 91/5/294	1708 Oct 3	C6719691	Whitworth to Boyle	Dated Moscow, Sept 22/Oct 3 1708.	Partly in cipher.	Folio 294: Whitworth to Boyle. Regarding the affront to the Muscovite ambassador in London, requests proofs of events. Whitworth waited until the young noblemen had sailed before exposing the reparation terms. He feels the Russians can be brought to be more reasonable. Criticism of the handling of the matter: proposes the increased use of the Chancery of Embassies in disputes. Mr Stiles's involvement in the interests of the Muscovite court. Payment of arrears by the Treasurer. Possibility of making Shapfiroff a payment. Dated Moscow, Sept 22/Oct 3 1708. Partly in cipher. Private.
SP 91/5/296	1708 Oct 3	C6719692	Whitworth to Tilson	Dated Moscow, Sept 22/Oct 3 1708.	Whitworth has been busy with cipher: The violence of Artemonowitz's representations.	Folio 296: Whitworth to Tilson. Recounting the victory over the Swedes (f. 292). Whitworth has been busy with cipher: The violence of Artemonowitz's representations. Dated Moscow, Sept 22/Oct 3 1708.
SP 91/5/298	1708 Oct 3	C6719693	Undeciphered duplicate of folio 294 (deciphered version)	Dated Moscow, Sept 22/Oct 3 1708.	Folio 298: Undeciphered duplicate of folio 294 (deciphered version).	Folio 298: Undeciphered duplicate of folio 294 (deciphered version). Dated Moscow, Sept 22/Oct 3 1708.
SP 91/5/300	1708 Oct 3	C6719694	Undeciphered duplicate of f	Dated Moscow, Sept 22/Oct 3 1708.	Folio 300: Undeciphered duplicate of f.	Folio 300: Undeciphered duplicate of f. 274 Dated Moscow, Sept 22/Oct 3 1708.
SP 91/5/333	1708 Nov 7	C6719710	Whitworth to Boyle	Dated Moscow, 27 Oct/7 Nov 1708.	Partly in cipher.	Folio 333: Whitworth to Boyle. Awaiting developments in the case of the Russian ambassador. Sailing of the British fleet from Archangel, carrying with them the young Russian noblemen. Instructions from Golofkin that they should be sent on a Dutch ship arrived too late. Difficulties with the post. News of the Czar's army and its new headquarters at Staradub, the Swedish army being situated on the River Waple nearby. Incomplete information on the armies' movements and provisioning. Movements of the Czar. Area around the armies held strongly by the Russians; likely difficulty the king of Sweden will experience in taking winter quarters. Chief local product is hemp, and much was burnt against the arrival of the armies; resultant shortage likely. Dated Moscow, 27 Oct/7 Nov 1708. Partly in cipher.
SP 91/5/335	1708 Nov 14	C6719711	Whitworth to Boyle	Dated Moscow, 3/14 Nov 1708.	Partly in cipher.	Folio 335: Whitworth to Boyle. No further developments concerning the affront to the ambassador. News from near Staradub gives unclear accounts. Czar makes overtures to King Augustus. King has sent presents to Prince Menschikoff. Menschikoff. Swedes attempt to leave Ingria but their rear-guard was defeated by Admiral Apraxin. Quotes extract from Apraxin's letter from Narva, dated Oct. 22, describing his attack. German post lacking. Dated Moscow, 3/14 Nov 1708. Partly in cipher.
SP 91/5/349	1708 Dec 19	C6719718	Whitworth to Boyle	Dated Moscow, 8/19 Dec 1708.	Partly in cipher.	Folio 349: Whitworth to Boyle. Arival of foreign mail. A letter directing Whitworth to procure a pass for the obtaining of wood for the Navy has miscarried. Whitworth will sound out Court opinion on the matter. Arrival of letters concerning the affront to the Russian ambassador Whitworth awaits instructions. Severity of Czar's demands in the matter. Receipt by Whitworth of a copy of a letter from the Queen to the Czar: uncertain when the original will arrive, and when he may present it to the Czar, permission to attend him having been refused. Suspicion that the refusal is so that Whitworth may not see the disordered state of the Russian army. Whitworth will send a translation of the Queen's letter to Shapfirof. Difficulty in obtaining information when the army is so far away. Necessity to placate the Czar, who is cold after such incidents as the acknowledgment of King Stanislaus. Importance of trade between Russia and Britain, and the need for friendly relations to maintain it. Positions of the Russian and Swedish armies Apraxin receives notification that the Czar will join battle, and he is to go to Veronitsch after it. Apraxin arrives from Petersburg with choice troops. Accounts of General Lubecker's retreat. Dated Moscow, 8/19 Dec 1708. Partly in cipher.
