line	position	sign	family	confidence	note	mark
c2a_L05	25	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L05	26	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	27	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	28	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L05	29	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	30	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	31	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	32	DAGGER-O	DAGGER-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	33	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	34	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	1	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	2	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	3	_	_	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	4	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	5	DOLLAR	DOLLAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	6	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	7	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	8	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	9	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	10	THREE	THREE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	11	WAVE	WAVE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	12	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	13	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	14	CROSS-T	CROSS-T	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	15	CC	CC-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L06	16	II	II-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L06	17	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	18	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	19	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	20	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	21	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	22	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	23	O	O-DASH2	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L06	24	C	C-BAR-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR-X
c2a_L06	25	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	26	VEE	VEE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	27	WAVE-V	WAVE-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	28	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	29	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	30	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L06	31	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	1	X	X-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L07	2	ARCH	ARCH-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L07	3	II	II-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L07	4	NINE	NINE-BAR	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR
c2a_L07	5	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	6	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	7	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L07	8	QQ	QQ-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L07	9	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	10	OX	OX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L07	11	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	12	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	13	OO	OO-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L07	14	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	15	PICT-FIGURE	PICT-FIGURE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	16	PICT-ARROW	PICT-ARROW	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	17	PICT-TREE	PICT-TREE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	18	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	19	O	O-DASH2	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L07	20	CC	CC-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L07	21	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	22	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	23	CROSS-T	CROSS-T	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	24	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L07	25	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	26	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	27	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	28	SCROLL-X	SCROLL-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	29	SLASH	SLASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	30	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L07	31	OX	OX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L07	32	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	1	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	2	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	3	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	4	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	5	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	6	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	7	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	8	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	9	X	X	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	10	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	11	PICT-CROSSED	PICT-CROSSED	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	12	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	13	QQ	QQ-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L08	14	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	15	GEAR-DOT	GEAR-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	16	XX	XX-TILDE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L08	17	XX	XX-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L08	18	II	II-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L08	19	O	O-DOTS	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOTS
c2a_L08	20	A-LOOP	A-LOOP	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	21	OX	OX-TILDE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L08	22	ARCH	ARCH-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L08	23	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	24	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L08	25	XX	XX-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L08	26	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	1	GEAR-DOT	GEAR-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	2	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	3	DOUBLE-LOOP	DOUBLE-LOOP	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	4	LAMBDA	LAMBDA	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	5	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	6	II	II-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L09	7	H-LETTER	H-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	8	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	9	D-LETTER	D-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	10	D-LETTER	D-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	11	L-LETTER	L-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	12	M-LETTER	M-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	13	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	14	F-LETTER	F-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	15	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	16	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	17	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	18	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	19	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	20	CROSS-T	CROSS-T	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	21	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	22	B-SCRIPT	B-SCRIPT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	23	II	II-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L09	24	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	25	DBL-SLASH	DBL-SLASH	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	26	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	27	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	28	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L09	29	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	30	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L09	31	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	32	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	33	ARC-LOOPS	ARC-LOOPS	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	34	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	35	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	36	CIRC-O	CIRC-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	37	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	38	CC	CC-DASH	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L09	39	OX	OX	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	40	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L09	41	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	1	FIVE	FIVE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	2	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	3	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	4	II	II-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L10	5	PCT	PCT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	6	F-LETTER	F-LETTER	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	7	QQ	QQ-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L10	8	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	9	SUN	SUN	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	10	LOOP-TAIL	LOOP-TAIL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	11	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	12	NOTE	NOTE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	13	CC	CC-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L10	14	X	X-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L10	15	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	16	PICT-FISH	PICT-FISH	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	17	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	18	O-SLASH	O-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	19	DOTS	DOTS-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L10	20	PICT-BARREL	PICT-BARREL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	21	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	22	SIX-CURL	SIX-CURL	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	23	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	24	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	25	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	26	SCROLL-X	SCROLL-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	27	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	28	DOTS	DOTS-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L10	29	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	30	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	31	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L10	32	O	O-DASH2	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L10	33	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	1	GEAR-DOT	GEAR-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	2	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	3	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	4	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	5	EIGHT	EIGHT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	6	CC	CC-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L11	7	CROSS-T	CROSS-T	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	8	CC	CC-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L11	9	XX	XX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L11	10	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	11	S-CURL	S-CURL	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	12	SQUIG-DOT	SQUIG-DOT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	13	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	14	WAVE	WAVE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	15	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	16	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	17	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	18	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	19	XX	XX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L11	20	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	21	LOOP-STEM	LOOP-STEM	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	22	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	23	CC	CC-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L11	24	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	25	WAVE-V	WAVE-V	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	26	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L11	27	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	28	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	29	CC	CC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L11	30	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L11	31	O	O-BAR-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR-O
c2a_L11	32	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	1	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	2	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	3	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	4	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	5	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	6	S-CURL	S-CURL	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	7	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	8	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	9	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	10	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	11	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	12	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	13	X	X-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L12	14	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	15	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	16	C	C-BAR-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR-X
c2a_L12	17	LOOP-STEM	LOOP-STEM	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	18	PICT-LEAF	PICT-LEAF	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	19	EIGHT	EIGHT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	20	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L12	21	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	22	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	23	NOTE	NOTE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	24	QUESTION	QUESTION	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	25	QUESTION	QUESTION	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	26	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	27	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	28	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	29	C	C-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L12	30	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	31	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	32	CROSS-T	CROSS-T	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	33	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	34	X-SLASH	X-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	35	PICT-JUG	PICT-JUG	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L12	36	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	1	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	2	ARCH	ARCH-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L13	3	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	4	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	5	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	6	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	7	ARC-LOOPS	ARC-LOOPS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	8	WAVE	WAVE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	9	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	10	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	11	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	12	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	13	V-DOT	V-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	14	X-CURL	X-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	15	STAR	STAR	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	16	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	17	PICT-TREE	PICT-TREE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	18	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	19	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	20	LOOP-STEM	LOOP-STEM	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	21	CIRC-O	CIRC-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	22	PICT-HOUSE	PICT-HOUSE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	23	DOTS	DOTS-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L13	24	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	25	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	26	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	27	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	28	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	29	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	30	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	31	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	32	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L13	33	LOOP-STEM	LOOP-STEM	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
