n	page	line	x	type	d1	passA	passB
1447	f28v	1	2635	n	0.785	.	n
1448	f28v	1	2673	v	0.674	.	v
1449	f28v	1	2719	X	0.666	.	x
1450	f28v	1	2722	o	0.835	.	-
1451	f28v	1	2746	rho	0.538	.	C01
1452	f28v	1	2834	o	0.653	.	o
1453	f28v	1	2874	R	0.167	.	R
1454	f28v	1	2917	sq	0.469	.	a
1455	f28v	1	2973	I	0.568	.	I
1456	f28v	1	3025	l	0.776	.	C04
1457	f28v	1	3092	th	0.730	.	C19
1458	f28v	1	3138	I	0.616	.	I
1459	f28v	1	3189	psi	0.520	.	C13
1460	f28v	1	3234	f	0.555	.	f
1461	f28v	1	3303	q	0.574	.	C01
1462	f28v	1	3343	z	0.600	.	z
1463	f28v	1	3390	A	0.877	.	A
1464	f28v	1	3442	psi	0.636	.	C13
1465	f28v	1	3511	box	0.692	.	C09
1466	f28v	1	3565	E	0.777	.	E
1467	f28v	1	3607	o	0.586	.	o
1468	f28v	1	3636	arr	0.618	.	C01
1469	f28v	1	3696	dbar	0.668	.	-
1470	f28v	1	3778	db	0.695	.	C11
1471	f28v	1	3846	o	0.562	.	o
1472	f28v	1	3883	v	0.518	.	v
1473	f28v	1	3925	q	0.584	.	C01
1474	f28v	1	3963	I	0.543	.	I
1475	f28v	1	4016	box	0.563	.	C09
1476	f28v	1	4080	l	0.697	.	C04
1477	f28v	1	4122	S	0.597	.	s
1478	f28v	1	4172	psi	0.956	.	C13
1479	f28v	1	4235	H	0.677	.	H
1480	f28v	1	4285	I	0.635	.	.
1481	f28v	1	4341	arr	0.990	.	.
1482	f28v	2	1592	T	0.091	T	T
1483	f28v	2	1639	o	0.589	o	o
1484	f28v	2	1678	v	0.611	v	v
1485	f28v	2	1682	rho	0.556	rho	C01
1486	f28v	2	1757	psi	0.564	phi	C13
1487	f28v	2	1828	q	0.547	rho	C01
1488	f28v	2	1869	psi	0.535	phi	C13
1489	f28v	2	1933	T	0.345	T	T
1490	f28v	2	1985	o	0.539	o	o
1491	f28v	2	2017	arr	0.582	phi	C06
1492	f28v	2	2059	rho	0.009	rho	-
1493	f28v	2	2122	psi	0.700	phi	C13
1494	f28v	2	2180	arr	0.748	phi	C01
1495	f28v	2	2256	o	0.588	o	o
1496	f28v	2	2298	v	0.291	v	v
1497	f28v	2	2337	q	0.058	.	.
1498	f28v	2	2380	X	0.741	.	.
1499	f28v	2	2443	Tbox	0.094	.	C23
1500	f28v	2	2512	rho	0.091	.	C01
1501	f28v	2	2570	v	0.729	.	v
1502	f28v	2	2605	E	0.984	.	E
1503	f28v	2	2647	Del	0.241	.	C07
1504	f28v	2	2700	o	0.199	.	o
1505	f28v	2	2740	I	0.796	.	I
1506	f28v	2	2782	lam	0.591	.	C10
1507	f28v	2	2818	ankh	0.686	.	C01
1508	f28v	2	2876	f	0.717	.	f
1509	f28v	2	2927	l	0.450	.	C04
1510	f28v	2	2994	psi	0.456	.	C13
1511	f28v	2	3045	f	0.869	.	f
1512	f28v	2	3081	l	0.367	.	C04
1513	f28v	2	3142	db	0.244	.	C11
1514	f28v	2	3183	f	0.183	.	f
1515	f28v	2	3234	q	0.597	.	C01
1516	f28v	2	3274	arr	0.250	.	C06
1517	f28v	2	3338	psi	0.605	.	C13
1518	f28v	2	3401	f	0.208	.	f
1519	f28v	2	3460	o	0.589	.	o
1520	f28v	2	3497	v	0.412	.	v
1521	f28v	2	3535	z	0.780	.	z
1522	f28v	2	3577	I	0.616	.	I
1523	f28v	2	3627	arr	0.307	.	C01
1524	f28v	2	3708	T	0.147	.	T
1525	f28v	2	3758	o	0.225	.	o
1526	f28v	2	3791	lam	0.274	.	C10
1527	f28v	2	3850	T	0.455	.	T
1528	f28v	2	3894	arr	0.578	.	C01
1529	f28v	2	3953	I	0.193	.	I
1530	f28v	2	3990	f	0.732	.	f
1531	f28v	2	4048	lam	0.608	.	C10
1532	f28v	2	4073	rho	0.312	.	C01
1533	f28v	2	4143	psi	0.252	.	C13
1534	f28v	2	4198	v	0.556	.	v
1535	f28v	2	4226	arr	0.757	.	C01
1536	f28v	2	4294	S	0.720	.	.
1537	f28v	2	4328	o	0.826	.	.
1538	f28v	2	4353	q	1.122	.	.
1539	f28v	2	4378	l	1.134	.	.
1540	f28v	3	1598	7	0.673	heart	.
1541	f28v	3	1628	arr	1.019	phi	.
1542	f28v	3	1702	psi	0.869	m	.
1543	f28v	3	1774	q	0.183	rho	T
1544	f28v	3	1820	db	0.661	dag	C11
1545	f28v	3	1880	Del	0.589	S	n
1546	f28v	3	1939	o	0.594	o	v
1547	f28v	3	1977	I	0.594	I	x
1548	f28v	3	2029	arr	0.676	a	C01
1549	f28v	3	2092	psi	0.765	phi	C13|C13
1550	f28v	3	2168	7	0.177	z	C04|7
1551	f28v	3	2207	f	0.379	box	T|f
1552	f28v	3	2281	S	0.668	S	C11|s
1553	f28v	3	2325	o	0.044	H	v|o
1554	f28v	3	2355	S	0.755	.	3
1555	f28v	3	2409	ankh	0.159	.	C06
1556	f28v	3	2455	X	0.123	.	x
1557	f28v	3	2521	lam	0.089	.	C10
1558	f28v	3	2576	lam	0.088	.	C10
1559	f28v	3	2627	psi	0.379	.	C13
1560	f28v	3	2669	f	0.101	.	f
1561	f28v	3	2736	lam	0.169	.	C10
1562	f28v	3	2793	7	0.438	.	7
1563	f28v	3	2826	l	0.159	.	C04
1564	f28v	3	2889	l	0.852	.	C04
1565	f28v	3	2947	z	0.516	.	z
1566	f28v	3	3000	v	0.283	.	v
1567	f28v	3	3030	l	0.300	.	C04
1568	f28v	3	3101	T	0.126	.	T
1569	f28v	3	3151	sq	0.228	.	C10
1570	f28v	3	3206	v	0.580	.	v
1571	f28v	3	3247	arr	0.335	.	C07
1572	f28v	3	3295	rho	0.694	.	C01
1573	f28v	3	3371	psi	0.193	.	C13
1574	f28v	3	3430	S	0.596	.	S
1575	f28v	3	3479	I	0.610	.	I
1576	f28v	3	3534	psi	0.724	.	C13
1577	f28v	3	3597	v	0.529	.	v
1578	f28v	3	3605	rho	0.541	.	-
1579	f28v	3	3686	w	0.677	.	C14
1580	f28v	3	3765	T	0.675	.	T
1581	f28v	3	3817	sq	0.619	.	C10
1582	f28v	3	3862	v	0.240	.	v
1583	f28v	3	3889	arr	0.638	.	C07
1584	f28v	3	3942	rho	0.235	.	C01
1585	f28v	3	4010	psi	0.570	.	-
1586	f28v	3	4066	v	0.554	.	v
1587	f28v	3	4103	7	0.712	.	7
1588	f28v	3	4147	arr	0.816	.	C01
1589	f28v	3	4201	rho	0.690	.	.
1590	f28v	3	4255	db	0.661	.	.
1591	f28v	3	4310	lam	0.573	.	.
1592	f28v	3	4350	q	1.071	.	.
1593	f28v	3	4375	R	1.100	.	.
1594	f28v	4	1592	T	0.486	f	.
1595	f28v	4	1646	db	0.635	z	.
1596	f28v	4	1692	box	0.755	star	.
1597	f28v	4	1739	sq	0.000	lam	.
1598	f28v	4	1781	f	0.246	f	.
1599	f28v	4	1855	n	0.800	lam	.
1600	f28v	4	1891	v	0.347	v	.
1601	f28v	4	1932	X	0.807	T	.
1602	f28v	4	1947	rho	0.347	rho	.
1603	f28v	4	2041	psi	0.132	phi	.
1604	f28v	4	2097	v	0.135	I	v
1605	f28v	4	2134	lam	0.624	v	C10
1606	f28v	4	2175	l	0.910	omg	C04
1607	f28v	4	2228	T	0.292	T	T
1608	f28v	4	2275	db	0.648	phi	C11
1609	f28v	4	2324	v	0.187	v	v
1610	f28v	4	2371	T	0.677	.	T
1611	f28v	4	2415	arr	0.151	.	C01
1612	f28v	4	2481	psi	0.665	.	C13
1613	f28v	4	2535	f	0.205	.	f
1614	f28v	4	2588	q	0.533	.	C01
1615	f28v	4	2629	arr	0.261	.	C01
1616	f28v	4	2697	db	0.711	.	C11
1617	f28v	4	2759	q	0.328	.	C06
1618	f28v	4	2802	psi	0.214	.	C13
1619	f28v	4	2866	box	0.594	.	C09
1620	f28v	4	2922	db	0.340	.	C11
1621	f28v	4	2984	n	0.699	.	n
1622	f28v	4	3024	v	0.329	.	v
1623	f28v	4	3057	7	0.376	.	7
1624	f28v	4	3114	lam	0.619	.	C10
1625	f28v	4	3168	o	0.344	.	o
1626	f28v	4	3223	lam	0.116	.	C10
1627	f28v	4	3251	ankh	0.776	.	C06
1628	f28v	4	3317	I	0.537	.	I
1629	f28v	4	3358	f	0.712	.	f
1630	f28v	4	3433	box	0.242	.	C09
1631	f28v	4	3486	l	0.774	.	C04
1632	f28v	4	3545	db	0.669	.	C11
1633	f28v	4	3592	l	0.693	.	-
1634	f28v	4	3632	psi	0.603	.	C13
1635	f28v	4	3692	7	0.548	.	7
1636	f28v	4	3731	f	0.592	.	f
1637	f28v	4	3793	v	0.577	.	v
1638	f28v	4	3831	z	0.631	.	z
1639	f28v	4	3882	E	0.812	.	E
1640	f28v	4	3918	sq	0.624	.	C01
1641	f28v	4	3963	I	0.612	.	I
1642	f28v	4	4005	l	0.603	.	C04
1643	f28v	4	4075	q	0.514	.	o
1644	f28v	4	4119	psi	0.665	.	C13
1645	f28v	4	4182	v	0.827	.	v
1646	f28v	4	4222	db	0.610	.	C11
1647	f28v	4	4256	arr	0.621	.	C01
1648	f28v	4	4319	lam	0.560	.	.
1649	f28v	4	4352	db	1.239	.	.
1650	f28v	5	1599	o	0.682	lam	o
1651	f28v	5	1636	E	0.759	phi	E
1652	f28v	5	1663	ankh	0.726	rho	C13
1653	f28v	5	1722	f	0.842	phi	f
1654	f28v	5	1772	l	0.740	rho	C04
1655	f28v	5	1842	o	0.562	box	o
1656	f28v	5	1886	v	0.726	v	v
1657	f28v	5	1923	H	0.141	lam	H
1658	f28v	5	1977	I	0.113	I	I
1659	f28v	5	2042	box	0.551	box	C09
1660	f28v	5	2103	E	0.240	eps	C19|E
1661	f28v	5	2149	o	0.000	o	o|o
1662	f28v	5	2186	arr	0.261	phi	C01
1663	f28v	5	2255	dbar	0.178	dag	C11|C11
1664	f28v	5	2346	psi	0.299	.	C13
1665	f28v	5	2418	o	0.740	.	o
1666	f28v	5	2455	v	0.202	.	v
1667	f28v	5	2496	q	0.217	.	C01
1668	f28v	5	2538	I	0.510	.	I
1669	f28v	5	2593	box	0.612	.	C09
1670	f28v	5	2637	l	0.219	.	-
1671	f28v	5	2708	box	0.134	.	C09
1672	f28v	5	2771	E	0.254	.	E
1673	f28v	5	2813	o	0.543	.	o
1674	f28v	5	2855	S	0.735	.	s
1675	f28v	5	2916	th	0.639	.	C19
1676	f28v	5	2963	arr	0.602	.	C01
1677	f28v	5	3024	I	0.443	.	I
1678	f28v	5	3079	psi	0.566	.	C13
1679	f28v	5	3148	arr	0.617	.	C01
1680	f28v	5	3238	q	0.305	.	-
1681	f28v	5	3275	X	0.717	.	C08
1682	f28v	5	3324	arr	0.565	.	C01
1683	f28v	5	3383	db	0.108	.	C11
1684	f28v	5	3461	o	0.653	.	o
1685	f28v	5	3502	v	0.683	.	v
1686	f28v	5	3539	q	0.556	.	C01
1687	f28v	5	3582	I	0.614	.	I
1688	f28v	5	3631	box	0.555	.	C09
1689	f28v	5	3700	l	0.676	.	C04
1690	f28v	5	3733	lamL	0.185	.	C10
1691	f28v	5	3819	Tbox	0.231	.	C23
1692	f28v	5	3895	lam	0.554	.	C10
1693	f28v	5	3944	o	0.677	.	o
1694	f28v	5	3979	q	0.534	.	-
1695	f28v	5	4021	I	0.468	.	I
1696	f28v	5	4078	box	0.665	.	C09
1697	f28v	5	4120	l	0.551	.	C04
1698	f28v	5	4173	db	0.686	.	C11
1699	f28v	5	4237	lam	0.654	.	.
1700	f28v	5	4265	ankh	0.225	.	.
1701	f28v	5	4331	I	1.084	.	.
1702	f28v	5	4365	f	1.005	.	.
1703	f28v	6	1593	box	0.628	o	C09
1704	f28v	6	1653	l	0.420	eps	C04
1705	f28v	6	1704	psi	0.480	phi	C13
1706	f28v	6	1751	l	0.204	lam	C04
1707	f28v	6	1810	db	0.527	dag	C11
1708	f28v	6	1861	f	0.875	box	f
1709	f28v	6	1939	psi	0.668	phi	C13
1710	f28v	6	2007	box	0.209	box	C09
1711	f28v	6	2062	arr	0.644	phi	C01
1712	f28v	6	2129	z	0.255	f	z|z
1713	f28v	6	2184	I	0.514	I	I|I
1714	f28v	6	2235	arr	0.683	phi	C01|C01
1715	f28v	6	2299	db	0.692	phi	C11|C11
1716	f28v	6	2368	n	0.128	.	n
1717	f28v	6	2417	v	0.298	.	v
1718	f28v	6	2459	X	0.892	.	x
1719	f28v	6	2469	rho	0.157	.	-
1720	f28v	6	2569	psi	0.729	.	C13
1721	f28v	6	2629	v	0.313	.	v
1722	f28v	6	2663	lam	0.477	.	C10
1723	f28v	6	2697	l	0.209	.	-
1724	f28v	6	2761	Del	0.602	.	C07
1725	f28v	6	2820	o	0.228	.	o
1726	f28v	6	2858	I	0.263	.	I
1727	f28v	6	2914	box	0.618	.	C09
1728	f28v	6	2958	l	0.226	.	C04
1729	f28v	6	3012	rho	0.552	.	-
1730	f28v	6	3095	o	0.331	.	-
1731	f28v	6	3138	T	0.607	.	C11
1732	f28v	6	3177	arr	0.595	.	-
1733	f28v	6	3246	I	0.551	.	-
1734	f28v	6	3291	f	0.608	.	f
1735	f28v	6	3360	lam	0.522	.	C10
1736	f28v	6	3397	db	0.663	.	C11
1737	f28v	6	3481	q	0.573	.	-
1738	f28v	6	3520	v	0.660	.	v
1739	f28v	6	3576	S	0.654	.	s
1740	f28v	6	3617	z	0.334	.	z
1741	f28v	6	3663	arr	0.621	.	C01
1742	f28v	6	3717	z	0.724	.	z
1743	f28v	6	3758	f	0.773	.	f
1744	f28v	6	3845	lam	0.527	.	C10
1745	f28v	6	3891	o	0.679	.	o
1746	f28v	6	3916	f	0.795	.	f
1747	f28v	6	3971	lam	0.688	.	-
1748	f28v	6	3993	L	0.700	.	x
1749	f28v	6	4081	lam	0.511	.	C10
1750	f28v	6	4127	v	0.633	.	.
1751	f28v	6	4129	v	0.530	.	.
1752	f28v	6	4164	rho	0.530	.	.
1753	f28v	6	4199	l	0.360	.	.
1754	f28v	6	4253	o	0.611	.	.
1755	f28v	6	4280	l	0.601	.	.
1756	f28v	6	4336	X	0.470	.	.
1757	f28v	6	4368	psi	0.888	.	.
1758	f28v	7	1554	f	0.925	f	f
1759	f28v	7	1652	q	0.260	rho	C13
1760	f28v	7	1688	v	0.614	v	v
1761	f28v	7	1729	q	0.496	phi	C13
1762	f28v	7	1775	X	0.829	star	x
1763	f28v	7	1829	box	0.000	box	C09
1764	f28v	7	1875	l	0.629	lam	C04
1765	f28v	7	1948	plus	0.701	dag	C22
1766	f28v	7	2046	cross4	0.077	boxx	o
1767	f28v	7	2169	7	0.504	7	7|7
1768	f28v	7	2201	l	0.188	lam	C04|C04
1769	f28v	7	2265	l	0.601	lam	C04|C04
1770	f28v	7	2318	z	0.654	z	z|z
1771	f28v	7	2373	v	0.603	.	v
1772	f28v	7	2398	l	0.129	.	-
1773	f28v	7	2470	T	0.008	.	T
1774	f28v	7	2479	rho	0.293	.	C01
1775	f28v	7	2573	o	0.077	.	o
1776	f28v	7	2615	pi	1.119	.	f
1777	f28v	7	2753	q	0.588	.	C01
1778	f28v	7	2801	o	0.187	.	o
1779	f28v	7	2839	v	0.684	.	v
1780	f28v	7	2880	l	0.314	.	C04
1781	f28v	7	2918	arr	0.774	.	-
1782	f28v	7	2980	db	0.764	.	-
1783	f28v	7	3033	lam	0.232	.	-
1784	f28v	7	3092	th	0.683	.	-
1785	f28v	7	3145	psi	0.624	.	-
1786	f28v	7	3207	six	0.206	.	-
1787	f28v	7	3274	db	0.699	.	C11
1788	f28v	7	3333	lam	0.687	.	C10
1789	f28v	7	3401	T	0.540	.	T
1790	f28v	7	3450	o	0.774	.	o
1791	f28v	7	3480	arr	0.576	.	C01
1792	f28v	7	3538	z	0.638	.	z
1793	f28v	7	3590	six	0.187	.	C19
1794	f28v	7	3641	db	0.629	.	C11
1795	f28v	7	3692	lam	0.522	.	-
1796	f28v	7	3751	o	0.593	.	o
1797	f28v	7	3787	v	0.492	.	v
1798	f28v	7	3824	six	0.385	.	6
1799	f28v	7	3871	Del	0.582	.	C07
1800	f28v	7	3921	I	0.616	.	I
1801	f28v	7	3971	f	0.619	.	f
1802	f28v	7	4026	lam	0.520	.	C10
1803	f28v	7	4082	n	0.604	.	n
1804	f28v	7	4124	v	0.624	.	v
1805	f28v	7	4156	db	0.561	.	C11
1806	f28v	7	4225	q	0.535	.	C01
1807	f28v	7	4265	psi	0.574	.	C13
1808	f28v	7	4323	H	0.233	.	.
1809	f28v	7	4362	v	0.819	.	.
1810	f28v	8	1588	o	0.818	o	o
1811	f28v	8	1628	v	0.625	v	v
1812	f28v	8	1671	H	0.535	H	H
1813	f28v	8	1727	I	0.179	I	I
1814	f28v	8	1787	T	0.507	T	T
1815	f28v	8	1839	z	0.637	z	z
1816	f28v	8	1892	v	0.217	v	v
1817	f28v	8	1926	arr	0.169	phi	C01
1818	f28v	8	2009	S	0.266	S	s
1819	f28v	8	2058	psi	0.195	phi	C13
1820	f28v	8	2118	box	0.127	box	C09
1821	f28v	8	2172	l	0.280	lam	C04
1822	f28v	8	2223	arr	0.109	phi	C01
1823	f28v	8	2290	psi	0.172	.	C13
1824	f28v	8	2363	lam	0.576	.	C10
1825	f28v	8	2409	I	0.191	.	I
1826	f28v	8	2424	rho	0.098	.	C01
1827	f28v	8	2522	Del	0.194	.	C07
1828	f28v	8	2579	psi	0.200	.	C13
1829	f28v	8	2641	v	0.174	.	v
1830	f28v	8	2680	lam	0.622	.	C10
1831	f28v	8	2708	l	0.580	.	C04
1832	f28v	8	2776	T	0.248	.	T
1833	f28v	8	2835	z	0.164	.	z
1834	f28v	8	2886	H	0.341	.	H
1835	f28v	8	2941	I	0.628	.	I
1836	f28v	8	3002	th	0.319	.	C19
1837	f28v	8	3003	rho	0.149	.	ρ
1838	f28v	8	3094	psi	0.596	.	C13
1839	f28v	8	3167	n	0.739	.	n
1840	f28v	8	3211	v	0.645	.	v
1841	f28v	8	3258	db	0.101	.	C11
1842	f28v	8	3270	rho	0.606	.	C01
1843	f28v	8	3355	n	0.602	.	n
1844	f28v	8	3394	v	0.652	.	v
1845	f28v	8	3424	db	0.626	.	C11
1846	f28v	8	3485	l	0.629	.	C04
1847	f28v	8	3546	psi	0.596	.	C13
1848	f28v	8	3609	S	0.887	.	s
1849	f28v	8	3651	T	0.511	.	T
1850	f28v	8	3708	lam	0.567	.	C10
1851	f28v	8	3764	7	0.648	.	7
1852	f28v	8	3806	f	0.847	.	f
1853	f28v	8	3859	box	0.551	.	C09
1854	f28v	8	3916	psi	0.593	.	C13
1855	f28v	8	3981	n	0.682	.	n
1856	f28v	8	4024	v	0.562	.	v
1857	f28v	8	4061	X	0.685	.	x
1858	f28v	8	4066	rho	0.412	.	-
1859	f28v	8	4152	w	0.739	.	C14
1860	f28v	8	4212	T	0.560	.	T
1861	f28v	8	4260	sq	0.573	.	C10
1862	f28v	8	4307	v	0.814	.	.
1863	f28v	8	4338	dash_o	0.385	.	.
1864	f28v	9	1579	sq	0.612	box	C01
1865	f28v	9	1647	E	0.849	7	E
1866	f28v	9	1688	psi	0.614	z	C13
1867	f28v	9	1730	f	0.752	lam	f
1868	f28v	9	1783	l	0.142	lam	C04
1869	f28v	9	1837	7	0.168	z	7
1870	f28v	9	1885	six	0.212	o	6
1871	f28v	9	1930	psi	0.596	I	C13
1872	f28v	9	1986	box	0.626	o	C09
1873	f28v	9	2044	v	0.541	v	v
1874	f28v	9	2079	l	0.168	lam	C04
1875	f28v	9	2128	db	0.635	dag	C11|C11
1876	f28v	9	2186	arr	0.557	phi	C01|C01
1877	f28v	9	2277	o	0.245	o	o|o
1878	f28v	9	2318	v	0.589	v	v|v
1879	f28v	9	2363	T	0.469	.	T
1880	f28v	9	2414	arr	0.593	.	C01
1881	f28v	9	2483	psi	0.215	.	C13
1882	f28v	9	2539	lam	0.694	.	C01
1883	f28v	9	2567	db	0.623	.	C11
1884	f28v	9	2598	f	0.117	.	f
1885	f28v	9	2650	l	0.647	.	C04
1886	f28v	9	2735	o	0.584	.	o
1887	f28v	9	2781	box	0.585	.	C09
1888	f28v	9	2834	l	0.217	.	C04
1889	f28v	9	2889	psi	0.401	.	C13
1890	f28v	9	2935	f	0.214	.	f
1891	f28v	9	2995	q	0.174	.	C01
1892	f28v	9	3032	o	0.317	.	o
1893	f28v	9	3061	f	0.780	.	f
1894	f28v	9	3104	l	0.406	.	C04
1895	f28v	9	3171	R	0.737	.	R
1896	f28v	9	3223	z	0.385	.	z
1897	f28v	9	3266	lam	0.243	.	C01
1898	f28v	9	3305	l	0.697	.	C04
1899	f28v	9	3362	arr	0.574	.	C01
1900	f28v	9	3419	db	0.647	.	C11
1901	f28v	9	3474	q	0.623	.	C01
1902	f28v	9	3519	I	0.553	.	I
1903	f28v	9	3568	box	0.546	.	C09
1904	f28v	9	3625	l	0.654	.	C04
1905	f28v	9	3664	psi	0.668	.	C13
1906	f28v	9	3728	arr	0.614	.	C01
1907	f28v	9	3783	db	0.535	.	C11
1908	f28v	9	3834	lam	0.651	.	-
1909	f28v	9	3878	T	0.614	.	T
1910	f28v	9	3935	z	0.555	.	z
1911	f28v	9	3966	n	1.194	.	C10
1912	f28v	9	4072	box	0.710	.	C09
1913	f28v	9	4126	psi	0.659	.	C13
1914	f28v	9	4172	v	1.070	.	-
1915	f28v	9	4202	rho	0.683	.	ρ
1916	f28v	9	4236	o	0.639	.	o
1917	f28v	9	4275	n	0.667	.	n
1918	f28v	9	4316	v	0.636	.	.
1919	f28v	9	4353	q	0.995	.	.
1920	f28v	10	1572	six	0.103	.	6
1921	f28v	10	1644	psi	0.683	phi	C13
1922	f28v	10	1710	pi	0.116	Delta	C14
1923	f28v	10	1779	lamL	0.061	lam	C10
1924	f28v	10	1842	X	0.165	T	x
1925	f28v	10	1908	psi	0.724	phi	C13
1926	f28v	10	1945	rho	0.626	rho	C01
1927	f28v	10	2012	v	0.528	v	v
1928	f28v	10	2050	E	0.942	z	E
1929	f28v	10	2112	o	0.591	box	o
1930	f28v	10	2153	E	0.824	phi	E
1931	f28v	10	2215	q	0.593	n	C01
1932	f28v	10	2253	X	0.890	star	x
1933	f28v	10	2311	box	0.074	omg	C09|C09
1934	f28v	10	2381	l	0.650	.	C04
1935	f28v	10	2426	box	0.591	.	C09
1936	f28v	10	2491	arr	0.676	.	C01
1937	f28v	10	2552	sq	0.443	.	C10
1938	f28v	10	2603	I	0.547	.	I
1939	f28v	10	2649	arr	0.915	.	C01
1940	f28v	10	2728	psi	0.762	.	C13
1941	f28v	10	2804	psi	0.669	.	C13
1942	f28v	10	2870	lam	0.183	.	C10
1943	f28v	10	2921	l	0.515	.	-
1944	f28v	10	2966	arr	0.208	.	-
1945	f28v	10	3022	db	0.378	.	C11
1946	f28v	10	3085	th	0.359	.	C19
1947	f28v	10	3130	I	0.534	.	I
1948	f28v	10	3188	psi	0.190	.	C13
1949	f28v	10	3229	f	0.258	.	f
1950	f28v	10	3276	l	0.679	.	C04
1951	f28v	10	3335	z	0.363	.	z
1952	f28v	10	3389	lam	0.550	.	C10
1953	f28v	10	3426	l	0.639	.	C04
1954	f28v	10	3494	I	0.357	.	I
1955	f28v	10	3551	box	0.603	.	C09
1956	f28v	10	3615	E	0.844	.	E
1957	f28v	10	3675	z	0.548	.	z
1958	f28v	10	3728	v	0.623	.	v
1959	f28v	10	3771	T	0.623	.	T
1960	f28v	10	3820	o	0.530	.	o
1961	f28v	10	3847	arr	0.551	.	C01
1962	f28v	10	3922	box	0.612	.	C09
1963	f28v	10	3976	z	0.621	.	z
1964	f28v	10	4023	v	0.579	.	v
1965	f28v	10	4059	dash_o	0.749	.	o
1966	f28v	10	4129	X	0.719	.	x
1967	f28v	10	4179	psi	0.572	.	C13
1968	f28v	10	4227	arr	0.570	.	C01
1969	f28v	10	4300	psi	0.603	.	.
1970	f28v	10	4346	six	0.995	.	.
1971	f28v	11	1573	T	0.065	eps	T
1972	f28v	11	1618	arr	0.694	phi	C10
1973	f28v	11	1692	psi	0.752	f	C13
1974	f28v	11	1748	lam	0.518	lam	C10
1975	f28v	11	1802	z	0.499	z	z
1976	f28v	11	1852	v	0.498	6	v
1977	f28v	11	1899	n	0.698	box	n
1978	f28v	11	1937	v	0.071	v	v
1979	f28v	11	1973	db	0.207	dag	C11
1980	f28v	11	2035	T	0.671	phi	T
1981	f28v	11	2085	o	0.106	o	o
1982	f28v	11	2117	arr	0.546	v	C01
1983	f28v	11	2173	rho	0.727	.	-
1984	f28v	11	2236	psi	0.588	.	C13
1985	f28v	11	2309	box	0.071	.	C09
1986	f28v	11	2373	E	0.486	.	E
1987	f28v	11	2419	psi	0.190	.	C13
1988	f28v	11	2487	v	0.558	.	v
1989	f28v	11	2523	rho	0.198	.	-
1990	f28v	11	2532	o	0.306	.	o
1991	f28v	11	2619	I	0.711	.	I
1992	f28v	11	2678	db	0.109	.	C11
1993	f28v	11	2727	arr	0.705	.	C10
1994	f28v	11	2814	q	0.226	.	C01
1995	f28v	11	2859	psi	0.692	.	C13
1996	f28v	11	2923	box	0.311	.	C09
1997	f28v	11	2985	o	0.427	.	-
1998	f28v	11	3019	lam	0.358	.	C10
1999	f28v	11	3055	ankh	0.200	.	-
2000	f28v	11	3112	rho	0.800	.	C01
2001	f28v	11	3186	n	0.360	.	n
2002	f28v	11	3228	v	0.340	.	v
2003	f28v	11	3271	I	0.541	.	I
2004	f28v	11	3341	psi	0.294	.	C13
2005	f28v	11	3403	lam	0.565	.	C10
2006	f28v	11	3456	l	0.255	.	-
2007	f28v	11	3497	z	0.369	.	z
2008	f28v	11	3549	I	0.662	.	I
2009	f28v	11	3594	l	0.725	.	C04
2010	f28v	11	3665	T	0.642	.	T
2011	f28v	11	3720	z	0.571	.	z
2012	f28v	11	3773	v	0.640	.	v
2013	f28v	11	3807	arr	0.613	.	C01
2014	f28v	11	3887	psi	0.686	.	C13
2015	f28v	11	3940	lam	0.506	.	C10
2016	f28v	11	3981	l	0.898	.	C04
2017	f28v	11	4032	arr	0.564	.	C01
2018	f28v	11	4092	db	0.588	.	C11
2019	f28v	11	4147	q	0.593	.	C01
2020	f28v	11	4185	psi	0.593	.	C13
2021	f28v	11	4237	T	0.502	.	T
2022	f28v	11	4272	db	0.687	.	.
2023	f28v	11	4316	lam	0.763	.	.
2024	f28v	11	4354	box	0.990	.	.
2025	f28v	12	1580	E	0.771	.	E
2026	f28v	12	1625	psi	0.831	.	C13
2027	f28v	12	1690	q	0.092	C6	C01
2028	f28v	12	1733	psi	0.624	phi	C13
2029	f28v	12	1795	R	0.105	omg	R
2030	f28v	12	1833	z	0.675	lam(pi?)	z
2031	f28v	12	1883	v	0.212	x	v
2032	f28v	12	1922	lam	0.648	phi	C10
2033	f28v	12	1940	rho	0.526	rho	C01
2034	f28v	12	2023	psi	0.610	eps	-
2035	f28v	12	2089	lam	0.480	oe	-
2036	f28v	12	2137	psi	0.768	box	C13
2037	f28v	12	2204	X	0.178	x	x
2038	f28v	12	2257	w	0.209	box(-)	C14
2039	f28v	12	2309	I	0.595	.	I
2040	f28v	12	2373	psi	0.556	.	C13
2041	f28v	12	2430	lam	0.222	.	C10
2042	f28v	12	2488	S	0.798	.	s
2043	f28v	12	2523	db	0.619	.	C11
2044	f28v	12	2588	z	0.632	.	z
2045	f28v	12	2644	v	0.713	.	v
2046	f28v	12	2708	q	0.568	.	C01
2047	f28v	12	2759	X	0.232	.	x
2048	f28v	12	2813	six	1.027	.	6
2049	f28v	12	2840	lam	0.143	.	C10
2050	f28v	12	2886	psi	0.376	.	C13
2051	f28v	12	2957	T	0.592	.	T
2052	f28v	12	3004	l	0.227	.	C04
2053	f28v	12	3069	I	0.229	.	I
