line	pos	sign	conf	why
p3L16	5	cc	H	F1 reading
p3L16	6	th	H	F1 reading
p3L16	7	Ib	M	doubtful shape
p3L16	8	f	H	F1 reading
p3L16	9	]	H	F1 reading
p3L16	10	L	H	F1 reading
p3L16	11	f	H	F1 reading
p3L16	12	88x	H	F1 reading
p3L16	13	aaa	H	F1 reading
p3L16	14	ii	H	F1 reading
p3L16	15	xr	H	F1 reading
p3L16	16	aab	H	F1 reading
p3L16	17	f	H	F1 reading
p3L16	18	ps	H	F1 reading
p3L17	1	oo	H	F1 reading
p3L17	2	rp	M	doubtful shape
p3L17	3	a	H	F1 reading
p3L17	4	xb	H	F1 reading
p3L17	5	zz	H	F1 reading
p3L17	6	rf	H	F1 reading
p3L17	7	ss	H	F1 reading
p3L17	8	x_	H	F1 reading
p3L17	9	8	H	F1 reading
p3L17	10	aaa	H	F1 reading
p3L17	11	b	H	F1 reading
p3L17	12	101	H	F1 reading
p3L17	13	88x	H	F1 reading
p3L17	14	f	H	F1 reading
p3L17	15	ob	M	doubtful shape
p3L18	1	xm	H	F1 reading
p3L18	2	g	H	F1 reading
p3L18	3	cc	H	F1 reading
p3L18	4	th	H	F1 reading
p3L18	5	x	H	F1 reading
p3L18	6	rf	H	F1 reading
p3L18	7	hs	H	F1 reading
p3L18	8	88	H	F1 reading
p3L18	9	x+	H	F1 reading
p3L18	10	phi	H	F1 reading
p3L18	11	f	H	F1 reading
p3L18	12	88x	H	F1 reading
p3L18	13	Ol	H	F1 reading
p3L18	14	aab	H	F1 reading
p3L18	15	hs	H	F1 reading
p3L18	16	f	H	F1 reading
p3L19	1	8	H	F1 reading
p3L19	2	34	H	F1 reading
p3L19	3	rf	H	F1 reading
p3L19	4	sq	H	F1 reading
p3L19	5	p	H	F1 reading
p3L19	6	f	H	F1 reading
p3L19	7	8	H	F1 reading
p3L19	8	ps	H	F1 reading
p3L19	9	f	H	F1 reading
p3L19	10	88	H	F1 reading
p3L19	11	L	H	F1 reading
p3L19	12	b	H	F1 reading
p3L19	13	aab	H	F1 reading
p3L19	14	8	H	F1 reading
p3L19	15	f	H	F1 reading
p3L19	16	hs	H	F1 reading
p3L19	17	xm	H	F1 reading
p3L20	1	f	H	F1 reading
p3L20	2	oo	H	F1 reading
p3L20	3	34	H	F1 reading
p3L20	4	34	H	F1 reading
p3L20	5	f	H	F1 reading
p3L20	6	88x	H	F1 reading
p3L20	7	th	H	F1 reading
p3L20	8	f	H	F1 reading
p3L20	9	oo	H	F1 reading
p3L20	10	sq	H	F1 reading
p3L20	11	hs	H	F1 reading
p3L20	12	cc	H	F1 reading
p3L20	13	hs	H	F1 reading
p3L20	14	b	H	F1 reading
p3L20	15	aab	H	F1 reading
p3L21	1	th	H	F1 reading
p3L21	2	f	H	F1 reading
p3L21	3	8	H	F1 reading
p3L21	4	L	H	F1 reading
p3L21	5	f	H	F1 reading
p3L21	6	m	H	F1 reading
p3L21	7	vi	H	F1 reading
p3L21	8	g	H	F1 reading
p3L21	9	cc	H	F1 reading
p3L21	10	34	H	F1 reading
p3L21	11	34	H	F1 reading
p3L21	12	f	H	F1 reading
p3L21	13	]	H	F1 reading
p3L21	14	sqt	H	F1 reading
p3L21	15	Fs	H	F1 reading
p3L21	16	hs	H	F1 reading
p3L21	17	8	H	F1 reading
p3L22	1	60	H	F1 reading
p3L22	2	60	H	F1 reading
p3L22	3	hs	H	F1 reading
p3L22	4	]	H	F1 reading
p3L22	5	m	H	F1 reading
p3L22	6	hs	H	F1 reading
p3L22	7	xr	H	F1 reading
p3L22	8	101	H	F1 reading
p3L22	9	hs	H	F1 reading
p3L22	10	th	H	F1 reading
p3L22	11	f	H	F1 reading
p3L22	12	8	H	F1 reading
p3L22	13	zz	H	F1 reading
p3L22	14	53	H	F1 reading
p3L22	15	f	H	F1 reading
p3L22	16	hs	H	F1 reading
p3L23	1	7	H	F1 reading
p3L23	2	34	H	F1 reading
p3L23	3	f	H	F1 reading
p3L23	4	8	H	F1 reading
p3L23	5	z	H	F1 reading
p3L23	6	88x	H	F1 reading
p3L23	7	x+	H	F1 reading
p3L23	8	60	H	F1 reading
p3L23	9	m	H	F1 reading
p3L23	10	hs	H	F1 reading
p3L23	11	b	H	F1 reading
p3L23	12	101	H	F1 reading
p3L23	13	rf	H	F1 reading
p3L23	14	hs	H	F1 reading
p3L23	15	zz	H	F1 reading
p3L23	16	77	H	F1 reading
p3L24	1	44	H	F1 reading
p3L24	2	6	H	F1 reading
p3L24	3	x_	H	F1 reading
p3L24	4	f	H	F1 reading
p3L24	5	hs	H	F1 reading
p3L24	6	m	H	F1 reading
p3L24	7	g	H	F1 reading
p3L24	8	ps	H	F1 reading
p3L24	9	b	H	F1 reading
p3L24	10	34	H	F1 reading
p3L24	11	6	H	F1 reading
p3L24	12	7	H	F1 reading
p3L24	13	60	H	F1 reading
p3L24	14	60	H	F1 reading
p3L24	15	g	M	doubtful shape
p3L24	16	m	H	F1 reading
p3L24	17	m	H	F1 reading
p3L25	1	hs	H	F1 reading
p3L25	2	rr	H	F1 reading
p3L25	3	24	H	F1 reading
p3L25	4	HH	H	F1 reading
p3L25	5	L	M	doubtful shape
p3L25	6	tb	H	F1 reading
p3L25	7	L	H	F1 reading
p3L25	8	98	H	F1 reading
p3L25	9	3	H	F1 reading
p3L25	10	bbb	H	F1 reading
p3L25	11	th	H	F1 reading
p3L25	12	ro	H	F1 reading
p3L25	13	phi	M	doubtful shape
p3L25	14	Cm	M	doubtful shape
