line	pos	group	conf	alt	rule	gloss
BLA188_p4_L03	1	123	H		agree	br
BLA188_p4_L03	2	379	H		agree	el
BLA188_p4_L03	3	1105	H		agree	ter
BLA188_p4_L03	4	1243	H		agree	
BLA188_p4_L03	5	588	H		agree	il
BLA188_p4_L03	6	695	H		agree	me
BLA188_p4_L03	7	348	M	B:398	undecided	disoit
BLA188_p4_L03	8	922	H		agree	qu
BLA188_p4_L04	1	381	H		agree	en
BLA188_p4_L04	2	59	M	B:39	undecided	angleterre
BLA188_p4_L04	3	1148	H		agree	un
BLA188_p4_L04	4	734	H		agree	min
BLA188_p4_L04	5	594	H		agree	is
BLA188_p4_L04	6	1102	H		agree	te
BLA188_p4_L04	7	943	H		agree	re
BLA188_p4_L04	8	461	H		agree	fait
BLA188_p4_L04	9	1149	H		agree	une
BLA188_p4_L05	1	53	H		agree	affaire
BLA188_p4_L05	2	922	H		agree	qu
BLA188_p4_L05	3	1148	H		agree	un
BLA188_p4_L05	4	111	H		agree	autre
BLA188_p4_L05	5	993	H		agree	retranche
BLA188_p4_L05	6	924	H		agree	quand
BLA188_p4_L05	7	588	H		agree	il
BLA188_p4_L05	8	1097	H		agree	succede
BLA188_p4_L05	9	1252	H		agree	
BLA188_p4_L06	1	929	H		agree	quil
BLA188_p4_L06	2	386	H		agree	est
BLA188_p4_L06	3	764	H		agree	necessaire
BLA188_p4_L06	4	258	H		agree	de
BLA188_p4_L06	5	1013	H		agree	s'entendre
BLA188_p4_L06	6	416	M	B:716	undecided	bien
BLA188_p4_L06	7	132	H		agree	si
BLA188_p4_L06	8	1020	H		agree	on
BLA188_p4_L06	9	596	H		agree	on
BLA188_p4_L07	1	1155	M		agree-flagged	veut
BLA188_p4_L07	2	1099	H		agree	faire
BLA188_p4_L07	3	453	H		agree	une
BLA188_p4_L07	4	1149	H		agree	paix
BLA188_p4_L07	5	843	H		agree	ferme
BLA188_p4_L07	6	484	M	B:984	undecided	quil
BLA188_p4_L07	7	929	H		agree	faut
BLA188_p4_L07	8	456	H		agree	mettre
BLA188_p4_L07	9	551	H		agree	mettre
BLA188_p4_L08	1	823	H		agree	par
BLA188_p4_L08	2	900	H		agree	ecrit
BLA188_p4_L08	3	932	H		agree	quelque
BLA188_p4_L08	4	851	H		agree	part
BLA188_p4_L08	5	581	H		agree-flagged,key-consistent	ie
BLA188_p4_L08	6	258	H		agree	de
BLA188_p4_L08	7	660	H		agree	la
BLA188_p4_L08	8	140	H		agree	bonne
BLA188_p4_L08	9	1150	H		agree	vo
BLA188_p4_L09	1	658	H		agree	l
BLA188_p4_L09	2	596	H		agree	on
BLA188_p4_L09	3	1102	H		agree	te
BLA188_p4_L09	4	289	H		agree	du
BLA188_p4_L09	5	1006	H		agree	roy
BLA188_p4_L09	6	251	H		agree	d
BLA188_p4_L09	7	59	M	B:39	undecided	angleterre
BLA188_p4_L09	8	38	H		agree	au
BLA188_p4_L09	9	535	H		agree	moins
BLA188_p4_L09	10	381	H		agree	en
BLA188_p4_L10	1	134	H		agree	ar
BLA188_p4_L10	2	1109	H		agree	ti
BLA188_p4_L10	3	169	H		agree	cl
BLA188_p4_L10	4	369	H		agree	e
BLA188_p4_L10	5	1092	M	B:1042	undecided	savoit
BLA188_p4_L10	6	835	H		agree	pour
BLA188_p4_L10	7	1125	H		agree	temoigne
BLA188_p4_L10	8	941	H		agree	v
BLA188_p4_L10	9	18	H		agree	a
BLA188_p4_L11	1	1014	H		agree	sa
BLA188_p4_L11	2	709	H		agree	majeste
BLA188_p4_L11	3	184	H		agree	catholique
BLA188_p4_L11	4	922	H		agree	qu
BLA188_p4_L11	5	596	H		agree	on
BLA188_p4_L11	6	59	H		agree	agit
BLA188_p4_L11	7	278	H		agree	de
BLA188_p4_L11	8	140	H		agree	bonne
BLA188_p4_L11	9	488	H		agree	foy
BLA188_p4_L12	1	1290	H		agree	il
BLA188_p4_L12	2	588	H		agree	il
BLA188_p4_L12	3	695	H		agree	me
BLA188_p4_L12	4	345	H		agree	dit
BLA188_p4_L12	5	922	H		agree	qu
BLA188_p4_L12	6	381	H		agree	en
BLA188_p4_L12	7	1024	H		agree	son
BLA188_p4_L12	8	854	H		agree	particulier
BLA188_p4_L13	1	588	H		agree	il
BLA188_p4_L13	2	1065	H		agree	souhaitoit
BLA188_p4_L13	3	792	H		agree	oit
BLA188_p4_L13	4	1148	H		agree	un
BLA188_p4_L13	5	46	H		agree	acomodement
BLA188_p4_L13	6	692	H		agree	mais
BLA188_p4_L13	7	929	H		agree	quil
BLA188_p4_L13	8	455	H		agree	falloit
BLA188_p4_L14	1	278	H		agree	de
BLA188_p4_L14	2	1119	H		agree	tout
BLA188_p4_L14	3	369	H		agree	e
BLA188_p4_L14	4	851	H		agree	part
BLA188_p4_L14	5	493	H		agree	fournir
BLA188_p4_L14	6	662	H		agree	les
BLA188_p4_L14	7	542	H		agree	moyen
BLA188_p4_L14	8	1013	H		agree	s
BLA188_p4_L15	1	378	M	B:-	gap	ch
BLA188_p4_L15	2	661	H		agree	le
BLA188_p4_L15	3	951	H		agree	rendre
BLA188_p4_L15	4	290	H		agree	dur
BLA188_p4_L15	5	19	H		agree	ab
BLA188_p4_L15	6	661	H		agree	le
BLA188_p4_L15	7	926	H		agree	que
BLA188_p4_L15	8	662	H		agree	les
BLA188_p4_L15	9	907	M		agree-flagged	propositiv
BLA188_p4_L16	1	1013	H		agree	s
BLA188_p4_L16	2	525	H		agree	general
BLA188_p4_L16	3	385	H		agree	es
BLA188_p4_L16	4	756	H		agree	ne
BLA188_p4_L16	5	459	H		agree	fais
BLA188_p4_L16	6	792	H		agree	oit
BLA188_p4_L16	7	830	H		agree	plus
BLA188_p4_L16	8	100	H		agree	aucun
BLA188_p4_L17	1	369	H		agree	e
BLA188_p4_L17	2	609	H		agree	impression
BLA188_p4_L17	3	1033	H		agree	sur
BLA188_p4_L17	4	659	H		agree	l
BLA188_p4_L17	5	134	H		agree	esprit
BLA188_p4_L17	6	289	H		agree	du
BLA188_p4_L17	7	1006	H		agree	roy
BLA188_p4_L17	8	184	H		agree	catholique
BLA188_p4_L17	9	910	H		agree	puisque
BLA188_p4_L18	1	415	H		agree	ensuite
BLA188_p4_L18	2	596	H		agree	on
BLA188_p4_L18	3	668	M	B:665	undecided	eustruck
BLA188_p4_L18	4	576	H		agree	il
BLA188_p4_L18	5	461	H		agree	fait
BLA188_p4_L18	6	1113	H		agree-flagged,key-consistent	tous
BLA188_p4_L18	7	592	H		agree	jo
BLA188_p4_L18	8	1142	H		agree-flagged,key-consistent	u
BLA188_p4_L18	9	941	H		agree	r
BLA188_p5_L01	1	1013	H		agree	s
BLA188_p5_L01	2	18	H		agree	a
BLA188_p5_L01	3	164	H		agree	ch
BLA188_p5_L01	4	385	H	589	key-consistent	et
BLA188_p5_L01	5	384	H		agree	en
BLA188_p5_L01	6	660	H		agree	la
BLA188_p5_L01	7	890	H		agree	pro
BLA188_p5_L01	8	695	H		agree	me
BLA188_p5_L02	1	1013	H		agree	s
BLA188_p5_L02	2	1015	M	B:1013	undecided	fe
BLA188_p5_L02	3	101	H		agree	avoit
BLA188_p5_L02	4	1149	H	1199	key-consistent	une
BLA188_p5_L02	5	555	M	B:955	undecided	nouvelle
BLA188_p5_L02	6	870	H		agree	perte
BLA188_p5_L02	7	1250	H		agree	c'est
BLA188_p5_L02	8	191	H		agree	
BLA188_p5_L03	1	1024	H		agree	son
BLA188_p5_L03	2	347	M	B:349	undecided	discours
BLA188_p5_L03	3	926	H		agree	que
BLA188_p5_L03	4	580	H		agree	le
BLA188_p5_L03	5	1154	H		agree	vous
BLA188_p5_L03	6	919	H		agree	marqua
BLA188_p5_L03	7	56	M		agree-flagged	afrique
BLA188_p5_L03	8	1154	H		agree	vous
BLA188_p5_L04	1	1201	H		agree	y
BLA188_p5_L04	2	454	M	B:484	undecided	fais
BLA188_p5_L04	3	581	H		agree	ie
BLA188_p5_L04	4	1013	H		agree	s
BLA188_p5_L04	5	659	H		agree	l
BLA188_p5_L04	6	36	H		agree	at
BLA188_p5_L04	7	30	H		agree	au
BLA188_p5_L04	8	1109	H		agree	li
BLA188_p5_L04	9	596	H	996	key-consistent	on
BLA188_p5_L05	1	929	M		agree-flagged	que
BLA188_p5_L05	2	695	H		agree	me
BLA188_p5_L05	3	945	H	943	key-consistent	ri
BLA188_p5_L05	4	1102	H		agree	se
BLA188_p5_L05	5	1290	H		agree	
BLA188_p5_L05	6	746	M	B:?	undecided	
BLA188_p5_L05	7	162	H		agree	car
BLA188_p5_L05	8	1024	H		agree	son
BLA188_p5_L06	1	1099	H		agree	sentiment
BLA188_p5_L06	2	386	H		agree	est
BLA188_p5_L06	3	103	H		agree	aujourd'huy
BLA188_p5_L06	4	441	H		agree	execute
BLA188_p5_L06	5	381	H		agree	on
BLA188_p5_L06	6	1114	H		agree	tout
BLA188_p5_L06	7	385	H		agree	et
BLA188_p5_L06	8	1020	H		agree	si
BLA188_p5_L06	9	596	H		agree	on
BLA188_p5_L07	1	356	H		agree	donne
BLA188_p5_L07	2	660	H		agree	la
BLA188_p5_L07	3	693	H		agree	main
BLA188_p5_L07	4	18	H		agree	a
BLA188_p5_L07	5	1149	H		agree	une
BLA188_p5_L07	6	843	H		agree	paix
BLA188_p5_L07	7	101	H		agree	avec
BLA188_p5_L07	8	325	H		agree	desavantage
BLA188_p5_L07	9	192	H		agree	certain
BLA188_p5_L08	1	588	H		agree	il
BLA188_p5_L08	2	386	H		agree	est
BLA188_p5_L08	3	605	H		agree	immancable
BLA188_p5_L08	4	922	H		agree	qu'
BLA188_p5_L08	5	796	H		agree	on
BLA188_p5_L08	6	756	H		agree-flagged,key-consistent	ne
BLA188_p5_L08	7	659	H		agree	p'econte
BLA188_p5_L08	8	441	M	B:941	undecided	
BLA188_p5_L09	1	942	H		agree	va
BLA188_p5_L09	2	600	H		agree	icy
BLA188_p5_L09	3	833	H	533	key-consistent	point
BLA188_p5_L09	4	289	H		agree	du
BLA188_p5_L09	5	1114	M	B:1119	undecided	tout
BLA188_p5_L09	6	208	H		agree	comme
BLA188_p5_L09	7	796	H	756	key-consistent	on
BLA188_p5_L09	8	18	H		agree	a
BLA188_p5_L10	1	461	H		agree	fait
BLA188_p5_L10	2	282	H		agree	des
BLA188_p5_L10	3	891	H		agree	preliminaire
BLA188_p5_L10	4	1013	H		agree	s
BLA188_p5_L10	5	1243	H		agree	
BLA188_p5_L10	6	580	H		agree	le
BLA188_p5_L10	7	1032	H		agree	fu
BLA188_p5_L10	8	594	H		agree	is
BLA188_p5_L11	1	192	H		agree	certain
BLA188_p5_L11	2	295	M	B:298	undecided	de
BLA188_p5_L11	3	163	H		agree	ce
BLA188_p5_L11	4	155	M	B:195	undecided	cy
BLA188_p5_L11	5	1293	M		agree-flagged	l'
BLA188_p5_L11	6	659	H		agree	l'
BLA188_p5_L11	7	54	H	51	key-consistent	affection
BLA188_p5_L11	8	926	H		agree	que
BLA188_p5_L11	9	935	M	B:939	undecided	monsieur
BLA188_p5_L12	1	822	H		agree	ra
BLA188_p5_L12	2	1109	H	409	key-consistent	li
BLA188_p5_L12	3	506	H		agree	g
BLA188_p5_L12	4	758	H		agree	no
BLA188_p5_L12	5	18	H		agree	a
BLA188_p5_L12	6	835	H		agree	pour
BLA188_p5_L12	7	502	H		agree	moi
BLA188_p5_L12	8	1013	M	B:1018	undecided	fer
BLA188_p5_L13	1	792	H		agree	oit
BLA188_p5_L13	2	1185	H		agree	utile
BLA188_p5_L13	3	1020	H		agree	si
BLA188_p5_L13	4	396	M	B:796	undecided	on
BLA188_p5_L13	5	1013	H		agree	s'explique
BLA188_p5_L13	6	445	M	B:945	undecided	oit
BLA188_p5_L13	7	792	H		agree	davantage
BLA188_p5_L13	8	295	M	B:298	undecided	avantage
BLA188_p5_L14	1	1350	H		agree	le
BLA188_p5_L14	2	580	H		agree	fu
BLA188_p5_L14	3	1032	H		agree	is
BLA188_p5_L14	4	594	H		agree	surpris
BLA188_p5_L14	5	1085	H		agree	que
BLA188_p5_L14	6	926	H		agree	qua
BLA188_p5_L14	7	925	M	B:923	undecided	si
BLA188_p5_L14	8	1020	H		agree	
BLA188_p5_L15	1	1114	H		agree	tout
BLA188_p5_L15	2	385	H		agree	ce
BLA188_p5_L15	3	695	H		agree	me
BLA188_p5_L15	4	1013	H		agree	s
BLA188_p5_L15	5	692	M	B:652	undecided	lettres
BLA188_p5_L15	6	1013	H		agree	
BLA188_p5_L15	7	795	H		agree	vient
BLA188_p5_L15	8	404	H		agree	egar
BLA188_p5_L16	1	369	H		agree	e
BLA188_p5_L16	2	385	H		agree	es
BLA188_p5_L16	3	588	H		agree	il
BLA188_p5_L16	4	476	H		agree	faut
BLA188_p5_L16	5	926	H		agree	que
BLA188_p5_L16	6	828	H		agree	par
BLA188_p5_L16	7	661	H		agree	le
BLA188_p5_L16	8	892	H		agree	premier
BLA188_p5_L17	1	259	H		agree	cour
BLA188_p5_L17	2	576	H		agree	i
BLA188_p5_L17	3	384	H		agree	er
BLA188_p5_L17	4	446	H		agree	extraordinaire
BLA188_p5_L17	5	1154	H		agree-flagged,key-consistent	vous
BLA188_p5_L17	6	690	M		agree-flagged	vous
BLA188_p5_L17	7	426	H		agree	m
BLA188_p5_L17	8	385	H		agree	envoyes
BLA188_p5_L18	1	1198	H		agree	un
BLA188_p5_L18	2	554	M	B:354	undecided	nouveau
BLA188_p5_L18	3	164	H		agree	ch
BLA188_p5_L18	4	584	H		agree	if
BLA188_p5_L18	5	943	H		agree	re
BLA188_p5_L18	6	732	H		agree	mieux
BLA188_p5_L18	7	169	H		agree	com
BLA188_p5_L18	8	831	H		agree	po
BLA188_p6_L01	1	1013	H		agree	se
BLA188_p6_L01	2	385	H		agree	et
BLA188_p6_L01	3	1149	H		agree	une
BLA188_p6_L01	4	555	M	B:955	undecided	nouvelle
BLA188_p6_L01	5	21	H		agree	ad
BLA188_p6_L01	6	945	H		agree	ra
BLA188_p6_L01	7	1013	H		agree	se
BLA188_p6_L01	8	385	M	A:-	gap	et
BLA188_p6_L02	1	932	H		agree	quelque
BLA188_p6_L02	2	1041	H		agree	secours
BLA188_p6_L02	3	385	H		agree	et
BLA188_p6_L02	4	924	M	B:954	undecided	repon
BLA188_p6_L02	5	1013	H	1015	key-consistent	se
BLA189_p3_L01	1	208	H		agree	comme
BLA189_p3_L01	2	659	H		agree	l'
BLA189_p3_L01	3	78	H		agree	ambassadeur
BLA189_p3_L01	4	278	H		agree	de
BLA189_p3_L01	5	502	H		agree	france
BLA189_p3_L02	1	659	H		agree	l'
BLA189_p3_L02	2	807	H		agree	obstin
BLA189_p3_L02	3	18	H		agree	a
BLA189_p3_L02	4	1109	H		agree	ti
BLA189_p3_L02	5	796	H		agree	on
BLA189_p3_L03	1	580	H		agree	je
BLA189_p3_L03	2	1154	H		agree	vous
BLA189_p3_L03	3	92	H		agree	assure
BLA189_p3_L03	4	770	H		agree	nonobstant
BLA189_p3_L03	5	922	H		agree	qu
BLA189_p3_L03	6	796	H		agree	on
BLA189_p3_L03	7	386	H		agree	est
BLA189_p3_L03	8	984	H		agree	resolu
BLA189_p3_L03	9	600	H		agree	ici
BLA189_p3_L04	1	278	H		agree	de
BLA189_p3_L04	2	756	H		agree	ne
BLA189_p3_L04	3	998	H		agree	rien
BLA189_p3_L04	4	465	H		agree	fin
BLA189_p3_L04	5	593	H		agree	ir
BLA189_p3_L04	6	922	H		agree	qu
BLA189_p3_L04	7	101	H		agree	avec
BLA189_p3_L04	8	217	H		agree	concert
BLA189_p3_L04	9	278	H		agree	de
BLA189_p3_L04	10	1113	H		agree	tous
BLA189_p3_L04	11	1250	H		agree	
BLA189_p3_L05	1	802	H		agree	on
BLA189_p3_L05	2	101	H		agree	avec
BLA189_p3_L05	3	518	H		agree	garantie
BLA189_p3_L05	4	759	H		agree	non
BLA189_p3_L05	5	278	H		agree	de
BLA189_p3_L05	6	850	H		agree	parole
BLA189_p3_L05	7	692	H		agree	mais
BLA189_p3_L05	8	278	H		agree	de
BLA189_p3_L05	9	521	H		agree	garnison
BLA189_p3_L06	1	402	H		agree	effect
BLA189_p3_L06	2	576	H		agree	i
BLA189_p3_L06	3	1145	H		agree	ve
BLA189_p3_L06	4	1243	H		agree	
BLA189_p3_L06	5	387	H		agree	et
BLA189_p3_L06	6	930	H		agree	quils
BLA189_p3_L06	7	1018	H		agree	ser
BLA189_p3_L06	8	797	H		agree	ont
BLA189_p3_L06	9	109	H		agree	aussitot
BLA189_p3_L06	10	18	H		agree	a
BLA189_p3_L07	1	958	H		agree	recommence
BLA189_p3_L07	2	941	H		agree	r
BLA189_p3_L07	3	1033	H		agree	sur
BLA189_p3_L07	4	193	H		agree	chacun
BLA189_p3_L07	5	381	H		agree	en
BLA189_p3_L07	6	59	H		agree	action
BLA189_p3_L07	7	1020	H		agree	si
BLA189_p3_L07	8	796	H		agree	on
BLA189_p3_L07	9	756	H		agree	ne
BLA189_p3_L07	10	515	H		agree	gagne
BLA189_p3_L08	1	660	H		agree	la
BLA189_p3_L08	2	1007	H		agree	reine
BLA189_p3_L08	3	823	H		agree	par
BLA189_p3_L08	4	661	H		agree	le
BLA189_p3_L08	5	691	H		agree	ma
BLA189_p3_L08	6	947	H		agree	ri
BLA189_p3_L08	7	18	H		agree	a
BLA189_p3_L08	8	508	H		agree	ge
BLA189_p3_L08	9	802	H		agree	ou
BLA189_p3_L08	10	823	H		agree	par
BLA189_p3_L08	11	659	H		agree	l'
BLA189_p3_L08	12	638	H		agree	italie
BLA189_p3_L09	1	162	H		agree	car
BLA189_p3_L09	2	658	H		agree	l
BLA189_p3_L09	3	369	H		agree	e
BLA189_p3_L09	4	1006	H		agree	roy
BLA189_p3_L09	5	754	H		agree	n
BLA189_p3_L09	6	58	H		agree	agit
BLA189_p3_L09	7	18	H		agree	a
BLA189_p3_L09	8	599	H		agree	jamais
BLA189_p3_L09	9	101	H		agree	avec
BLA189_p3_L09	10	242	H		agree	continuation
BLA189_p3_L10	1	278	H		agree	de
BLA189_p3_L10	2	140	H		agree	bonne
BLA189_p3_L10	3	256	H		agree	correspondance
BLA189_p3_L11	1	1240	H		agree	que
BLA189_p3_L11	2	1324	H		agree	gi
BLA189_p3_L11	3	926	H		agree	br
BLA189_p3_L11	4	510	H		agree	al
BLA189_p3_L11	5	123	H		agree	ter
BLA189_p3_L11	6	28	H		agree	ne
BLA189_p3_L11	7	1107	H		agree	ser
BLA189_p3_L11	8	756	H		agree	ra
BLA189_p3_L11	9	1017	H		agree	ra
BLA189_p3_L11	10	942	H		agree	
BLA189_p3_L12	1	944	H		agree	ren
BLA189_p3_L12	2	289	H		agree	du
BLA189_p3_L12	3	369	H		agree	e
BLA189_p3_L13	1	735	H		agree	monsieur
BLA189_p3_L13	2	647	H		agree	ken
BLA189_p3_L13	3	756	H		agree	ne
BLA189_p3_L13	4	756	H		agree	ne
BLA189_p3_L13	5	695	H		agree	me
BLA189_p3_L13	6	461	H		agree	fait
BLA189_p3_L13	7	100	H		agree	aucun
BLA189_p3_L13	8	224	H		agree	confidence
BLA189_p3_L13	9	770	H		agree	nonobstant
BLA189_p3_L14	1	691	H		agree	ma
BLA189_p3_L14	2	140	H		agree	bonne
BLA189_p3_L14	3	54	H		agree	affection
BLA189_p3_L14	4	835	H		agree	pour
BLA189_p3_L14	5	1154	H		agree	vous
BLA189_p3_L14	6	692	H		agree	mais
BLA189_p3_L14	7	588	H		agree	il
BLA189_p3_L14	8	386	H		agree	est
BLA189_p3_L14	9	1063	H		agree	soupcon
BLA189_p3_L14	10	389	H		agree	eu
BLA189_p3_L14	11	1200	H		agree	x
BLA189_p3_L15	1	399	H		agree	einre
BLA189_p3_L15	2	880	M	B:890	undecided	plus
BLA189_p3_L15	3	695	M	B:625	undecided	juste
BLA189_p3_L15	4	696	H		agree	ment
BLA189_p3_L15	5	929	H		agree	quil
BLA189_p3_L15	6	756	H		agree	ne
BLA189_p3_L15	7	1065	H		agree	souhaite
BLA189_p3_L16	1	691	H		agree	ma
BLA189_p3_L16	2	320	H		agree	demarche
BLA189_p3_L17	1	735	H		agree	monsieur
BLA189_p3_L17	2	822	H		agree	pa
BLA189_p3_L17	3	1109	H		agree	ti
BLA189_p3_L17	4	506	H		agree	g
BLA189_p3_L17	5	758	H		agree	no
BLA189_p3_L17	6	18	H		agree	a
BLA189_p3_L17	7	900	H		agree	pris
BLA189_p3_L17	8	835	H		agree	pour
BLA189_p3_L17	9	702	H		agree	moi
BLA189_p3_L17	10	1149	H		agree	une
BLA189_p3_L18	1	54	H		agree	affection
BLA189_p3_L18	2	591	H		agree	in
BLA189_p3_L18	3	1155	H		agree	ut
BLA189_p3_L18	4	588	H		agree	il
BLA189_p3_L18	5	369	H		agree	e
BLA189_p3_L18	6	842	H		agree	puis
BLA189_p3_L18	7	926	H		agree	que
BLA189_p3_L18	8	998	H		agree	rien
BLA189_p3_L18	9	756	H		agree	ne
BLA189_p3_L18	10	695	H		agree	me
BLA189_p3_L19	1	1147	H		agree	vi
BLA189_p3_L19	2	381	H		agree	en
BLA189_p3_L19	3	1099	H		agree	t
BLA189_p3_L19	4	278	H		agree	de
BLA189_p3_L19	5	1176	H		agree	votre
BLA189_p3_L19	6	851	H		agree	part
BLA189_p3_L19	7	18	H		agree	a
BLA189_p3_L19	8	344	H		agree	dire
BLA189_p3_L19	9	757	H		agree	ni
BLA189_p3_L19	10	473	H		agree	faire
BLA190_p5_L01	1	737	H	757	key-consistent	monsieur
BLA190_p5_L01	2	647	H		agree	ken
BLA190_p5_L01	3	1240	H		agree	
BLA190_p5_L01	4	756	H		agree	ne
BLA190_p5_L02	1	690	H		agree	m'
BLA190_p5_L02	2	113	H		agree	ayant
BLA190_p5_L02	3	279	H		agree	dem
BLA190_p5_L02	4	981	H		agree	en
BLA190_p5_L02	5	278	H		agree	de
BLA190_p5_L02	6	1020	H		agree	si
BLA190_p5_L02	7	530	H		agree	je
BLA190_p5_L03	1	399	H		agree	ecrire
BLA190_p5_L03	2	323	H		agree	par
BLA190_p5_L03	3	1024	H		agree	son
BLA190_p5_L03	4	322	H		agree	dernier
BLA190_p5_L03	5	259	H		agree	cour
BLA190_p5_L03	6	381	H		agree	ier
BLA190_p5_L03	7	941	H		agree	r
BLA190_p5_L04	1	659	H		agree	l'
BLA190_p5_L04	2	111	H		agree	autre
BLA190_p5_L04	3	592	H		agree	so
BLA190_p5_L04	4	1143	H		agree	u
BLA190_p5_L04	5	941	H		agree	r
BLA190_p5_L04	6	1250	H		agree	
BLA190_p5_L04	7	580	H		agree	ge
BLA190_p5_L05	1	26	H		agree	ai
BLA190_p5_L05	2	974	H		agree	repondu
BLA190_p5_L05	3	926	H		agree	que
BLA190_p5_L05	4	759	H		agree	non
BLA190_p5_L05	5	846	M		agree-flagged	parceque
BLA190_p5_L06	1	756	H		agree	ne
BLA190_p5_L06	2	1038	H		agree	scavoi
BLA190_p5_L06	3	1013	H		agree	s
BLA190_p5_L06	4	922	H		agree	qu'ecrire
BLA190_p5_L06	5	399	H		agree	ecrire
BLA190_p5_L06	6	1243	H		agree	il
BLA190_p5_L06	7	588	H		agree	a
BLA190_p5_L06	8	18	H		agree	aussitot
BLA190_p5_L06	9	109	H		agree	re
BLA190_p5_L06	10	943	H		agree	pris
BLA190_p5_L06	11	900	H		agree	que
BLA190_p5_L06	12	926	H		agree	je
BLA190_p5_L06	13	560	H		agree	fais
BLA190_p5_L06	14	474	H		agree	fais
BLA190_p5_L07	1	191	M	B:791	undecided	sois
BLA190_p5_L07	2	137	H		agree	bien
BLA190_p5_L07	3	910	H		agree	quisque
BLA190_p5_L08	1	756	H		agree	ne
BLA190_p5_L08	2	833	H		agree	point
BLA190_p5_L08	3	970	H		agree	rencontre
BLA190_p5_L08	4	941	H		agree	r
BLA190_p5_L08	5	661	H		agree	le
BLA190_p5_L08	6	1182	H		agree	vray
BLA190_p5_L08	7	435	H		agree	etat
BLA190_p5_L08	8	282	H		agree	des
BLA190_p5_L08	9	53	H		agree	affaire
BLA190_p5_L08	10	1013	H	1012	key-consistent	s
BLA190_p5_L08	11	757	H		agree	ni
BLA190_p5_L08	12	661	H		agree	le
BLA190_p5_L08	13	331	H		agree	dessein
BLA190_p5_L09	1	1261	M		agree-flagged	a
BLA190_p5_L09	2	18	H		agree	quoy
BLA190_p5_L09	3	926	H		agree	je
BLA190_p5_L09	4	580	H		agree	dit
BLA190_p5_L09	5	345	H		agree	
BLA190_p5_L10	1	163	H		agree	ce
BLA190_p5_L10	2	753	H		agree	ne'est
BLA190_p5_L10	3	386	H		agree	oit
BLA190_p5_L10	4	292	M	B:792	undecided	pas
BLA190_p5_L10	5	824	H		agree	ma
BLA190_p5_L10	6	691	H		agree	faute
BLA190_p5_L10	7	477	H		agree	faute
BLA190_p5_L11	1	926	H		agree	que
BLA190_p5_L11	2	691	H		agree	ma
BLA190_p5_L11	3	140	H		agree	bonne
BLA190_p5_L11	4	613	H		agree	inclination
BLA190_p5_L12	1	695	H		agree	me
BLA190_p5_L12	2	971	H		agree	rendre
BLA190_p5_L12	3	390	H		agree	ex
BLA190_p5_L12	4	174	H		agree	au
BLA190_p5_L12	5	1014	H		agree	sa
BLA190_p5_L12	6	130	H		agree	ble
BLA190_p5_L12	7	387	H		agree	et
BLA190_p5_L12	8	922	H		agree	qu'
BLA190_p5_L12	9	381	H		agree	en
BLA190_p5_L12	10	1114	H		agree	tout
BLA190_p5_L12	11	133	H		agree	cas
BLA190_p5_L12	12	575	H		agree	il
BLA190_p5_L13	1	26	H		agree	ai
BLA190_p5_L13	2	701	H		agree	mo
BLA190_p5_L13	3	594	H		agree	oit
BLA190_p5_L13	4	732	H		agree	mieux
BLA190_p5_L13	5	1154	H		agree	vous
BLA190_p5_L13	6	694	H		agree	man
BLA190_p5_L13	7	281	H		agree	der
BLA190_p5_L14	1	867	H		agree	pense
BLA190_p5_L14	2	385	H		agree	es
BLA190_p5_L14	3	18	H		agree	a
BLA190_p5_L14	4	1154	H		agree	vous
BLA190_p5_L14	5	928	H		agree	qui
BLA190_p5_L14	6	113	H		agree	ayant
BLA190_p5_L14	7	278	H		agree	de
BLA190_p5_L14	8	659	H		agree	l'
BLA190_p5_L14	9	54	H		agree	affection
BLA190_p5_L14	10	835	H		agree	pour
BLA190_p5_L14	11	702	H		agree	moi
BLA190_p5_L14	12	1121	H		agree	tache
BLA190_p5_L14	13	942	H		agree	ri
BLA190_p5_L15	1	385	H		agree	est
BLA190_p5_L15	2	278	H		agree	de
BLA190_p5_L15	3	473	H		agree	faire
BLA190_p5_L15	4	1158	H		agree	valoir
BLA190_p5_L15	5	691	H		agree	ma
BLA190_p5_L15	6	140	H		agree	bonne
BLA190_p5_L15	7	425	H		agree	envie
BLA190_p5_L15	8	1250	H		agree	
BLA190_p5_L15	9	157	H		agree	c'
BLA190_p5_L15	10	386	H		agree	c'est
BLA190_p5_L15	11	600	H		agree	icy
BLA190_p5_L15	12	802	H		agree	ou
BLA190_p5_L16	1	588	H		agree	il
BLA190_p5_L16	2	690	H		agree	m'
BLA190_p5_L16	3	18	H		agree	a
BLA190_p5_L16	4	1033	H		agree	sur
BLA190_p5_L16	5	900	H		agree	pris
BLA190_p5_L16	6	381	H		agree	en
BLA190_p5_L16	7	695	H		agree	me
BLA190_p5_L16	8	346	H		agree	quant
BLA190_p5_L16	9	926	H		agree	que
BLA190_p5_L16	10	580	H		agree	je
BLA190_p5_L16	11	900	H		agree	pris
BLA190_p5_L16	12	520	H		agree	garde
BLA190_p5_L17	1	18	H		agree	a
BLA190_p5_L17	2	1154	H		agree	vous
BLA190_p5_L17	3	399	H		agree	ecrire
BLA190_p5_L17	4	162	H		agree	car
BLA190_p5_L17	5	1176	H		agree	votre
