position	line	class	raw	normalized	doubt
823	39934	CIPHER	16	16	
824	39934	CIPHER	72	72	
825	39934	CIPHER	32.	32	
826	39934	CLEAR	Ty	Ty	
827	39934	CLEAR	vij	vij	
828	39935	CLEAR	hafve	hafve	
829	39935	CLEAR	tillförne	tillförne	
830	39935	CLEAR	icke	icke	
831	39935	CLEAR	rettere	rettere	
832	39935	CLEAR	vist,	vist,	
833	39935	CLEAR	än	än	
834	39935	CIPHER	72	72	
835	39935	CIPHER	81	81	
836	39935	CIPHER	82	82	
837	39935	CIPHER	47	47	
838	39935	CIPHER	26	26	
839	39935	CIPHER	2923	2923	
840	39935	CLEAR	nn	nn	[?]SYM
841	39935	CIPHER	47	47	
842	39936	CIPHER	26	26	
843	39936	CIPHER	32	32	
844	39936	CIPHER	57	57	
845	39936	CIPHER	65	65	
846	39936	CIPHER	32	32	
847	39936	CIPHER	26	26	
848	39936	CIPHER	81	81	
849	39936	CIPHER	51	51	
850	39936	CIPHER	28	28	
851	39936	CIPHER	22	22	
852	39936	CIPHER	65"	65	[?]
853	39936	CIPHER	32	32	
854	39936	CIPHER	26	26	
855	39936	CLEAR	skulle	skulle	
856	39936	CIPHER	72	72	
857	39936	CIPHER	28	28	
858	39936	CIPHER	27	27	
859	39936	CIPHER	72	72	
860	39937	CIPHER	57	57	
861	39937	CIPHER	72	72	
862	39937	CIPHER	32	32	
863	39937	CIPHER	73	73	
864	39937	CIPHER	48	48	
865	39937	CIPHER	64	64	
866	39937	CIPHER	20	20	
867	39937	CIPHER	54	54	
868	39937	CIPHER	28	28	
869	39937	CIPHER	26	26	
870	39937	CIPHER	81	81	
871	39937	CIPHER	82	82	
872	39937	CIPHER	24.	24	
873	39937	CLEAR	Men	Men	
874	39937	CLEAR	nu	nu	
875	39937	CLEAR	fömimme	fömimme	
876	39938	CLEAR	vij,	vij,	
877	39938	CLEAR	att	att	
878	39938	CIPHER	47	47	
879	39938	CIPHER	26	26	
880	39938	CIPHER	17	17	
881	39938	CIPHER	16	16	
882	39938	CIPHER	26	26	
883	39938	CIPHER	66	66	
884	39938	CIPHER	65	65	
885	39938	CIPHER	32	32	
886	39938	CIPHER	26	26	
887	39938	CIPHER	26	26	
888	39938	CIPHER	80	80	
889	39938	CIPHER	47	47	
890	39938	CIPHER	26	26	
891	39938	CIPHER	25	25	
892	39938	CIPHER	28	28	
893	39938	CLEAR	under	under	
894	39939	CIPHER	68	68	
895	39939	CIPHER	65	65	
896	39939	CIPHER	28	28	
897	39939	CIPHER	44	44	
898	39939	CIPHER	26	26	
899	39939	CIPHER	80	80	
900	39939	CIPHER	47	47	
901	39939	CIPHER	26	26	
902	39939	CIPHER	25	25	
903	39939	CIPHER	28	28	
904	39939	CIPHER	62	62	
905	39939	CIPHER	18	18	
906	39939	CIPHER	47	47	
907	39939	CIPHER	24	24	
908	39939	CIPHER	31	31	
909	39939	CIPHER	72	72	
910	39939	CIPHER	78	78	
911	39939	CIPHER	47	47	
912	39939	CIPHER	32	32	
913	39939	CIPHER	74	74	
914	39940	CIPHER	2929.	2929	
915	39940	CLEAR	I	I	
916	39940	CLEAR	hafve	hafve	
917	39940	CLEAR	fördenskuU	fördenskuU	
918	39940	CLEAR	för	för	
919	39940	CIPHER	46	46	
920	39940	CIPHER	26	26	
921	39940	CIPHER	32	32	
922	39940	CIPHER	26	26	
923	39940	CIPHER	17	17	
924	39940	CIPHER	72	72	
925	39940	CIPHER	80	80	
926	39940	CIPHER	44	44	
927	39940	CIPHER	65	65	
928	39940	CIPHER	20	20	
929	39943	CIPHER	54	54	
930	39943	CIPHER	17	17	
931	39943	CIPHER	18	18	
932	39943	CLEAR	icke	icke	
933	39943	CLEAR	till	till	
934	39943	CLEAR	att	att	
935	39943	CIPHER	71	71	
936	39943	CIPHER	26	26	
937	39943	CIPHER	22	22	
938	39943	CIPHER	32	32	
939	39943	CIPHER	62	62	
940	39943	CIPHER	26	26	
941	39943	CIPHER	28	28	
942	39943	CIPHER	27	27	
943	39943	CIPHER	33	33	
944	39943	CIPHER	17	17	
945	39943	CIPHER	81	81	
946	39943	CIPHER	62	62	
947	39943	CIPHER	82	82	
948	39944	CIPHER	14	14	
949	39944	CIPHER	73	73	
950	39944	CIPHER	26	26	
951	39944	CIPHER	47	47	
952	39944	CIPHER	25	25	
953	39944	CIPHER	32	32	
954	39944	CIPHER	20	20	
955	39944	CIPHER	73	73	
956	39944	CIPHER	32	32	
957	39944	CIPHER	48	48	
958	39944	CIPHER	66	66	
959	39944	CIPHER	25	25	
960	39944	CLEAR	rr	rr	[?]SYM
961	39944	CIPHER	72	72	
962	39944	CIPHER	57	57	
963	39944	CIPHER	73	73	
964	39944	CIPHER	80	80	
965	39944	CIPHER	81	81	
966	39944	CIPHER	74	74	
967	39944	CIPHER	76	76	
968	39946	CIPHER	24.	24	
969	39946	CLEAR	Vij	Vij	
970	39946	CLEAR	befale	befale	
971	39946	CLEAR	eder	eder	
972	39946	CLEAR	här	här	
973	39946	CLEAR	medh	medh	
974	39946	CLEAR	i	i	
975	39946	CLEAR	Gudz	Gudz	
976	39946	CLEAR	nådige	nådige	
977	39946	CLEAR	beskerm	beskerm	
978	39946	CLEAR	nädeli-	nädeli-	
979	39947	CLEAR	gen.	gen.	
