pos	page_line	class	raw	value	mark	grade	change_from_ocr
756	822.31	CLEAR	mäst	mäst		H	replace: OCR 'mast'
757	822.31	CLEAR	sådant	sådant		H	
758	822.31	NUM	3673	3673		H	
759	822.31	SYM	nn	nn		M	
760	822.32	NUM	66	66		H	
761	822.32	NUM	"65"""	65	""""	H	
762	822.32	NUM	32	32		H	
763	822.32	NUM	26	26		H	
764	822.32	NUM	81	81		H	
765	822.32	NUM	51	51		H	
766	822.32	NUM	28	28		H	
767	822.32	NUM	47	47		H	
768	822.32	NUM	26	26		H	
769	822.32	NUM	2929	2929		H	
770	822.32	SYM	nn	nn		M	
771	822.32	SYM	ll	ll		M	replace: OCR '11'
772	822.32	NUM	47	47		H	
773	822.32	NUM	26	26		H	
774	822.32	NUM	32	32		H	
775	822.32	NUM	81	81		H	
776	822.32	NUM	51	51		H	
777	822.32	NUM	28	28		H	
778	822.32	NUM	22	22		H	
779	822.33	NUM	"65"""	65	""""	H	
780	822.33	NUM	32	32		H	
781	822.33	NUM	80	80		H	
782	822.33	NUM	26.	26		H	
783	822.33	CLEAR	Undantagandes	Undantagandes		H	
784	822.33	NUM	81	81		H	
785	822.33	NUM	51	51		H	
786	822.33	NUM	32	32		H	
787	822.33	NUM	17	17		H	
788	822.33	NUM	44	44		H	
789	822.33	NUM	73	73		H	
790	822.33	NUM	17	17		H	
791	822.33	CLEAR	hvilken	hvilken		H	
792	822.33	CLEAR	ock	ock		H	
793	822.34	CLEAR	hafver	hafver		H	
794	822.34	NUM	72	72		H	
795	822.34	NUM	28	28		H	
796	822.34	NUM	27	27		H	
797	822.34	NUM	26	26		H	
798	822.34	NUM	80	80		H	
799	822.34	NUM	25	25		H	
800	822.34	NUM	17	17		H	
801	822.34	NUM	82	82		H	
802	822.34	NUM	1102½	1102	½	H	replace: OCR '1102 J'
803	822.34	NUM	786	786		H	
804	822.34	SYM	d	d		M	
805	822.34	NUM	9	9		H	
806	822.34	NUM	3165	3165		H	
807	822.34	NUM	17	17		H	
808	822.34	NUM	18	18		H	
809	822.34	NUM	72	72		H	
810	822.35	NUM	32	32		H	
811	822.35	NUM	44	44		H	
812	822.35	CLEAR	och	och		H	
813	822.35	CLEAR	doch	doch		H	
814	822.35	NUM	17	17		H	
815	822.35	NUM	28	28		H	
816	822.35	NUM	26	26		H	
817	822.35	NUM	81	81		H	
818	822.35	NUM	82	82		H	
819	822.35	NUM	26	26		H	
820	822.35	NUM	71	71		H	
821	822.35	NUM	62	62		H	
822	822.35	NUM	17	17		H	
823	822.35	NUM	16	16		H	
824	822.35	NUM	72	72		H	
825	822.35	NUM	32.	32		H	
826	822.35	CLEAR	Ty	Ty		H	
827	822.35	CLEAR	vij	vij		H	
828	822.36	CLEAR	hafve	hafve		H	
829	822.36	CLEAR	tillförne	tillförne		H	
830	822.36	CLEAR	icke	icke		H	
831	822.36	CLEAR	rettere	rettere		H	
832	822.36	CLEAR	vist,	vist		H	
833	822.36	CLEAR	än	än		H	
834	822.36	NUM	72	72		H	
835	822.36	NUM	81	81		H	
836	822.36	NUM	82	82		H	
837	822.36	NUM	47	47		H	
838	822.36	NUM	26	26		H	
839	822.36	NUM	2923	2923		H	
840	822.36	SYM	nn	nn		M	
841	822.36	NUM	47	47		H	
842	822.37	NUM	26	26		H	
843	822.37	NUM	32	32		H	
844	822.37	NUM	57	57		H	
845	822.37	NUM	65	65		H	
846	822.37	NUM	32	32		H	
847	822.37	NUM	26	26		H	
848	822.37	NUM	81	81		H	
849	822.37	NUM	51	51		H	
850	822.37	NUM	28	28		H	
851	822.37	NUM	22	22		H	
852	822.37	NUM	"65"""	65	""""	H	
853	822.37	NUM	32	32		H	
854	822.37	NUM	26	26		H	
855	822.37	CLEAR	skulle	skulle		H	
856	822.37	NUM	72	72		H	
857	822.37	NUM	28	28		H	
858	822.37	NUM	27	27		H	
859	822.37	NUM	72	72		H	
860	822.38	NUM	57	57		H	
861	822.38	NUM	72	72		H	
862	822.38	NUM	32	32		H	
863	822.38	NUM	73	73		H	
864	822.38	NUM	48	48		H	
865	822.38	NUM	64	64		H	
866	822.38	NUM	20	20		H	
867	822.38	NUM	54	54		H	
868	822.38	NUM	28	28		H	
869	822.38	NUM	26	26		H	
870	822.38	NUM	81	81		H	
871	822.38	NUM	82	82		H	
872	822.38	NUM	24.	24		H	
873	822.38	CLEAR	Men	Men		H	
874	822.38	CLEAR	nu	nu		H	
875	822.38	CLEAR	förnimme	förnimme		H	replace: OCR 'fömimme'
876	822.39	CLEAR	vij,	vij		H	
877	822.39	CLEAR	att	att		H	
878	822.39	NUM	47	47		H	
879	822.39	NUM	26	26		H	
880	822.39	NUM	17	17		H	
881	822.39	NUM	16	16		H	
882	822.39	NUM	26	26		H	
883	822.39	NUM	66	66		H	
884	822.39	NUM	65	65		H	
885	822.39	NUM	32	32		H	
886	822.39	NUM	26	26		H	
887	822.39	NUM	26	26		H	
888	822.39	NUM	80	80		H	
889	822.39	NUM	47	47		H	
890	822.39	NUM	26	26		H	
891	822.39	NUM	25	25		H	
892	822.39	NUM	28	28		H	
893	822.39	CLEAR	under	under		H	
894	822.40	NUM	68	68		H	
895	822.40	NUM	65	65		H	
896	822.40	NUM	28	28		H	
897	822.40	NUM	44	44		H	
898	822.40	NUM	26	26		H	
899	822.40	NUM	80	80		H	
900	822.40	NUM	47	47		H	
901	822.40	NUM	26	26		H	
902	822.40	NUM	25	25		H	
903	822.40	NUM	28	28		H	
904	822.40	NUM	62	62		H	
905	822.40	NUM	18	18		H	
906	822.40	NUM	47	47		H	
907	822.40	NUM	24	24		H	
908	822.40	NUM	31	31		H	
909	822.40	NUM	72	72		H	
910	822.40	NUM	78	78		H	
911	822.40	NUM	47	47		H	
912	822.40	NUM	32	32		H	
913	822.40	NUM	74	74		H	
914	822.41	NUM	2929.	2929		H	
915	822.41	CLEAR	I	I		H	
916	822.41	CLEAR	hafve	hafve		H	
917	822.41	CLEAR	fördenskull	fördenskull		H	replace: OCR 'fördenskuU'
918	822.41	CLEAR	för	för		H	
919	822.41	NUM	46	46		H	
920	822.41	NUM	26	26		H	
921	822.41	NUM	32	32		H	
922	822.41	NUM	26	26		H	
923	822.41	NUM	17	17		H	
924	822.41	NUM	72	72		H	
925	822.41	NUM	80	80		H	
926	822.41	NUM	44	44		H	
927	822.41	NUM	65	65		H	
928	822.41	NUM	20	20		H	
929	823.01	NUM	54	54		H	
930	823.01	NUM	17	17		H	
931	823.01	NUM	18	18		H	
932	823.01	CLEAR	icke	icke		H	
933	823.01	CLEAR	till	till		H	
934	823.01	CLEAR	att	att		H	
935	823.01	NUM	71	71		H	
936	823.01	NUM	26	26		H	
937	823.01	NUM	22	22		H	
938	823.01	NUM	32	32		H	
939	823.01	NUM	62	62		H	
940	823.01	NUM	26	26		H	
941	823.01	NUM	28	28		H	
942	823.01	NUM	27	27		H	
943	823.01	NUM	32	32		H	replace: OCR '33'
944	823.01	NUM	17	17		H	
945	823.01	NUM	81	81		H	
946	823.01	NUM	62	62		H	
947	823.01	NUM	82	82		H	
948	823.02	NUM	14	14		H	
949	823.02	NUM	73	73		H	
950	823.02	NUM	26	26		H	
951	823.02	NUM	47	47		H	
952	823.02	NUM	25	25		H	
953	823.02	NUM	32	32		H	
954	823.02	NUM	20	20		H	
955	823.02	NUM	73	73		H	
956	823.02	NUM	32	32		H	
957	823.02	NUM	48	48		H	
958	823.02	NUM	66	66		H	
959	823.02	NUM	25	25		H	
960	823.02	SYM	rr	rr		M	
961	823.02	NUM	72	72		H	
962	823.02	NUM	57	57		H	
963	823.02	NUM	73	73		H	
964	823.02	NUM	80	80		H	
965	823.02	NUM	81	81		H	
966	823.02	NUM	74	74		H	
967	823.02	NUM	75	75		H	replace: OCR '76'
968	823.03	NUM	24.	24		H	
969	823.03	CLEAR	Vij	Vij		H	
970	823.03	CLEAR	befale	befale		H	
971	823.03	CLEAR	eder	eder		H	
972	823.03	CLEAR	här	här		H	
973	823.03	CLEAR	medh	medh		H	
974	823.03	CLEAR	i	i		H	
975	823.03	CLEAR	Gudz	Gudz		H	
976	823.03	CLEAR	nådige	nådige		H	
977	823.03	CLEAR	beskerm	beskerm		H	
978	823.03	CLEAR	nådeli-	nådeli-		H	replace: OCR 'nädeli-'
979	823.04	CLEAR	gen.	gen		H	
