line	col	A	B	score_A	score_B	decision	note
p1_L28	21	-	32			M	gap: passes disagree on segmentation, needs image
p1_L29	5	115	118	-3.291	-3.404	M	margin 0.35
p1_L29	18	11	2	-3.260	-3.306	M	margin 0.35
p1_L30	3	=guerre	=Guerre			A	case-only, no content difference
p1_L30	4	=comme	=Comme			A	case-only, no content difference
p1_L30	20	-	88			M	gap: passes disagree on segmentation, needs image
p1_L30	21	-	26			M	gap: passes disagree on segmentation, needs image
p1_L31	4	38	88	-3.434	-2.564	B	settled
p1_L31	8	31	81	-3.498	-3.315	M	margin 0.35
p1_L31	21	-	27			M	gap: passes disagree on segmentation, needs image
p1_L31	23	-	61			M	gap: passes disagree on segmentation, needs image
p1_L31	24	-	61			M	gap: passes disagree on segmentation, needs image
p1_L32	4	51	81	-3.511	-3.570	M	margin 0.35
p1_L32	10	71	81	-3.301	-3.416	M	margin 0.35
p1_L32	15	24	74	-2.409	-3.153	A	settled
p1_L33	12	211	311	-2.980	-2.980	M	margin 0.35
p1_L33	14	=il	-			M	gap: passes disagree on segmentation, needs image
p1_L33	15	=a	=est	-2.973	-2.922	M	margin 0.35
p1_L33	16	=fait	=affaict	-2.883	-2.842	M	margin 0.35
p1_L33	17	=naguere	=naguères	-2.843	-2.832	M	margin 0.35
p1_L33	22	11	111	-3.458	-3.405	M	margin 0.35
p1_L33	24	-	4			M	gap: passes disagree on segmentation, needs image
p2_L01	1	-	93			M	gap: passes disagree on segmentation, needs image
p2_L02	7	=Monsieur	=M	-3.099	-3.296	M	margin 0.35
p2_L02	9	=sinon	=jamais	-2.660	-2.687	M	margin 0.35
p2_L02	10	=que	=qui	-2.669	-2.875	M	margin 0.35
p2_L02	11	=vous	=bien	-2.520	-2.655	M	margin 0.35
p2_L02	12	=plaise	=plaira	-2.381	-2.458	M	margin 0.35
p2_L02	15	=bref	=sixiesme	-2.704	-2.684	M	margin 0.35
p2_L02	16	=s'advis	=advis	-2.723	-2.631	M	margin 0.35
p2_L02	17	=si	=suivi	-2.991	-3.062	M	margin 0.35
p2_L02	18	=est	=ou	-2.916	-2.901	M	margin 0.35
p2_L02	19	=tousiours	=telle	-3.134	-2.993	M	margin 0.35
p2_L03	1	=peu	=plus	-2.742	-2.480	M	margin 0.35
p2_L03	2	=pour	=toujours	-2.482	-2.648	M	margin 0.35
p2_L03	4	=vous	=bonne	-2.438	-2.751	M	margin 0.35
p2_L03	6	=et	=Et			A	case-only, no content difference
p2_L03	9	=vous	=bonne	-2.647	-2.958	M	margin 0.35
p2_L03	10	=publierez	=publier	-2.657	-2.689	M	margin 0.35
p2_L03	11	=quelque	=quelle	-2.792	-2.714	M	margin 0.35
p2_L03	12	=chose	=en	-2.979	-2.959	M	margin 0.35
p2_L03	14	=suis	=serai	-2.920	-2.883	M	margin 0.35
p2_L03	16	=de	=a	-2.846	-3.002	M	margin 0.35
p2_L03	18	=vostre	-			M	gap: passes disagree on segmentation, needs image
p2_L03	19	=bon	-			M	gap: passes disagree on segmentation, needs image
p2_L03	20	=amy	=n'estrangié	-3.162	-3.144	M	margin 0.35
p2_L04	1	=bien	=vous	-2.691	-2.502	M	margin 0.35
p2_L04	2	=delibere	=d'chien	-2.618	-2.863	M	margin 0.35
p2_L04	4	=ne	=me	-2.620	-2.590	M	margin 0.35
p2_L04	6	=plus	=bien	-2.887	-2.921	M	margin 0.35
p2_L04	9	-	=Ge			M	gap: passes disagree on segmentation, needs image
p2_L04	10	=que	=Fr	-2.734	-3.156	A	settled
p2_L04	11	=ne	=me	-2.650	-2.669	M	margin 0.35
p2_L04	12	=face	=fera	-2.868	-2.879	M	margin 0.35
p2_L04	13	=chose	=bien	-3.024	-2.934	M	margin 0.35
p2_L04	16	=pedar	=perdre	-3.031	-2.870	M	margin 0.35
p2_L04	17	=sa	=la	-2.980	-2.901	M	margin 0.35
p2_L04	18	=par	=perte	-2.948	-2.916	M	margin 0.35
p2_L04	19	=que	=qu'il	-2.845	-2.888	M	margin 0.35
p2_L05	3	145	148	-3.153	-3.153	M	margin 0.35
p2_L07	1	12	62	-3.367	-3.147	M	margin 0.35
p2_L07	9	64	84	-3.193	-3.337	M	margin 0.35
p2_L07	12	33	88	-3.354	-3.329	M	margin 0.35
p2_L08	1	73	78	-3.082	-3.082	M	margin 0.35
p2_L08	3	83	88	-3.048	-3.345	M	margin 0.35
p2_L08	13	12	120	-3.206	-3.357	M	margin 0.35
p2_L08	15	33	88	-3.293	-3.260	M	margin 0.35
p2_L08	17	37	87	-3.337	-3.485	M	margin 0.35
p2_L09	3	20	26	-3.365	-3.355	M	margin 0.35
p2_L09	8	33	88	-3.504	-2.855	B	settled
p2_L09	14	30	80	-3.347	-3.377	M	margin 0.35
p2_L09	20	33	88	-3.345	-3.328	M	margin 0.35
p2_L10	5	51	55	-3.059	-3.059	M	margin 0.35
p2_L10	6	=Et	=Est	-2.941	-2.899	M	margin 0.35
p2_L10	8	-	=Et			M	gap: passes disagree on segmentation, needs image
p2_L10	9	=pour	=vous	-2.556	-2.435	M	margin 0.35
p2_L10	11	=fin	=foy	-2.601	-2.775	M	margin 0.35
p2_L10	13	=cestuy	=notre	-2.796	-2.734	M	margin 0.35
p2_L10	17	-	=vray			M	gap: passes disagree on segmentation, needs image
p2_L10	18	=que	=Vous	-2.913	-2.841	M	margin 0.35
p2_L10	19	=Jaurons	=demeurera	-2.862	-2.750	M	margin 0.35
p2_L11	1	=Et	=je	-2.860	-2.902	M	margin 0.35
p2_L11	2	=veul	=vous	-2.622	-2.217	B	settled
p2_L11	3	=bien	=prie	-2.131	-2.201	M	margin 0.35
p2_L11	4	=que	=de	-2.242	-2.273	M	margin 0.35
p2_L11	6	=supplerez	=supplierai	-2.685	-2.671	M	margin 0.35
p2_L11	8	=en	=Dieu	-2.929	-2.971	M	margin 0.35
p2_L11	10	=gage	=grace	-3.095	-2.939	M	margin 0.35
p2_L11	13	-	=ce			M	gap: passes disagree on segmentation, needs image
p2_L11	14	-	=luy			M	gap: passes disagree on segmentation, needs image
p2_L11	15	=dieu	=donne	-3.315	-2.984	M	margin 0.35
p2_L12	1	=avoir	=amy	-2.739	-3.005	M	margin 0.35
p2_L12	2	=en	=et	-2.719	-2.736	M	margin 0.35
p2_L12	3	=fin	=fils	-2.800	-2.984	M	margin 0.35
p2_L12	4	=mon	=Monsieur	-3.107	-2.961	M	margin 0.35
p2_L12	5	=du	=de	-3.108	-2.903	M	margin 0.35
p2_L12	6	=maupertuis	=Marnfoisin	-3.082	-3.103	M	margin 0.35
p2_L12	8	=regarder	=regarde	-3.017	-2.986	M	margin 0.35
p2_L12	10	=tout	=tous	-2.956	-2.998	M	margin 0.35
p2_L12	13	=luy	-			M	gap: passes disagree on segmentation, needs image
p2_L12	14	=pouons	=suy	-2.908	-3.070	M	margin 0.35
p2_L12	15	=a	=pourrais	-2.933	-2.729	M	margin 0.35
p2_L12	16	=partenir	=appartenir	-2.945	-3.053	M	margin 0.35
p2_L12	17	=luy	=bd	-2.962	-2.828	M	margin 0.35
p2_L13	1	=Je	-			M	gap: passes disagree on segmentation, needs image
p2_L13	2	=luy	=de	-2.968	-2.615	B	settled
p2_L13	4	-	=donne			M	gap: passes disagree on segmentation, needs image
p2_L13	5	-	=suis			M	gap: passes disagree on segmentation, needs image
p2_L13	6	-	=a			M	gap: passes disagree on segmentation, needs image
p2_L13	7	=sur	=Je	-2.740	-2.804	M	margin 0.35
p2_L13	8	=sa	=Fr	-2.502	-2.540	M	margin 0.35
p2_L13	9	=demande	=Avignon	-2.692	-3.019	M	margin 0.35
p2_L13	14	=femme	-			M	gap: passes disagree on segmentation, needs image
p2_L13	15	=bien	-			M	gap: passes disagree on segmentation, needs image
p2_L13	16	=faire	=pauvre	-2.694	-3.000	M	margin 0.35
p2_L13	17	=chose	=bourse	-2.522	-2.661	M	margin 0.35
p2_L13	18	=d'huy	=garde	-2.633	-2.466	M	margin 0.35
p2_L13	19	=nouvelle	=d'aujourd'hui	-2.750	-3.161	A	settled
p2_L14	4	=quils	=qu'il	-3.100	-2.992	M	margin 0.35
p2_L14	6	=laisses	=laissez	-3.198	-3.204	M	margin 0.35
p2_L14	11	-	=B			M	gap: passes disagree on segmentation, needs image
p2_L14	12	=S'il	=le	-3.003	-3.036	M	margin 0.35
p2_L14	13	=lui	=tenteray	-3.049	-2.924	M	margin 0.35
p2_L14	14	=plaisoit	=le	-3.052	-3.225	M	margin 0.35
p2_L14	15	=luy	=m	-3.043	-2.988	M	margin 0.35
p2_L15	1	=faire	=je	-2.485	-2.764	M	margin 0.35
p2_L15	2	=tenir	=fere	-2.582	-2.829	M	margin 0.35
p2_L15	4	-	=ce			M	gap: passes disagree on segmentation, needs image
p2_L15	5	=j'iray	=jour	-3.221	-3.144	M	margin 0.35
p2_L15	6	=J'ay	=Jay	-3.273	-3.270	M	margin 0.35
p2_L15	7	=moyen	=mercy	-3.167	-3.240	M	margin 0.35
p2_L15	9	=luy	=suy	-3.147	-3.163	M	margin 0.35
p2_L15	10	=envoyer	=amie	-3.287	-3.287	M	margin 0.35
p2_L15	12	-	=ce			M	gap: passes disagree on segmentation, needs image
p2_L15	13	=Coday	=jour	-3.018	-2.850	M	margin 0.35
p2_L15	16	=tout	=dour	-2.985	-3.200	M	margin 0.35
p2_L15	17	=Ludewich	=Ludovic	-3.054	-3.038	M	margin 0.35
p2_L16	1	-	=ne			M	gap: passes disagree on segmentation, needs image
p2_L16	2	=que	=m'asseurez	-2.961	-3.236	M	margin 0.35
p2_L16	3	=m'assurant	=mais	-2.990	-2.717	M	margin 0.35
p2_L16	4	=eu	=vous	-3.115	-2.867	M	margin 0.35
p2_L16	5	=veu	=aussi	-3.137	-3.051	M	margin 0.35
p2_L16	6	=aussy	=assez	-3.077	-3.079	M	margin 0.35
p2_L16	7	=ay	=y	-3.031	-3.017	M	margin 0.35
p2_L16	8	=recommande	=recommend	-2.959	-3.037	M	margin 0.35
p2_L16	9	=avy	=avoy	-2.887	-2.831	M	margin 0.35
p2_L16	13	=pourrait	=pourroit	-2.894	-2.965	M	margin 0.35
p2_L16	14	=apparoistre	=appartenir	-2.876	-2.812	M	margin 0.35
p2_L17	2	=ceux	=ma	-3.302	-3.267	M	margin 0.35
p2_L17	3	=qui	=Je	-3.157	-2.998	M	margin 0.35
p2_L17	4	=veulent	=veux	-2.903	-2.883	M	margin 0.35
p2_L17	6	=faire	=fault	-2.755	-3.044	M	margin 0.35
p2_L17	7	=sonner	=donné	-2.654	-2.645	M	margin 0.35
p2_L17	10	=recommanderay	-			M	gap: passes disagree on segmentation, needs image
p2_L17	11	=sur	-			M	gap: passes disagree on segmentation, needs image
p2_L17	12	=tout	=recommenderay	-2.453	-2.560	M	margin 0.35
p2_L17	13	=bien	=tres	-2.392	-2.530	M	margin 0.35
p2_L17	16	=vos	=bonne	-2.812	-2.820	M	margin 0.35
p2_L17	17	=bonnes	=bonne	-3.201	-3.177	M	margin 0.35
p2_L18	1	=graces	=gratieuse	-2.782	-2.866	M	margin 0.35
p2_L18	3	=dieu	=Dieu			A	case-only, no content difference
p2_L18	5	=gard	=gay	-2.634	-2.648	M	margin 0.35
p2_L18	7	=donne	=doint	-2.451	-2.684	M	margin 0.35
p2_L19	2	-	=soit			M	gap: passes disagree on segmentation, needs image
p2_L19	5	=sante	=santé	-2.746	-2.819	M	margin 0.35
p2_L19	7	=humblement	-			M	gap: passes disagree on segmentation, needs image
p2_L19	8	=etc	=Bruxelles	-2.630	-2.689	M	margin 0.35
p2_L20	2	=six[ie]me	=sixiesme	-3.026	-3.009	M	margin 0.35
p2_L20	7	=Vostre	=Vre	-3.012	-3.293	M	margin 0.35
p2_L20	10	-	=Ey			M	gap: passes disagree on segmentation, needs image
p2_L20	11	-	=m			M	gap: passes disagree on segmentation, needs image
p2_L20	12	=Louys	=Camp	-3.123	-2.919	M	margin 0.35
p2_L20	13	=de	=a	-3.043	-3.229	M	margin 0.35
p2_L20	14	=Nassau	=Mars	-3.039	-2.816	M	margin 0.35
