line	col	A	B	score_A	score_B	decision	note
p2_L31	15	=ce	27	-3.016	-2.929	M	margin 0.35
p2_L32	1	142	-			M	gap: passes disagree on segmentation, needs image
p2_L32	2	123	-			M	gap: passes disagree on segmentation, needs image
p2_L32	3	84	-			M	gap: passes disagree on segmentation, needs image
p2_L32	4	34	-			M	gap: passes disagree on segmentation, needs image
p2_L32	5	77	-			M	gap: passes disagree on segmentation, needs image
p2_L32	6	86	-			M	gap: passes disagree on segmentation, needs image
p2_L32	7	27	-			M	gap: passes disagree on segmentation, needs image
p2_L32	8	31	-			M	gap: passes disagree on segmentation, needs image
p2_L32	9	111	21	-3.607	-3.678	M	margin 0.35
p2_L32	10	24	30	-3.596	-3.315	M	margin 0.35
p2_L32	11	74	101	-3.519	-3.534	M	margin 0.35
p2_L32	12	26	5	-3.373	-3.366	M	margin 0.35
p2_L32	13	6	82	-3.555	-3.496	M	margin 0.35
p2_L32	14	111	81	-3.544	-3.437	M	margin 0.35
p2_L32	15	36	29	-3.581	-3.388	M	margin 0.35
p2_L32	16	82	148	-3.408	-3.339	M	margin 0.35
p2_L32	17	27	137	-3.439	-3.344	M	margin 0.35
p2_L33	1	88	-			M	gap: passes disagree on segmentation, needs image
p2_L33	2	71	-			M	gap: passes disagree on segmentation, needs image
p2_L33	3	21	-			M	gap: passes disagree on segmentation, needs image
p2_L33	4	29	-			M	gap: passes disagree on segmentation, needs image
p2_L33	5	148	-			M	gap: passes disagree on segmentation, needs image
p2_L33	6	187	-			M	gap: passes disagree on segmentation, needs image
p2_L33	9	=que	=quil	-2.558	-2.760	M	margin 0.35
p2_L33	11	=trouvez	=trouverez	-2.361	-2.531	M	margin 0.35
p2_L36	1	-	=bien			OVERRIDE	image: crop images/04611_p2_L36.jpg is the archive footer/URL stamp (A 11/XIV D/13a, resources.huygens.knaw.nl/.../brief/4611), not manuscript text; A correctly saw nothing, B's 19 numerals + word are fabricated (R20, 24 Sept 2026)
p2_L36	2	-	78			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	3	-	81			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	4	-	28			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	5	-	100			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	6	-	9			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	7	-	118			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	8	-	120			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	9	-	82			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	10	-	29			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	11	-	138			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	12	-	127			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	13	-	12			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	14	-	51			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	15	-	21			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	16	-	77			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	17	-	84			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	18	-	111			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	19	-	54			OVERRIDE	image: archive footer stamp, not manuscript text (R20)
p2_L36	20	[blank]	124			OVERRIDE	image: archive footer stamp, not manuscript text; both passes already agreed here (R20)
p3_L01	2	=pourrons	=pouvons	-2.838	-2.991	M	margin 0.35
p3_L01	3	75	78	-2.892	-2.833	M	margin 0.35
p3_L01	19	70	40	-3.496	-3.492	M	margin 0.35
p3_L02	2	=meltray	=mettray	-3.243	-3.226	M	margin 0.35
p3_L02	3	=point	=peine	-3.251	-3.100	M	margin 0.35
p3_L02	4	=diy	=dy	-3.328	-3.319	M	margin 0.35
p3_L02	9	36	38	-3.336	-3.336	M	margin 0.35
p3_L02	17	84	34	-3.555	-3.511	M	margin 0.35
p3_L03	2	=les	=la	-3.147	-3.068	M	margin 0.35
p3_L03	4	=sinuoye	=envoyer	-3.290	-3.240	M	margin 0.35
p3_L03	6	=mo	=ne	-3.313	-3.238	M	margin 0.35
p3_L03	8	-	=scay			M	gap: passes disagree on segmentation, needs image
p3_L03	9	=seray	=si	-3.108	-3.086	M	margin 0.35
p3_L03	10	=offrir	=serai	-3.109	-3.099	M	margin 0.35
p3_L03	11	=plus	=trop	-3.150	-3.266	M	margin 0.35
p3_L03	12	=congnu	=long	-3.070	-2.876	M	margin 0.35
p3_L03	13	=ne	=mais	-3.012	-2.958	M	margin 0.35
p3_L03	14	=resistans	=respondrai	-3.070	-3.121	M	margin 0.35
p3_L04	1	=fut	-			M	gap: passes disagree on segmentation, needs image
p3_L04	2	=scauoir	=fu	-2.887	-2.964	M	margin 0.35
p3_L04	3	=vostre	=scavoir	-2.829	-2.890	M	margin 0.35
p3_L04	4	=affaire	=tousiours	-2.626	-2.757	M	margin 0.35
p3_L04	7	115	15	-2.695	-2.640	M	margin 0.35
p3_L04	10	81	85	-3.203	-3.203	M	margin 0.35
p3_L04	14	225	125	-3.344	-3.344	M	margin 0.35
p3_L05	1	=de	-			M	gap: passes disagree on segmentation, needs image
p3_L05	3	=vous	=mettray	-2.636	-3.087	A	settled
p3_L05	4	=prieray	=poine	-2.478	-2.391	M	margin 0.35
p3_L05	7	=tost	=tot	-2.862	-3.010	M	margin 0.35
p3_L05	8	=pourvoyez	=promptement	-2.851	-2.779	M	margin 0.35
p3_L05	9	=De	=de			B	case-only, no content difference
p3_L05	11	=supplieray	-			M	gap: passes disagree on segmentation, needs image
p3_L05	12	=fructueuse	-			M	gap: passes disagree on segmentation, needs image
p3_L05	13	=plu	=supplerai	-2.858	-2.906	M	margin 0.35
p3_L05	14	=ce	=fraischement	-2.846	-2.893	M	margin 0.35
p3_L05	15	=fait	=pour	-2.386	-2.303	M	margin 0.35
p3_L05	16	=de	=ceste	-2.233	-2.641	A	settled
p3_L05	17	=nous	=foys	-2.350	-2.883	A	settled
p3_L06	1	=porter	=porteur	-2.618	-2.688	M	margin 0.35
p3_L06	3	=recommandez	=recommandé	-2.738	-2.786	M	margin 0.35
p3_L06	5	=fut	-			M	gap: passes disagree on segmentation, needs image
p3_L06	6	=sil	-			M	gap: passes disagree on segmentation, needs image
p3_L06	8	=plaisir	-			M	gap: passes disagree on segmentation, needs image
p3_L06	9	=quis	=supplira	-2.936	-2.857	M	margin 0.35
p3_L06	10	=considerans	=vray	-2.863	-2.862	M	margin 0.35
p3_L06	11	=du	=pouoir	-2.885	-2.852	M	margin 0.35
p3_L06	12	=bien	=de	-2.892	-2.881	M	margin 0.35
p3_L06	13	=et	=sa	-2.692	-2.644	M	margin 0.35
p3_L06	14	=fidelle	=fidele	-2.687	-2.757	M	margin 0.35
p3_L07	2	60	=bon	-2.575	-2.623	M	margin 0.35
p3_L07	5	=desir	=désir	-2.841	-2.936	M	margin 0.35
p3_L07	6	=couvrir	=continue	-3.042	-3.039	M	margin 0.35
p3_L07	7	=toutessabiez	=toursabin	-3.148	-3.187	M	margin 0.35
p3_L07	11	=pris	=prise	-3.058	-3.135	M	margin 0.35
p3_L07	12	=subvenir	=subiectz	-3.061	-3.143	M	margin 0.35
p3_L08	1	-	=Et			M	gap: passes disagree on segmentation, needs image
p3_L08	2	=De	=sur	-2.885	-2.996	M	margin 0.35
p3_L08	3	=suivre	=ce	-2.797	-2.579	M	margin 0.35
p3_L08	4	=mes	=recommendera	-2.846	-2.832	M	margin 0.35
p3_L08	5	=recommandez	=Trebom	-2.770	-2.887	M	margin 0.35
p3_L08	6	=tresbumblement	=chimieux	-2.735	-3.022	M	margin 0.35
p3_L08	9	-	=bon			M	gap: passes disagree on segmentation, needs image
p3_L08	10	=bonnes	=mis	-2.937	-2.886	M	margin 0.35
p3_L08	11	=graces	=grand	-2.833	-2.786	M	margin 0.35
p3_L08	12	=suppliant	=supplian	-2.722	-2.813	M	margin 0.35
p3_L08	14	=createur	=Créateur	-2.636	-2.754	M	margin 0.35
p3_L09	3	=donne	=doint	-3.040	-3.331	M	margin 0.35
p3_L11	2	=en	-			M	gap: passes disagree on segmentation, needs image
p3_L11	3	=peu	=mon	-2.653	-2.639	M	margin 0.35
p3_L11	4	=de	=plus	-2.856	-2.958	M	margin 0.35
p3_L11	5	=faintz	=faicte	-2.713	-2.510	M	margin 0.35
p3_L11	6	=sante	=saluer	-2.798	-2.975	M	margin 0.35
p3_L11	8	=humblez	-			M	gap: passes disagree on segmentation, needs image
p3_L11	9	=et	=Ghuallier	-2.802	-3.060	M	margin 0.35
p3_L11	10	=longue	=congnou	-2.910	-3.050	M	margin 0.35
p3_L11	11	=vie	=sire	-2.984	-2.848	M	margin 0.35
p3_L12	1		=n	-2.713	-2.781	M	margin 0.35
p3_L12	2	=Jour	=jour			B	case-only, no content difference
