sid	page	line	pos	sign	family	confidence	source
c2a_08_011	c2a	8	11	PICT-CROSSED	PICT-CROSSED	L	eye-split:MISC-29
c2a_08_012	c2a	8	12	MULTI	MULTI	L	eye-split:MISC-76
c2a_08_013	c2a	8	13	QQ-O	QQ-O	L	eye-split:MISC-41
c2a_08_014	c2a	8	14	X	X	M	eye-resplit:TRIPOD
c2a_08_015	c2a	8	15	GEAR-DOT	GEAR-DOT	M	eye-resplit:GEAR-DOT
c2a_08_016	c2a	8	16	XX-TILDE	XX-TILDE	L	eye-split:MISC-29
c2a_08_017	c2a	8	17	XX-TILDE	XX-TILDE	M	eye-resplit:WAVE
c2a_08_018	c2a	8	18	II-O	II-O	M	eye-split:MISC-43
c2a_08_019	c2a	8	19	O-DOTS	O-DOTS	L	eye-split:MISC-29
c2a_08_020	c2a	8	20	A-LOOP	A-LOOP	M	eye-split:MISC-71
c2a_08_021	c2a	8	21	OX-TILDE	OX-TILDE	L	eye-split:MISC-29
c2a_08_022	c2a	8	22	ARCH-DASH	ARCH-DASH	M	eye-split:MISC-67
c2a_08_023	c2a	8	23	MULTI	MULTI	L	eye-split:MISC-29
c2a_08_024	c2a	8	24	MULTI	MULTI	L	eye-split:MISC-29
c2a_08_025	c2a	8	25	XX-TILDE	XX-TILDE	M	eye-split:MISC-31
c2a_08_026	c2a	8	26	_	_	L	eye-resplit:BAR-SERIF
c2a_09_001	c2a	9	1	GEAR-DOT	GEAR-DOT	M	eye-resplit:GEAR-DOT
c2a_09_002	c2a	9	2	AMP	AMP	H	cluster-map:69
c2a_09_003	c2a	9	3	DOUBLE-LOOP	DOUBLE-LOOP	L	eye-split:MISC-64
c2a_09_004	c2a	9	4	LAMBDA	LAMBDA	H	eye-split:MISC-05
c2a_09_005	c2a	9	5	X	X	M	cluster-map:52
c2a_09_006	c2a	9	6	II-DASH	II-DASH	M	eye-split:MISC-05
c2a_09_007	c2a	9	7	H-LETTER	H-LETTER	M	eye-split:MISC-76
c2a_09_008	c2a	9	8	BAR-SOLID	BLOB	M	cluster-map:10
c2a_09_009	c2a	9	9	D-LETTER	D-LETTER	M	eye-split:MISC-43
c2a_09_010	c2a	9	10	D-LETTER	D-LETTER	M	eye-split:MISC-67
c2a_09_011	c2a	9	11	L-LETTER	L-LETTER	M	eye-split:MISC-07
c2a_09_012	c2a	9	12	M-LETTER	M-LETTER	M	eye-split:MISC-67
c2a_09_013	c2a	9	13	BAR-SOLID	BLOB	M	cluster-map:10
c2a_09_014	c2a	9	14	F-LETTER	F-LETTER	M	eye-split:MISC-21
c2a_09_015	c2a	9	15	BLOB	BLOB	M	eye-split:MISC-55
c2a_09_016	c2a	9	16	BAR-SOLID	BLOB	M	cluster-map:10
c2a_09_017	c2a	9	17	BAR-SOLID	BLOB	M	cluster-map:45
c2a_09_018	c2a	9	18	MULTI	MULTI	L	eye-split:MISC-29
c2a_09_019	c2a	9	19	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c2a_09_020	c2a	9	20	CROSS-T	CROSS-T	M	cluster-map:68
c2a_09_021	c2a	9	21	PHI	PHI	H	eye-resplit:PHI
c2a_09_022	c2a	9	22	B-SCRIPT	B-SCRIPT	L	eye-split:MISC-46
c2a_09_023	c2a	9	23	II-DASH	II-DASH	M	eye-split:MISC-40
c2a_09_024	c2a	9	24	MULTI	MULTI	L	eye-split:MISC-40
c2a_09_025	c2a	9	25	DBL-SLASH	DBL-SLASH	L	eye-resplit:CIRC-TAIL
c2a_09_026	c2a	9	26	BLOB	BLOB	M	eye-split:MISC-32
c2a_09_027	c2a	9	27	MULTI	MULTI	L	eye-split:MISC-37
c2a_09_028	c2a	9	28	C-DOT	C-DOT	M	eye-resplit:CRESCENT
c2a_09_029	c2a	9	29	BAR-SOLID	BLOB	M	cluster-map:10
c2a_09_030	c2a	9	30	O-TILDE	O-TILDE	M	eye-split:MISC-74
c2a_09_031	c2a	9	31	X	X	M	eye-split:MISC-75
c2a_09_032	c2a	9	32	PHI	PHI	H	eye-split:MISC-54
c2a_09_033	c2a	9	33	ARC-LOOPS	ARC-LOOPS	M	eye-split:MISC-54
c2a_09_034	c2a	9	34	Y-CURL	Y-CURL	H	cluster-map:19
c2a_09_035	c2a	9	35	BLOB	BLOB	M	eye-split:MISC-32
c2a_09_036	c2a	9	36	CIRC-O	CIRC-O	L	eye-resplit:EYE-DOT
c2a_09_037	c2a	9	37	PCT-SLASH	PCT	M	eye-split:MISC-17
c2a_09_038	c2a	9	38	CC-DASH	CC-DASH	L	eye-resplit:CIRC-TAIL
c2a_09_039	c2a	9	39	OX	OX	H	eye-split:MISC-20
c2a_09_040	c2a	9	40	PCT	PCT	H	cluster-map:66
c2a_09_041	c2a	9	41	DASH-V	DASH-V	M	cluster-map:15
c2a_10_001	c2a	10	1	FIVE	FIVE	L	eye-resplit:TRIPOD
c2a_10_002	c2a	10	2	VENUS	VENUS	H	cluster-map:49
c2a_10_003	c2a	10	3	_	_	L	eye-resplit:CIRC-TAIL
c2a_10_004	c2a	10	4	II-DASH	II-DASH	H	eye-split:MISC-13
c2a_10_005	c2a	10	5	PCT-SLASH	PCT	L	eye-split:MISC-17
c2a_10_006	c2a	10	6	F-LETTER	F-LETTER	L	eye-split:MISC-11
c2a_10_007	c2a	10	7	QQ-O	QQ-O	M	eye-split:MISC-07
c2a_10_008	c2a	10	8	X	X	H	eye-split:MISC-05
c2a_10_009	c2a	10	9	SUN	SUN	H	eye-split:SUN
c2a_10_010	c2a	10	10	LOOP-TAIL	LOOP-TAIL	M	eye-split:MISC-20
c2a_10_011	c2a	10	11	PCT	PCT	M	eye-split:MISC-05
c2a_10_012	c2a	10	12	NOTE	NOTE	H	cluster-map:63
c2a_10_013	c2a	10	13	CC-DASH	CC-DASH	H	eye-split:MISC-05
c2a_10_014	c2a	10	14	X-O	X-O	M	eye-split:SUN
c2a_10_015	c2a	10	15	MULTI	MULTI	L	eye-resplit:DELTA-TAIL
c2a_10_016	c2a	10	16	PICT-FISH	PICT-FISH	L	eye-split:MISC-64
c2a_10_017	c2a	10	17	PCT-SLASH	PCT	H	eye-split:MISC-87
c2a_10_018	c2a	10	18	O-SLASH	O-SLASH	M	eye-resplit:LOOP-TAIL
c2a_10_019	c2a	10	19	DOTS-TILDE	DOTS-TILDE	M	eye-split:MISC-31
c2a_10_020	c2a	10	20	PICT-BARREL	PICT-BARREL	M	eye-split:MISC-41
c2a_10_021	c2a	10	21	DBL-SLASH	DBL-SLASH	M	eye-split:MISC-24
c2a_10_022	c2a	10	22	SIX-CURL	SIX-CURL	L	eye-resplit:CRESCENT
c2a_10_023	c2a	10	23	X	X	M	cluster-map:28
c2a_10_024	c2a	10	24	X	X	M	cluster-map:62
c2a_10_025	c2a	10	25	Y-CURL	Y-CURL	H	cluster-map:19
c2a_10_026	c2a	10	26	SCROLL-X	SCROLL-X	M	eye-split:MISC-41
c2a_10_027	c2a	10	27	Y-CURL	Y-CURL	M	cluster-map:88
c2a_10_028	c2a	10	28	DOTS-TILDE	DOTS-TILDE	M	eye-resplit:WAVE
c2a_10_029	c2a	10	29	PCT	PCT	H	cluster-map:66
c2a_10_030	c2a	10	30	X	X	H	cluster-map:47
c2a_10_031	c2a	10	31	X	X	H	cluster-map:84
c2a_10_032	c2a	10	32	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_10_033	c2a	10	33	BAR-THIN	BAR-THIN	M	cluster-map:51
c2a_11_001	c2a	11	1	GEAR-DOT	GEAR-DOT	M	eye-split:MISC-76
c2a_11_002	c2a	11	2	VENUS	VENUS	H	cluster-map:49
c2a_11_003	c2a	11	3	_	_	L	eye-resplit:EYE-DOT
c2a_11_004	c2a	11	4	X	X	M	cluster-map:62
c2a_11_005	c2a	11	5	EIGHT	EIGHT	L	eye-split:MISC-05
c2a_11_006	c2a	11	6	CC-O	CC-O	L	eye-split:MISC-41
c2a_11_007	c2a	11	7	CROSS-T	CROSS-T	M	cluster-map:68
c2a_11_008	c2a	11	8	CC-DASH	CC-DASH	H	eye-split:MISC-05
c2a_11_009	c2a	11	9	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c2a_11_010	c2a	11	10	MULTI	MULTI	L	eye-split:MISC-24
c2a_11_011	c2a	11	11	S-CURL	S-CURL	L	eye-split:MISC-06
c2a_11_012	c2a	11	12	SQUIG-DOT	SQUIG-DOT	L	eye-split:MISC-03
c2a_11_013	c2a	11	13	X	X	H	cluster-map:47
c2a_11_014	c2a	11	14	WAVE	WAVE	H	eye-resplit:WAVE
c2a_11_015	c2a	11	15	PCT	PCT	M	cluster-map:57
c2a_11_016	c2a	11	16	PCT	PCT	M	cluster-map:57
c2a_11_017	c2a	11	17	AMP	AMP	H	cluster-map:69
c2a_11_018	c2a	11	18	Y-CURL	Y-CURL	M	cluster-map:88
c2a_11_019	c2a	11	19	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c2a_11_020	c2a	11	20	STAR	STAR	H	eye-split:MISC-11
c2a_11_021	c2a	11	21	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c2a_11_022	c2a	11	22	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_11_023	c2a	11	23	CC-O	CC-O	L	eye-resplit:WAVE
c2a_11_024	c2a	11	24	X	X	M	cluster-map:14
c2a_11_025	c2a	11	25	WAVE-V	WAVE-V	L	eye-split:MISC-24
c2a_11_026	c2a	11	26	C-DOT	C-DOT	M	eye-split:MISC-54
c2a_11_027	c2a	11	27	Y-CURL	Y-CURL	M	cluster-map:88
c2a_11_028	c2a	11	28	X	X	M	cluster-map:53
c2a_11_029	c2a	11	29	CC-O	CC-O	M	eye-split:MISC-37
c2a_11_030	c2a	11	30	X	X	H	cluster-map:25
c2a_11_031	c2a	11	31	O-BAR-O	O-BAR-O	H	eye-split:MISC-36
c2a_11_032	c2a	11	32	DASH-V	DASH-V	M	cluster-map:15
c2a_12_001	c2a	12	1	X	X	M	cluster-map:52
c2a_12_002	c2a	12	2	VENUS	VENUS	H	cluster-map:49
c2a_12_003	c2a	12	3	PCT	PCT	M	cluster-map:57
c2a_12_004	c2a	12	4	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c2a_12_005	c2a	12	5	X	X	M	cluster-map:22
c2a_12_006	c2a	12	6	S-CURL	S-CURL	L	eye-split:MISC-41
c2a_12_007	c2a	12	7	BAR-SOLID	BLOB	M	cluster-map:10
c2a_12_008	c2a	12	8	PCT-SLASH	PCT	H	eye-split:MISC-17
c2a_12_009	c2a	12	9	BAR-SOLID	BLOB	M	cluster-map:45
c2a_12_010	c2a	12	10	X	X	M	cluster-map:52
c2a_12_011	c2a	12	11	MULTI	MULTI	L	eye-split:MISC-29
c2a_12_012	c2a	12	12	X	X	M	cluster-map:14
c2a_12_013	c2a	12	13	X-DASH	X-DASH	M	eye-split:MISC-05
c2a_12_014	c2a	12	14	AMP	AMP	H	cluster-map:69
c2a_12_015	c2a	12	15	AMP	AMP	H	cluster-map:69
c2a_12_016	c2a	12	16	C-BAR-X	C-BAR-X	M	eye-split:MISC-36
c2a_12_017	c2a	12	17	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c2a_12_018	c2a	12	18	PICT-LEAF	PICT-LEAF	H	eye-split:MISC-60
c2a_12_019	c2a	12	19	EIGHT	EIGHT	H	eye-split:MISC-13
c2a_12_020	c2a	12	20	C-DOT	C-DOT	M	eye-split:MISC-21
c2a_12_021	c2a	12	21	STAR	STAR	H	eye-split:MISC-67
c2a_12_022	c2a	12	22	MULTI	MULTI	L	eye-resplit:DELTA-TAIL
c2a_12_023	c2a	12	23	NOTE	NOTE	H	cluster-map:63
c2a_12_024	c2a	12	24	QUESTION	QUESTION	M	eye-split:MISC-50
c2a_12_025	c2a	12	25	QUESTION	QUESTION	M	eye-split:MISC-50
c2a_12_026	c2a	12	26	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_12_027	c2a	12	27	X	X	M	cluster-map:28
c2a_12_028	c2a	12	28	X	X	M	cluster-map:14
c2a_12_029	c2a	12	29	C-DOT	C-DOT	M	eye-split:MISC-82
c2a_12_030	c2a	12	30	PCT	PCT	M	cluster-map:57
c2a_12_031	c2a	12	31	BAR-SOLID	BLOB	M	cluster-map:45
c2a_12_032	c2a	12	32	CROSS-T	CROSS-T	M	cluster-map:68
c2a_12_033	c2a	12	33	PHI	PHI	H	eye-resplit:PHI
c2a_12_034	c2a	12	34	X-SLASH	X-SLASH	M	eye-split:MISC-46
c2a_12_035	c2a	12	35	PICT-JUG	PICT-JUG	M	eye-split:MISC-64
c2a_12_036	c2a	12	36	DASH-V	DASH-V	M	cluster-map:15
c2a_13_001	c2a	13	1	BLOB	BLOB	M	eye-split:MISC-55
c2a_13_002	c2a	13	2	ARCH-DASH	ARCH-DASH	M	eye-split:MISC-05
c2a_13_003	c2a	13	3	VENUS	VENUS	H	cluster-map:49
c2a_13_004	c2a	13	4	BAR-SOLID	BLOB	M	cluster-map:10
c2a_13_005	c2a	13	5	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_13_006	c2a	13	6	BLOB	BLOB	M	eye-split:MISC-55
c2a_13_007	c2a	13	7	ARC-LOOPS	ARC-LOOPS	H	eye-split:MISC-71
c2a_13_008	c2a	13	8	WAVE	WAVE	H	eye-resplit:WAVE
c2a_13_009	c2a	13	9	PCT	PCT	H	cluster-map:66
c2a_13_010	c2a	13	10	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_13_011	c2a	13	11	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_13_012	c2a	13	12	X	X	H	cluster-map:47
c2a_13_013	c2a	13	13	V-DOT	V-DOT	M	cluster-map:85
c2a_13_014	c2a	13	14	X-CURL	X-CURL	M	eye-split:MISC-37
c2a_13_015	c2a	13	15	STAR	STAR	H	eye-split:MISC-67
c2a_13_016	c2a	13	16	PCT	PCT	H	cluster-map:66
c2a_13_017	c2a	13	17	PICT-TREE	PICT-TREE	H	eye-split:MISC-83
c2a_13_018	c2a	13	18	Y-CURL	Y-CURL	H	cluster-map:19
c2a_13_019	c2a	13	19	PHI	PHI	H	eye-resplit:PHI
c2a_13_020	c2a	13	20	LOOP-STEM	LOOP-STEM	L	eye-resplit:RHO
c2a_13_021	c2a	13	21	CIRC-O	CIRC-O	L	eye-resplit:EYE-DOT
c2a_13_022	c2a	13	22	PICT-HOUSE	PICT-HOUSE	H	eye-split:SUN
c2a_13_023	c2a	13	23	DOTS-TILDE	DOTS-TILDE	M	eye-split:MISC-31
c2a_13_024	c2a	13	24	BAR-SOLID	BLOB	M	cluster-map:8
c2a_13_025	c2a	13	25	BAR-SOLID	BLOB	M	cluster-map:8
c2a_13_026	c2a	13	26	X	X	H	cluster-map:84
c2a_13_027	c2a	13	27	_	_	L	eye-split:MISC-82
c2a_13_028	c2a	13	28	BLOB	BLOB	M	eye-resplit:BAR-SERIF
c2a_13_029	c2a	13	29	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c2a_13_030	c2a	13	30	X	X	H	cluster-map:56
c2a_13_031	c2a	13	31	BAR-SOLID	BLOB	M	cluster-map:10
c2a_13_032	c2a	13	32	X	X	M	cluster-map:62
c2a_13_033	c2a	13	33	LOOP-STEM	LOOP-STEM	M	eye-split:MISC-21
c2a_13_034	c2a	13	34	O-BAR-CC	O-BAR-CC	M	eye-split:MISC-36
c2a_13_035	c2a	13	35	X	X	H	cluster-map:84
c2a_13_036	c2a	13	36	CROSS-T	CROSS-T	M	cluster-map:68
c2a_13_037	c2a	13	37	O-TILDE	O-TILDE	M	eye-split:MISC-13
c2a_13_038	c2a	13	38	BUCKET	BUCKET	M	eye-split:MISC-43
c2a_13_039	c2a	13	39	BAR-THIN	BAR-THIN	L	eye-split:MISC-35
c2a_14_001	c2a	14	1	PCT	PCT	H	cluster-map:66
c2a_14_002	c2a	14	2	O-SLASH	O-SLASH	M	eye-resplit:LOOP-TAIL
c2a_14_003	c2a	14	3	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c2a_14_004	c2a	14	4	QQ-O	QQ-O	L	eye-split:MISC-67
c2a_14_005	c2a	14	5	EIGHT	EIGHT	L	eye-split:MISC-11
c2a_14_006	c2a	14	6	VENUS	VENUS	H	cluster-map:49
c2a_14_007	c2a	14	7	X	X	H	cluster-map:25
c2a_14_008	c2a	14	8	X-CURL	X-CURL	M	eye-split:MISC-36
c2a_14_009	c2a	14	9	X	X	H	cluster-map:25
c2a_14_010	c2a	14	10	MULTI	MULTI	L	eye-split:MISC-30
c2a_14_011	c2a	14	11	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c2a_14_012	c2a	14	12	X-CURL	X-CURL	M	eye-split:MISC-76
c2a_14_013	c2a	14	13	PHI	PHI	H	eye-resplit:PHI
c2a_14_014	c2a	14	14	WAVE	WAVE	H	eye-resplit:WAVE
c2a_14_015	c2a	14	15	X	X	M	cluster-map:14
c2a_14_016	c2a	14	16	X	X	M	cluster-map:52
c2a_14_017	c2a	14	17	SLASH	SLASH	M	eye-split:MISC-87
c2a_14_018	c2a	14	18	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_14_019	c2a	14	19	CC-DASH	CC-DASH	H	eye-split:MISC-06
c2a_14_020	c2a	14	20	PCT	PCT	H	cluster-map:66
c2a_14_021	c2a	14	21	X	X	M	eye-split:MISC-80
c2a_14_022	c2a	14	22	X	X	M	cluster-map:62
c2a_14_023	c2a	14	23	O-BAR-CC	O-BAR-CC	M	eye-split:MISC-67
c2a_14_024	c2a	14	24	Y-CURL	Y-CURL	M	cluster-map:88
c2a_14_025	c2a	14	25	X	X	M	cluster-map:53
c2a_14_026	c2a	14	26	X	X	H	cluster-map:4
c2a_14_027	c2a	14	27	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_14_028	c2a	14	28	PCT-SLASH	PCT	H	eye-split:MISC-13
c2a_14_029	c2a	14	29	PHI	PHI	H	eye-resplit:PHI
c2a_14_030	c2a	14	30	_	_	L	eye-split:MISC-43
c2a_14_031	c2a	14	31	BAR-THIN	BAR-THIN	L	eye-resplit:BAR-SERIF
c2a_15_001	c2a	15	1	PICT-ANCHOR	PICT-ANCHOR	H	eye-split:SUN
c2a_15_002	c2a	15	2	THREE	THREE	L	eye-split:MISC-43
c2a_15_003	c2a	15	3	NOTE	NOTE	H	cluster-map:63
c2a_15_004	c2a	15	4	BLOB	BLOB	M	eye-split:MISC-55
c2a_15_005	c2a	15	5	BAR-SOLID	BLOB	M	cluster-map:10
c2a_15_006	c2a	15	6	BAR-SOLID	BLOB	M	cluster-map:10
c2a_15_007	c2a	15	7	BAR-SOLID	BLOB	M	cluster-map:10
c2a_15_008	c2a	15	8	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c2a_15_009	c2a	15	9	BAR-SOLID	BLOB	M	cluster-map:45
c2a_15_010	c2a	15	10	BAR-SOLID	BLOB	M	cluster-map:45
c2a_15_011	c2a	15	11	MULTI	MULTI	L	eye-split:MISC-43
c2a_15_012	c2a	15	12	II-DASH	II-DASH	H	eye-split:MISC-30
c2a_15_013	c2a	15	13	C-DOT	C-DOT	M	eye-split:MISC-54
c2a_15_014	c2a	15	14	X	X	H	cluster-map:84
c2a_15_015	c2a	15	15	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_15_016	c2a	15	16	PCT	PCT	H	eye-split:MISC-05
c2a_15_017	c2a	15	17	C-DOT	C-DOT	M	eye-split:MISC-64
c2a_15_018	c2a	15	18	PCT	PCT	H	cluster-map:66
c2a_15_019	c2a	15	19	X	X	M	eye-split:MISC-17
c2a_15_020	c2a	15	20	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_15_021	c2a	15	21	X	X	M	cluster-map:53
c2a_15_022	c2a	15	22	BLOB	BLOB	M	eye-split:MISC-55
c2a_15_023	c2a	15	23	X	X	H	cluster-map:84
c2a_15_024	c2a	15	24	X-SLASH	X-SLASH	L	eye-split:MISC-41
c2a_15_025	c2a	15	25	Y-CURL	Y-CURL	H	cluster-map:19
c2a_15_026	c2a	15	26	X	X	M	cluster-map:53
c2a_15_027	c2a	15	27	CHEVRON2	CHEVRON2	L	eye-resplit:WAVE
c2a_15_028	c2a	15	28	NOTE	NOTE	H	cluster-map:63
c2a_15_029	c2a	15	29	O-BRACKET	O-BRACKET	M	eye-split:MISC-11
c2a_15_030	c2a	15	30	AMP	AMP	L	eye-split:MISC-41
c2a_15_031	c2a	15	31	X	X	H	cluster-map:84
c2a_15_032	c2a	15	32	DOUBLE-LOOP	DOUBLE-LOOP	H	eye-split:MISC-82
c2a_15_033	c2a	15	33	PCT	PCT	H	cluster-map:9
c2a_15_034	c2a	15	34	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c2a_15_035	c2a	15	35	X-SLASH	X-SLASH	M	eye-split:MISC-46
c2a_15_036	c2a	15	36	_	_	L	eye-resplit:BAR-SERIF
c2a_16_001	c2a	16	1	O-TILDE	O-TILDE	H	eye-split:MISC-33
c2a_16_002	c2a	16	2	X	X	H	cluster-map:25
c2a_16_003	c2a	16	3	BAR-SOLID	BLOB	M	cluster-map:8
c2a_16_004	c2a	16	4	PICT-CROWN	PICT-CROWN	M	eye-split:SUN
c2a_16_005	c2a	16	5	MULTI	MULTI	L	eye-split:MISC-29
c2a_16_006	c2a	16	6	CC-DASH	CC-DASH	L	eye-split:MISC-24
c2a_16_007	c2a	16	7	X	X	M	cluster-map:26
c2a_16_008	c2a	16	8	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c2a_16_009	c2a	16	9	PCT	PCT	H	cluster-map:9
c2a_16_010	c2a	16	10	WAVE	WAVE	H	eye-resplit:WAVE
c2a_16_011	c2a	16	11	PCT	PCT	H	eye-split:MISC-05
c2a_16_012	c2a	16	12	C-DOT	C-DOT	L	eye-resplit:CIRC-TAIL
c2a_16_013	c2a	16	13	HOOK-P	HOOK-P	L	eye-split:MISC-20
c2a_16_014	c2a	16	14	A-LOOP	A-LOOP	M	eye-split:MISC-54
c2a_16_015	c2a	16	15	BLOB-LOOP	BLOB-LOOP	L	eye-split:MISC-82
c2a_16_016	c2a	16	16	QQ-O	QQ-O	M	eye-split:MISC-07
c2a_16_017	c2a	16	17	X	X	H	cluster-map:84
c2a_16_018	c2a	16	18	X	X	H	cluster-map:84
c2a_16_019	c2a	16	19	BLOB	BLOB	M	eye-split:MISC-55
c2a_16_020	c2a	16	20	PCT	PCT	H	cluster-map:9
c2a_16_021	c2a	16	21	X-CURL	X-CURL	M	eye-split:MISC-37
c2a_16_022	c2a	16	22	X-DASH	X-DASH	L	eye-split:MISC-24
c2a_16_023	c2a	16	23	X	X	M	cluster-map:53
c2a_16_024	c2a	16	24	Y-CURL	Y-CURL	H	cluster-map:19
c2a_16_025	c2a	16	25	BAR-SOLID	BLOB	M	cluster-map:8
c2a_16_026	c2a	16	26	X	X	M	cluster-map:22
c2a_16_027	c2a	16	27	BAR-SOLID	BLOB	M	cluster-map:8
c2a_16_028	c2a	16	28	BLOB	BLOB	M	eye-split:MISC-55
c2a_16_029	c2a	16	29	Y-CURL	Y-CURL	M	cluster-map:88
c2a_16_030	c2a	16	30	X	X	H	cluster-map:84
c2a_16_031	c2a	16	31	WAVE	WAVE	H	eye-resplit:WAVE
c2a_16_032	c2a	16	32	PCT	PCT	H	eye-split:MISC-05
c2a_17_001	c2a	17	1	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_17_002	c2a	17	2	Y-CURL	Y-CURL	M	cluster-map:88
c2a_17_003	c2a	17	3	CROSS-T	CROSS-T	H	cluster-map:48
c2a_17_004	c2a	17	4	NOTE	NOTE	H	cluster-map:63
c2a_17_005	c2a	17	5	PCT	PCT	H	cluster-map:66
c2a_17_006	c2a	17	6	PICT-ANCHOR	PICT-ANCHOR	M	eye-split:MISC-29
c2a_17_007	c2a	17	7	VEE	VEE	H	cluster-map:59
c2a_17_008	c2a	17	8	X	X	H	eye-split:MISC-80
c2a_17_009	c2a	17	9	II-DASH	II-DASH	M	eye-split:MISC-33
c2a_17_010	c2a	17	10	O-SLASH	O-SLASH	M	eye-resplit:LOOP-TAIL
c2a_17_011	c2a	17	11	C-BAR-X	C-BAR-X	M	eye-split:MISC-36
c2a_17_012	c2a	17	12	MULTI	MULTI	L	eye-split:MISC-43
c2a_17_013	c2a	17	13	BOX-X	BOX-X	H	eye-split:MISC-13
c2a_17_014	c2a	17	14	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_17_015	c2a	17	15	LOOP-TAIL	LOOP-TAIL	L	eye-split:MISC-40
c2a_17_016	c2a	17	16	TILDE-DASH	TILDE-DASH	L	eye-split:MISC-24
c2a_17_017	c2a	17	17	C-DOT	C-DOT	L	eye-split:MISC-06
c2a_17_018	c2a	17	18	VENUS	VENUS	L	eye-split:MISC-11
c2a_17_019	c2a	17	19	AMP	AMP	M	eye-split:MISC-06
c2a_17_020	c2a	17	20	OX	OX	H	eye-split:MISC-20
c2a_17_021	c2a	17	21	BAR-SOLID	BLOB	M	cluster-map:45
c2a_17_022	c2a	17	22	BAR-SOLID	BLOB	M	cluster-map:45
c2a_17_023	c2a	17	23	M-LETTER	M-LETTER	L	eye-resplit:LOOP-TAIL
c2a_17_024	c2a	17	24	NOTE	NOTE	H	cluster-map:63
c2a_17_025	c2a	17	25	OX-TILDE	OX-TILDE	M	eye-split:MISC-36
c2a_17_026	c2a	17	26	X	X	H	cluster-map:4
c2a_17_027	c2a	17	27	NINE	NINE	L	eye-split:MISC-00
c2a_17_028	c2a	17	28	BLOB	BLOB	M	eye-split:MISC-32
c2a_17_029	c2a	17	29	PICT-BIRD	PICT-BIRD	H	eye-split:MISC-60
c2a_17_030	c2a	17	30	_	_	L	eye-split:MISC-32
c2a_17_031	c2a	17	31	DASH-V	DASH-V	M	cluster-map:15
c2b_01_001	c2b	1	1	X	X	M	cluster-map:22
c2b_01_002	c2b	1	2	_	_	L	eye-resplit:CIRC-TAIL
c2b_01_003	c2b	1	3	PCT-SLASH	PCT	M	eye-resplit:TRIPOD
c2b_01_004	c2b	1	4	X	X	M	cluster-map:26
c2b_01_005	c2b	1	5	X	X	M	cluster-map:22
c2b_01_006	c2b	1	6	PHI	PHI	H	eye-resplit:PHI
c2b_01_007	c2b	1	7	PICT-LEAF	PICT-LEAF	M	eye-split:MISC-29
c2b_01_008	c2b	1	8	BAR-THIN	BAR-THIN	M	cluster-map:12
c2b_01_009	c2b	1	9	BAR-THIN	BAR-THIN	M	cluster-map:12
c2b_01_010	c2b	1	10	CROSS-T	CROSS-T	M	cluster-map:68
c2b_01_011	c2b	1	11	DASH-H	DASH-H	H	cluster-map:61
c2b_01_012	c2b	1	12	BAR-THIN	BAR-THIN	M	cluster-map:51
c2b_01_013	c2b	1	13	X	X	H	cluster-map:25
c2b_01_014	c2b	1	14	A-LOOP	A-LOOP	M	eye-resplit:TRIPOD
c2b_01_015	c2b	1	15	X-DASH	X-DASH	M	eye-split:MISC-87
c2b_01_016	c2b	1	16	_	_	L	eye-resplit:CIRC-TAIL
c2b_01_017	c2b	1	17	X	X	M	cluster-map:26
c2b_01_018	c2b	1	18	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2b_01_019	c2b	1	19	OX-TILDE	OX-TILDE	L	eye-split:MISC-29
c2b_01_020	c2b	1	20	X	X	H	cluster-map:25
c2b_01_021	c2b	1	21	PHI	PHI	H	eye-resplit:PHI
c2b_01_022	c2b	1	22	VEE	VEE	H	cluster-map:59
c2b_01_023	c2b	1	23	CROSS-T	CROSS-T	H	cluster-map:48
c2b_01_024	c2b	1	24	X	X	M	cluster-map:53
