code	printed	line	letter	context
93	93	726	VI	 of Lenox, &c. Dat. Streatlam, 24 Oct. L580. From the Cott. MS. Calig. C. vi. fol. 93. (Orig.) . . .153 7.:. List of the twenty-four gentlemen of the 
153	153	726	VI	ct. L580. From the Cott. MS. Calig. C. vi. fol. 93. (Orig.) . . .153 7.:. List of the twenty-four gentlemen of the King's chamber, and of the six extrao
7	7	728	VI	580. From the Cott. MS. Calig. C. vi. fol. 93. (Orig.) . . .153 7.:. List of the twenty-four gentlemen of the King's chamber, and of the six extraordin
24	24	729	VI	men of the King's chamber, and of the six extraordinary, inclosed in the above. Dat. 24 Oct. 1580. From the Cott. MS. Calig. C. vi. fol. 94. . 155 74. From Qi 
94	94	730	VI	 inclosed in the above. Dat. 24 Oct. 1580. From the Cott. MS. Calig. C. vi. fol. 94. . 155 74. From Qi ben Elizabeth to King James, sent by Alex. Hume; expostul
155	155	730	VI	the above. Dat. 24 Oct. 1580. From the Cott. MS. Calig. C. vi. fol. 94. . 155 74. From Qi ben Elizabeth to King James, sent by Alex. Hume; expostulating with him
74	74	732	VI	bove. Dat. 24 Oct. 1580. From the Cott. MS. Calig. C. vi. fol. 94. . 155 74. From Qi ben Elizabeth to King James, sent by Alex. Hume; expostulating with him con
1	1	734	VI	 Hume; expostulating with him concerning his behaviour to Hoher, Bowes. Dat. Richmond, 1 Dec. 1580. From the Cott. MS. Calig. ('. vi. fol. L02 156 7.">. From Robert Bowes 
156	156	735	VI	Hoher, Bowes. Dat. Richmond, 1 Dec. 1580. From the Cott. MS. Calig. ('. vi. fol. L02 156 7.">. From Robert Bowes to Secretary Walsingham; notice of the distressed condition o
7	7	737	VI	 Bowes. Dat. Richmond, 1 Dec. 1580. From the Cott. MS. Calig. ('. vi. fol. L02 156 7.">. From Robert Bowes to Secretary Walsingham; notice of the distressed condition of t
1	1	739	VI	d condition of the Ear] of Morton and others favouring Queen Elizabeth. Dat. Berwick, 1 January, 1581. From the HarL MS. 6,999, Art. 1. . . . . 
6	6	740	VI	nd others favouring Queen Elizabeth. Dat. Berwick, 1 January, 1581. From the HarL MS. 6,999, Art. 1. . . . . .157 76. From the same to Lord B
999	999	740	VI	 others favouring Queen Elizabeth. Dat. Berwick, 1 January, 1581. From the HarL MS. 6,999, Art. 1. . . . . .157 76. From the same to Lord Burgh
1	1	740	VI	vouring Queen Elizabeth. Dat. Berwick, 1 January, 1581. From the HarL MS. 6,999, Art. 1. . . . . .157 76. From the same to Lord Burghlev and 
157	157	740	VI	anuary, 1581. From the HarL MS. 6,999, Art. 1. . . . . .157 76. From the same to Lord Burghlev and Sir Francis Wal- singham: Archibald Douglas's
76	76	742	VI	, 1581. From the HarL MS. 6,999, Art. 1. . . . . .157 76. From the same to Lord Burghlev and Sir Francis Wal- singham: Archibald Douglas's jou
7	7	748	VI	e murder of the Darnlcy ; Morton committed to the castle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsd
6	6	749	VI	ommitted to the castle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsdon; the life of the Earl of Mort
999	999	749	VI	mitted to the castle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsdon; the life of the Earl of Morton 
2	2	749	VI	the castle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsdon; the life of the Earl of Morton in great 
157	157	749	VI	e castle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsdon; the life of the Earl of Morton in great per
77	77	751	VI	tle of Edinburgh. Dat. Berwick, 7 Jan. 1581. From the I Iarl. MS. 6,999, Art. 2 157 77. From the same to Lord Hunsdon; the life of the Earl of Morton in great peril. 
11	11	753	VI	to Lord Hunsdon; the life of the Earl of Morton in great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi k
6	6	754	VI	rl of Morton in great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi kghley. and Sir Francis Wal- BINGHAM;
999	999	754	VI	 of Morton in great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi kghley. and Sir Francis Wal- BINGHAM; Ki
3	3	754	VI	on in great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi kghley. and Sir Francis Wal- BINGHAM; King James 
161	161	754	VI	 in great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi kghley. and Sir Francis Wal- BINGHAM; King James anx
78	78	756	VI	great peril. Dat. Berwick, 11 Jan. 1581. From the Harl. MS. 6,999, Art. 3 161 78. From the Bame to Lord Bi kghley. and Sir Francis Wal- BINGHAM; King James anxious 
11	11	765	VI	e King of Scot- land was " rightly King both of Scotland and England." Dat. Berwick, 11 Jan. L581. From the Harl. MS. 6,999, Art. 4 1G2 7!». To Robert Bowes; intelligence 
6	6	765	VI	 King both of Scotland and England." Dat. Berwick, 11 Jan. L581. From the Harl. MS. 6,999, Art. 4 1G2 7!». To Robert Bowes; intelligence of troops being levied for the st
999	999	765	VI	King both of Scotland and England." Dat. Berwick, 11 Jan. L581. From the Harl. MS. 6,999, Art. 4 1G2 7!». To Robert Bowes; intelligence of troops being levied for the streng
4	4	766	VI	of Scotland and England." Dat. Berwick, 11 Jan. L581. From the Harl. MS. 6,999, Art. 4 1G2 7!». To Robert Bowes; intelligence of troops being levied for the strengthening o
7	7	768	VI	land and England." Dat. Berwick, 11 Jan. L581. From the Harl. MS. 6,999, Art. 4 1G2 7!». To Robert Bowes; intelligence of troops being levied for the strengthening of the 
6	6	772	VI	ved with money and powder from the Queen. Dat. L5 Jan. 1581. Iron, the Harl. MS. 6,999, Art. 9. . 165 CONTEVi S. XIX 80. Letter from Robert Bowes to the Lord Lie
999	999	772	VI	d with money and powder from the Queen. Dat. L5 Jan. 1581. Iron, the Harl. MS. 6,999, Art. 9. . 165 CONTEVi S. XIX 80. Letter from Robert Bowes to the Lord Lieuten
9	9	772	VI	ey and powder from the Queen. Dat. L5 Jan. 1581. Iron, the Harl. MS. 6,999, Art. 9. . 165 CONTEVi S. XIX 80. Letter from Robert Bowes to the Lord Lieutenant of t
165	165	772	VI	powder from the Queen. Dat. L5 Jan. 1581. Iron, the Harl. MS. 6,999, Art. 9. . 165 CONTEVi S. XIX 80. Letter from Robert Bowes to the Lord Lieutenant of the North 
80	80	777	VI	 Dat. L5 Jan. 1581. Iron, the Harl. MS. 6,999, Art. 9. . 165 CONTEVi S. XIX 80. Letter from Robert Bowes to the Lord Lieutenant of the North ; Morton's adversaries
10	10	783	VI	sers unable to prove treason against him ; and notices of sundry other matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same 
6	6	784	VI	 him ; and notices of sundry other matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same to Sir Francis Walsingham ; 
999	999	784	VI	im ; and notices of sundry other matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same to Sir Francis Walsingham ; pray
12	12	784	VI	notices of sundry other matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same to Sir Francis Walsingham ; praying eithe
166	166	784	VI	 other matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same to Sir Francis Walsingham ; praying either for licence to 
81	81	786	VI	r matters. Dat. 10 Jan. 1581. From the Harl MS. 6,999, Art. 12. . . 166 81. From the same to Sir Francis Walsingham ; praying either for licence to repa
16	16	789	VI	pair to the English Parliament, or the Queen's warrant for his absence. Dat. Berwick, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. Fr
6	6	790	VI	e Queen's warrant for his absence. Dat. Berwick, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. From the same to the same ; intellige
999	999	790	VI	 Queen's warrant for his absence. Dat. Berwick, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. From the same to the same ; intelligence 
11	11	790	VI	rrant for his absence. Dat. Berwick, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. From the same to the same ; intelligence chiefly f
168	168	790	VI	 Berwick, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. From the same to the same ; intelligence chiefly from Randolph and concerning 
82	82	792	VI	ck, 16 Jan. 1581. From the Harl. MS. 6,999, Art. 11. . . .168 82. From the same to the same ; intelligence chiefly from Randolph and concerning Lenno
7	7	795	VI	 and concerning Lennox and Morton ; Morton said to be dangerously ill. Dat. Berwick, 7 Feb. 1581. From the Cott. MS. Calig. C. vi. fol. 113. (Orig.) . . .
113	113	796	VI	e dangerously ill. Dat. Berwick, 7 Feb. 1581. From the Cott. MS. Calig. C. vi. fol. 113. (Orig.) . . .169 83. From the same to the same ; about a conventi
169	169	796	VI	 Feb. 1581. From the Cott. MS. Calig. C. vi. fol. 113. (Orig.) . . .169 83. From the same to the same ; about a convention in Scotland ; a confederacy of
83	83	798	VI	 1581. From the Cott. MS. Calig. C. vi. fol. 113. (Orig.) . . .169 83. From the same to the same ; about a convention in Scotland ; a confederacy of som
24	24	801	VI	d ; a confederacy of some lords ; Lennox, Morton ; the forces on the Borders. Dat. 24 Februarv, 1581. From the Cott. MS. Calig. C. vi. fol. 120. 171 84. From the same t
120	120	802	VI	orces on the Borders. Dat. 24 Februarv, 1581. From the Cott. MS. Calig. C. vi. fol. 120. 171 84. From the same to the same; the King desires a conference of chosen commis
171	171	802	VI	 on the Borders. Dat. 24 Februarv, 1581. From the Cott. MS. Calig. C. vi. fol. 120. 171 84. From the same to the same; the King desires a conference of chosen commissione
84	84	804	VI	the Borders. Dat. 24 Februarv, 1581. From the Cott. MS. Calig. C. vi. fol. 120. 171 84. From the same to the same; the King desires a conference of chosen commissioners, 
14	14	809	VI	nd his friends ; and asking speedy advice in these and other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ;
6	6	809	VI	advice in these and other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ; Lennox's practices discovered by t
999	999	809	VI	vice in these and other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ; Lennox's practices discovered by the 
44	44	810	VI	ese and other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ; Lennox's practices discovered by the confession 
172	172	810	VI	 and other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ; Lennox's practices discovered by the confession of 
85	85	812	VI	 other causes. Dat. Newcastle, 14 March, 1581. From the Harl. MS. 6,999, Art. 44 172 85. From the same to the same ; Lennox's practices discovered by the confession of the 
25	25	817	VI	r- rendered to the King by James Douglas, contrary to Angus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same 
6	6	818	VI	glas, contrary to Angus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same ; promising further information in 
999	999	818	VI	as, contrary to Angus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same ; promising further information in his 
59	59	818	VI	y to Angus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same ; promising further information in his next. Dat
174	174	818	VI	to Angus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same ; promising further information in his next. Dat. B
86	86	820	VI	gus's direction. Dat. Berwick, 25 March, 1581. From the Harl. MS. 6,999, Art. 59 174 86. From the same to the same ; promising further information in his next. Dat. Berwic
1	1	822	VI	rom the same to the same ; promising further information in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same 
6	6	823	VI	ng further information in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same ; giving intimation that the Earl o
999	999	823	VI	 further information in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same ; giving intimation that the Earl of 
76	76	823	VI	nformation in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same ; giving intimation that the Earl of Angus purp
175	175	823	VI	rmation in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same ; giving intimation that the Earl of Angus purposes
87	87	825	VI	n in his next. Dat. Berwick, 1 April, 1581. From the Harl. MS. 6,999, Art. 76 175 87. From the same to the same ; giving intimation that the Earl of Angus purposes to 
16	16	827	VI	; giving intimation that the Earl of Angus purposes to seek refuge in England. Dat. 16 May, 1581. From the Cott. MS. Calig. C. vi. fol. 143. (An extract). . . . . . 
143	143	828	VI	o seek refuge in England. Dat. 16 May, 1581. From the Cott. MS. Calig. C. vi. fol. 143. (An extract). . . . . . . . . . .176 88. From the same to the same ; 
176	176	829	VI	 the Cott. MS. Calig. C. vi. fol. 143. (An extract). . . . . . . . . . .176 88. From the same to the same ; further intelligence of Lennox's practices; informat
88	88	831	VI	Cott. MS. Calig. C. vi. fol. 143. (An extract). . . . . . . . . . .176 88. From the same to the same ; further intelligence of Lennox's practices; information 
15	15	833	VI	 ; further intelligence of Lennox's practices; information of some plots. Dat. Durham, 15 89. From the same to the same ; parties assume a hostile position against each ot
89	89	836	VI	urther intelligence of Lennox's practices; information of some plots. Dat. Durham, 15 89. From the same to the same ; parties assume a hostile position against each other. 
26	26	838	VI	 to the same ; parties assume a hostile position against each other. Dat. Streatlam, 26 Aug. 1582. From 90. From the same to Lord Burgh ley ; reports the seizure of Ki
90	90	841	VI	es assume a hostile position against each other. Dat. Streatlam, 26 Aug. 1582. From 90. From the same to Lord Burgh ley ; reports the seizure of King James by the head
26	26	852	VI	ads of the Protestant party ; the Raid *b2 m CONTENTS. PAGE of Rutin, n. Dated 26 Aug. 1582. Prom the Cott MS. Calig. C.vu.fol.22. (Extract) 179 91. Letter From the
22	22	853	VI	 CONTENTS. PAGE of Rutin, n. Dated 26 Aug. 1582. Prom the Cott MS. Calig. C.vu.fol.22. (Extract) 179 91. Letter From the Bameto Sib Fb incis W ixsingh \m ; unsettled 
179	179	853	VI	 of Rutin, n. Dated 26 Aug. 1582. Prom the Cott MS. Calig. C.vu.fol.22. (Extract) 179 91. Letter From the Bameto Sib Fb incis W ixsingh \m ; unsettled Btate of tbe gov
91	91	855	VI	 Rutin, n. Dated 26 Aug. 1582. Prom the Cott MS. Calig. C.vu.fol.22. (Extract) 179 91. Letter From the Bameto Sib Fb incis W ixsingh \m ; unsettled Btate of tbe governme
5	5	857	VI	ed Btate of tbe governmenl in Scotland: promising further in- telligence. Dat. Berwick, 5 Sept. 1582. From the Letter- !'_'. From the same to the same; recommending that the
8	8	867	VI	rsl threatens to disturb the Bor- der- ; .John Dun returns to Scotland. Dat. Berwick, 8 Sept 1582. From the Cott. MS. Calig. C. vn.fol.27. . 181 94. From the same 
27	27	868	VI	eturns to Scotland. Dat. Berwick, 8 Sept 1582. From the Cott. MS. Calig. C. vn.fol.27. . 181 94. From the same to same; requesting that the Queen would adopt prompt
181	181	868	VI	cotland. Dat. Berwick, 8 Sept 1582. From the Cott. MS. Calig. C. vn.fol.27. . 181 94. From the same to same; requesting that the Queen would adopt prompter measures 
94	94	870	VI	d. Dat. Berwick, 8 Sept 1582. From the Cott. MS. Calig. C. vn.fol.27. . 181 94. From the same to same; requesting that the Queen would adopt prompter measures regar
14	14	877	VI	 her Majesty ; John Col ville willing to further her Majesty's Bervice. Dat. Sterling, 14 Sept. 96. From the same to the same ; the King's affection for the Duke of Lenno
96	96	880	VI	y ; John Col ville willing to further her Majesty's Bervice. Dat. Sterling, 14 Sept. 96. From the same to the same ; the King's affection for the Duke of Lennox is on t
18	18	883	VI	ennox is on the decline; correspondence between the Duke and Malvesier. Dat. Sterling, 18 Sept. 1582. From 97. From the same to the same ; the Scottish nobility should be 
97	97	886	VI	ne; correspondence between the Duke and Malvesier. Dat. Sterling, 18 Sept. 1582. From 97. From the same to the same ; the Scottish nobility should be feed ; .Jaines"s aff
98	98	890	VI	 nobility should be feed ; .Jaines"s affection for England increases. Dat. Sterling, 98 1 rom the -am.- to the same : the Duke's timid and wavering dis- I1"-'' : '!"• 
1	1	890	VI	ity should be feed ; .Jaines"s affection for England increases. Dat. Sterling, 98 1 rom the -am.- to the same : the Duke's timid and wavering dis- I1"-'' : '!"• EngUs
99	99	896	VI	mid and wavering dis- I1"-'' : '!"• EngUsh interest continues to prosper. Dat. 99. From the same to the same; the Duke has at last departed. 100. From the same
100	100	900	VI	rosper. Dat. 99. From the same to the same; the Duke has at last departed. 100. From the same to the same; Archibald Douglas's conduct suspicious ; an English com
26	26	903	VI	 conduct suspicious ; an English companion of the Duke to be watched. Dat. Sterling, 26 Sept. 15S2. From the Letter- 101. From the same to the same ; Sir George Carey rec
101	101	906	VI	companion of the Duke to be watched. Dat. Sterling, 26 Sept. 15S2. From the Letter- 101. From the same to the same ; Sir George Carey recalled into England. Dat. Sterling, 
27	27	908	VI	 From the same to the same ; Sir George Carey recalled into England. Dat. Sterling, 27 Sept. 1582. From the Let- 102. 1 rom the same to the samel ?); information will h
102	102	911	VI	Sir George Carey recalled into England. Dat. Sterling, 27 Sept. 1582. From the Let- 102. 1 rom the same to the samel ?); information will he com- municated bj Sir George 
1	1	911	VI	eorge Carey recalled into England. Dat. Sterling, 27 Sept. 1582. From the Let- 102. 1 rom the same to the samel ?); information will he com- municated bj Sir George Car
30	30	913	VI	 samel ?); information will he com- municated bj Sir George Carey. Dat. Sterling, 30 Sept. ",-v I """ the same to the same: James about to return to Edin- CONTENTS
103	103	928	VI	to Edin- CONTENTS. XXI PAGE burgh ; the Duke's departure yet uncertain ; movements 103. Letter from the same to the same; concerning the money transmitted into Scotland 
6	6	932	VI	g's return to Edinburgh postponed ; movements of the Scottish nobility. Dat. Stirling, 6 Oct. 1582. From the 104. From the same to the same ; a guard to be levied for th
104	104	935	VI	postponed ; movements of the Scottish nobility. Dat. Stirling, 6 Oct. 1582. From the 104. From the same to the same ; a guard to be levied for the King's protection ; Joh
105	105	941	VI	e recommended ; the Duke's departure yet uncertain ; the King's return to Edinburgh. 105. From the same to the same; (private;) his conference with the King; requesting fur
106	106	947	VI	ate;) his conference with the King; requesting further instructions. Dat. Edinb. 106. From the same to the same; the position of several of the Scottish nobility at 
1	1	950	VI	 the Duke has not yet sailed, and attempts to communicate with the King. Dat. Edinb. 1 1 Oct. 107. From the same to the same; (private;) reports confei'ences with the Kin
1	1	950	VI	he Duke has not yet sailed, and attempts to communicate with the King. Dat. Edinb. 1 1 Oct. 107. From the same to the same; (private;) reports confei'ences with the King,
107	107	953	VI	has not yet sailed, and attempts to communicate with the King. Dat. Edinb. 1 1 Oct. 107. From the same to the same; (private;) reports confei'ences with the King, Gowry, an
12	12	956	VI	h the King, Gowry, and Dunfermling ; the Duke's movements still uncertain. Dat. Edinb. 12 Oct. 1582. 108. From the same to the same; (private ; ) complains of the QueeD
108	108	959	VI	ry, and Dunfermling ; the Duke's movements still uncertain. Dat. Edinb. 12 Oct. 1582. 108. From the same to the same; (private ; ) complains of the QueeD's parsimony. Dat
17	17	961	VI	e same to the same; (private ; ) complains of the QueeD's parsimony. Dat. Edinb. 17 Oct. 1582. From the 109. From the same to the same; the Duke not yet departed; hi
109	109	964	VI	private ; ) complains of the QueeD's parsimony. Dat. Edinb. 17 Oct. 1582. From the 109. From the same to the same; the Duke not yet departed; his letter to the King ; 
17	17	967	VI	ing ; various noblemen have subscribed the bond; the court more numerous. Dat. Edinb. 17 Oct. 110- From the same to the same; discussion in council respecting the King's bo
110	110	970	VI	ious noblemen have subscribed the bond; the court more numerous. Dat. Edinb. 17 Oct. 110- From the same to the same; discussion in council respecting the King's body-guard ; 
111	111	974	VI	cussion in council respecting the King's body-guard ; the Duke returned to Dunbarton. 111. From the same to the same; proceedings of the nobility at court; the Duke's movem
22	22	976	VI	to the same; proceedings of the nobility at court; the Duke's movements. Dat. Edinb. 22 Oct., 1582. 112. From the same to the same; the King very desirous for the libert
112	112	979	VI	ceedings of the nobility at court; the Duke's movements. Dat. Edinb. 22 Oct., 1582. 112. From the same to the same; the King very desirous for the liberty of Arran ; acc
24	24	983	VI	ce of some French projects ; the Bishops of Glasgow and Ross implicated. Dat. Edinb. 24 Oct. 113. From the same to the same; the Duke's movements; the King promises that 
113	113	986	VI	e French projects ; the Bishops of Glasgow and Ross implicated. Dat. Edinb. 24 Oct. 113. From the same to the same; the Duke's movements; the King promises that Arran shal
28	28	999	VI	, ami recommending ("apt. Case to the good offic< a ofWalsmgham, Private. Dat. Edinb. 28 Oct. 1582. From 1 1;>. From tin' Bame to the Bame ; proceedings of the convention 
1	1	1002	VI	apt. Case to the good offic< a ofWalsmgham, Private. Dat. Edinb. 28 Oct. 1582. From 1 1;>. From tin' Bame to the Bame ; proceedings of the convention ; changes in the co
1	1	1002	VI	t. Case to the good offic< a ofWalsmgham, Private. Dat. Edinb. 28 Oct. 1582. From 1 1;>. From tin' Bame to the Bame ; proceedings of the convention ; changes in the coun
116	116	1007	VI	ied; the arrival of Angus at court; discontenl of the Lords; movements of the Duke. 116. From the Bame to the same; recommending more liberality on the part of her Majesty
117	117	1012	VI	 recommending more liberality on the part of her Majesty towards the King. Private. 117. From thr Bame to the Bame; the Duke's movements ; account of tin' proceedings of t
29	29	1015	VI	 of the nobility; several of them recom- mended to Elizabeth's liberality. Dat. Edinb. 29 Oct. 1 IS. From the same to the same; abstract of a letter from the Duke to the 
1	1	1018	VI	nobility; several of them recom- mended to Elizabeth's liberality. Dat. Edinb. 29 Oct. 1 IS. From the same to the same; abstract of a letter from the Duke to the King, gi
11	11	1023	VI	ounl of a conference with Mor- ton ; the King's regard for Annus increases. Private. 11!>. From the Bame to the Bame; proceedings of the nobility yarding the Duke's departur
2	2	1027	VI	 with the Earls of Glencarn and Gowry; dis- Bensions amongst the nobles. Dat. Edinb. 2 Nov. 1582. 120. From the Bame to the same ; measures adopted by the King for has
120	120	1030	VI	s of Glencarn and Gowry; dis- Bensions amongst the nobles. Dat. Edinb. 2 Nov. 1582. 120. From the Bame to the same ; measures adopted by the King for hastening the Duke's
121	121	1036	VI	parture ; Arran submits to the ministers. Dat. Edinb. (> Nov. 1582. From the Letter- 121. From the Bame to the same; account of a coffer in which it is Bupposed are orig
8	8	1039	VI	 it is Bupposed are original letters from the Queen Mary to Bothwell. Dat. Edinb. 8 Nov. 1582. From the Lct'tcr- p. '.'' Private. 236 122. From the same to the 
236	236	1041	VI	ry to Bothwell. Dat. Edinb. 8 Nov. 1582. From the Lct'tcr- p. '.'' Private. 236 122. From the same to the Bame; two ambassadors to be sent to the English court; 
122	122	1043	VI	 Bothwell. Dat. Edinb. 8 Nov. 1582. From the Lct'tcr- p. '.'' Private. 236 122. From the same to the Bame; two ambassadors to be sent to the English court; the 
128	128	1049	VI	ispleased with the supineness of lu> count il ; notice of some French projects. Dat. 128. From the same to the same; the Earl of dowry refuses to ■ up to Queen Elizabeth 
12	12	1055	VI	; he earnestly en- treats the King to be permitted to remain m Scotland. Dat. Edinb. 12 Nov. 1582. From the Letter-Hook, p. :.•_• 240 I J I. 1 rom iii' une to the Bam
240	240	1056	VI	mitted to remain m Scotland. Dat. Edinb. 12 Nov. 1582. From the Letter-Hook, p. :.•_• 240 I J I. 1 rom iii' une to the Bame; advising more prompt measures CONTENTS. XX
1	1	1058	VI	in m Scotland. Dat. Edinb. 12 Nov. 1582. From the Letter-Hook, p. :.•_• 240 I J I. 1 rom iii' une to the Bame; advising more prompt measures CONTENTS. XXU1 PAGE on
17	17	1065	VI	sing more prompt measures CONTENTS. XXU1 PAGE on the part of England. Dat. Edinb. 17 Nov. 1582. 125. Letter from the same to the same ; affairs in a precarious state 
125	125	1068	VI	 measures CONTENTS. XXU1 PAGE on the part of England. Dat. Edinb. 17 Nov. 1582. 125. Letter from the same to the same ; affairs in a precarious state ; the Duke retu
17	17	1074	VI	s of gifts to some well affected to her Majesty's service; various news. Dat. Edinb. 17 Nov. 1582. From 126. From the same to the same; recommending more liberality on
126	126	1077	VI	well affected to her Majesty's service; various news. Dat. Edinb. 17 Nov. 1582. From 126. From the same to the same; recommending more liberality on the part of England.
24	24	1079	VI	me to the same; recommending more liberality on the part of England. Dat. Edinb. 24 Nov. 158l'. 127. From the same to the same ; Gowry still hesitates to de- live
127	127	1082	VI	 recommending more liberality on the part of England. Dat. Edinb. 24 Nov. 158l'. 127. From the same to the same ; Gowry still hesitates to de- liver the casket of l
24	24	1087	VI	ers to the French King- ; further account of the doings of the nobility. Dat. Edinb. 24 Nov. 1582. From the Letter- 128. From the same to the same; many of the Du
128	128	1090	VI	 account of the doings of the nobility. Dat. Edinb. 24 Nov. 1582. From the Letter- 128. From the same to the same; many of the Duke's friends congregate in Edinbur
26	26	1094	VI	rse and footmen ; further intelligence of the Duke's movements and plans. Dat. Edinb. 26 Nov. 1582. 129. From the same to the same ; praying to be revoked unless more lib
129	129	1097	VI	 ; further intelligence of the Duke's movements and plans. Dat. Edinb. 26 Nov. 1582. 129. From the same to the same ; praying to be revoked unless more liberality be shown 
130	130	1103	VI	praying to be revoked unless more liberality be shown on the part of England. Dat. 130. From the same to the same ; the King declares his determi- nation to abide wholly 
131	131	1110	VI	the King sends him money to hasten bis departure ; the King's guard being enlisted. 131. From the same to the same; praying for direction whether or not he ought to lend
2	2	1115	VI	out effect : a sudden surprise feared, and measures taken to prevent it. Dat. Edinb. 2 Dec. 1582. From the 132. From the same to the same ; the Duke still delays his 
132	132	1118	VI	urprise feared, and measures taken to prevent it. Dat. Edinb. 2 Dec. 1582. From the 132. From the same to the same ; the Duke still delays his de- parture ; account of 
6	6	1122	VI	on ; letters from France brought to the Duke, and various in- telligence. Dat. Edinb. 6 Dec. 1582. From the Letter- 133. From the same to the same ; proceedings of the D
133	133	1125	VI	 to the Duke, and various in- telligence. Dat. Edinb. 6 Dec. 1582. From the Letter- 133. From the same to the same ; proceedings of the Duke ; order given for the appreh
6	6	1135	VI	iracy for the intended surprise ; Morton gone to the xxiv CONTJ PAGE Duke. Dat. 6 Dec 1582. Private. From the Letter- l[}-4. Letter from the Mine ii> the same ; abs
4	4	1138	VI	one to the xxiv CONTJ PAGE Duke. Dat. 6 Dec 1582. Private. From the Letter- l[}-4. Letter from the Mine ii> the same ; abstract of the Duke's let- ter tn the King; 
185	185	1143	VI	roceedings in council, and tlic orders made for the Duke'- departure through England. 185. From the same to the same ; the French ambassador's arrival in Scotland should be d
9	9	1144	VI	 the same ; the French ambassador's arrival in Scotland should be delayed. Dat. Edinb. 9 Dec. 1582. 136. From the same to the same; report <>f the Duke's interview with G
136	136	1147	VI	 French ambassador's arrival in Scotland should be delayed. Dat. Edinb. 9 Dec. 1582. 136. From the same to the same; report <>f the Duke's interview with George Young, Bent
11	11	1149	VI	e; report <>f the Duke's interview with George Young, Bent bj the King. Dat. Edinb. 11 137. From the same to the same; the Duke's movements still un- certain and suspic
