page	line	idx	our_token	witness_source	witness_token	type
f137v	19	11	d183	f10r	d183	equal
f137v	19	12	d179	f10r	d179	equal
f137v	19	13	e75	f10r	e75	equal
f137v	19	14	s323	f10r	s323	equal
f137v	20	1	m9	f10r	m9	equal
f137v	20	2	d266	f10r	d266	equal
f137v	20	3	s8	f10r	s8	equal
f137v	20	4	q45	f10r	q45	equal
f137v	20	5	p149	f10r	p149	equal
f137v	20	6	c171	f10r	c171	equal
f137v	20	7	s8	f10r	s8	equal
f137v	20	8	b10	f10r	v10	replace
f137v	20	9	c10	f10r	c10	equal
f137v	20	10	t10	f10r	t10	equal
f137v	20	11	d157	f10r	d157	equal
f137v	20	12	p296	f10r	p296	equal
f137v	20	13	n8	f10r	n8	equal
f137v	20	14	z6	f10r	z6	equal
f137v	21	1	s320	f10r	s320	equal
f137v	21	2	b30	f10r	h30	replace
f137v	21	3	f9	f10r	f9	equal
f137v	21	4	L10	f10r	L10	equal
f137v	21	5	p150	f10r	p150	equal
f137v	21	6	i29	f10r	i29	equal
f137v	21	7	f44	f10r	f44	equal
f137v	21	8	c170	f10r	c170	equal
f137v	21	9	m170	f10r	m170	equal
f137v	21	10	f10	f10r	f10	equal
f137v	21	11	i29	f10r	i29	equal
f137v	21	12	d156	f10r	d156	equal
f137v	21	13	g146	f10r	g146	equal
f137v	21	14	o8	f10r	Q8	replace
f137v	22	1	p75	f10r	f75	replace
f137v	22	2	z46	f10r	d246	replace
f137v	22	3	c170	f10r	c170	equal
f137v	22	4	s387	f10r	s387	equal
f137v	22	5	r10	f10r	r10	equal
f137v	22	6	L77	f10r	L77	equal
f137v	22	7	m226	f10r	m226	equal
f137v	22	8	c258	f10r	c258	equal
f137v	22	9	n7	f10r	n7	equal
f137v	22	10	t89	f10r	t89	equal
f137v	22	11	r268	f10r	r268	equal
f137v	22	12	c170	f10r	c170	equal
f137v	22	13	a127	f10r	a127	equal
f137v	23	1	t156	f10r	d156	replace
f137v	23	2	o105	f10r	o105	equal
f137v	23	3	d36	f10r	d36	equal
f137v	23	4	p296	f10r	p296	equal
f137v	23	5	i10	f10r	i10	equal
f137v	23	6	s291	f10r	s291	equal
f137v	23	7	a13	f10r	a13	equal
f137v	23	8	L77	f10r	L77	equal
f137v	23	9	s234	f10r	s234	equal
f137v	23	10	c171	f10r	c171	equal
f137v	23	11	p149	f10r	p149	equal
f137v	23	12	e73	f10r	e73	equal
f137v	23	13	s287	f10r	s287	equal
f137v	23	14	o99	f10r	o99	equal
f137v	24	1	a34	f10r	q34	replace
f137v	24	2	m177	f10r	m177	equal
f137v	24	3	d285	f10r	d285	equal
f137v	24	4	a305	f10r	a305	equal
f137v	24	5	z9	f10r	z9	equal
f137v	24	6	L10	f10r	L10	equal
f137v	24	7	b114	f10r	b114	equal
f137v	24	8	p210	f10r	v210	replace
f137v	24	9	c170	f10r	c170	equal
f137v	24	10	s271	f10r	s271	equal
f137v	24	11	m170	f10r	m170	equal
f137v	24	12	d178	f10r	d178	equal
f137v	24	13	m247	f10r	m247	equal
f137v	25	1	y20	f10r	y20	equal
f137v	25	2	L10	f10r	L10	equal
f137v	25	3	d84	f10r	d84	equal
f137v	25	4	d36	f10r	d36	equal
f137v	25	5	b224	f10r	v224	replace
f137v	25	6	f8	f10r	f8	equal
f137v	25	7	s233	f10r	s233	equal
f137v	25	8	s212	f10r	s212	equal
f137v	25	9	s9	f10r	s9	equal
f137v	25	10	d179	f10r	d179	equal
f137v	25	11	m107	f10r	m107	equal
f137v	25	12	i100	f10r	i100	equal
f137v	25	13	c320	f10r	c320	equal
f137v	25	14	s6	f10r	s6	equal
f137v	26	1	i73	f10r	i73	equal
f137v	26	2	d78	f10r	d78	equal
f137v	26	3	c170	f10r	c170	equal
f137v	26	4	s233	f10r	s233	equal
f137v	26	5	b41	f10r	v41	replace
f137v	26	6	r10	f10r	r10	equal
f137v	26	7	p304	f10r	n304	replace
f137v	26	8	L10	f10r	L10	equal
f137v	26	9	r196	f10r	r196	equal
f137v	26	10	y27	f10r	v27	replace
f137v	26	11	n38	f10r	n38	equal
f137v	26	12	s73	f10r	e73	replace
f137v	26	13	a63	f10r	a63	equal
f137v	26	14	m9	f10r	m8	replace
f137v	27	1	p3	f10r	v3	replace
f137v	27	2	t89	f10r	t89	equal
f137v	27	3	m10	f10r	m10	equal
f137v	27	4	s267	f10r	s267	equal
f137v	27	5	d36	f10r	d36	equal
f137v	27	6	f131	f10v	f131	equal
f137v	27	7	g12	f10v	q12	replace
f137v	27	8	s7	f10v	g7	replace
f137v	27	9	p53	f10v	p53	equal
f137v	27	10	p149	f10v	p149	equal
f137v	27	11	i295	f10v	i295	equal
f137v	27	12	i221	f10v	i221	equal
f137v	27	13	i318	f10v	i318	equal
f137v	28	1	z78	f10v	z8	replace
f137v	28	2	b270	f10v	p270	replace
f137v	28	3	x41	f10v	r41	replace
f137v	28	4	s346	f10v	g346	replace
f137v	28	5	m10	f10v	m10	equal
f137v	28	6	d36	f10v	d36	equal
f137v	28	7	d96	f10v	d96	equal
f137v	28	8	p149	f10v	p149	equal
f137v	28	9	p37	f10v	p32	replace
f137v	28	10	m7	f10v	m7	equal
f137v	28	11	d35	f10v	d35	equal
f137v	28	12	c32	f10v	c32	equal
f137v	28	13	n7	f10v	n7	equal
f137v	28	14	c170	f10v	c170	equal
f137v	28	15	L131	f10v	L131	equal
f138r	1	1	y34	f10v	y34	equal
f138r	1	2	s327	f10v	g327	replace
f138r	1	3	h34	f10v	h34	equal
f138r	1	4	f15	f10v	f15	equal
f138r	1	5	d10	f10v	d10	equal
f138r	1	6	p29	f10v	p29	equal
f138r	1	7	r41	f10v	r41?	replace
f138r	1	8	a127	f10v	a127	equal
f138r	1	9	e145	f10v	e145	equal
f138r	1	10	h10	f10v	h10	equal
f138r	1	11	f15	f10v	f15	equal
f138r	1	12	d140	f10v	g140	replace
f138r	1	13	o126	f10v	o126	equal
f138r	1	14	c216	f10v	c216	equal
f138r	2	1	m168	f10v	m108	replace
f138r	2	2	d78	f10v	d78	equal
f138r	2	3	d156	f10v	d156	equal
f138r	2	4	i318	f10v	i318	equal
f138r	2	5	p149	f10v	p149	equal
f138r	2	6	e75	f10v	e75	equal
f138r	2	7	p325	f10v	p32?	replace
f138r	2	8	c7	f10v	c7	equal
f138r	2	9	t89	f10v	t89	equal
f138r	2	10	d78	f10v	d78	equal
f138r	2	11	d105	f10v	o105	replace
f138r	2	12	d35	f10v	d35	equal
f138r	2	13	r41	f10v	r41	equal
f138r	2	14	c136	f10v	c136	equal
f138r	3	1	i7	f10v	i7	equal
f138r	3	2	t89	f10v	t89	equal
f138r	3	3	r41	f10v	r41	equal
f138r	3	4	n60	f10v	n60	equal
f138r	3	5	d156	f10v	d156	equal
f138r	3	6	e145	f10v	e145	equal
f138r	3	7	b20	f10v	y20	replace
f138r	3	8	n90	f10v	n90	equal
f138r	3	9	b224	f10v	v224	replace
f138r	3	10	b10	f10v	v10	replace
f138r	3	11	a153	f10v	a153	equal
f138r	3	12	m136	f10v	m136	equal
f138r	3	13	f13	f10v	f13	equal
f138r	3	14	e25	f10v	e25	equal
f138r	3	15	c32	f10v	c32	equal
f138r	4	1	m8	f10v	m8	equal
f138r	4	2	i21	f10v	y21	replace
f138r	4	3	c321	f10v	c321	equal
f138r	4	4	p150	f10v	p150	equal
f138r	4	5	s213	f10v	g21?	replace
f138r	4	6	s138	f10v	g138	replace
f138r	4	7	i100	f10v	i100	equal
f138r	4	8	q47	f10v	q47	equal
f138r	4	9	n40	f10v	n40	equal
f138r	4	10	c227	f10v	c227	equal
f138r	4	11	h10	f10v	h10	equal
f138r	4	12	f15	f10v	f15	equal
f138r	4	13	f20	f10v	Q20	replace
f138r	4	14	d15	f10v	d15	equal
f138r	4	15	y13	f10v	y13	equal
f138r	5	1	r278	f10v	t278	replace
f138r	5	2	s346	f10v	g346	replace
f138r	5	3	m8	f10v	m8	equal
f138r	5	4	e140	f10v	g1?	replace
f138r	5	5	L107	f10v	L107	equal
f138r	5	6	h34	f10v	h34	equal
f138r	5	7	r140	f10v	r140	equal
f138r	5	8	m9	f10v	m8	replace
f138r	5	9	o8	f10v	z8	replace
f138r	5	10	L77	f10v	L77	equal
f138r	5	11	m199	f10v	m188	replace
f138r	5	12	o23	f10v	q2	replace
f138r				f10v	Q23	replace
f138r	5	13	L99	f10v	L99	equal
f138r	6	1	d36	f10v	d36	equal
f138r	6	2	r41	f10v	r41	equal
f138r	6	3	c208	f10v	c208	equal
f138r	6	4	m131	f10v	m131	equal
f138r	6	5	d10	f10v	d10	equal
f138r	6	6	c187	f10v	c187	equal
f138r	6	7	p9	f10v	D9	replace
f138r	6	8	o9	f10v	o9	equal
f138r	6	9	p10	f10v	g10	replace
f138r	6	10	r41	f10v	r41	equal
f138r	6	11	d35	f10v	d35	equal
f138r	6	12	X			extra-in-ours
f138r	6	13	s271	f10v	s271	equal
f138r	6	14	c170	f10v	c170	equal
f138r	7	1	s9	f10v	g9	replace
f138r	7	2	b191	f10v	v191	replace
f138r	7	3	p256	f10v	p256	equal
f138r	7	4	d37	f10v	d37	equal
f138r	7	5	a89	f10v	a89?	replace
f138r	7	6	y23			replace
f138r	7	7	L131	f10v	L131	equal
f138r	7	8	s233	f10v	s233	equal
f138r	7	9	s8	f10v	s8	equal
f138r	7	10	p10	f10v	p10	equal
f138r	7	11	e7	f10v	e7	equal
f138r	7	12	c183	f10v	c183	equal
f138r	7	13	c8	f10v	c8	equal
f138r	7	14	t89	f10v	t89	equal
f138r	7	15	d36	f10v	d36	equal
f138r	8	1	q49	f10v	q49	equal
f138r	8	2	f196	f10v	f196	equal
f138r	8	3	y31	f10v	y31	equal
f138r	8	4	f10	f10v	f10	equal
f138r	8	5	c185	f10v	c185	equal
f138r	8	6	m34	f10v	m3?	replace
f138r	8	7	i306	f10v	i306	equal
f138r	8	8	d34	f10v	d34	equal
f138r	8	9	f16	f10v	f16	equal
f138r	8	10	s270	f10v	s270	equal
f138r	8	11	m10	f10v	m10	equal
f138r	8	12	i29	f10v	i29	equal
f138r	8	13	t164	f10v	t164	equal
f138r	9	1	k205	f10v	r205	replace
f138r	9	2	n8	f10v	n8	equal
f138r	9	3	s139	f10v	g139	replace
f138r	9	4	p373	f10v	p373	equal
f138r	9	5	o7	f10v	o7	equal
f138r	9	6	t89	f10v	t89	equal
f138r	9	7	i100	f10v	i10?	replace
f138r	9	8	t30			replace
f138r	9	9	y27	f10v	y27	equal
f138r	9	10	t90	f10v	t90	equal
f138r	9	11	m11	f10v	m11	equal
f138r	9	12	y16	f10v	y10	replace
f138r	9	13	d179	f10v	d179	equal
f138r	9	14	m107	f10v	m107	equal
f138r	9	15	s197	f10v	g177	replace
f138r	10	1	d205	f10v	d205	equal
f138r	10	2	z8	f10v	z8	equal
f138r	10	3	n6	f10v	n6	equal
f138r	10	4	c170	f10v	c170	equal
f138r	10	5	h57	f10v	h57	equal
f138r	10	6	d10	f10v	d10	equal
f138r	10	7	r41	f10v	r41	equal
f138r	10	8	p97	f10v	p97	equal
f138r	10	9	r41	f10v	r41	equal
f138r	10	10	n90	f10v	n90	equal
f138r	10	11	L43	f10v	L43	equal
f138r	10	12	a209	f10v	a209	equal
f138r	10	13	m6	f10v	m6	equal
f138r	10	14	d37	f10v	d37	equal
f138r	10	15	p342	f10v	p342	equal
f138r	11	1	r41	f10v	t41	replace
f138r	11	2	i29	f10v	i29	equal
f138r	11	3	s22	f10v	g22	replace
f138r	11	4	p8	f10v	Q8	replace
f138r	11	5	d281	f10v	d281	equal
f138r	11	6	b8	f10v	v8	replace
f138r	11	7	t89	f10v	t89	equal
f138r	11	8	r61	f10v	t6?	replace
f138r	11	9	m7	f10v	m7	equal
f138r	11	10	p149	f10v	p149	equal
f138r	11	11	o113	f10v	o113	equal
f138r	11	12	b113	f10v	b113	equal
f138r	11	13	r193	f10v	t193	replace
f138r	12	1	o9	f10v	Q9	replace
f138r	12	2	d30	f10v	d30	equal
f138r	12	3	m107	f10v	m107	equal
f138r	12	4	n38	f10v	n38	equal
f138r	12	5	a61	f10v	a61	equal
f138r	12	6	p5	f10v	p5	equal
f138r	13	1	m56	f10v	m56	equal
f138r	13	2	t79	f10v	t74	replace
f138r	13	3	b190	f10v	v190	replace
f138r	13	4	a153	f10v	a153	equal
f138r	13	5	a51	f10v	a51	equal
f138r	13	6	n8	f10v	n8	equal
f138r	13	7	c187	f10v	c187	equal
f138r	13	8	d78	f10v	d78	equal
f138r	13	9	z15	f10v	z15	equal
f138r	13	10	p308	f10v	p308	equal
f138r	13	11	s6	f10v	s6	equal
f138r	13	12	c216	f10v	c216	equal
f138r	13	13	q12	f10v	q12	equal
f138r	13	14	L10	f10v	L10	equal
f138r	14	1	r70	f10v	r70	equal
f138r	14	2	e67	f10v	e67	equal
f138r	14	3	n7	f10v	n7	equal
f138r	14	4	y18	f10v	y18	equal
f138r	14	5	a120	f10v	a120	equal
f138r	14	6	e67	f10v	e67	equal
f138r	14	7	n9	f10v	n9	equal
f138r	14	8	i100	f10v	i100	equal
f138r	14	9	e73	f10v	e73	equal
f138r	14	10	o156	f10v	o156	equal
f138r	14	11	z8	f10v	z8	equal
f138r	14	12	m136	f10v	m136	equal
f138r	14	13	q45	f10v	q45	equal
f138r	14	14	c170	f10v	c170	equal
f138r	15	1	L77	f10v	L77	equal
f138r	15	2	m50	f10v	m50	equal
f138r	15	3	r10	f10v	r10	equal
f138r	15	4	y8	f10v	y8	equal
f138r	15	5	d18	f10v	d18	equal
f138r	15	6	L10	f10v	L10	equal
f138r	15	7	m57	f10v	m57	equal
f138r	15	8	e67	f10v	e67	equal
f138r	15	9	n8	f10v	n8	equal
f138r	15	10	z6	f10v	z8	replace
f138r	15	11	h51	f10v	h81	replace
f138r	15	12	y7	f10v	y7	equal
f138r	15	13	d10	f10v	d10	equal
f138r	15	14	r10	f10v	r10	equal
f138r	16	1	n9	f10v	n9	equal
f138r	16	2	m107	f10v	m107	equal
f138r	16	3	n78	f10v	n38	replace
f138r	16	4	a61	f10v	a61	equal
f138r	17	1	n60	f10v	n60	equal
f138r	17	2	r203	f10v	r203	equal
f138r	17	3	a104	f10v	a104	equal
f138r	17	4	m8	f10v	m8	equal
f138r	17	5	q18	f10v	q18	equal
f138r	17	6	p149	f10v	p149	equal
f138r	17	7	L17	f10v	L17	equal
f138r	17	8	h57	f10v	h57	equal
f138r	17	9	s116	f10v	g116	replace
f138r	17	10	m9	f10v	m9	equal
f138r	17	11	o13	f10v	v13	replace
f138r	17	12	e106	f10v	e106	equal
f138r	17	13	m10	f10v	m10	equal
f138r	17	14	t7	f10v	t7	equal
f138r	17	15	n9	f10v	n9	equal
f138r	18	1	z9	f10v	t9	replace
f138r				f10v	z6	replace
f138r	18	2	d180	f10v	d180	equal
f138r	18	3	d37	f10v	d37	equal
f138r	18	4	m82	f10v	m82	equal
f138r	18	5	f4	f10v	f4	equal
f138r	18	6	m176	f10v	m176	equal
f138r	18	7	i4	f10v	i4	equal
f138r	18	8	c193	f10v	c193	equal
f138r	18	9	o5	f10v	o5	equal
f138r	18	10	p3	f10v	p3	equal
f138r	18	11	z152	f10v	v152	replace
f138r	18	12	f5	f10v	f5	equal
f138r	18	13	o66	f10v	o66	equal
