query_term	referenceCode	date	objectType	type	hierarchy	caption	note	onlyDigitisedMaterials	decision	kind
chiffer	SE/RA/231/231094.1/F 1/51	1914 - 1923	Record	Volume	Konsulatarkiv / Konsulatarkiv Montreal / 1902 års dossiersystem		14 15: Handelsattachébefattningen (1919-1920). 14 16: Komissionen (1920). 14 17: Vicekonsul Jaensson (1922-1923). 14: Meddelanden till pressen (1917); tidningsurklipp rörande svenska konsulatet i Mont	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/162	1927 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Juli-december. Beskickningar.<br>Beskickningar, telegram en clair, se vol. 151.<br>Telegram i chiffer, se vol. 152.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/291	1938 - 1939	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar, telegram en clair, se även vol. 302.<br>Telegram i chiffer, se vol. 276.	False	dropped	
chiffer	SE/RA/25.3/4/II/7/B	1676 - 1677	Record	Dossier	Originaltraktater med främmande makter (traktater) / Tyskland / Kejsaren (Österrike-Ungern) / Fredsfördrag med tillägg	Dokument gällande de svenska fullmakterna	a) Konung Karl XI:s fullmakt för svenske kommissarierna, Stockholm 12 april 1676 Latin Papper, 3 sidor text, sigill.  b) Konung Karl XI:s fullmakt för svenske kommissarierna, Nääs, 6 maj 1677 Latin, d	False	kept:R8	cryptanalysis
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/124	1923 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Juli-december. Beskickningar.<br> Beskickningar, telegram en clair, se vol. 113.<br>Telegram i chiffer, se vol. 114.	False	dropped	
chiffer	SE/RA/221/2210.01.1/F/F 5/F 5 C/7	1700-tal - 1800-tal	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / HANDLINGAR ORDNADE EFTER ÄMNE / Övriga ämnesordnade handlingar / Samlingsserie		Handlingar ang. chiffer, med bl.a. skrivelser från F. Gripenstierna 1786 ang. en chiffermaskin, beskrivningar av chiffersystem under 1700- och 1800-tal, kvitton på mottagna chiffernycklar. Jfr. vidare	False	kept:R9	contribution-caution
chiffer	SE/RA/230/230026/F 2/26	1885 - 1919	Record	Volume	Beskickningsarkiv / Beskickningsarkiv S:t Petersburg / 1902 års dossiersystem		10 B: Beskickningen (1917-1919). 10 B: Depositioner (1918-1919). 10 C: Legationens avresa (1918). 10 C: O. Lundbergs frånvaro och N. Lindhs resa till Stockholm (1919). 10 C: Reklamering av telegram oc	False	dropped	
chiffer	SE/KrA/0202/015:H/F 2		RecordSet	Series	Försvarsstaben / C-byrån	Norska rapporter	Serien bestås nästan genomgående av fotografiska eller fotostatkopior av norsk rapportering. Delvis har denna skett i chiffer som lösts. Till någon del har materialet kommit från Kjesäter, i övrigt öv	False	dropped	
chiffer	SE/RA/202	1500t - 1894	RecordSet	Fonds		Chifferklaver	Sökingången till innehållet är 2 st kortkataloger i volym 20 och 21. Kortkatalogerna är placerade tillsammans med arkivhandlingarna.	False	dropped	
chiffer	SE/RA/230/230004.1/F 2/9	1895 - 1922	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Bryssel / 1902 års dossiersystem		10 G: Beskickningens inventarier (1895-1922). 10 I: Diverse angående beskickningen samt även personalen (1913-1922); angående numreringen av skriftväxlingen med K.U.D., bl.a. felande skrivelser eller 	False	dropped	
chiffer	SE/RA/230/230021.1/F 1/28	1914 - 1924	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Mexico / 1902 års dossiersystem		10 E: Översändande och transport av kansliinventarier (1914). 10 E: Beskickningens arkiv, reklamation av felande skrivelser etc. (1916-1924). 10 E: Arkivets organisation och indelning (1914-1924). 10 	False	dropped	
chiffer	SE/RA/230/230016/F 1/26	1905 - 1922	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Kristiania / 1902 års dossiersystem		10 B 1: Brevväxling mellan Baron Ramel och G.K. Hultman (1921-1922). 10 B 2: Ang. ledighet åt konsulatstjänstemän för överläggning med beskickningschef (1918). 10 B 3: Ny chiffer (1918-1922). 10 B 4: 	False	dropped	
chiffer	SE/RA/230/230012.1/F 1/20	1912 - 1924	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Helsingfors / 1902 års dossiersystem		12 B 1: Användande av chiffer (1917-1918). 12 B 2: Tillägg till konsulär författningssamling n:r 4/5 m.m. (1916-1919). 12 C 1: Generalkonsulns inspektionsresor (1914-1918). 12 E 1: Adresser å konsulat	False	dropped	
chiffer	SE/KrA/0035:0004/0/30		Record	Volume	Adlercreutz, Carlos arkiv och samlingen Överste Carlos Adlercreutz' efterlämnade papper / Arkiv med löpande volymnumrering		"Historik: brev, anteckningar. Anteckningar om Fredrik Thomas Adlercreutz.  Precisering av volymens innehåll: 9. PM av E Gernandt 1941. ""PM I angående vissa erfarenheter från min antikommunistiska verk"	False	dropped	
chiffer	SE/RA/230/230012.1/F 1/19	1916 - 1924	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Helsingfors / 1902 års dossiersystem		10 H: Beskickningens kvinnliga biträden, persondossier: Bergström-Tisell (1918-1922). 10 I: Uppsättande av alarmklockor å beskickningen (1919). 10 I 1: Diverse (1918-1921). 10 I 2: Ansökningar till be	False	dropped	
chiffer	SE/RA/202/1	1500 - 1640	Record	Volume	Chifferklaver		"Chiffernycklar, positiva och resolutiva. I:A och I:6 (I:1, I:2, I:3, I:4, I:5, I:6) 1500-talet (7 akter) I:6-17 (I:6, I:7, I:8 osv) ""Kanslichiffer 1620-1650-talen"", en tjock bunt innehållande 20 små h"	False	dropped	
chiffer	SE/KrA/0791/0/27		Record	Volume	Wernstedt, Folke, arkiv / Arkiv med löpande volymnumrering		Tryckta historiska och krigs- historiska arbeten.  En rangstrid i Norrköping på 1620-talet (1925).  Karl XI:s uppmarschplaner (1926).  Slaget vid Lund 1676 (1926).  Kronobergs regementes historia  (19	False	dropped	
chiffer	SE/KrA/0115/039:Ö/0/109		Record	Volume	Första livgrenadjärregementet / Supplement 1 / Handlingar 1658-1906 i kronologisk ordning		1810/15: Skrifvelse fr. Generaladjutants Exo. ang löjtnant Martin.  1810/16: Ankomne Bref m.m. från Kongl. Krigs och Kammar Collegierne m.fl. År 1810.  1810/17: Ankomna Regements Ordres År 1810.  1810	False	dropped	
chiffer	SE/ULA/12367	1965 - 1996	RecordSet	Fonds		Åklagarmyndigheten i Enköpings åklagardistrikt	Arkivet har gallrats med stöd av Riksarkivets gallringsföreskrifter beslutade åren 1966-1989. Den senast gällande gallringsföreskriften för lokala åklagarmyndigheter är Riksarkivets gallringsbeslut 19	False	dropped	
chiffer	SE/KrA/0092	1968 - 	RecordSet	Fonds		Försvarets materielverk		False	dropped	
chiffer	SE/KrA/0279/001/A/43	1937 - 1945	Record	Volume	Beredskapsverket / Huvudredogörelse / Se anmärkningskolumn		Band V och S I Historik rörande vissa Verk och Styrelser m m.     Försvarets civilförvaltning (Arméförvaltningens civila  departement).  I. P.M. angående kameralbyråns    verksamhet under beredskaps- 	True	dropped	
chiffer	SE/KrA/0279/001/A/5	1937 - 1945	Record	Volume	Beredskapsverket / Huvudredogörelse / Se anmärkningskolumn		Utvecklingen under beredskapstiden  Kap I. Ledningen av signal- och kryptotjänsten A. Telegrafstyrelsens militärbyrå                  sid 9. B. Instruktion för telegrafstyrelsen vid krig eller krigsfa	True	dropped	
chiffer	SE/KrA/0449/3		Record	Volume	Arkivfragment		Bx, FALKENHJELM-JÖNSSON  FALKENHJELM, Anund, överste, död 1697. Fullmakt 12/9 1693 (acc 1942/6);  FEIF, Casten, friherre, president, 1661-1739. Skrivelse från överkommendanten friherre Wilhelm Bennet 	False	dropped	
chiffer	SE/SSA/0040/03	2019 - 	RecordSet	Fonds	Fastighetsnämnden	Fastighetsnämnden	Fastighetskontoret; Stockholms fastighetskontor; Stockholms fastighets- och saluhallsnämnd; Stockholms fastighetsnämnd; FSK; Fastighetsnämnden i Stockholms stad	False	dropped	
chiffrerad	SE/RA/757/36/II/48	1631 - 	Record	Document	Riksarkivets ämnessamlingar. Miscellanea / Strödda historiska handlingar / Handlingar från Gustav II Adolfs tid	Johan Casimirs egenhändiga relation till Kungl. Maj:t	24 mars<br> Ang. finansförvaltningen (duplett, delvis chiffrerad)	False	dropped	
chiffernyckel	SE/KrA/0035:0157/0/16		Record	Volume	De Champs, Charles Leon,arkiv / Arkiv med löpande volymnumering		Handlingar rörande de Champs chifferapparat, bl a chiffernyckel och foto.	False	dropped	
chiffernyckel	SE/RA/721512/II/II 1/II 1 B/4	1755 - 1764	Record	Volume	Beskickningsarkivet från Biby / Beskickningarna till Konstantinopel 1737-1779 / Korrespondens / Korrespondens med hemlandet		Brevkoncept av Gustaf Celsing till Georg Wilhelm af Sillén 1755-1757, 1760-1764, odat. Med ett brevkoncept av Gustaf Celsing till greve Ekeblad 3 maj 1763 samt ett odaterat till Nensén.  Med chifferny	False	kept:R2	recovery
chiffernyckel	SE/ULA/13506/1/I/45		Record	Volume	Leufstaarkivet / Leufstaarkivet I / Leufsta arkiv. Det historiska arkivet		Brev från W. Lancken (?) 1644, 2 st. Förteckning å förluster som Louis de Geer lidit genom konungen av Danmark 1645 - 1646. Louis de Geers förslag till anskaffande av medel för att betala flottan med 	False	kept:R3	recovery
chiffernyckel	SE/RA/721512/IV/IV 1/5	1779 - 1782	Record	Volume	Beskickningsarkivet från Biby / Ulric Celsings tid i Dresden, Wien och Sverige 1780-1805 / Korrespondens		Korrespondens med Ignace Mouradgea d'Ohsson, anställd vid beskickningen i Konstantinopel 1763, förste dragoman 1768, slutligen svensk minister i Konstantinopel 1795-1799. Brev och brevkoncept ligger t	False	kept:R1	recovery
chiffernyckel	SE/VALA/02038/-/1	1791 - 1919	Record	Volume	Falkenbergska samlingen / Handlingar		Handlingar främst härrörande från medlemmar av släkterna Falkenberg, Rydingsvärd och Qveckfeldt.  Innehåll:  1. Brev (se särskild brevskrivarförteckning=Bilaga 2). 2. Biografiska uppgifter angående He	False	dropped	
