catalogue	reference	title_or_desc	date	held_by_or_source	verdict	cipher_note	decipher_note	digitised	edition_risk	score
TNA Discovery	SP 90/2/337	Folio 337: Raby to [Hedges]. Court news. No news of Bavarian negotiations. Use of ciphers....	1704 May 6	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/82	Folio 136: [-] to the Bishop of Münster. Still further difficulties in Franco-Dutch negotiations: position...	1662 Mar 30	The National Archives, Kew	survives					
TNA Discovery	SP 90/2/409	Folio 409: Reichart to [Berlepsch]. Excuses long silence. Promises future correspondence. No news about hostages,...	1704 June 2	The National Archives, Kew	survives					
TNA Discovery	SP 84/165/14	Folio 23: Wickfort to [-]. Fisheries still proving a hindrance to the treaty. Spain has...	1662 Jan 18	The National Archives, Kew	survives					
TNA Discovery	SP 90/2/348	Folio 348: Raby to [Hedges]. Military news. Frederick I is negotiating advantageous treaties with Bayreuth...	1704 May 13	The National Archives, Kew	survives					
TNA Discovery	SP 90/7/149	Folio 149: Whitworth to Townshend. Copy of a private letter from Whitworth to Stanhope, being...	1716 Nov. 24/Dec. 5	The National Archives, Kew	survives	Partly in cipher.		false	medium-high (high for /358 specifically)	30
TNA Discovery	SP 54/25/5	Lord Advocate Craigie to Secretary Tweeddale. Reporting the arrest of Sir Hector MacLean, George Blaw...	[1745 June 5]	The National Archives, Kew	survives	2 papers Copy			high	27
TNA Discovery	SP 89/16/39	Folio 73: Charles Fanshaw to Sir Leoline Jenkins. The French Ambassador's public audience. Seems he...	1684 Apr 24, NS	The National Archives, Kew	survives	Partly in cipher		false	medium	30
TNA Discovery	SP 90/7/212	Folio 212: Whitworth to Stanhope. The possibility of the King of Prussia having a separate...	1716/7 Jan. 5/16	The National Archives, Kew	survives	Partly in cipher.		false	medium-high (high for /358 specifically)	30
TNA Discovery	SP 81/6/125	Folio 125: Palavicino to Burghley, with a cipher key.	1590 Dec. 18	The National Archives, Kew	survives			false	medium	35
TNA Discovery	SP 81/7/239	Folio 239: Jn. Wrothe to Cecil with cipher key.	1596 Sept. 7	The National Archives, Kew	survives			false	medium	34
TNA Discovery	SP 35/71/62	Former Reference J14. Cipher key enclosed in SP 35/71/61.	Undated [1719-1722]	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/71/61	Former Reference J13. Anonymous letter to Lord Townsend, enclosing cipher key, received by the Dutch...	1722 June 23	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/36/37	Former reference H37. Copy of cipher-key and cipher with Mr Farmer and Jery, enclosed under...	[? 1722]	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/35	Former reference H35. Copy of cipher-key in French, directed to Mr Burton. With two further...	[? 1722]	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/34	Former reference H34. Copy of cipher and cipher-key, enclosed in a cover to Mrs Burton...	[? 1722]	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/36	Former reference H36. Copy of cipher-key in French, directed to Mr Burton. With two further...	[? 1722]	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/26	Former reference H26. Extract from anonymous to Madame Lucy, Rue des Carmes, Bruges [Belgium]. Mrs...	1722 Sep 4	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/33	Former reference H33. Extract from anonymous to Mr Burton at Mrs Whitten's house, Great Ryder...	1722 Nov 1	The National Archives, Kew	survives					
TNA Discovery	SP 35/37/11B	Former reference F11b. Copy of the further deposition of John Malone. Confirms handwriting of a...	1723 Jan 29	The National Archives, Kew	survives				high	29
TNA Discovery	SP 35/36/28	Former reference H28. Extract from anonymous to Madame Lucy, Rue des Carmes, Bruges [Belgium]. Friends...	1722 Sep 18	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/29	Former reference H29. Extract from anonymous to Mr Burton at Mrs Whitten's house, Great Ryder...	1722 Oct 1	The National Archives, Kew	survives					
TNA Discovery	SP 35/36/7	Former reference H7. Copy of the examination of Edward Jernegan, of St Giles in the...	1722 Oct 24	The National Archives, Kew	survives					
TNA Discovery	SP 105/60/135	Folio 135. To [? Paget]. Fragment, i.e. concluding portion of a letter giving details of...	1694	The National Archives, Kew	survives	[hand of Plantamour].		false	medium	33
TNA Discovery	SP 35/39/21	Former reference B21: BY1-42. Copies of papers in the larger bundle belonging to Layer taken...	[? 1722]	The National Archives, Kew	survives				high	29
BL Archives and Manuscripts	Add MS 6912	King Charles I paper for Lord Digby, in cipher	1640s	Western Manuscripts	survives					
BL Archives and Manuscripts	IOR/Z/E/4/24/S416	Sind, Intelligence of presence of European at Herat with papers in cipher forwarded through	1853-1854	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	IOR/L/PJ/6/141, File 2398	Bringing to notice two mistakes which have occurred in telegrams sent in cipher words taken from the Word Code	11 Nov 1884	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Add MS 20634-20635	 DRAFTS of letters of the Archbishop of Myra, as Papal Nuncio at Naples, to the Papal Secretary of State, to be written in cipher, or in answer to letters in cipher; 21 April, 1744-13 March, 1753. Ita	21 Apr 1744-13 Mar 1753	Western Manuscripts	survives					
BL Archives and Manuscripts	IOR/Q/25/1/78	Letter from J.D. Peek, Cabinet Office, to A. Harnett, Office of the UK High Commissioner in India, regarding the transmission of telegrams in cipher	21 Feb 1947	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	IOR/L/PJ/6/1859, File 4486	File 4486 - Assurance by the Government. of India Home Department. to assign numbers to all telegrams issued to the S. of S. in code or in cipher	Aug-Oct 1923	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Mss Eur D623/30		25 Apr 1800	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/35		21 Jun 1800	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/5		6 Jul 1798	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/36		9 Jul 1800	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/11		11 Oct 1798	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	RP 1998/3		[1979-1985]	Western Manuscripts	survives					
BL Archives and Manuscripts	IOR/Z/E/4/30/T98	Telegraphic Communication, Boxes containing vocabulary and apparatus for use in sending cipher messages to Calcutta	1857	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Add MS 89317/5/61	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Sardinia, Sicily and Naples	1804-1806	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	IOR/Z/E/4/30/C118	Calcutta, Telegraphic communication, Boxes containing vocabulary and apparatus for use in sending cipher messages sent to	1857	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Harley MS 482	 Diary of Simonds D’Ewes 1643 	1643	Western Manuscripts	survives					
BL Archives and Manuscripts	RP 1998/6		[1979-1985]	Western Manuscripts	survives					
BL Archives and Manuscripts	RP 8911/22		22 Mar 2006	Western Manuscripts	survives					
BL Archives and Manuscripts	Mss Eur D623/28		6 Mar 1800	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/27		5 Mar 1800	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/24		7 Jun 1799	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623	Despatches, correspondence and minutes, some in cipher, of Richard Colley Wellesley, 2nd Earl of Mornington and Marquess Wellesley (1760-1842), Governor General of Bengal 1790-1805, including secret a	1798-1810	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Harley MS 481	Diary of Simonds D’Ewes 1621-1624	1621-1624	Western Manuscripts	survives					
BL Archives and Manuscripts	Mss Eur D623/10		4 Sep 1798	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur D623/23		16 May 1799	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Add MS 45521		1738-1750	Western Manuscripts	survives					
BL Archives and Manuscripts	Mss Eur D623/4		1798	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Add MS 89317/9/10	 Correspondence of Granville Leveson-Gower, first Earl Granville, first Russian mission: private letters received 	24 Oct 1804-20 Jun 1806	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Mss Eur D623/22		11 May 1799	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Mss Eur F126/43, f 103v-104	 Letter from Lewis Pelly, Shiraz to Charles Alison 	20 Jul 1868	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Add MS 28386-28388	 LETTERS, reports, etc., from the Netherlands, including letters of the Duke of Alva, Francisco de Ybarra, Don Lope Çapata, and others; those in the first two volumes being chiefly addressed to Cardin	1565-1604	Western Manuscripts	survives					
BL Archives and Manuscripts	Sloane MS 3082		17th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/60/1	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Prussia	1804-1806	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	RP 4901		2 Jan 1992	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 39771		7 Apr 1799-15 Aug 1802	Western Manuscripts	survives					
BL Archives and Manuscripts	Egerton MS 1968	 ORIGINAL letters on English political affairs from - Croul1é, secretary to Pomponne de Bellièvre, Seigneur de Grignon, French agent in England, addressed to the latter after his return to France, wit	30 Apr 1649-19 Jan 1651	Western Manuscripts	survives					
BL Archives and Manuscripts	Egerton MS 2050		25 Dec 1665-28 May 1666	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/59	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Hamburg	1804-1806	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Add MS 20336		25 Aug 1715-2 Dec 1726	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/88	 Private and semi-official letters from representatives in Russia to Granville Leveson-Gower, 1st Earl Granville when Ambassador to France 	1826-1835	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Egerton MS 2619		1642-1645	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8730	 COLLECTION OF 87 AVVISI TO THE PAPAL SECRETARY OF STATE FROM FRANCE; 1624-1627. Italian, Latin, and French. Partly copies, partly in cipher. Imperfect. The avvisi list miscellaneous news (wars and po	1624-1627	Western Manuscripts	survives					
BL Archives and Manuscripts	Mss Eur F699/1/1/1/14/19	17. Letter from Lord Elphinstone	11 Aug 1856	India Office Records and Private Papers	survives				not assessed (1 of 5 opened: see N/A note, item 30 in Mss Eur F699/1/1/3/4 is a genuine cipher message to Outram, 10 Nov 1857)	
BL Archives and Manuscripts	IOR/L/F/7/202	Collection 23/25: Bills and Telegraphic Transfers: Form of telegraphic advice on telegraphic transfers to India. Instructions regarding account to be credited only included when such account is that o	1920-1923	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Add MS 4956	 APOLLO ANGLICANUS: an almanack published by Richard Saunder; 1698 	1698	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 46690		4 May 1751-10 Sep 1753	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89557	Letters from spymaster Francis Drake to diplomat Charles Stuart	1803-1804	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 63625	 EDWARD SOMERSET, 2ND MARQUESS OF WORCESTER: 'A Centurie of the Names &amp; scantlings of such Inventions as att present I can call to mynde to have tryed &amp; perfected ...', 'From August the 29th 1	c 1659-1663	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 20307		3 Nov [1703]-19 Aug 1726	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 65145		Oct 1777-Nov 1778	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 72399		after 1622	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/57	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Austria	1804-1807	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Add MS 89317/5/58	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Denmark	1805-1807	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	IOR/L/PS/5/266, ff 505-506	Request for a Copy of the Foreign Office Cipher Code	11 Jan 1871	India Office Records and Private Papers	survives	administrative correspondence about cipher/code logistics, not ciphertext			n/a (not a cipher)	
BL Archives and Manuscripts	Add MS 35105-35106	 Correspondence of the Rev. John Robinson, D.D., British Agent (from 1696 Envoy extraordinary) in Sweden [Bishop of Bristol 1710, of London 1714-1723, Lord Privy Seal 1711-1713] with William Blathwayt	1693-1702	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8768		29 Nov 1631-25 Aug 1635	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 61861 B		1778-1781	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 35097		28 Aug 1635-4 Feb 1639	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 18777-18780	 JOURNALS of proceedings in the House of Commons, and of public events in England, from 19 Sept. 1642 to 10 Dec. 1645; kept by Walter Yonge, of Colyton, co. Devon, Barrister at Law, and member for Hon	17th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 45518-45520	 WILLES PAPERS. VOIS. I-III (ff. 56, 111, 82). Miscellaneous papers, mostly relating to ciphersIncluded is correspondence of:- (1) Edward Willes, Bishop of St David's and (1743) of Bath and Wells, 172	1720-1844	Western Manuscripts	survives					
BL Archives and Manuscripts	Egerton MS 1176	 ORIGINAL Letter of the Cardinal Infante of Spain [Ferdinand, Archbishop of Toledo, son of Philip III.] to Don Alonzo de Cardenas, of the Council of Naples; Brussels, 29 Apr. 1639. Span. Signed. In ci	1639-1660	Western Manuscripts	survives					
BL Archives and Manuscripts	Arundel MS 151		16th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 21483	 AUTOGRAPH letters to James II., and others, from 1669 to 1688, viz: 1. Anonymous letters, partly in cipher, on political affairs, with a key to some of the names; 25 Sept., 5 Oct. 1669, ff. 1-8. 2. J	1669-1688	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38239		Oct 1803-16 Dec 1803	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8767		4 Jan 1631-25 Dec 1632	Western Manuscripts	survives					
BL Archives and Manuscripts	Egerton MS 2813	 LETTER-BooK of Sir Dudley Carleton [cr. Baron Carleton 1626, and Viscount Dorchester 1628], Ambassador to Venice; Jan.-Sept. 1615. During the greater part (Feb.-July) of this time Carleton was on a s	Jan 1615-Sep 1615	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38237		Jan 1797-Sep 1802	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8775	 FALCONIERI LETTER-BOOK: Letters and dispatches to and from Ottavio Falconieri, abbot of St. Jerome in Fiesole, as papal internuncio at Brussels (Oct. 1672 - 3 Nov. 1674); 1672-1675. Italian, French, 	1672-1675	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 4106		1473-1657	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8776	 FALCONIERI LETTER-BOOK: Letters to Ottavio Falconieri, abbot of St. Jerome in Fiesole, as papal internuncio at Brussels (Oct. 1672 - 3 Nov. 1674); 1673-1676. Italian, and French. Mostly autograph and	1673-1676	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8697		3 Feb 1624-21 Jul 1626	Western Manuscripts	survives					
BL Archives and Manuscripts	Egerton MS 2900	Constantinus Africanus, Viaticum; various medical tracts	2nd half of the 12th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 4903	 LETTERS TO QUEEN ANNE, from the Elector of Hanover, the Duke of Savoy, etc.; 1701-1714 	1701-1714	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8734-8735	 GUIDI DEL BAGNO LETTER-BOOKS: Dispatches and letters to Niccolò Guidi del Bagno, Bishop of Athens, nuncio to France (25 June 1643 - Dec. 1656); 1644-1656 	1644-1656	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 29206		[1759-1816]	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38240		21 Dec 1803-Apr 1804	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/60/2	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Prussia	1807	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Add MS 20654		6 Oct 1756-25 May 1757	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 89317/5/62	Official, semi-official and private letters to Granville Leveson-Gower, 1st Earl Granville when Ambassador to Russia, from English representatives in Sweden	1804-1807	Western Manuscripts	survives	file scope note lists constituent letters, several '(in cipher, deciphered)'	most constituent letters already deciphered by the cataloguer		high	27
BL Archives and Manuscripts	Add MS 8693-8698	 SACCHETTI CORRESPONDENCE AND PAPERS: Vols. I-VI; 1623-1626. Italian, Spanish, and Latin. Copies, partly in cipher. Registers of secret dispatches, letters and correspondence of Cardinal Giulio Sacche	1623-1626	Western Manuscripts	survives	registers of secret dispatches, 'partly in cipher' per top-level scope note			high	33
BL Archives and Manuscripts	Add MS 18981	Royalist correspondence, primarily addressed to Prince Rupert, 1643-1644	1643-1644	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 24321	 LETTERS in cipher, relating to American affairs; 1777-1781 mostly copies; with deciphering, viz:- 1. [Victor Amadeus II.] King , of Sardinia to the Marquis de Cordon Turin, 26 Apr.. 1777. Fr. f. 1. 2	1777-1781	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38038	 ORIGINAL DISPATCHES, many of them in duplicate, from Alfonso VI., King of Portugal, and his ministers [Luis de Sousa e Vasconcellos], Conde de Castello Melhor, and Antonio de Sousa de Macedo, to Fran	1662-1666	Western Manuscripts	survives					
BL Archives and Manuscripts	Stowe MS 387		Mid 15th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 6875	Letters of various distinguished persons (royal, aristocratic, papal) of continental Europe (France, Italy, Poland, Spain, Hungary, Austria) A further volume of the above (6874)	1592-1616	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Vitellius B XIII	Records and papers concerning England and Rome, 1530–1532	2nd quarter of the 16th century	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Add MS 39779		1598-1808	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 46822		1790-1814	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8766-8768	 CARAFA LETTER-BOOKS: Dispatches from Cardinals Francesco and Antonio Barberini to Pier Luigi Carafa as papal nuncio to Cologne (17 Apr. 1624 - 20 Nov. 1634); 1624-1635. Italian, Latin and Spanish. Si	1624-1635	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 30305-30306	 CORRESPONDENCE Of the family of Fairfax, of Denton, co. York, chiefly on private affairs ; 1600-1827. In vol. i. are several letters and papers relating to the endowment by William Ackroyd, Rector of	1600-1827	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8351	 RELAZIONE AND LETTER relating to Spain, Milan, Naples and Sicily; circa 1555-1653. Italian. Copies. Table of contents (f. ii), added later. Old signature in pencil 'Tom. CIX' in upper right corner of	c 1555-1653	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8774	 CHIGI LETTER-BOOK: Register of correspondence of Fabio Chigi, Bishop of Nardò and future Pope Alexander VII, when envoy extraordinary of Pope Innocent X to the conference of Münster (1644 - 1651); 16	1644-1650	Western Manuscripts	survives					
BL Archives and Manuscripts	Mss Eur C307/2		Unspecified	India Office Records and Private Papers	survives					
BL Archives and Manuscripts	Add MS 38504		22 Nov 1726	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8527-8530	 FONTANINI LETTER-BOOKS; 1703-1726. Italian and Latin. Copies, partly in cipher. Letters of Giusto Fontanini (1666-1736), abbot of Sesto al Reghena (1711), archbishop of Ancyra (1725), cameriere d'ono	1703-1726	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8770		1634-1638	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8370	 BAGLIONI LETTER-BOOK: Registers of dispatches to and from Malatesta Baglioni, Bishop of Pesaro, as papal nuncio to the Emperor Ferdinand II (8 Sept. 1634 - 8 Aug. 1639); 1634-1637. Italian. Copies. T	1634-1637	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 12097		1536?-1697	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8526	 MARIA CASIMIRA, QUEEN OF POLAND: Letters to Clement XI; 1702-1709. French and Italian. Partly in cipher. Autograph. Collection of letters sent to Pope Clement XI (1700-1721) by Queen Marie Casimire S	1702-1709	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Vitellius B VII	Records and papers concerning England and Rome, 1525	1st half of the 16th century	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Add MS 43073		8 Jul 1813-16 Sep 1813	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8753	 GUIDI DEL BAGNO LETTER-BOOK: Dispatches and letters of Niccolò Guidi del Bagno, Bishop of Athens, nuncio to France 25 June 1643 - Dec. 1656; 1655-1657. Italian and Latin. Copies. The dispatches are m	1655-1657	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 43077		12 Feb 1814-17 Aug 1814	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 43230		1809-1820	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Galba B VII	Records and papers concerning England and Burgundy, 1521–1522	1st quarter of the 16th century	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Add MS 4279		c 1624-1683	Western Manuscripts	survives					
BL Archives and Manuscripts	Harley MS 296	 A collection of original letters and transcripts, concerning Spain, Portugal, Italy, Germany, Denmark, Russia and Morocco 	1st quarter of the 16th century-1st quarter of the 17th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Harley MS 297	 Transcripts of letters and papers concerning state and foreign affairs, mostly during the reigns of Henry VII and Henry VIII 	1st quarter of the 17th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38373		1642-1764	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 33594	Correspondence and Papers of Sir Ralph Sadler, Volume IV (1580-1585)	1580-1585	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 43229		1801-1808	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Vespasian C VIII	Records and papers (originals and transcripts) concerning Anglo-Spanish relations, 1587-1603	1587-1631	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Add MS 32499	 LETTER-BOOK of John Wallis, D.D., Savilian Professor of Astronomy at Oxford, decipherer of political correspondence to the government, etc., containing originals and copies of ciphered letters, with 	1651-1701	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 46837		1803-1861	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 8280	 MISCELLANEOUS COLLECTION of relazioni, discourses, tracts, letters, treaties, papal instructions and investitures relating to the Papacy, Venice, Turkey, Siena, Tuscany, the Council of Trent, Aragon,	17th century	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 38571		c 1798-c 1812	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 28698	 ORIGINAL letters and papers of the royal family and nobility of Spain, etc.; 1483-1616. Spanish. 1. Isabella of Castile to Don Alfonso de Cordova de la casa de Aguilar; Madrid, 18 Mar. 1483. Signed. 	1483-1616	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Galba B IV	Records and papers concerning England and Burgundy, 1516	c. 1516	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Mss Eur F699/1/1/3/4	Letters from the Commander in Chief: General Sir Colin Campbell	18 Aug 1857-30 Dec 1857	India Office Records and Private Papers	survives				not assessed (1 of 5 opened: see N/A note, item 30 in Mss Eur F699/1/1/3/4 is a genuine cipher message to Outram, 10 Nov 1857)	
BL Archives and Manuscripts	Add MS 21382	 OFFICIAL letters and papers relating to the negotiations of Margaret of Savoy, Archduchess of Austria and Governess of the Low Countries, with the different States of Europe from 1467 to 1627: 1. Ant	[1467]-[1610]	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 48049	Papers relating to Scotland and Mary, Queen of Scots, 1565-c. 1600	1560-1605	Western Manuscripts	survives					
BL Archives and Manuscripts	Cotton MS Vespasian C I	 Correspondence concerning England and Spain, 1511-1520 	1511-1520	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Mss Eur F699/1/2/2/184	‘No. 70 Private Secretary’s Correspondence’, Nos. 6901 to 6950	Mar 1860-Apr 1860	India Office Records and Private Papers	survives				not assessed (1 of 5 opened: see N/A note, item 30 in Mss Eur F699/1/1/3/4 is a genuine cipher message to Outram, 10 Nov 1857)	
BL Archives and Manuscripts	Cotton MS Caligula C VI	Records and papers (originals and copies) concerning England and Scotland, 1580–1581	1580-1st half of the 17th century	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Cotton MS Galba D III	Records and papers concerning England and the Low Countries, 1588–1589	1588-1589	Western Manuscripts	survives				very high	25
BL Archives and Manuscripts	Add MS 8716	 FARNESE CORRESPONDENCE RELATING TO FRANCE AND PORTUGAL; 1539-1540, 1560-1564. Italian. Copies, partly in cipher. Correspondence of Cardinal Alessandro Farnese (1520-1589), nephew of Pope Paul III Far	1539-1564	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 62401	 PAPAL DIPLOMACY: letters to Abbate Atto Melani, when Auditor in Paris; 1699-1702. Partly in cipher with deciphering. Italian. For related material, see the papers of Cardinal Filippo Antonio Gualteri	1699-1702	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 20426-20431	 LETTERS of the Abbate Pietro Francesco Albicini to Card. Gualterio; 1707-1718. Ital. Holograph; a few in cipher, with decipherings. Six volumes. Paper. Quarto and Folio. 	1707-1718	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 26851-26854	 ORIGINAL, letters from the court of Rome to Monsignore de' Massimi, Nincio in Spain; Dec. 1653-Aug. 1658. Some in cipher. Ital. and Lat. Four volumes. Among the writers are:- Cardinal [Camillo] Pamph	Dec 1653-Aug 1658	Western Manuscripts	survives					
BL Archives and Manuscripts	Add MS 18662	" ORIGINAL letters endorsed with the name ""Pellegrino,"" and subscribed ""Del Luoco Antico,"" or ""Solito,"" or signed ""Il Solito,"" to an agent (apparently Giovanni Maria Massara; see fol. 93) of Cardinal A"	17th century	Western Manuscripts	survives					
