catalogue	reference	title_or_desc	date	held_by_or_source	verdict
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10039048x	Evangelium Lucae cum glossa ordinaria.	1275-1400	Bibliothèque nationale de France. Département des manuscrits. Latin 290	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9059630p	Recueil de lettres et de pièces originales.	1601-1700	Bibliothèque nationale de France. Département des Manuscrits. Français 3516	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100392242	Biblia sacra cum glossis, pars.	1075-1200	Bibliothèque nationale de France. Département des Manuscrits. Latin 480	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9076464d	Guillelmus Durandi , Rationale divinorum officiorum. III	1375-1500	Bibliothèque nationale de France. Département des Manuscrits. Latin 719	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9068044m	Petrus Lombardus, Commentarius in Psalmos.	1201-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 411	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100391917	Novum Testamentum cum glossa ordinaria, pars.	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 691	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10039185m	Evangelium Lucae cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 694	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100346202	Isaias et Daniel, cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 149	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10037434j	"Prediche di Girolamo Savonarola, precedute da due proemi di "" sere. luca betini florentino de l'ordine di predicatori "" e di "" Lorenzo Vinnoli notaio florentino ""."	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. italien 104	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b105154837	Aug. libri 1-9 de civitate Dei.	0601-0700	Bibliothèque nationale de France. Département des Manuscrits. Latin 12214	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9076864s	Aug. libri 1-9 de civitate Dei.	0601-0700	Bibliothèque nationale de France. Département des Manuscrits. Latin 12214	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10721525h	Evangelia cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 279	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b84260541	Leviticus cum glossa ordinaria.	1175-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 184	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100321962	Règle de s. Benoît.	0901-1000	Bibliothèque nationale de France. Département des manuscrits. Latin 10884	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10039183q	Prophetae minores cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 508	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10035842w	Homélies.	1101-1200	Bibliothèque nationale de France. Département des Manuscrits. Latin 12406	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100772057	Sacramentaire de l'église de Tours	0901-1000	Bibliothèque nationale de France. Département des Manuscrits. Latin 9430	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b6000434v	Speculum humanae salvationis.	1301-1500	Bibliothèque nationale de France. Département des Manuscrits. Latin 511	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9080988z	Petrus Aureoli, Compendium litteralis sensus totius Scripturae.	1301-1400	Bibliothèque nationale de France. Département des Manuscrits. Latin 352	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52509093h	Eginhardus, Epistulae (Lettres d'Eginhard et formules)		Bibliothèque nationale de France. Département des Manuscrits. Latin 11379	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9066117f	Constitutiones synodales archiepiscopatus Calaritani.	1601-1700	Bibliothèque nationale de France. Département des manuscrits. Latin 1544	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b108678937	Eginhardus, Epistulae (Lettres d'Eginhard et formules)		Bibliothèque nationale de France. Département des Manuscrits. Latin 11379	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100392153	Genesis cum glossa ordinaria. Radulphus Flaviacensis	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 66	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10039045k	Evangelium Matthaei cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 287	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9068305j	Registres des lettres de maître ès arts délivrées par l'université de Paris, de 1632 à 1793. Latin 9158		Bibliothèque nationale de France. Département des manuscrits. Latin 9158	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100386247	Biblia sacra.	1275-1400	Bibliothèque nationale de France. Département des manuscrits. Latin 161	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b100390177	Hugo de Sancto Victore, De sacramentis christianae fidei. II	1101-1200	Bibliothèque nationale de France. Département des Manuscrits. Latin 2534	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9061004x	Compilation anonyme d'histoire sainte et d'histoire universelle.	1401-1500	Bibliothèque nationale de France. Département des Manuscrits. Français 6362	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52514263m	Térence.	1401-1500	Bibliothèque nationale de France. Département des Manuscrits. Latin 10305	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10034623d	Daniel cum glossa ordinaria.	1201-1300	Bibliothèque nationale de France. Département des Manuscrits. Latin 578	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52512260k	"Opuscules astronomiques, dont l'un composé par ""Johannes Blanchinus""."	1468	Bibliothèque nationale de France. Département des Manuscrits. Latin 10267	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10036992p	Glose sur les Rois.	1201-1300	Bibliothèque nationale de France. Département des manuscrits. Latin 9408	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10035846p	[Appianus, de bellis Hispan.].	1601-1700	Bibliothèque nationale de France. Département des manuscrits. Latin 9685	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10039049c	Evangelia cum glossa ordinaria, pars.	1101-1200	Bibliothèque nationale de France. Département des manuscrits. Latin 289	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9068350c	Missel de Cologne noté en neumes.	1133	Bibliothèque nationale de France. Département des Manuscrits. Latin 12055	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b10868927v	Papiers de Montfaucon. Latin 11919		Bibliothèque nationale de France. Département des Manuscrits. Latin 11919	dropped:query-too-broad(numbering,not-cipher)
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90601328	Recueil de lettres originales et de copies indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 3083	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90599292	Recueil de lettres originales.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 3077	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060548h	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3976	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060015d	Recueil de lettres et de pièces originales.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3096	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060311s	Recueil de lettres originales.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 3078	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060156p	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3045	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b52524472n	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3621	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9059870w	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des manuscrits. Français 3040	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060543f	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3982	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9060054h	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3012	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b525245007	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1700	Bibliothèque nationale de France. Département des Manuscrits. Français 3623	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b90601558	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	Bibliothèque nationale de France. Département des Manuscrits. Français 3022	excluded
Gallica SRU	https://gallica.bnf.fr/ark:/12148/btv1b9001053r	Documents originaux et copies, mémoires et extraits tirés de la Bibliothèque du Roi, fonds de Béthune, Brienne, etc., pour servir aux études d'histoire du Dauphin sous la direction de Bossuet, et conc	1501-1800	Bibliothèque nationale de France. Département des Manuscrits. Clairambault 357	excluded
