line	pos	group	conf	alt
mssDE108A_p6_L07	6	555	H	
mssDE108A_p6_L07	7	1072	H	
mssDE108A_p6_L07	8	337	H	
mssDE108A_p6_L07	9	987	H	
mssDE108A_p6_L07	10	10	H	
mssDE108A_p6_L07	11	686	H	
mssDE108A_p6_L08	1	1028	H	
mssDE108A_p6_L08	2	441	H	
mssDE108A_p6_L08	3	316	H	
mssDE108A_p6_L08	4	448	H	
mssDE108A_p6_L08	5	224	H	
mssDE108A_p6_L08	6	320	H	
mssDE108A_p6_L08	7	366	H	
mssDE108A_p6_L08	8	1199	H	
mssDE108A_p6_L08	9	1012	H	
mssDE108A_p6_L08	10	425	H	
