page	line	idx	group	key_value	key_grade	is_fill	is_conflict	b_gloss	verdict
p6	L05	7	651					parti?	n/a
p6	L05	8	884	que	C			que	agree
p6	L05	9	32	vous	C			vous	agree
p6	L05	10	1076					prendre?	n/a
p6	L05	11	415	rendre	M			rend?	agree
p6	L06	1	1181	se	C			se	agree
p6	L06	2	355	ras	C			ra	agree
p6	L06	3	381	le	C			le	agree
p6	L06	4	830	plus	C			plus	agree
p6	L06	5	1113	pro	M	y		pro	agree
p6	L06	6	880	pres	C			pre	agree
p6	L06	7	202	a	C			a	agree
p6	L06	8	540					considerer?	n/a
p6	L06	9	993					la?	n/a
p6	L06	10	890	la	C			la	agree
p6	L06	11	262					gloire?	n/a
p6	L06	12	707	des	C			des	agree
p6	L07	1	697	armes	C			armes	agree
p6	L07	2	109	du	C			du	agree
p6	L07	3	463	roy	C			auguste?	disagree
p6	L07	4	402	avec	M			avec	agree
p6	L07	5	947	les	C			les	agree
p6	L07	6	555	re	C			re	agree
p6	L07	7	1072					gle?	n/a
p6	L07	8	337	dela	C			dela	agree
p6	L07	9	987					?	n/a
p6	L07	10	16					plus?	n/a
p6	L07	11	686	n	M			de?	disagree
p6	L08	1	1028	ce	C			ce	agree
p6	L08	2	441					nul?	n/a
p6	L08	3	316					unis?	n/a
p6	L08	4	448					?	n/a
p6	L08	5	224					mordi?	n/a
p6	L08	6	320					?	n/a
p6	L08	7	366					ne?	n/a
p6	L08	8	1199	puis	C			puis	agree
p6	L08	9	1012					plus?	n/a
p6	L08	10	425	etablir	C			vant?	disagree
