line	position	sign
hstam_4_h_1411_0023_L22	8	8
hstam_4_h_1411_0023_L22	9	50
hstam_4_h_1411_0023_L22	10	29
hstam_4_h_1411_0023_L22	11	15
hstam_4_h_1411_0023_L22	12	13
hstam_4_h_1411_0023_L22	13	55
hstam_4_h_1411_0023_L22	14	91
hstam_4_h_1411_0023_L22	15	29
hstam_4_h_1411_0023_L22	16	97
hstam_4_h_1411_0023_L22	17	77
hstam_4_h_1411_0023_L22	18	93
hstam_4_h_1411_0023_L22	19	27
hstam_4_h_1411_0023_L22	20	55
hstam_4_h_1411_0023_L22	21	77
hstam_4_h_1411_0023_L22	22	95
hstam_4_h_1411_0023_L22	23	30
hstam_4_h_1411_0023_L22	24	11
hstam_4_h_1411_0023_L22	25	43
hstam_4_h_1411_0023_L22	26	61
hstam_4_h_1411_0023_L22	27	86
hstam_4_h_1411_0023_L22	28	27
hstam_4_h_1411_0023_L22	29	16
hstam_4_h_1411_0023_L22	30	30
hstam_4_h_1411_0023_L22	31	25
hstam_4_h_1411_0023_L22	32	13
hstam_4_h_1411_0023_L22	33	84
hstam_4_h_1411_0023_L22	34	26
hstam_4_h_1411_0023_L22	35	24
hstam_4_h_1411_0023_L22	36	83
hstam_4_h_1411_0023_L22	37	37
hstam_4_h_1411_0023_L22	38	58
hstam_4_h_1411_0023_L23	1	97
hstam_4_h_1411_0023_L23	2	22
hstam_4_h_1411_0023_L23	3	61
hstam_4_h_1411_0023_L23	4	83
hstam_4_h_1411_0023_L23	5	16
hstam_4_h_1411_0023_L23	6	30
hstam_4_h_1411_0023_L23	7	11
hstam_4_h_1411_0023_L23	8	23
hstam_4_h_1411_0023_L23	9	97
hstam_4_h_1411_0023_L23	10	84
hstam_4_h_1411_0023_L23	11	97
hstam_4_h_1411_0023_L23	12	83
hstam_4_h_1411_0023_L23	13	66
hstam_4_h_1411_0023_L23	14	30
hstam_4_h_1411_0023_L23	15	29
hstam_4_h_1411_0023_L23	16	16
hstam_4_h_1411_0023_L23	17	83
hstam_4_h_1411_0023_L23	18	94
hstam_4_h_1411_0023_L23	19	13
hstam_4_h_1411_0023_L23	20	52
hstam_4_h_1411_0023_L23	21	58
hstam_4_h_1411_0023_L23	22	90
hstam_4_h_1411_0023_L23	23	58
hstam_4_h_1411_0023_L23	24	10
hstam_4_h_1411_0023_L23	25	30
hstam_4_h_1411_0023_L23	26	11
hstam_4_h_1411_0023_L23	27	22
hstam_4_h_1411_0023_L23	28	29
hstam_4_h_1411_0023_L23	29	61
hstam_4_h_1411_0023_L23	30	63
hstam_4_h_1411_0023_L23	31	74
hstam_4_h_1411_0023_L23	32	73
hstam_4_h_1411_0023_L23	33	83
hstam_4_h_1411_0023_L23	34	27
hstam_4_h_1411_0023_L23	35	61
hstam_4_h_1411_0023_L23	36	65
hstam_4_h_1411_0023_L23	37	22
hstam_4_h_1411_0023_L23	38	98
hstam_4_h_1411_0023_L24	1	74
hstam_4_h_1411_0023_L24	2	48
hstam_4_h_1411_0023_L24	3	26
hstam_4_h_1411_0023_L24	4	32
hstam_4_h_1411_0023_L24	5	66
hstam_4_h_1411_0023_L24	6	61
hstam_4_h_1411_0023_L24	7	71
hstam_4_h_1411_0023_L24	8	22
hstam_4_h_1411_0023_L24	9	29
hstam_4_h_1411_0023_L24	10	16
hstam_4_h_1411_0023_L24	11	11
hstam_4_h_1411_0023_L24	12	53
hstam_4_h_1411_0023_L24	13	61
hstam_4_h_1411_0023_L24	14	23
hstam_4_h_1411_0023_L24	15	58
hstam_4_h_1411_0023_L24	16	30
hstam_4_h_1411_0023_L24	17	15
hstam_4_h_1411_0023_L24	18	60
hstam_4_h_1411_0023_L24	19	61
hstam_4_h_1411_0023_L24	20	20
hstam_4_h_1411_0023_L24	21	24
hstam_4_h_1411_0023_L24	22	70
hstam_4_h_1411_0023_L24	23	16
hstam_4_h_1411_0023_L24	24	90
hstam_4_h_1411_0023_L24	25	70
hstam_4_h_1411_0023_L24	26	15
hstam_4_h_1411_0023_L24	27	16
hstam_4_h_1411_0023_L24	28	24
hstam_4_h_1411_0023_L24	29	88
hstam_4_h_1411_0023_L24	30	44
hstam_4_h_1411_0023_L24	31	74
hstam_4_h_1411_0023_L24	32	39
hstam_4_h_1411_0023_L24	33	83
hstam_4_h_1411_0023_L24	34	72
hstam_4_h_1411_0023_L24	35	42
hstam_4_h_1411_0023_L24	36	49
hstam_4_h_1411_0023_L24	37	30
hstam_4_h_1411_0023_L25	1	56
hstam_4_h_1411_0023_L25	2	60
hstam_4_h_1411_0023_L25	3	74
hstam_4_h_1411_0023_L25	4	86
hstam_4_h_1411_0023_L25	5	90
hstam_4_h_1411_0023_L25	6	18
hstam_4_h_1411_0023_L25	7	55
hstam_4_h_1411_0023_L25	8	97
hstam_4_h_1411_0023_L25	9	1
hstam_4_h_1411_0023_L25	10	60
hstam_4_h_1411_0023_L25	11	25
hstam_4_h_1411_0023_L25	12	74
hstam_4_h_1411_0023_L25	13	26
hstam_4_h_1411_0023_L25	14	50
hstam_4_h_1411_0023_L25	15	30
hstam_4_h_1411_0023_L25	16	16
hstam_4_h_1411_0023_L25	17	38
hstam_4_h_1411_0023_L25	18	72
hstam_4_h_1411_0023_L25	19	24
hstam_4_h_1411_0023_L25	20	58
hstam_4_h_1411_0023_L25	21	63
hstam_4_h_1411_0023_L25	22	43
hstam_4_h_1411_0023_L25	23	82
hstam_4_h_1411_0023_L25	24	61
hstam_4_h_1411_0023_L25	25	30
hstam_4_h_1411_0023_L25	26	90
hstam_4_h_1411_0023_L25	27	58
hstam_4_h_1411_0023_L25	28	54
hstam_4_h_1411_0023_L25	29	16
hstam_4_h_1411_0023_L25	30	10
hstam_4_h_1411_0023_L25	31	84
hstam_4_h_1411_0023_L25	32	83
hstam_4_h_1411_0023_L25	33	3
hstam_4_h_1411_0023_L26	1	35
hstam_4_h_1411_0023_L26	2	27
hstam_4_h_1411_0023_L26	3	48
hstam_4_h_1411_0023_L26	4	25
hstam_4_h_1411_0023_L26	5	54
hstam_4_h_1411_0023_L26	6	16
hstam_4_h_1411_0023_L26	7	70
hstam_4_h_1411_0023_L26	8	15
hstam_4_h_1411_0023_L26	9	60
hstam_4_h_1411_0023_L26	10	27
hstam_4_h_1411_0023_L26	11	55
hstam_4_h_1411_0023_L26	12	13
hstam_4_h_1411_0023_L26	13	18
hstam_4_h_1411_0023_L26	14	16
hstam_4_h_1411_0023_L26	15	22
hstam_4_h_1411_0023_L26	16	27
hstam_4_h_1411_0023_L26	17	29
hstam_4_h_1411_0023_L26	18	30
hstam_4_h_1411_0023_L26	19	92
hstam_4_h_1411_0023_L26	20	73
hstam_4_h_1411_0023_L26	21	44
hstam_4_h_1411_0023_L26	22	11
hstam_4_h_1411_0023_L26	23	54
hstam_4_h_1411_0023_L26	24	27
hstam_4_h_1411_0023_L26	25	66
hstam_4_h_1411_0023_L26	26	29
hstam_4_h_1411_0023_L26	27	50
hstam_4_h_1411_0023_L26	28	73
hstam_4_h_1411_0023_L26	29	61
hstam_4_h_1411_0023_L26	30	83
hstam_4_h_1411_0023_L26	31	83
hstam_4_h_1411_0023_L26	32	66
hstam_4_h_1411_0023_L26	33	41
hstam_4_h_1411_0023_L26	34	10
hstam_4_h_1411_0023_L26	35	16
hstam_4_h_1411_0023_L27	1	52
hstam_4_h_1411_0023_L27	2	55
hstam_4_h_1411_0023_L27	3	15
hstam_4_h_1411_0023_L27	4	79
hstam_4_h_1411_0023_L27	5	31
hstam_4_h_1411_0023_L27	6	37
hstam_4_h_1411_0023_L27	7	35
hstam_4_h_1411_0023_L27	8	99
hstam_4_h_1411_0023_L27	9	26
hstam_4_h_1411_0023_L27	10	49
hstam_4_h_1411_0023_L27	11	79
hstam_4_h_1411_0023_L27	12	84
hstam_4_h_1411_0023_L27	13	15
hstam_4_h_1411_0023_L27	14	10
hstam_4_h_1411_0023_L27	15	11
hstam_4_h_1411_0023_L27	16	54
hstam_4_h_1411_0023_L27	17	16
hstam_4_h_1411_0023_L27	18	39
hstam_4_h_1411_0023_L27	19	15
hstam_4_h_1411_0023_L27	20	16
hstam_4_h_1411_0023_L27	21	27
hstam_4_h_1411_0023_L27	22	70
hstam_4_h_1411_0023_L27	23	22
hstam_4_h_1411_0023_L27	24	55
hstam_4_h_1411_0023_L27	25	44
hstam_4_h_1411_0023_L27	26	67
hstam_4_h_1411_0023_L27	27	84
hstam_4_h_1411_0023_L27	28	31
hstam_4_h_1411_0023_L27	29	44
hstam_4_h_1411_0023_L27	30	30
hstam_4_h_1411_0023_L27	31	66
hstam_4_h_1411_0023_L27	32	49
hstam_4_h_1411_0023_L27	33	22
hstam_4_h_1411_0023_L27	34	16
hstam_4_h_1411_0023_L27	35	22
hstam_4_h_1411_0023_L27	36	26
hstam_4_h_1411_0023_L27	37	61
hstam_4_h_1411_0023_L27	38	22
hstam_4_h_1411_0023_L28	1	5
hstam_4_h_1411_0023_L28	2	6
hstam_4_h_1411_0023_L28	3	25
hstam_4_h_1411_0023_L28	4	13
hstam_4_h_1411_0023_L28	5	97
hstam_4_h_1411_0023_L28	6	39
hstam_4_h_1411_0023_L28	7	91
hstam_4_h_1411_0023_L28	8	43
hstam_4_h_1411_0023_L28	9	61
hstam_4_h_1411_0023_L28	10	92
hstam_4_h_1411_0023_L28	11	58
hstam_4_h_1411_0023_L28	12	25
hstam_4_h_1411_0023_L28	13	94
hstam_4_h_1411_0023_L28	14	90
hstam_4_h_1411_0023_L28	15	61
hstam_4_h_1411_0023_L28	16	26
hstam_4_h_1411_0023_L28	17	18
hstam_4_h_1411_0023_L28	18	84
hstam_4_h_1411_0023_L28	19	30
hstam_4_h_1411_0023_L28	20	32
hstam_4_h_1411_0023_L28	21	84
hstam_4_h_1411_0023_L28	22	83
hstam_4_h_1411_0023_L28	23	77
hstam_4_h_1411_0023_L28	24	35
hstam_4_h_1411_0023_L28	25	96
hstam_4_h_1411_0023_L28	26	94
hstam_4_h_1411_0023_L28	27	70
hstam_4_h_1411_0023_L28	28	22
hstam_4_h_1411_0023_L28	29	98
hstam_4_h_1411_0023_L28	30	28
hstam_4_h_1411_0023_L28	31	97
hstam_4_h_1411_0023_L28	32	10
hstam_4_h_1411_0023_L28	33	10
hstam_4_h_1411_0023_L28	34	11
hstam_4_h_1411_0023_L28	35	25
hstam_4_h_1411_0023_L28	36	24
hstam_4_h_1411_0023_L29	1	37
hstam_4_h_1411_0023_L29	2	23
hstam_4_h_1411_0023_L29	3	84
hstam_4_h_1411_0023_L29	4	77
hstam_4_h_1411_0023_L29	5	73
hstam_4_h_1411_0023_L29	6	15
hstam_4_h_1411_0023_L29	7	61
hstam_4_h_1411_0023_L29	8	83
hstam_4_h_1411_0023_L29	9	11
hstam_4_h_1411_0023_L29	10	60
hstam_4_h_1411_0023_L29	11	39
hstam_4_h_1411_0023_L29	12	31
hstam_4_h_1411_0023_L29	13	22
hstam_4_h_1411_0023_L29	14	61
hstam_4_h_1411_0023_L29	15	57
hstam_4_h_1411_0023_L29	16	48
hstam_4_h_1411_0023_L29	17	22
hstam_4_h_1411_0023_L29	18	44
hstam_4_h_1411_0023_L29	19	35
hstam_4_h_1411_0023_L29	20	23
hstam_4_h_1411_0023_L29	21	50
hstam_4_h_1411_0023_L29	22	79
hstam_4_h_1411_0023_L29	23	22
hstam_4_h_1411_0023_L29	24	77
hstam_4_h_1411_0023_L29	25	93
hstam_4_h_1411_0023_L29	26	22
hstam_4_h_1411_0023_L29	27	32
hstam_4_h_1411_0023_L29	28	49
hstam_4_h_1411_0023_L29	29	30
hstam_4_h_1411_0023_L29	30	83
hstam_4_h_1411_0023_L29	31	21
hstam_4_h_1411_0023_L29	32	70
hstam_4_h_1411_0023_L29	33	15
hstam_4_h_1411_0023_L29	34	60
hstam_4_h_1411_0023_L29	35	79
hstam_4_h_1411_0023_L29	36	83
hstam_4_h_1411_0023_L29	37	32
hstam_4_h_1411_0023_L29	38	55
hstam_4_h_1411_0023_L29	39	93
hstam_4_h_1411_0023_L29	40	93
hstam_4_h_1411_0023_L30	1	46
hstam_4_h_1411_0023_L30	2	28
hstam_4_h_1411_0023_L30	3	74
hstam_4_h_1411_0023_L30	4	61
hstam_4_h_1411_0023_L30	5	25
hstam_4_h_1411_0023_L30	6	58
hstam_4_h_1411_0023_L30	7	61
hstam_4_h_1411_0023_L30	8	25
hstam_4_h_1411_0023_L30	9	48
hstam_4_h_1411_0023_L30	10	73
hstam_4_h_1411_0023_L30	11	29
hstam_4_h_1411_0023_L30	12	28
hstam_4_h_1411_0023_L30	13	24
hstam_4_h_1411_0023_L30	14	16
hstam_4_h_1411_0023_L30	15	30
hstam_4_h_1411_0023_L30	16	7
hstam_4_h_1411_0023_L30	17	97
hstam_4_h_1411_0023_L30	18	10
hstam_4_h_1411_0023_L30	19	58
hstam_4_h_1411_0023_L30	20	63
hstam_4_h_1411_0023_L30	21	29
hstam_4_h_1411_0023_L30	22	39
hstam_4_h_1411_0023_L30	23	16
hstam_4_h_1411_0023_L30	24	22
hstam_4_h_1411_0023_L30	25	39
hstam_4_h_1411_0023_L30	26	22
hstam_4_h_1411_0023_L30	27	49
hstam_4_h_1411_0023_L30	28	44
hstam_4_h_1411_0023_L30	29	90
hstam_4_h_1411_0023_L30	30	58
hstam_4_h_1411_0023_L30	31	24
hstam_4_h_1411_0023_L30	32	71
hstam_4_h_1411_0023_L30	33	11
hstam_4_h_1411_0023_L30	34	75
hstam_4_h_1411_0023_L30	35	13
hstam_4_h_1411_0023_L30	36	91
hstam_4_h_1411_0023_L31	1	99
hstam_4_h_1411_0023_L31	2	27
hstam_4_h_1411_0023_L31	3	11
hstam_4_h_1411_0023_L31	4	29
hstam_4_h_1411_0023_L31	5	13
hstam_4_h_1411_0023_L31	6	16
hstam_4_h_1411_0023_L31	7	38
hstam_4_h_1411_0023_L31	8	51
hstam_4_h_1411_0023_L31	9	16
hstam_4_h_1411_0023_L31	10	22
hstam_4_h_1411_0023_L31	11	55
hstam_4_h_1411_0023_L31	12	15
hstam_4_h_1411_0023_L31	13	74
hstam_4_h_1411_0023_L31	14	73
hstam_4_h_1411_0023_L31	15	11
hstam_4_h_1411_0023_L31	16	44
hstam_4_h_1411_0023_L31	17	32
hstam_4_h_1411_0023_L31	18	61
hstam_4_h_1411_0023_L31	19	25
hstam_4_h_1411_0023_L31	20	76
hstam_4_h_1411_0023_L31	21	25
hstam_4_h_1411_0023_L31	22	71
hstam_4_h_1411_0023_L31	23	72
hstam_4_h_1411_0023_L31	24	84
hstam_4_h_1411_0023_L31	25	98
hstam_4_h_1411_0023_L31	26	11
hstam_4_h_1411_0023_L31	27	16
hstam_4_h_1411_0023_L31	28	22
hstam_4_h_1411_0023_L31	29	44
hstam_4_h_1411_0023_L31	30	36
hstam_4_h_1411_0023_L31	31	26
hstam_4_h_1411_0023_L31	32	16
hstam_4_h_1411_0023_L31	33	35
hstam_4_h_1411_0023_L31	34	56
hstam_4_h_1411_0023_L31	35	11
hstam_4_h_1411_0023_L31	36	29
hstam_4_h_1411_0023_L31	37	32
hstam_4_h_1411_0023_L31	38	90
hstam_4_h_1411_0023_L31	39	75
hstam_4_h_1411_0023_L32	1	58
hstam_4_h_1411_0023_L32	2	72
hstam_4_h_1411_0023_L32	3	83
hstam_4_h_1411_0023_L32	4	90
hstam_4_h_1411_0023_L32	5	18
hstam_4_h_1411_0023_L32	6	95
hstam_4_h_1411_0023_L32	7	83
hstam_4_h_1411_0023_L32	8	29
hstam_4_h_1411_0023_L32	9	84
hstam_4_h_1411_0023_L32	10	83
hstam_4_h_1411_0023_L32	11	37
hstam_4_h_1411_0023_L32	12	73
hstam_4_h_1411_0023_L32	13	16
hstam_4_h_1411_0023_L32	14	83
hstam_4_h_1411_0023_L32	15	76
hstam_4_h_1411_0023_L32	16	84
hstam_4_h_1411_0023_L32	17	50
hstam_4_h_1411_0023_L32	18	11
hstam_4_h_1411_0023_L32	19	22
hstam_4_h_1411_0023_L32	20	27
hstam_4_h_1411_0023_L32	21	84
hstam_4_h_1411_0023_L32	22	44
hstam_4_h_1411_0023_L32	23	83
hstam_4_h_1411_0023_L32	24	71
hstam_4_h_1411_0023_L32	25	83
hstam_4_h_1411_0023_L32	26	11
hstam_4_h_1411_0023_L32	27	31
hstam_4_h_1411_0023_L32	28	52
hstam_4_h_1411_0023_L32	29	16
hstam_4_h_1411_0023_L32	30	75
hstam_4_h_1411_0023_L32	31	94
hstam_4_h_1411_0023_L32	32	72
hstam_4_h_1411_0023_L32	33	70
hstam_4_h_1411_0023_L32	34	11
hstam_4_h_1411_0023_L32	35	27
hstam_4_h_1411_0023_L32	36	55
hstam_4_h_1411_0023_L32	37	74
hstam_4_h_1411_0023_L32	38	18
hstam_4_h_1411_0023_L32	39	95
hstam_4_h_1411_0023_L32	40	97
hstam_4_h_1411_0023_L33	1	42
hstam_4_h_1411_0023_L33	2	36
hstam_4_h_1411_0023_L33	3	60
hstam_4_h_1411_0023_L33	4	77
hstam_4_h_1411_0023_L33	5	16
hstam_4_h_1411_0023_L33	6	57
hstam_4_h_1411_0023_L33	7	23
hstam_4_h_1411_0023_L33	8	30
hstam_4_h_1411_0023_L33	9	70
hstam_4_h_1411_0023_L33	10	22
hstam_4_h_1411_0023_L33	11	60
hstam_4_h_1411_0023_L33	12	52
hstam_4_h_1411_0023_L33	13	93
hstam_4_h_1411_0023_L33	14	13
hstam_4_h_1411_0023_L33	15	84
hstam_4_h_1411_0023_L33	16	83
hstam_4_h_1411_0023_L33	17	54
hstam_4_h_1411_0023_L33	18	16
hstam_4_h_1411_0023_L33	19	72
hstam_4_h_1411_0023_L33	20	70
hstam_4_h_1411_0023_L33	21	83
hstam_4_h_1411_0023_L33	22	40
hstam_4_h_1411_0023_L33	23	61
hstam_4_h_1411_0023_L33	24	15
hstam_4_h_1411_0023_L33	25	94
hstam_4_h_1411_0023_L33	26	72
hstam_4_h_1411_0023_L33	27	28
hstam_4_h_1411_0023_L33	28	76
hstam_4_h_1411_0023_L33	29	49
hstam_4_h_1411_0023_L33	30	44
hstam_4_h_1411_0023_L34	1	70
hstam_4_h_1411_0023_L34	2	67
hstam_4_h_1411_0023_L34	3	27
hstam_4_h_1411_0023_L34	4	30
hstam_4_h_1411_0023_L34	5	27
hstam_4_h_1411_0023_L34	6	16
hstam_4_h_1411_0023_L34	7	83
hstam_4_h_1411_0023_L34	8	22
hstam_4_h_1411_0023_L34	9	79
hstam_4_h_1411_0023_L34	10	84
hstam_4_h_1411_0023_L34	11	25
hstam_4_h_1411_0023_L34	12	22
hstam_4_h_1411_0023_L34	13	58
hstam_4_h_1411_0023_L34	14	56
hstam_4_h_1411_0023_L34	15	16
hstam_4_h_1411_0023_L34	16	79
hstam_4_h_1411_0023_L34	17	25
hstam_4_h_1411_0023_L34	18	15
hstam_4_h_1411_0023_L34	19	16
hstam_4_h_1411_0023_L34	20	20
hstam_4_h_1411_0023_L34	21	58
hstam_4_h_1411_0023_L34	22	83
hstam_4_h_1411_0023_L34	23	23
hstam_4_h_1411_0023_L34	24	27
hstam_4_h_1411_0023_L34	25	16
hstam_4_h_1411_0023_L34	26	2
hstam_4_h_1411_0023_L35	1	95
hstam_4_h_1411_0023_L35	2	42
hstam_4_h_1411_0023_L35	3	83
hstam_4_h_1411_0023_L35	4	87
hstam_4_h_1411_0023_L35	5	30
hstam_4_h_1411_0023_L35	6	23
hstam_4_h_1411_0023_L35	7	15
hstam_4_h_1411_0023_L35	8	35
hstam_4_h_1411_0023_L35	9	48
hstam_4_h_1411_0023_L35	10	83
hstam_4_h_1411_0023_L35	11	16
hstam_4_h_1411_0023_L35	12	22
hstam_4_h_1411_0023_L35	13	27
hstam_4_h_1411_0023_L35	14	16
hstam_4_h_1411_0023_L35	15	38
hstam_4_h_1411_0023_L35	16	49
hstam_4_h_1411_0023_L35	17	56
hstam_4_h_1411_0023_L35	18	76
hstam_4_h_1411_0023_L35	19	87
hstam_4_h_1411_0023_L35	20	11
hstam_4_h_1411_0023_L35	21	43
hstam_4_h_1411_0023_L35	22	43
hstam_4_h_1411_0023_L35	23	79
hstam_4_h_1411_0023_L35	24	37
hstam_4_h_1411_0023_L35	25	16
hstam_4_h_1411_0023_L35	26	74
hstam_4_h_1411_0023_L35	27	61
hstam_4_h_1411_0023_L35	28	83
hstam_4_h_1411_0023_L35	29	61
hstam_4_h_1411_0023_L35	30	60
hstam_4_h_1411_0023_L35	31	26
hstam_4_h_1411_0023_L35	32	13
hstam_4_h_1411_0023_L35	33	60
hstam_4_h_1411_0023_L36	1	27
hstam_4_h_1411_0023_L36	2	70
hstam_4_h_1411_0023_L36	3	56
hstam_4_h_1411_0023_L36	4	11
hstam_4_h_1411_0023_L36	5	26
hstam_4_h_1411_0023_L36	6	57
hstam_4_h_1411_0023_L36	7	55
hstam_4_h_1411_0023_L36	8	83
hstam_4_h_1411_0023_L36	9	96
hstam_4_h_1411_0023_L36	10	66
hstam_4_h_1411_0023_L36	11	29
hstam_4_h_1411_0023_L36	12	39
hstam_4_h_1411_0023_L36	13	83
hstam_4_h_1411_0023_L36	14	73
hstam_4_h_1411_0023_L36	15	16
hstam_4_h_1411_0023_L36	16	22
hstam_4_h_1411_0023_L36	17	84
hstam_4_h_1411_0023_L36	18	31
hstam_4_h_1411_0023_L36	19	16
hstam_4_h_1411_0023_L36	20	38
hstam_4_h_1411_0023_L36	21	79
hstam_4_h_1411_0023_L36	22	98
hstam_4_h_1411_0023_L36	23	48
hstam_4_h_1411_0023_L36	24	30
hstam_4_h_1411_0023_L36	25	70
hstam_4_h_1411_0023_L36	26	2
hstam_4_h_1411_0023_L36	27	76
hstam_4_h_1411_0023_L36	28	24
hstam_4_h_1411_0023_L36	29	22
hstam_4_h_1411_0023_L36	30	29
hstam_4_h_1411_0023_L36	31	61
hstam_4_h_1411_0023_L36	32	83
hstam_4_h_1411_0023_L36	33	92
hstam_4_h_1411_0023_L36	34	35
hstam_4_h_1411_0023_L36	35	26
hstam_4_h_1411_0023_L36	36	84
hstam_4_h_1411_0023_L36	37	63
hstam_4_h_1411_0023_L36	38	56
hstam_4_h_1411_0023_L36	39	59
hstam_4_h_1411_0023_L37	1	97
hstam_4_h_1411_0023_L37	2	49
hstam_4_h_1411_0023_L37	3	63
hstam_4_h_1411_0023_L37	4	70
hstam_4_h_1411_0023_L37	5	16
hstam_4_h_1411_0023_L37	6	30
hstam_4_h_1411_0023_L37	7	21
hstam_4_h_1411_0023_L37	8	55
hstam_4_h_1411_0023_L37	9	83
hstam_4_h_1411_0023_L37	10	60
hstam_4_h_1411_0023_L37	11	51
hstam_4_h_1411_0023_L37	12	30
hstam_4_h_1411_0023_L37	13	11
hstam_4_h_1411_0023_L37	14	77
hstam_4_h_1411_0023_L37	15	31
hstam_4_h_1411_0023_L37	16	73
hstam_4_h_1411_0023_L37	17	7
hstam_4_h_1411_0023_L37	18	25
hstam_4_h_1411_0023_L37	19	23
hstam_4_h_1411_0023_L37	20	26
hstam_4_h_1411_0023_L37	21	95
hstam_4_h_1411_0023_L37	22	83
hstam_4_h_1411_0023_L37	23	52
hstam_4_h_1411_0023_L37	24	94
hstam_4_h_1411_0023_L37	25	84
hstam_4_h_1411_0023_L37	26	63
hstam_4_h_1411_0023_L37	27	82
hstam_4_h_1411_0023_L37	28	48
hstam_4_h_1411_0023_L37	29	30
hstam_4_h_1411_0023_L37	30	16
hstam_4_h_1411_0023_L37	31	62
hstam_4_h_1411_0023_L37	32	20
hstam_4_h_1411_0023_L37	33	22
hstam_4_h_1411_0023_L38	1	67
hstam_4_h_1411_0023_L38	2	16
hstam_4_h_1411_0023_L38	3	22
hstam_4_h_1411_0023_L38	4	73
hstam_4_h_1411_0023_L38	5	76
hstam_4_h_1411_0023_L38	6	25
hstam_4_h_1411_0023_L38	7	11
hstam_4_h_1411_0023_L38	8	10
hstam_4_h_1411_0023_L38	9	16
hstam_4_h_1411_0023_L38	10	42
hstam_4_h_1411_0023_L38	11	18
hstam_4_h_1411_0023_L38	12	70
hstam_4_h_1411_0023_L38	13	30
hstam_4_h_1411_0023_L38	14	32
hstam_4_h_1411_0023_L38	15	84
hstam_4_h_1411_0023_L38	16	22
hstam_4_h_1411_0023_L38	17	76
hstam_4_h_1411_0023_L38	18	61
hstam_4_h_1411_0023_L38	19	25
hstam_4_h_1411_0023_L38	20	54
hstam_4_h_1411_0023_L38	21	56
hstam_4_h_1411_0023_L38	22	11
hstam_4_h_1411_0023_L38	23	26
hstam_4_h_1411_0023_L38	24	77
hstam_4_h_1411_0023_L38	25	22
hstam_4_h_1411_0023_L38	26	61
hstam_4_h_1411_0023_L38	27	57
hstam_4_h_1411_0023_L38	28	19
hstam_4_h_1411_0023_L38	29	22
hstam_4_h_1411_0023_L38	30	16
hstam_4_h_1411_0023_L38	31	57
hstam_4_h_1411_0023_L38	32	16
hstam_4_h_1411_0023_L38	33	44
hstam_4_h_1411_0023_L38	34	92
hstam_4_h_1411_0023_L39	1	35
hstam_4_h_1411_0023_L39	2	22
hstam_4_h_1411_0023_L39	3	60
hstam_4_h_1411_0023_L39	4	84
hstam_4_h_1411_0023_L39	5	46
hstam_4_h_1411_0023_L39	6	55
hstam_4_h_1411_0023_L39	7	63
hstam_4_h_1411_0023_L39	8	16
hstam_4_h_1411_0023_L39	9	7
hstam_4_h_1411_0023_L39	10	70
hstam_4_h_1411_0023_L39	11	60
hstam_4_h_1411_0023_L39	12	50
hstam_4_h_1411_0023_L39	13	27
hstam_4_h_1411_0023_L39	14	36
hstam_4_h_1411_0023_L39	15	16
hstam_4_h_1411_0023_L39	16	57
hstam_4_h_1411_0023_L39	17	79
hstam_4_h_1411_0023_L39	18	15
hstam_4_h_1411_0023_L39	19	32
hstam_4_h_1411_0023_L39	20	84
hstam_4_h_1411_0023_L39	21	25
hstam_4_h_1411_0023_L39	22	29
hstam_4_h_1411_0023_L39	23	61
hstam_4_h_1411_0023_L39	24	22
hstam_4_h_1411_0023_L39	25	70
hstam_4_h_1411_0023_L39	26	26
hstam_4_h_1411_0023_L39	27	35
hstam_4_h_1411_0023_L39	28	63
hstam_4_h_1411_0023_L39	29	73
hstam_4_h_1411_0023_L39	30	30
hstam_4_h_1411_0023_L39	31	32
hstam_4_h_1411_0023_L39	32	30
hstam_4_h_1411_0023_L39	33	16
hstam_4_h_1411_0023_L40	1	37
hstam_4_h_1411_0023_L40	2	73
hstam_4_h_1411_0023_L40	3	5
hstam_4_h_1411_0023_L40	4	27
hstam_4_h_1411_0023_L40	5	11
hstam_4_h_1411_0023_L40	6	74
hstam_4_h_1411_0023_L40	7	11
hstam_4_h_1411_0023_L40	8	18
hstam_4_h_1411_0023_L40	9	39
hstam_4_h_1411_0023_L40	10	83
hstam_4_h_1411_0023_L40	11	54
hstam_4_h_1411_0023_L40	12	16
hstam_4_h_1411_0023_L40	13	37
hstam_4_h_1411_0023_L40	14	61
hstam_4_h_1411_0023_L40	15	22
hstam_4_h_1411_0023_L40	16	32
hstam_4_h_1411_0023_L40	17	27
hstam_4_h_1411_0023_L40	18	26
hstam_4_h_1411_0023_L40	19	18
hstam_4_h_1411_0023_L40	20	61
hstam_4_h_1411_0023_L40	21	25
hstam_4_h_1411_0023_L40	22	27
hstam_4_h_1411_0023_L40	23	79
hstam_4_h_1411_0023_L40	24	83
hstam_4_h_1411_0023_L40	25	74
hstam_4_h_1411_0023_L40	26	73
hstam_4_h_1411_0023_L40	27	16
hstam_4_h_1411_0023_L40	28	60
hstam_4_h_1411_0023_L40	29	48
hstam_4_h_1411_0023_L40	30	22
hstam_4_h_1411_0023_L40	31	29
hstam_4_h_1411_0023_L40	32	61
hstam_4_h_1411_0023_L40	33	23
hstam_4_h_1411_0023_L40	34	16
hstam_4_h_1411_0023_L40	35	16
