target	title	years	langs	shelfmarks	class	fraction_read	profile_tokens	tok_unit	trans_files	file_tokens	gaps	outcome_notes	prior_solution_exists	prior_solution_where	prior_solution_used	system_summary	verification
goertz1717	Görtz peace memorandum, 1717, cipher passages (KB Stockholm I.g.18, DECODE R4350)	1717	German	National Library of Sweden, I.g.18 (Murberg collection), PDF pp. 34-41; DECODE R4350	not read	0	809	code groups	goertz1717/groups.txt(809)	809	all five cipher passages (809 groups): no-key-material (German code not on DECODE or in print; ciphertext-only failed incl. synthetic control)	Needs Görtz's German chancery key (Riksarkivet) or the original with a decipherment.	unknown	none found on DECODE, BL Add MS 32287 keys or by web search	False	Numeric code 1-848 with homophones (frames 712 x 113), probably a homophonic nomenclator of ~850 entries; German plaintext.	none
guiche1551	La Guiche (Rome 1551), Noailles (Venice 1558), Seure (Lisbon 1558): BnF fr. 3138 no. 22, fr. 3151 nos. 33, 39-44	1551;1558	French	BnF fr. 3138 no. 22, f. 60v (Gallica btv1b90601662 view 65);BnF fr. 3151 no. 33, f. 60r (Gallica btv1b9059865k view 61)	read in part	0.17	406	symbols	guiche1551/guiche_ct.txt(474)	474	La Guiche f. 60v: the name 'sieur +arna+e', signs c and 5: open-codes (sign t there may be a plain + distinct from barred r; c and 5 occur only once or twice) | La Guiche f. 60v: the two struck-through first lines: illegible (struck through by the writer; read only in part) | Noailles fr. 3151 no. 33 (f. 60r), start of each marginal gloss line: needs-physical-access (swallowed by the binding; needs the page opened flat) | Noailles fr. 3151 no. 33, the cipher itself (about 150 signs): not-attempted (not attacked; the visible gloss words could serve as cribs)	La Guiche read in part; Noailles read at the time; Seure open. fraction_read 0.17 is an estimate by cipher signs from the notes (La Guiche about 350 of 406, Noailles about 150 signs read at the time only in part, Seure about 2,000 signs none), not a 	no	Web search found no edition; the Noailles letter has a contemporary marginal decipherment.	False	La Guiche: a simple substitution of 22 invented signs for the 22-letter alphabet, no word division.	historical consistency
hamilton	Charles II to the Duke of Hamilton, Aug-Sept 1650 (NRS GD406/1/10573-10576)	1650	English	NRS GD406/1/10573-10576 (Hamilton Red Book ii nos. 156-159); printed in the 1766 Account and Camden Society 1880	offline only	None	102	code groups		0		Needs copies of NRS GD406/1/2197.	no		False	Small numeric nomenclator, groups 3-384, probably letters below about 90 and words and names above.	none
hellen1752	W.B. von der Hellen (The Hague) to Frederick II, intercepted reports 1752-1763 (KHA Prins Willem V inv. 196)	1752;1756;1763	French	KHA Prins Willem V inv. 196; DECODE R1045-R1048, R1060, R1061;KHA Prins Willem V inv. 196; DECODE R1049;KHA Prins Willem V inv. 196; DECODE R1953	not read	0	2651	code groups	hellen1752/audit/R1953.txt(846);hellen1752/audit/R1049.txt(516);hellen1752/audit/set1763.txt(1289)	1289		Open; no cipher plaintext verified. Next: retrieve Fagel 5206 parallel decipherments. R2824 rejected as a Prussian key lead. Current access failure is not evidence of missing archives.	unknown	DECODE says other Hellen letters were solved by Lyonet; none found printed or online	False	Numerical nomenclators provisionally grouped by 1752, 1756 and 1763; homophones and codebook ordering remain unverified.	none
it1583	Sforza side to Giorgio (Zorzo) del Maino, reply, 4 May 1446 (BnF italien 1583 f. 68; DECODE R7898)	1446	Italian	BnF italien 1583 f. 68 (Archivio Sforzesco); DECODE R7898;BnF italien 1583 f. 70; imaged in DECODE R7899 (image P1, the slip at top right)	not read	0	794	symbols	it1583/f68_signs.txt(404);it1583/f70_signs.txt(390)	404		Closed unread. Syllabic Sforza-type system on a binarized scan; needs the 1446 Maino key or a better image and a sign-exact transcription.	unknown	Mazzatinti's 1883 inventory lists it as 'in cifre' with no reading; no edition or decipherment found	False	Graphic-sign cipher of the Sforza chancery type: letter signs with homophones, probably signs for vowel+consonant syllables, word signs and nulls (inferred from the related Simonetta-Amidani key, ASMi	
jantini1517	Benedetto Fantini (DECODE 'Jantini'), Buda and Eger, to the Este court, 1517-1518 (ASMo, Ambasciatori, Ungheria b. 4, Fantini nos. 5-6; DECODE R1126, R1127; catalogue 156)	1517;1518	Italian	ASMo, Ambasciatori, Ungheria b. 4, Benedetto Fantini no. 5 (DECODE R1126; Vestigia 1849);ASMo, Ambasciatori, Ungheria b. 4, Benedetto Fantini no. 6 (DECODE R1127; Vestigia 1851)	not read	0	581	symbols	jantini1517/c1126_p1.txt(581)	581		Attempted, closed unread for lack of key material. Both pages transcribed three ways (~2-5% residual error). The bracket signs are word codes (as in Caprile 1519), leaving letter runs of about 5 signs; a matched control recovers 7%. Needs a key or cr	unknown	No decipherment or clear copy in the Vestigia file (Fantini nos. 1-7); none found in print	False	Two-tier signs (a base stroke 7, m, n, g, y, L-bracket with a small sign above or inside), resembling Caprile's 1519 cipher but with a different sign inventory; the unit (letter, syllable or word) is 	
joyeuse	Cardinal de Joyeuse to Villars, Rome, 15 February 1594, BnF 500 de Colbert 33 f. 539	1594	French	BnF 500 de Colbert 33 f. 539 (Gallica btv1b10033958p canvas 544; DECODE R2281)	not read	0	358	mixed		0		Closed against controls; reopens with the key or a second letter in the same cipher.	no	DECODE R2281 non-decrypted; Tomokiyo lists it as undeciphered	False	Graphic-sign cipher in three layers: about 80 unmarked homophonic letter signs, about 50 marked syllable signs, and numeric code groups for names.	matched control
kaliningrad	Kaliningrad (Baltiysk) bottle post, found 2015 (Schmeh Top 50 no. 19)	unknown	unknown	Two photographs published on Schmeh's blog (Kaliningrad-Cryptogram1.png, Kaliningrad-Cryptogram-2.png)	not read	None	None	letters		0		Blocked on transcription, not cryptanalysis.	no	A 2021 blog comment claimed the 1876 Russian Synodal Bible as plaintext source, method never posted	False	Latin-letter text of about a thousand characters with primed consonants and dotted initialism groups; system undetermined.	none
labbe1582	Desiderio l’Abbé to Nevers, Prague and Breslau, 1577	1577	French	BnF fr. 3198 no. 30;BnF fr. 3198 no. 37;BnF fr. 3198 no. 38	not read	0	911	symbols;mixed	labbe1582/prague_draft_digits.txt(29);labbe1582/breslau_draft_digits.txt(2)	29	Prague cipher, all inventoried insertions: no-key-material (No validated values or segmentation; draft only.) | May cipher, nos. 37 and 38: no-key-material (Duplicate witnesses without plaintext.) | Overwritten/uncertain cipher figures: illegible (f64r08 obscured locus and unresolved glyph variants.) | Earlier letter/enclosure trail in fr. 4695 no. 51: needs-physical-access (Digital access currently fails; restored images or another copy needed, not necessarily an in-person)	Attempt closed for now; research target remains open. No claim of cryptographic impossibility and no partial-solve percentage based on clear prose. See REASSESSMENT.md.	unknown		False	Numerical insertions in clear French, with token boundaries under investigation.	none
letellier	Le Tellier to the Marquis de Castelnau, 12 May 1657	1657	French	unknown	not read	0	202	mixed	letellier/LeTellier_Castelnau1657.txt(275)	275		Too short for an unconstrained syllabic solve; would need a known plaintext.	no	Tomokiyo lists it unsolved	False	Three numeric classes (plain 3-72, macron 2-53, double-prime 12-48) plus letter tokens; presumed syllabic like Le Tellier's earlier ciphers, not established.	none
lopehurtado	Lope Hurtado de Mendoza (Rome) to Charles V, 1522 — RAH Salazar 9/26, DECODE R9634–R9656	1522	Spanish	RAH, Signatura 9/26, f. 237-243 (DECODE R9644);RAH, Signatura 9/26, f. 260-265 (DECODE R9648);RAH, Signatura 9/26, f. 269-272 (DECODE R9650);RAH, Signatura 9/26, f. 295-296 (DECODE R9652);RAH, Signatura 9/26, f. 334-335 (DECODE R9656)	read in part	0.45	29	code groups	lopehurtado/NOTES.md(6289)	6289	R9645 (57% tokens) and R9656 (42% tokens), the content words: illegible (alphabet signs cannot be told apart at DECODE's 1700 px per folio (the 'perdido' 8x zoom); no larger) | R9634, R9646, R9649: not-attempted (listed as uncribbed but no coverage was measured and no reading file exists) | Spelled runs in the ciphered leaves of R9644, R9648, R9650 (word-perfect edition): illegible (same per-glyph limit; ten alphabet signs downgraded to probable) | Nomenclator codes not yet met in the uncribbed letters: open-codes (no clear version for them; roughly half the tokens resolve)	Unpublished cipher, opened 2026-09-20. TWO records carry the clerk's own full contemporary clear version - R9644 (ff. 241-242, in lettered sections keyed to the cipher) and R9650 (f. 272) - and R9648 is R9644's duplicate. R9652 carries no cipher at a	no	Tomokiyo's 2025 article covers Sanchez (R9593-R9632) and Juan Manuel (R9499-R9529) only; Lope Hurtado is not mentioned and his records fall outside both ranges. A web search returns no decipherment.	False	Three-letter consonant-vowel-consonant nomenclator codes mixed inline with clear Spanish, with homophones at code level (ta and tu both = 'no'), codes used for syllables as well as whole words, and lo	contemporary decipherment;key confirms
lopehurtado1523	Lope Hurtado de Mendoza (Rome) to Charles V, May 1523 - Mar 1524 - RAH Salazar 9/28 and 9/30, DECODE R9667-R9869	1523;1524	Spanish	RAH, Signatura 9/28, f. 171 (DECODE R9683);RAH, Signatura 9/28, f. 339-340 (DECODE R9695);RAH, Signatura 9/28, f. 6-9 (DECODE R9667);RAH, Signatura 9/30, f. 130-133 (DECODE R9846);RAH, Signatura 9/30, f. 285-286 (DECODE R9866);RAH, Signatura 9/30, f. 351 (DECODE R9867);RAH, Signatura 9/30, f. 430-431 (DECODE R9868);RAH, Signatura 9/30, f. 444-445 (DECODE R9869)	read in part	0.45	None	code groups		0	R9667 (9/28 ff. 6-9), cipher runs: open-codes (no crib (the 'Claro' is Najera's); only fragments read; CSP Spain ii 548 gives the content from a lo) | R9846 ff. 130v-132v beyond the crib third: needs-physical-access (f. 133v, the rest of the clerk's clear, is not imaged on DECODE; RAH Biblioteca Digital, Salazar A-3) | About 30 code groups (xun, xor, zad, sal, sub, rub vs yub ...) across R9683, R9695, R9866, R9867, R9868, R9869: open-codes (each without a crib; readings a quarter to two thirds per letter) | Look-alike signs (d vs barred d, two- vs three-bar crosses, barred m = f or c): illegible (not separable at DECODE resolution)	Two letters already abstracted by Bergenroth (CSP Spain ii 548, 617). Key rebuilt from R9846's bound clear; six uncribbed letters read in part (about a quarter to two thirds each). Limited by ~30 unknown codes and look-alike signs at DECODE resolutio	partial	Bergenroth, CSP Spain vol. 2 (1866) nos. 548 (R9667) and 617 (R9846) abstract two of the letters from their contemporary decipherments; the other six are not calendared. No modern decipherment found.	True	Three-letter consonant-vowel-consonant nomenclator codes mixed inline with clear Spanish, with homophones at code level (ta and tu both = 'no'), codes used for syllables as well as whole words, and lo	contemporary decipherment;key confirms
maria1435	Queen María of Castile to Alfonso V, Valencia, 5 Aug 1435, ACA Cancillería reg. 3225 f. 59r (DECODE R10171)	1435	Catalan	ACA, Cancillería, reg. 3225 f. 59r (DECODE R10171)	not read	0	42	symbols	maria1435/cipher.txt(161)	161	All three cipher runs (42 signs): too-short (Matched control: the annealer recovers 0/120 synthetic texts of this exact layout and sign inventory) | All three cipher runs (42 signs): no-key-material (Needs reg. 3225's other 1435 folios (ACA, not digitised), the second key of B.A.H.M. ms. 677 ff. 160)	Attempted, closed from the evidence. Matched control run 2026-09-22: 0/120 recovered at this length, so the solver negative says nothing about the cipher (too short); the earlier crib-penalty argument against a monoalphabetic cipher is withdrawn.	no	Prior literature checked, nothing in print (NOTES); DECODE status non-decrypted.	False	42 graphic signs (digit-like, letter-like and dotted figures) in three runs inside clear Catalan; system not established.	none
matignon1586	Forget / Mayenne / Matignon despatches of 1585-86 in Mayenne-Forget Cipher-1, BnF fr. 15572 (+ fr. 15571 f. 177), catalogue item 12	1585;1586	French	BnF fr. 15571 f. 177 (Gallica btv1b90618802, canvas 185 right);BnF fr. 15572 f. 110 (canvas 116 right);BnF fr. 15572 f. 123r (one despatch, ff. 123-124, canvases 129 right - 131 left);BnF fr. 15572 f. 123v (one despatch, ff. 123-124, canvases 129 right - 131 left);BnF fr. 15572 f. 124r (one despatch, ff. 123-124, canvases 129 right - 131 left);BnF fr. 15572 f. 124v (one despatch, ff. 123-124, canvases 129 right - 131 left);BnF fr. 15572 f. 143r (Gallica btv1b9061879d, canvas 150 right);BnF fr. 15572 f. 143v (canvas 151 left);BnF fr. 15572 f. 150 (canvas 158 left);BnF fr. 15572 f. 154 (canvas 161 right);BnF fr. 15572 f. 173 (canvas 180 right);BnF fr. 15572 f. 196 (canvas 203 right);BnF fr. 15572 f. 201 (canvas 208 right)	read in part	0.28	12994	mixed	matignon1586/cipher_f143.txt(724);matignon1586/f143v_cipher.txt(1182);matignon1586/f150_cipher.txt(445);matignon1586/f154_cipher.txt(1061);matignon1586/f173_cipher.txt(1082);matignon1586/f196_cipher.txt(840);matignon1586/f201_cipher.txt(987);matignon1586/f123r_cipher.txt(1097);matignon1586/f123v_cipher.txt(1251);matignon1586/f124r_cipher.txt(1203);matignon1586/f124v_cipher.txt(727);matignon1586/f110_cipher.txt(1699);matignon1586/f177_cipher.txt(696)	1699	fr. 15572 f. 110 (54 lines; 37 transcribed, 1,699 figures; ~0% read): not-attempted (Same key (beats scrambled keys by +2.07/figure); the transcription is internally inconsistent. An ex) | fr. 15572 ff. 123r, 123v, 124r, 124v (4,278 figures; 21%/32%/26%/19% read): not-attempted (Key known and verified on these leaves; f. 123r was the first page transcribed in this hand. Re-tran) | Unread share of ff. 143r (41%), 143v (45%), 150 (58%), 154 (53%), 173 (72%), 201 (54%): not-attempted (Single-figure slips on confusable shapes; a second pass at higher magnification against the visual k) | fr. 15572 f. 196: 5 of 31 lines untranscribed; 55% of the transcribed tokens unread: not-attempted (The part-line after 'auquel', the first three full lines and the 13th line were never transcribed; f)	Measured 22 Sept 2026 with measure.py (rule in its docstring). The earlier estimate (0.28, from the Coverage prose) happens to equal the raw measurement; the prose per-leaf figures were high on ff. 143r, 173, 201 and 177 and silent on ff. 123-124. f1	partial	Tomokiyo, cryptiana: partial key tables for Cipher-1 and short openings of ff. 143, 150, 154 and 'f. 111'; contemporary decipherments of sibling leaves in the same volume (f. 14v in f. 15r, f. 18 in f	True	Homophonic substitution of graphic signs and figures for French letters, with a numeric nomenclator of common words and names (12 il, 13 qui, 14 que, 35 parce que, 76 le roi de Navarre).	contemporary decipherment;matched control;historical consistency
mellon29	Pseudo-Elias of Cortona, Lumen luminum, cipher recipes and zodiac table, North Italy c. 1525 (Beinecke Mellon MS 29; DECODE R2877)	1525	unknown	Beinecke Rare Book and Manuscript Library, Mellon MS 29, ff. 1v-2v and front pastedown; DECODE R2877	not read	0.0	234	letters	mellon29/ciphertext.txt(57)	57	zodiac table, f. 2v (12 entries): no-key-material (not simple substitution; no key or clear copy known) | Sol and Luna recipe lists, ff. 1v and 2r: no-key-material (about 115 letters, too short for a polyalphabetic attack without a key)	Attempted, closed unread. Not a letter: an alchemical codex; the cipher hides the substances behind twelve zodiac cover names and two recipe lists. Not simple substitution; no key, clear copy or print decipherment known; possibly invented pseudo-text	no	DECODE R2877 Non-decrypted; Rec 2014 (Societas Magica Newsletter 31, n. 8) calls it a code and does not solve it	False	Letter strings with a few scribal signs, standing for the substances behind twelve zodiac cover names and for two recipe lists; not simple substitution, possibly polyalphabetic, a whole-name code, or 	none
mercoeur1586	Anonymous ('MR') to the duc de Mercœur, 26 June [c. 1586], BnF fr. 15564 f. 151 (catalogue item 13)	unknown	French	BnF fr. 15564 f. 151 (Gallica btv1b9064027v, view 164 right)	not read	None	217	symbols	mercoeur1586/cipher.txt(247)	247		Clear frame transcribed; cipher too short for ciphertext-only attack; needs a sibling letter or key.	no	Lasry found it did not decipher with his fr. 15564 key (reported by Tomokiyo, unsolved.htm)	False	Homophonic substitution with nomenclator signs (Greek letters, geometric signs, digits, Latin letters) in six runs inside a clear letter.	matched control
moray	Regent Moray to John Wood, Edinburgh, 13 July 1568 (BL Add MS 32091 f. 213)	1568	unknown	BL Add MS 32091 f. 213	not read	0	134	symbols	moray/elizabeth_moray.txt(13)	13		Undetermined: name-heavy plaintext or word codes; needs the page or a second letter in the cipher.	no	Tomokiyo lists it unsolved	False	32 symbols (x and z families with variants, numbers 10-19, letters) with repeats suggesting a homophonic alphabet; not read, word codes possible.	matched control
napoleon	Berthier to Napoleon, 22 December 1812 (with the unpublished letter to Marmont, 1807)	1812	French	Archives nationales AF/IV/1643 plaquette 1/VI (probable, from the répertoire); printed by Vilcoq 1969	not read	0	326	code groups	napoleon/berthier_ct.txt(326)	326		Blocked on the full ciphertext in Vilcoq 1969; with it, a known-plaintext alignment against Chuquet becomes possible.	unknown	Archivist's note says the first copy was deciphered; Chuquet 1912 prints Berthier's 22 Dec letters in clear, unconfirmed as this text	False	One-part or unknown-order code of about 1200 numeric groups (2-1388), used across its whole range; 64 % hapax.	none
nevers1574	Henriette de Clèves and Renato Birago to the duke of Nevers, Lyon, September 1574, BnF fr. 3315 ff. 15-16, 21	1574	French;Italian	BnF français 3315 f. 21 (Gallica btv1b90600800 images f23-f24);BnF français 3315 ff. 15-16 (Gallica btv1b90600800 images f17-f18)	read in part	0.4	None	symbols	nevers1574/f15_reading.md(340);nevers1574/f21_transcription.md(347)	347	f. 15r-v continuous transcription: illegible (Minute interlinear French is crossed by larger cipher signs and locally faded; enlarged crop pass re) | exact 1574 substitution table: illegible (1584 Nevers no. 2 is similar but differs. Exact table could be rebuilt by glyph-level alignment of t) | f. 21 first-sentence expression: illegible (Fair copy appears to read 'per saluato suo'; perhaps a personal name or abbreviation.)	The target is not wholly undecrypted: both leaves preserve their own reading aids. f. 21 is complete; f. 15 remains palaeographically incomplete.	partial	The manuscript itself preserves a contemporary interlinear decipherment on f. 15, a clear ending on f. 16r, and a complete clear copy under the cipher flap on f. 21; Tomokiyo described the system but 	True	Graphic substitution alphabet with special doubled-letter signs and nulls; close to, but not identical with, Nevers collection no. 2 of 1584.	contemporary decipherment;independent clear copy
nevers1593	Nevers to Pisany and to Revol, August-October 1593, BnF fr. 3985 and fr. 3986 (catalogue item 21)	1593	French	BnF fr. 3985 no. 116, f. 209 (Gallica btv1b90606498 canvas 419);BnF fr. 3986 no. 68, f. 146v (canvas 287);BnF fr. 3986 no. 75, f. 157v (canvas 309);BnF fr. 3986 no. 81, f. 168 (Gallica btv1b9060631k canvas 332)	read in part	0.3	395	symbols;code groups	nevers1593/ct_3985_f209.txt(194);nevers1593/ct_3986_f168.txt(426);nevers1593/ct_3986_f146v.txt(520);nevers1593/ct_3986_f157v.txt(416)	520	fr. 3986 f. 146v, Revol 7 Oct 1593 (nine cipher lines, key no. 60): illegible (transcribed at 2.4-3.2x but copyist's cursive forms map to two or three table entries; atlas pass st) | fr. 3986 f. 157v, Revol 9 Oct 1593: illegible (faded; clear cursive and cipher run together, cipher extent not yet segmented) | fr. 3985 f. 88 (21 Aug), f. 115 (27 Aug, one line), f. 176 (2 Sept, no. 88/94), fr. 3986 f. 198 (23 Oct, no. 101): not-attempted (located and cut but never transcribed; key no. 60 is fully in hand) | fr. 3986 no. 68 (Vese 7 Oct): not-attempted (not located on the image (downloader throttled); Tomokiyo list gives candidates)	Two of seven letters read (Pisany); five Revol letters in key no. 60 unread, blocker palaeographic. fraction_read 0.3 is an estimate by letters (2 of 7 read, the second in stretches); no token count exists for the Revol passages.	partial	Tomokiyo (cryptiana) read passage 1 of f. 209 and line 1 of f. 168	True	Pisany letters: Nevers cipher no. 46, a two-digit alphabet with homophones, nulls, barred, plain and double-dotted figure series for words and names; Revol letters: the Court symbol cipher no. 60.	key confirms;contemporary decipherment;historical consistency
nevers1595	Nevers to Villeroy, Saint-Quentin, 16 August 1595 (BnF fr. 3993 no. 102, ff. 148-149)	1595	French	BnF Français 3993 no. 102, ff. 148r-149r; Gallica btv1b9059229n canvases 161-162	not read	0.0	753	mixed	nevers1595/ct_f148r.txt(534)	534	all 17 runs (753 signs): no-key-material (key not among fr. 3995 nos. 1-76; as-sent letter not located; syllabic nomenclator of this size beyo)	Homophonic one-letter-per-sign readings are ruled out under six unit models by a matched control that solves.	no	Tomokiyo, cryptiana League page (2018-2019): 'Undeciphered', no Nevers-collection key fits.	False	Clear letter with 17 inserted runs of mixed figures (1 and 2 dominate) and about 45 other signs (Greek-like letters, crossed signs, italic letters). Clear code number 72 in the text.	matched control
nino1522	Rodrigo Niño (Naples) to Charles V, 19 March 1522, one ciphered paragraph (BNE MSS/20213/27; DECODE R1182)	1522	Spanish	Biblioteca Nacional de España, MSS/20213/27; DECODE R1182	not read	0	128	mixed	nino1522/cipher_p2.txt(261)	261		Skipped. Closed as attempted. The system is in print (Kolosova, Cifra 15), but the key was not reachable here and a blind attack on 336 doubtful signs with unresolved nulls did not converge.	in print	Kolosova 2017 thesis (Cifra 15, pp. 452-459) and 2024 book, via Tomokiyo cryptiana spanish2C; key not seen here; not confirmed that this letter is one of her three	False	Letter substitution in graphic signs with word spaces, and syllable-shaped nulls (mer, mor, pu, por) per Kolosova's Cifra 15; a double-barred cross sign follows many signs.	
norreys1567	Sir Henry Norreys (Paris) to Cecil, 1567-68: ciphered words copied by Patrick Forbes, BL Add MS 4136 ff. 160-161 (DECODE R9251, part of R9250)	1567;1568	English	BL Add MS 4136 f. 161 (DECODE R9251 p.1); Forbes's copy of the ciphered words;BL Add MS 4136 ff. 160-161 (DECODE R9250 p.2, R9251 p.1)	read in part	0.33	7	mixed	norreys1567/transcription.txt(520)	520	9 Mar 1568 item 2 (four signs, "a t ? l"): too-short (one four-sign word with one unmatched sign; no CSP 2054 word fits; Cabala 1663 checked) | 9 Mar 1568 item 3 (name sign, Queen of Scots? graded I): too-short (single nomenclator sign read by position only; the name table is not printed in Cabala) | sibling groups: 4 June 1567 (1, 3, 4, 7), 10 July (2 tail), 6 Feb (12, 20, 23), 9 Feb (1, 10, 11), 24 Feb (1, 7): open-codes (garbled with Tomokiyo's table; 4 June line transcription needs redoing)	Sibling readings verified against CSP Foreign viii summaries and a shuffle control; target item 1 French King (H), item 2 not read, item 3 Queen of Scots? (I). fraction_read 0.33 is measured on the target 9 Mar 1568 extract only (2 of 6 signs).	partial	Tomokiyo's partial Cecil-Norris key (cryptiana, from Cabala 1663); CSP Foreign viii summaries. No published decipherment of these Norreys passages found.	True	Homophonic letter substitution with single signs for names, only sensitive words enciphered.	historical consistency
ormanetto1573	Ormanetto (nuncio in Spain) to Cardinal of Como, 1573: copy of Philip II's letter with two cipher passages (ASV Segr. Stato Spagna 7; DECODE R116)	1573	unknown	ASV Segr. Stato Spagna 7, ff. 303r-304r, address f. 320v (DECODE R116)	not read	0	1324	symbols	ormanetto1573/r116_cipher.txt(1339)	1339		Document identified (Philip II's letter copied for Como); cipher system not established; needs the Rome decifrato or the Spain nunciature key of 1572-77.	unknown	A Rome decifrato may survive in ASV Segr. Stato Spagna 7 or the nunciature registers; Carini 1894 (not online) prints nunciature documents.	False	Contiguous numeric cipher: digits with dots above, a cross-stroke mark after some digits, later underlining; system not established. Same system as R118 (1576-77).	matched control
ormanetto1576	Ormanetto / Clementino, Spain nunciature to the Secretariat, 1576-77 (ASV Segr. Stato Spagna 10; DECODE R117-R118)	1576	unknown	ASV Segr. Stato Spagna 10, f. 365 (DECODE R118)	not read	0	389	symbols	ormanetto1576/r118_cipher.txt(50)	50		R117 not a cipher; R118 needs the key or the Rome decifrato.	unknown	Possibly calendared in Olarra-Larramendi, Correspondencia ... Felipe II (not checked, not online)	False	Contiguous numeric cipher with dotted digits and a barred-4 sign; system not established.	matched control
orpo1942	Ordnungspolizei Doppelkasten radiograms, 1942 (Weierud 2020, NARA RG 457)	1942	German	NARA RG 457 HCC (Weierud 2020), message A115;NARA RG 457 HCC Boxes 1386 and 202 (GPD 665 items 1-5); messages D33, D34, E72, D67	not read	0	1191	letters	orpo1942/msgs.txt(332)	332		Needs about 80 known plaintext pairs for one key (Bletchley's German decrypts in TNA HW 16/17).	partial	A115 decrypt printed by Hanyok (English rendering); the 27 Feb messages are unread in public	True	Doppelkasten: double Playfair with two 5x5 boxes, plaintext in double lines of 17, each pair enciphered twice through the same boxes.	matched control
ottobon	Doge and Senate (subscribed Marco Ottobon) to Giovanni Mocenigo, 27 April 1589, BNE Mss/994 ff. 34-38	1589	Italian	BNE Mss/994 ff. 34-38 (DECODE R2252)	not read	0	1528	code groups	ottobon/ct_all.txt(1528)	1528		Routes: key sheets DECODE R1789/R1790, register copy in ASVe Senato Secreta 1589, or a 300-dpi scan.	no	Valle de la Cerda read it c. 1589 but the solution is lost	False	Venetian letter-plus-figure nomenclator of the Zifra Prima type: base letters a c d f g h with figures 1-99 for letters, syllables and words mixed.	matched control
palm1727	Palm (London) to Starhemberg, German letter with ciphered passages, 1727 (BL Add MS 32270 ff. 16-17; DECODE R7927, R7930)	1727	German	British Library, Add MS 32270 ff. 16-17; DECODE R7927	not read	0	185	mixed	palm1727/groups.txt(185)	185		Closed as infeasible ciphertext-only: a same-size control with correct pins reaches only 44-50% token accuracy. Needs Palm's key or the Deciphering Branch clear copy.	unknown	Probably read at the time by the Deciphering Branch; no clear copy on DECODE, none found in print	False	Numbers 2-79 for letters (47 values seen, about two per letter) and 3-figure groups for words and syllables (230 = der), in a mostly clear German letter.	
percy1559	Sir Henry Percy to Cecil, Norham 23 July 1559 (BL Add MS 4136 f.172, DECODE R9256)	1559	unknown	BL Add MS 4136 f.172 (Forbes Papers tracing); original TNA SP 52/1 (Bain, CSP Scotland I no. 501)	not read	0	63	symbols	percy1559/transcription.txt(139)	139		Too short to break without the key; Cecil's interlined decipherment on TNA SP 52/1 would settle it.	in archive	Cecil's contemporary decipherment on the original at TNA SP 52/1 (not online); calendars (CSP Foreign I 1051, CSP Scotland I 501) give the letter's content in summary without saying which words were i	False	Pigpen-like box script with underline/dot modifiers and a few extra signs; not established whether letter substitution, name code or both.	none
r1818	Homemade cipher sheet 'Sami', Folkrörelsearkivet i Västerbotten, Umeå (DECODE R1818)	unknown	unknown	Folkrörelsearkivet i Västerbotten, Umeå (no archive reference on DECODE); DECODE R1818	not read	0	355	mixed	r1818/transcription_sample.txt(533)	533	both pages (about 7,500 signs): illegible (only scan is about 125 px/cm; crowded, overwritten hand; needs a new scan or physical access) | key / crib: no-key-material (no key, crib, sibling or reference on DECODE, in print or online)	Skipped as impossible (closed unread): needs a scan at 600 dpi or more (or physical access at Umeå) for a sign-accurate transcription; no key, crib or sibling exists.	unknown	none found on DECODE, in print or online	False	Homemade cipher (letters, invented symbols and digits) mixing Latin letter shapes, invented signs (ʒ-form, E-forms, circled a, face, hearts, X, beta) and numerals, with commas as word dividers; repeat	none
r7707	Pseudo-letter cipher letter, 1728, with contemporary worksheets (BL Add MS 32287 ff. 37-40, DECODE R7707)	1728	unknown	BL, Add MS 32287 f. 37r (DECODE R7707)	not read	0	205	symbols	r7707/ct.txt(205)	205		Too short for a ciphertext-only break of a polyalphabetic system; needs the key or the other letters on the docket (31 Aout, 5 8bre).	no	none found; the contemporary worksheets did not reach a reading	False	Cursive pseudo-letter signs (~27), one per plaintext unit, flat frequency profile (IoC 1.07), probably polyalphabetic.	
r8356	Walsingham letter-book, June 1571: Walsingham to Burghley with a cipher run and name codes, BL Harley MS 260 ff. 112v-113r (DECODE R8356)	1571	English	BL Harley MS 260 ff. 112v-113r; DECODE R8356	not read	0.0	11	mixed	r8356/transcription.txt(11)	11	nine-sign run on f. 112v: too-short (nine signs, no key) | codes [12], [E4]: no-key-material (no Walsingham 1571 key known) | sent original, TNA SP 70 (CSP For. ix 1821): needs-physical-access (not digitised; may carry a decipherment)	Explained and in print; cipher run and two codes unread, no key.	no	Digges 1655 p. 106 prints the letter but leaves the cipher as figures; CSP Foreign has no decipherment	True	Small name code of boxed digits/letters plus a run of mixed digits and letters for one name or phrase, inserted in a clear letter.	historical consistency
