group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
[DECODE:British Library] to add 32657	6	1585-1585	BL_Add_MS_32657_125-127; BL_Add_MS_32657_140-141; BL_Add_MS_32657_163-164; BL_Add_MS_32657_167-168; BL_Add_MS_32657_175-176; BL_Add_MS_32657_194-195	unknown (~14 pages on record, not signs)	none (DECODE non-decrypted)	0/6	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 15564	6	1587-1587	BNF_Français_15564_027; BNF_Français_15564_030; BNF_Français_15564_078; BNF_Français_15564_119; BNF_Français_15564_142; BNF_Français_15564_151	unknown (~14 pages on record, not signs)	none (DECODE non-decrypted)	0/6	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Milano] to ung 645	6	1491-1492	SAMi_Sf_Ung_b_645_1_1_6_3; SAMi_Sf_Ung_b_645_1_1_7_5; SAMi_Sf_Ung_b_645_2_4_3; SAMi_Sf_Ung_b_645_2_9_2; SAMi_Sf_Ung_b_645_7_23; SAMi_Sf_Ung_b_645_7_24	unknown (~19 pages on record, not signs)	none (DECODE non-decrypted)	0/6	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 18982	5	1645-1648	BL_Add_MS_18982_048; BL_Add_MS_18982_050; BL_Add_MS_18982_051; BL_Add_MS_18982_071; BL_Add_MS_18982_134	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Riksarkivet] to national archives	5	1628-1628	Riksarkivet_Rusdorff_Oxenstierna_1628-1; Riksarkivet_Rusdorff_Oxenstierna_1628-2; Riksarkivet_Rusdorff_Oxenstierna_1628-3; Riksarkivet_Rusdorff_Oxenstierna_1628-4; Riksarkivet_Rusdorff_Oxenstierna_1628-5	unknown (~15 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3096	5	1528-1529	BNF_Français_3096_091; BNF_Français_3096_115; BNF_Français_3096_119; BNF_Français_3096_121; BNF_Français_3096_123	unknown (~12 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 3022	5	1527-1528	BnF_fr3022_f12; BnF_fr3022_f16; BnF_fr3022_f26; BnF_fr3022_f40; BnF_fr3022_f44	unknown (~22 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to prins willem	5	1792-1799	KHA_A31_PWV_inr.337_hereditary_prince_to_Prince_William_V_1796-03-12; KHA_A31_PWV_inr.337_hereditary_prince_to_Prince_William_V_without date; KHA_A31_PWV_inr.339_cipher_origin_unknown_1796-08-17; KHA_A31_PWV_inr205_A.W._Van_Reede_to_Willem_V_1792-02-04; KHA_A31_PWV_inv.nr._339_cipher_origin_unknown	unknown (~11 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	5	1600-1799	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_100; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_176; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_181; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_182-192; ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_3-4	unknown (~26 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to prins willem	5	1763-1763	KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-04-29; KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-05-06; KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-05-13; KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-05-20; KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-07-05	unknown (~10 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	5	1632-1634	ASV_i1025_SdS_France_346-11; ASV_i1025_SdS_France_346-2; ASV_i1025_SdS_France_346-4; ASV_i1025_SdS_France_346-5; ASV_i1025_SdS_France_346-9	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	5	1552-1554	ASV_i1025_SdS_France_3-1; ASV_i1025_SdS_France_3-2; ASV_i1025_SdS_France_3-3; ASV_i1025_SdS_France_3-4; ASV_i1025_SdS_France_3-5	unknown (~7 pages on record, not signs)	none (DECODE non-decrypted)	0/5	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
sauniere hermitage to heinsius	4	1704-1705	Nationaal Archief 3.01.19, inv.nr. 1034 (H.A. 1034); Nationaal Archief 3.01.19, inv.nr. 946 (H.A. 946)	unknown	same sender (Sauniere de l'Hermitage) as HU2 (letters 166/177/477, H.A. 946, Feb-May 1704) but 19 mo; same sender/H.A. as 166 and 177; same sender/H.A. as 166 and 477; same sender/H.A. as 177 and 477 	1/4	none on record	sources/huygens/cipher-letters-2026-09-24.tsv; sources/huygens/cipher-letters-round2-2026-09-24.tsv
various to various	4	1640-1650	Bodleian MS. e. Musaeo 203 (same volume as EM4); various	unknown	Wallis's own 17th-c decipherment, per EM1-EM3's original blanket exclusion; n/a; various	0/4	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
[DECODE:Riksarkivet] to national archives	4	1646-1646	Oxenstiernska_samlingen_E_708-1; Oxenstiernska_samlingen_E_708-2; Oxenstiernska_samlingen_E_708-3; Oxenstiernska_samlingen_E_708-4	unknown (~12 pages on record, not signs)	none (DECODE non-decrypted)	0/4	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief]	4	1801-1808	NA_1.02.13_Legatie_Rusland_inr.208_L.Toulon__to_D.v.Hogendorp_1803-07-30; NA_2.01.08_BuZa1796-1810_inr257_ Bourdeaux_to_Agent_van_Staat_1801-01-31; NA_2.01.08_BuZa1796-1810_inr281_ C.G.vanSpaen_to_M.vanderGoes_1808-01-14; NA_2.01.08_BuZa1796-1810_inr318_ D.vanHogendorp_to_M.vanderGoes_1803-07-05	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/4	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Saxon State Archive] to saxon main	4	1841-1843	Ciphered Letter of De Zeschau to De Seebach, 06.04.1842 HStAD, 10731 Sächsische Gesandtschaft in Russland, Nr. 12; Ciphered Letter of De Zeschau to De Seebach, 13.06.1846, HStAD, 10731 Sächsische Gesandtschaft in Russland, Nr. 12; Ciphered Letter of De Zeschau to De Seebach, 18.01.1841, HStAD, 10731 Sächsische Gesandtschaft in Russland, Nr. 12; Ciphered Letter of De Zeschau to De Seebach, 26.10.1843, HStAD, 10731 Sächsische Gesandtschaft in Russland, Nr. 12	unknown (~17 pages on record, not signs)	none (DECODE non-decrypted)	0/4	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to ambasciatori	4	1520-1521	SAMo_Amb_b_4_23_11; SAMo_Amb_b_4_26_3; SAMo_Amb_b_4_28_10; SAMo_Amb_b_4_28_13	unknown (~11 pages on record, not signs)	none (DECODE non-decrypted)	0/4	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
filips marnix to willem oranje	3	1577-1580	GPA ; GSME ; HUA ; LMSAC ; MBWI ; NA ; SAG; GPA ; GSME ; KHAG ; LMSAC; marnix-1580	unknown	none found; printed: Groen van Prinsterer;Lacroix	0/3	us	ciphers/marnix-1580/NOTES.md; sources/wvo/cipher-letters-2026-09-24.tsv
louis gonzague to louis revol	3	1593-1593	btv1b9060631k f.198; btv1b90606498 f.176; btv1b90606498 f.88	unknown	Satoshi Tomokiyo (nevers.htm no.60, henryiv2.htm); key table transcribed by Daniel Bourdeau (CC BY 4	3/3	none on record	sources/solver-diffs/2026-09-24-keys-vs-siblings.tsv
court unnamed to louis gonzague	3	1593-1593	btv1b90068799 f.27; btv1b9060514q f.169 (also f.3, untested); btv1b90606320 f.66	unknown	Satoshi Tomokiyo (henryiv2.htm key-no.60 letter list); key table transcribed by Daniel Bourdeau (CC 	3/3	unclear	sources/solver-diffs/2026-09-24-keys-vs-siblings.tsv
[DECODE:British Library] to harley 1582	3	1586-1586	BL_Harley_MS_1582_065; BL_Harley_MS_1582_074; BL_Harley_MS_1582_076	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France (BnF)] to 1583	3	unknown	BnF_1583_130; BnF_1583_143; BnF_1583_154	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 6345	3	1523-1524	BL_Harley_MS_6345_034; BL_Harley_MS_6345_034v; BL_Harley_MS_6345_035v	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Riksarkivet] to national archives	3	1600-1699	Chifferklaver_låda_II_113; Chifferklaver_låda_II_114; Chifferklaver_låda_II_133	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3975	3	1587-1587	BNF_Français_3975_028; BNF_Français_3975_030; BNF_Français_3975_101	unknown (~7 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3040	3	1520-1539	BNF_Français_3040_016; BNF_Français_3040_018; BNF_Français_3040_068	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3092	3	1520-1540	BNF_Français_3092_101; BNF_Français_3092_103-104; BNF_Français_3092_107	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3078	3	1520-1540	BNF_Français_3078_021; BNF_Français_3078_031-033; BNF_Français_3078_113-117	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32305	3	1742-1749	BL_Add_MS_32305_011-012; BL_Add_MS_32305_022-023; BL_Add_MS_32305_025-028	unknown (~15 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief] to secretairerie lsquot	3	1757-1759	ARA_BRUS_SEG_inr1236ff344-345VanSwieten to Cobenzl1759Feb4; ARA_Brus_SEG_inr.1236f141vSwietentoCobenzl_withoutdate; ARA_Brus_SEG_inr.1236ff327-328VanSwietentoCobenzl_1759Jun14	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Archives of Hungary] to g15 caps	3	1710-1710	NAH_G15_CAPS_H_FASC_226_31; NAH_G15_CAPS_H_FASC_226_85; NAH_G15_CAPS_H_FASC_226_89	unknown (~15 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Riksarkivet] to national archives	3	1631-1637	Riksarkivet_Bremen_Tott_1631-1; Riksarkivet_Bremen_Tott_1631-2; Riksarkivet_Wandersleben_Oxenstierna_1637	unknown (~13 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to carteggio principi	3	1482-1486	SAMo_Cart_1623_b_2_2_2_10; SAMo_Cart_1623_b_2_2_2_18; SAMo_Cart_1623_b_2_2_2_4a	unknown (~11 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief]	3	1676-1677	ARA_Brus_SEG_inr.2559_Carpio_to_Fuenmayor_1677Sep04; ARA_Brus_SEG_inr.2559_Ronquillo_to_Fuenmayor_1677Jan27; ARA_Brus_SEG_inr.2559_Salinas_to_Fuenmayor_1676Oct6	unknown (~13 pages on record, not signs)	none (DECODE non-decrypted)	0/3	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
nevers to vieuville	2	1587-1587	fr3975-vieuville-1587; vieuville1587	unknown	Nevers cipher no. 16 (BnF fr. 3995 f. 32v) (Nevers's chancery; listed by Satoshi Tomokiyo, 1587); key no	1/2	Bourdeau, Tomokiyo, us	ciphers/fr3975-vieuville-1587/NOTES.md; sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
garde superintendent to willem oranje	2	1577-1577	GPA ; KHAG; la-garde-1577	unknown	key identified this pass; the cipher	1/2	us	ciphers/la-garde-1577/NOTES.md; sources/wvo/cipher-letters-2026-09-24.tsv
alessandrino to spain	2	1567-1568	alessandrino1568; nuncio1566	unknown	Lasry's Spagna 6 nunciature key (George Lasry, 1568)	0/2	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
guise to mercœur	2	1587-1587	guise1587; mercoeur1587	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/2	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
bnf espagnol	2	1497-1504	esp318	unknown	Cifra general de los Reyes Católicos (RAH 9/15) (Galende Díaz, 1994); Lasry's Esp 318 key (George Lasry, 1500)	0/2	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
alonso sánchez to charles	2	1522-1523	sanchez1522; sanchez1523	unknown	Tomokiyo's Sánchez/Manuel 1522 key (Satoshi Tomokiyo, 1522)	0/2	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
nevers to pisany revol	2	1593-1593	nevers1593	unknown	Tomokiyo's Nevers cipher no. 46 (Satoshi Tomokiyo, ); Tomokiyo's Nevers cipher no. 60 (Court symbols) (Satoshi Tomokiyo, 1593)	0/2	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
portland bentinck to willem iii	2	1697-1700	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	unknown	not opened this pass	0/2	none on record	sources/huygens/cipher-letters-round2-2026-09-24.tsv
elias ashmole to various	2	1643-1702	various Ashm. MSS	unknown	Josten 1966 (Elias Ashmole: His Autobiographical and Historical Notes); n/a	0/2	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
günther schwarzburg to willem oranje	2	1561-1561	JC ; KHAG ; SAR; JC ; SAR	unknown	printed: Japikse	0/2	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to sec estado	2	1552-1554	AGS_EST_LEG_1320; AGS_EST_LEG_808	unknown (~22 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivio di Stato di Napoli] to ministerio degli	2	1823-1823	ASN_Ministerio.degli.affari.esteri.2337_21; ASN_Ministerio.degli.affari.esteri.2337_39	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3829	2	1629-1629	BnF_Français 3829_1; BnF_Français 3829_2	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3623	2	1590-1591	BnF_Français 3623_8; BnF_Français 3623_9	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3621	2	1592-1592	BnF_Français 3621_6; BnF_Français 3621_8	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32280	2	1723-1842	BL_Add_MS_32280_001; BL_Add_MS_32280_003	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 61575	2	1710-1710	BL_Add_MS_61575_038; BL_Add_MS_61575_044	unknown (~7 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 72438	2	1646-1646	BL_Add_MS_72438_009; BL_Add_MS_72438_010	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to sloane 3188	2	1594-1595	BL_Sloane_MS_3188_137; BL_Sloane_MS_3188_155	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 1582	2	unknown	BL_Harley_MS_1582_071; BL_Harley_MS_1582_263	unknown (~7 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 7003	2	1652-1653	BL_Harley_MS_7003_314; BL_Harley_MS_7003_315	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 33591	2	1559-1559	BL_Add_MS_33591_102-103; BL_Add_MS_33591_248	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3138	2	1551-1556	BNF_Français_3138_021; BNF_Français_3138_059	unknown (~10 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3071	2	1537-1537	BNF_Français_3071_009; BNF_Français_3071_017	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3034	2	1520-1529	BNF_Français_3034_154; BNF_Français_3034_156	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3976	2	1588-1588	BNF_Français_3976_062; BNF_Français_3976_133-134	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3022	2	1520-1530	BNF_Français_3022_20; BNF_Français_3022_39	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Beinecke Rare Book and Manuscript Library] to osborn fc37	2	1700-1702	Yale_Beinecke_ OSB_fc37_box03_folder02; Yale_Beinecke_ OSB_fc37_box08_folder40	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to baluze 156	2	1636-1637	BnF_Baluze156_f157; BnF_Baluze156_f40	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to melanges colbert	2	1673-1674	BnF_Mel168bis_f553; BnF_Mel172_f23	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 2988	2	1520-1540	BnF_fr2988_f02; BnF_fr2988_f09	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to spiegel	2	1788-1789	NA_3.01.26_inr.212_F.G._van_Dedem_to_L.P._vande_Spiegel_1789-01-15; NA_3.01.26_inr.212_F.G._van_Dedem_to_L.P.vande_Spiegel_1788-10-11	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to staten generaal	2	1620-1620	NA_1.01.02._SG_inr.6894_Cornelis_Haga__to_HHMo_1620-02-01; NA_1.01.02._SG_inr.6894_Cornelis_Haga__to_HHMo_1620-05-04	unknown (~7 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 3789	2	1610-1610	BnF_fr3789_f17; BnF_fr3789_f19	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief] to sécretairerie lsquot	2	1634-1635	ARA_Brus_SEA_inr.540_1634-10-28_Ferdinand III_to_ Cardinal-Infant_Ferdinand; ARA_Brus_SEA_inr.540_1635-11-16_ Cardinal-Infant_Ferdinand_to_Emperor_FerdinandIII	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Venice] to asve 0045	2	1555-1558	SAV_IT_ASVe_B30_4; SAV_IT_ASVe_B30_4-6	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to legatie turkije	2	1809-1809	NA_1.02.04_legatie_Turkije_inr._804_W.T._Roell_to_F.G._van_Dedem_van_Gelder_1809_02-09-1; NA_1.02.04_legatie_Turkije_inr._804_W.T._Roell_to_F.G._van_Dedem_van_Gelder_1809_02-09-2	unknown (~13 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to laurens pieter	2	1787-1788	NA_3.01.26__inr190_A.W._van_Reede_to_L.P._vande_Spiegel_1787-12-29; NA_3.01.26_inr190_A.W._van_Reede_to_L.P._vande_Spiegel_1788-03-04	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	2	1600-1699	TNA_SP106/10_UND_(0008); TNA_SP106/10_UND_(0067)	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	2	1625-1628	TNA_SP106/10_UND_(0193-0195); TNA_SP106/5_CharlesI_(0020-0021)	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	2	1538-1612	ASV_i1025_SdS_Spain_IA-1; ASV_i1025_SdS_Spain_IA-2	unknown (~13 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 33531	2	1568-1569	BL_Add_MS_33531_073; BL_Add_MS_33531_079	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32270	2	1727-1727	BL_Add_MS_32270_041; BL_Add_MS_32270_042	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32305	2	1750-1753	BL_Add_MS_32305_032-033; BL_Add_MS_32305_034	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32305	2	1719-1719	BL_Add_MS_32305_006; BL_Add_MS_32305_007	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 3541	2	1603-1603	BnF_fr3541_f60; BnF_fr3541_f63	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Milano] to 642	2	1490-1490	SAMi_Sf_642_1_4; SAMi_Sf_642_5_3	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives]	2	1645-1645	TNA_SP106/10_UND_(0218-0221); TNA_SP106/10_UND_(0245-0246)	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/2	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
arsenal dallion	1	1639-1639	arsenal-dallion-lanmary-1744	unknown	none found	0/1	Aymeloglu, us	ciphers/arsenal-dallion-lanmary-1744/NOTES.md
arsenal ms6829	1	1708-1708	arsenal-ms6829-1708	unknown	key or sibling decipherment is named in the catalogue text carried into the QUEUE row	0/1	Aymeloglu, us	ciphers/arsenal-ms6829-1708/NOTES.md
instruction to jacob hanau	1	1635-1635	arsenal6314-hanau-1635	unknown	none found	1/1	us	ciphers/arsenal6314-hanau-1635/NOTES.md
arsenal6334 longueville	1	1650-1659	arsenal6334-longueville-1650-59	unknown	key or decipherment named for any of the three	1/1	us	ciphers/arsenal6334-longueville-1650-59/NOTES.md
august saksen	1	1561-1564	august-van-saksen-1561-64	unknown	key or full deciphered plaintext found in six sources for any of the three	1/1	us	ciphers/august-van-saksen-1561-64/NOTES.md
beinecke mellon29	1	2026-2026	beinecke-mellon29-elia	unknown	key source or a different cipher model	1/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/beinecke-mellon29-elia/NOTES.md
belmesseri napoli	1	1627-1627	belmesseri-napoli-1627	unknown	key, plaintext or documented attempt for this item	0/1	Aymeloglu, Bourdeau, us	ciphers/belmesseri-napoli-1627/NOTES.md
charles digby	1	unknown	bl-charles-digby	unknown	key mentioned in the BL catalogue record	0/1	Aymeloglu, Bourdeau, us	ciphers/bl-charles-digby/NOTES.md
farnese	1	1520-2026	bl-farnese-cipher	unknown	none found	0/1	Aymeloglu, Bourdeau, Lasry, Tomokiyo, us	ciphers/bl-farnese-cipher/NOTES.md
gualterio 1700	1	1700-1700	bl-gualterio-1700	unknown	key is	0/1	Aymeloglu, Bourdeau, Tomokiyo, us	ciphers/bl-gualterio-1700/NOTES.md
anonymous 1669 to james	1	1483-1669	bl-james-1669	unknown	key — BL Add MS 21483	0/1	Aymeloglu, Bourdeau, us	ciphers/bl-james-1669/NOTES.md
