leaf	line	pos	token	conf	layer	alt	note
f265L	R22	13	235	H	cipher		
f265L	R22	14	18	H	cipher		
f265L	R22	15	36	H	cipher		
f265L	R22	16	24	H	cipher		
f265L	R23	1	267	H	cipher		
f265L	R23	2	30	H	cipher		
f265L	R23	3	191	H	cipher		
f265L	R23	4	205	H	cipher		
f265L	R23	5	244	H	cipher		
f265L	R23	6	270	H	cipher		
f265L	R23	7	155	H	cipher		
f265L	R23	8	28	H	cipher		
f265L	R23	9	32	H	cipher		
f265L	R23	10	291	H	cipher		
f265L	R23	11	34	H	cipher		
f265L	R23	12	14	H	cipher		
f265L	R23	13	176	H	cipher		
f265L	R23	14	133	H	cipher		
f265R	R01	1	117	H	cipher		30 retouched in dark ink
f265R	R01	2	33	H	cipher		
f265R	R01	3	289	H	cipher		
f265R	R01	4	178	H	cipher		
f265R	R01	5	224	H	cipher		
f265R	R01	6	30	H	cipher		
f265R	R01	7	289	H	cipher		
f265R	R01	8	8	H	cipher		
f265R	R01	9	289	H	cipher		
f265R	R01	10	133	H	cipher		
f265R	R01	11	210	H	cipher		
f265R	R01	12	133	H	cipher		
f265R	R01	13	247	H	cipher		
f265R	R01	14	17	H	cipher		
f265R	R01	15	33	H	cipher		
f265R	R02	1	14	H	cipher		
f265R	R02	2	175	H	cipher		
f265R	R02	3	28	H	cipher		
f265R	R02	4	32	H	cipher		
f265R	R02	5	266	H	cipher		
f265R	R02	6	11	H	cipher		
f265R	R02	7	17	H	cipher		
f265R	R02	8	143	H	cipher		
f265R	R02	9	133	H	cipher		
f265R	R02	10	208	H	cipher		
f265R	R02	11	50	H	cipher		
f265R	R02	12	empressement	H	clear		
f265R	R03	1	pour	H	clear		
f265R	R03	2	son	H	clear		
f265R	R03	3	service	H	clear		
f265R	R03	4	car	H	clear		
f265R	R03	5	191	H	cipher		
f265R	R03	6	142	H	cipher		
f265R	R03	7	298	H	cipher		
f265R	R03	8	245	H	cipher		
f265R	R03	9	28	H	cipher		
f265R	R03	10	281	H	cipher		
f265R	R03	11	10	H	cipher		
f265R	R03	12	133	H	cipher		
f265R	R04	1	259	H	cipher		
f265R	R04	2	195	H	cipher		
f265R	R04	3	28	H	cipher		
f265R	R04	4	206	H	cipher		
f265R	R04	5	211	H	cipher		
f265R	R04	6	133	H	cipher		
f265R	R04	7	136	H	cipher		
f265R	R04	8	17	H	cipher		
f265R	R04	9	259	H	cipher		
f265R	R04	10	28	H	cipher		
f265R	R04	11	250	H	cipher		
f265R	R04	12	267	H	cipher		
f265R	R04	13	29	H	cipher		
f265R	R04	14	133	H	cipher		
f265R	R05	1	277	H	cipher		
f265R	R05	2	133	H	cipher		
f265R	R05	3	30	H	cipher		
f265R	R05	4	117	H	cipher		
f265R	R05	5	50	H	cipher		
f265R	R05	6	289	H	cipher		
f265R	R05	7	143	H	cipher		
f265R	R05	8	135	H	cipher		
f265R	R05	9	11	H	cipher		
f265R	R05	10	32	H	cipher		
f265R	R05	11	278	H	cipher		
f265R	R05	12	188	H	cipher		
f265R	R05	13	11	H	cipher		
f265R	R05	14	50	H	cipher		
f265R	R05	15	16	H	cipher		
f265R	R05	16	267	H	cipher		
f265R	R06	1	10	H	cipher		
f265R	R06	2	210	H	cipher		
f265R	R06	3	de	H	clear		
f265R	R06	4	Chasteaurenaut	H	clear		
f265R	R06	5	et	H	clear		
f265R	R06	6	il	H	clear		
f265R	R06	7	m'a	H	clear		
f265R	R06	8	dit	H	clear		
f265R	R06	9	qu'il	H	clear		
f265R	R07	1	croyoit	H	clear		
f265R	R07	2	qu'effectivement	H	clear		
f265R	R07	3	ie	H	clear		
f265R	R07	4	serois	H	clear		
f265R	R07	5	plus	H	clear		
f265R	R07	6	utile	H	clear		
f265R	R07	7	a	H	clear		
f265R	R08	1	Dunkerque	H	clear		
f265R	R08	2	d'ailleurs	H	clear		
f265R	R08	3	monseigneur	H	clear		
f265R	R08	4	186	H	cipher		
f265R	R08	5	281	H	cipher		
f265R	R08	6	11	H	cipher		
f265R	R08	7	30	H	cipher		
f265R	R09	1	parfaitement	H	clear		
f265R	R09	2	10	H	cipher		
f265R	R09	3	301	H	cipher		
f265R	R09	4	14	H	cipher		
f265R	R09	5	722	H	cipher		
f265R	R09	6	143	H	cipher		
f265R	R09	7	10	H	cipher		
f265R	R09	8	301	H	cipher		
f265R	R09	9	14	H	cipher		
f265R	R09	10	291	H	cipher		
f265R	R09	11	34	H	cipher		
f265R	R09	12	32	H	cipher		
f265R	R10	1	117	H	cipher		700 = one group (7xx names), checked on image
f265R	R10	2	260	H	cipher		
f265R	R10	3	46	H	cipher		
f265R	R10	4	38	H	cipher		
f265R	R10	5	10	H	cipher		
f265R	R10	6	11	H	cipher		
f265R	R10	7	118	H	cipher		
f265R	R10	8	16	H	cipher		
f265R	R10	9	700	H	cipher		
f265R	R10	10	35	H	cipher		
f265R	R10	11	17	H	cipher		
f265R	R10	12	245	H	cipher		
f265R	R10	13	34	H	cipher		
f265R	R10	14	considerable	H	clear		
f265R	R11	1	mot	M	struck		{mot} struck by the writer; '1917' written without a gap, read 19 17 (alt one group 1917)
f265R	R11	2	estant	H	clear		
f265R	R11	3	avec	H	clear		
f265R	R11	4	150	H	cipher		
f265R	R11	5	19	M	cipher		
f265R	R11	6	17	M	cipher		
f265R	R11	7	119	H	cipher		
f265R	R11	8	32	H	cipher		
f265R	R11	9	289	H	cipher		
f265R	R11	10	268	H	cipher		
f265R	R11	11	18	H	cipher		
f265R	R11	12	188	H	cipher		
f265R	R11	13	34	H	cipher		
f265R	R11	14	29	H	cipher		
f265R	R11	15	223	H	cipher		
f265R	R12	1	197	H	cipher		143: 4 written over 2 in dark ink (alt 123)
f265R	R12	2	18	H	cipher		
f265R	R12	3	267	H	cipher		
f265R	R12	4	133	H	cipher		
f265R	R12	5	8	H	cipher		
f265R	R12	6	133	H	cipher		
f265R	R12	7	107	H	cipher		
f265R	R12	8	34	H	cipher		
f265R	R12	9	14	H	cipher		
f265R	R12	10	176	H	cipher		
f265R	R12	11	143	M	cipher		
f265R	R12	12	133	H	cipher		
f265R	R12	13	24	H	cipher		
f265R	R12	14	195	H	cipher		
f265R	R12	15	11	H	cipher		
f265R	R12	16	279	H	cipher		
f265R	R12	17	28	H	cipher		
f265R	R13	1	Je	H	clear		
f265R	R13	2	n'ay	H	clear		
f265R	R13	3	rien	H	clear		
f265R	R13	4	remarqué	H	clear		
f265R	R13	5	18	H	cipher		
f265R	R13	6	17	H	cipher		
f265R	R13	7	722	H	cipher		
f265R	R13	8	qui	H	clear		
f265R	R13	9	ne	H	clear		
f265R	R13	10	me	H	clear		
f265R	R13	11	confirme	H	clear		
f265R	R14	1	ce	H	clear		
f265R	R14	2	que	H	clear		
f265R	R14	3	i'ay	H	clear		
f265R	R14	4	eu	H	clear		
f265R	R14	5	l'honneur	H	clear		
f265R	R14	6	de	H	clear		
f265R	R14	7	vous	H	clear		
f265R	R14	8	en	H	clear		
f265R	R14	9	marquer	H	clear		
f265R	R14	10	en	H	clear		
f265R	R15	1	dernier	H	clear		
f265R	R15	2	lieu	H	clear		
f265R	R16	1	Je	H	clear		
f265R	R16	2	suis	H	clear		
f265R	R16	3	avec	H	clear		
f265R	R16	4	un	H	clear		
f265R	R16	5	proffond	H	clear		
f265R	R16	6	respect	H	clear		
f265R	R17	1	Monseigneur	H	clear		
f265R	R18	1	Votre	H	clear		
f265R	R18	2	tres	H	clear		
f265R	R18	3	humble	H	clear		
f265R	R18	4	et	H	clear		
f265R	R18	5	tres	H	clear		
f265R	R18	6	obeissant	H	clear		
f265R	R18	7	serviteur	H	clear		
f265R	R19	1	Vergier	H	clear		signature
