folio	line	pos	value	grade	reason
f130b	L04	4	re	C	f.68r agrees with key_1659
f130b	L04	5	ra	M	f.68r has "ra", key_1659 "st"
f130b	L04	6	c	C	f.68r agrees with key_1659
f130b	L04	7	h	M	code not in key_1659; f.68r gives {'he': 1, 'h': 1}
f130b	L04	8	e	C	f.68r agrees with key_1659
f130b	L04	9	de	M	conf M group; f.68r agrees with key_1659
f130b	L04	10	s	C	f.68r agrees with key_1659
f130b	L04	11	a	M	f.68r has "a", key_1659 "le"
f130b	L04	12	f	C	f.68r agrees with key_1659
f130b	L04	13	fa	C	f.68r agrees with key_1659
f130b	L04	14	i	C	f.68r "i" = alternate key_1659 attests (modal "oi")
f130b	L04	15	re	C	f.68r agrees with key_1659
f130b	L04	16	s	C	f.68r agrees with key_1659
f130b	L04	17	0	C	f.68r "0" = alternate key_1659 attests (modal "i")
f130b	L04	18	ou	C	f.68r agrees with key_1659
f130b	L05	1	e	C	f.68r agrees with key_1659
f130b	L05	2	n	C	f.68r agrees with key_1659
f130b	L05	3	su	C	f.68r agrees with key_1659
f130b	L05	4	r	C	f.68r agrees with key_1659
f130b	L05	5	q	C	f.68r agrees with key_1659
f130b	L05	6	le	C	f.68r agrees with key_1659
f130b	L05	7	duc	C	code not in key_1659; f.68r gives "duc" at all 3 occurrences
f130b	L05	8	se	C	f.68r agrees with key_1659
f130b	L05	9	p	M	f.68r has "p", key_1659 "je"
f130b	L05	10	o	M	f.68r has "o", key_1659 "q"
f130b	L05	11	u	C	f.68r "u" = alternate key_1659 attests (modal "ou")
f130b	L05	12	r	C	f.68r agrees with key_1659
f130b	L05	13	r	M	f.68r has "r", key_1659 "se"
f130b	L05	14	a	M	f.68r has "a", key_1659 "n"
f130b	L05	15	de	M	conf M group; f.68r agrees with key_1659
f130b	L05	16	c	C	f.68r agrees with key_1659
f130b	L05	17	ha	C	f.68r agrees with key_1659
f130b	L05	18	r	C	f.68r agrees with key_1659
f130b	L06	1	r	C	f.68r agrees with key_1659
f130b	L06	2	qu	C	f.68r agrees with key_1659
f130b	L06	3	on	C	f.68r "on" = alternate key_1659 attests (modal "n")
f130b	L06	4	ju	C	f.68r agrees with key_1659
f130b	L06	5	ge	C	f.68r agrees with key_1659
f130b	L06	6	e	C	f.68r agrees with key_1659
f130b	L06	7	n	C	f.68r agrees with key_1659
f130b	L06	8	pe	C	f.68r agrees with key_1659
f130b	L06	9	n	C	f.68r agrees with key_1659
f130b	L06	10	se	C	f.68r agrees with key_1659
f130b	L06	11	e	C	f.68r agrees with key_1659
f130b	L06	12	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f130b	L06	13	lu	C	f.68r agrees with key_1659
f130b	L06	14	s	C	f.68r agrees with key_1659
f130b	L06	15	o	C	f.68r agrees with key_1659
f130b	L06	16	s	C	f.68r agrees with key_1659
f130b	L06	17	t	C	f.68r agrees with key_1659
f130b	L07	1	di	C	f.68r agrees with key_1659
f130b	L07	2	ve	C	f.68r agrees with key_1659
f130b	L07	3	r	C	f.68r agrees with key_1659
f130b	L07	4	ti	C	f.68r "ti" = alternate key_1659 attests (modal "t")
f130b	L07	5	r	C	f.68r agrees with key_1659
f130b	L07	6	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f130b	L07	7	de	C	f.68r agrees with key_1659
f130b	L07	8	s	C	f.68r agrees with key_1659
f130b	L07	9	y	C	f.68r agrees with key_1659
f130b	L07	10	a	M	f.68r has "a", key_1659 "qu"
f130b	L07	11	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f130b	L07	12	p	C	f.68r "p" = alternate key_1659 attests (modal "pr")
f130b	L07	13	i	C	f.68r agrees with key_1659
f130b	L07	14	qu	C	f.68r "qu" = alternate key_1659 attests (modal "ques")
f130b	L07	15	r	C	f.68r agrees with key_1659
