line	pos	status	G_sign	G_gloss	H_sign	H_gloss	G_note	H_note
11	35	agree	S31	p	S31	p	s2 row A	s2 upper row
11	36	agree	82	o	82	o	s2 row A; gloss d/o-like	s2 upper row
11	37	agree	60	l	60	l	s1 ROW B; gloss l or i	s1 LOWER ROW starts; gloss l-like stroke over the 6
11	38	agree	S30	n	S30	n	s1 row B 'na'	s1 lower row; 'ua' shape
11	39	agree	S38	t	S38	t	s1 row B	s1 lower row; tc
11	40	SIGN	S58	?	X	?	s1 row B; crossed long s + 2-shape; gloss is an &/of-like letter inside a drawn box (corre	s1 lower row; a box/shield drawn over a long s with a small a inside; possibly a correctio
11	41	agree	12	a	12	a	s1 row B	s1 lower row
11	42	SIGN	S27	l	X	l	s1 row B	s1 lower row; large capital A fused with a crossed ff (S76 + f?)
11	43	agree	14	a	14	a	s1 row B	s1 lower row
11	44	SIGN	10	u	-		s1 row B	
11	45	SIGN	2		102	u	s1 row B	s1 lower row
11	46	agree	4	f	4	f	s1 row B; small separate f gloss	s1 lower row; gloss crossed f
11	47	agree	S34	r	S34	r	s1 row B	s1 lower row; Ao
11	48	GLOSS	16	c	16	e	s1 row B	s1 lower row
11	49	SIGN	10	u	102	u	s1 row B	s1 lower row
11	50	SIGN	2		4	o	s1 row B	s1 lower row
11	51	SIGN	44	o	4		s1 row B; straddles tick	s2 lower row
11	52	SIGN	73		72		s2 row B; 7 crossed/joined to flat 3 (z-like); could be 4+2	s2 lower row; crossed 7 joined to a z-2; could be 42
11	53	agree	|		|		s2 row B	s2 lower row
11	54	GLOSS	26	c	26	e	s2 row B	s2 lower row
11	55	GLOSS	5	?	5		s2 row B; ink blot over gloss zone and after it	s2 lower row
11	56	SIGN	-		X	?		s2 lower row; token under a large ink blot, illegible
11	57	GLOSS	6	c	6	e	s2 row B; a digit may be hidden under the ink blot before it	s2 lower row
11	58	agree	4	f	4	f	s2 row B	s2 lower row; tall f crossing a 4
11	59	agree	|		|		s2 row B	s2 lower row
11	60	agree	S31	r	S31	r	s2 row B; body read from line-12 crop top; could be 58 as in line 01	s2 lower row; circle on a cross
11	61	agree	S40	r	S40	r	s2 row B	s2 lower row
11	62	agree	28	a	28	a	s2 row B	s2 lower row
11	63	agree	S37	t	S37	t	s2 row B	s2 lower row
11	64	GLOSS	60	z	60	f	s2 row B; crossed z/f gloss	s2 lower row; gloss f/t
11	65	agree	S32	q	S32	q	s2 row B; y with hooked arms (as line 05)	s2 lower row; y with crossbar; gloss q
11	66	agree	104	u	104	u	s2 row B	s2 lower row
11	67	GLOSS	62	c	62	e	s2 row B	s2 lower row
11	68	SIGN	4	f	S36	s	s2 row B; large C-shaped long-s gloss; 4 blotted	s2 lower row; x over a long descender, tall s above
11	69	agree	|		|		s2 row B	s2 lower row
11	70	SIGN	S79	que	S32	quil	s2 row B; 'ny' shape	s2 lower row; 'ny' shape; gloss quil/quel
11	71	agree	|		|		s2 row B	s2 lower row
11	72	SIGN	-		X			s2 lower row; solid filled triangular blot-sign
11	73	SIGN	73		S64	e	s2 row B; 7 is an ink blot	s2 lower row; 3-shape; gloss e-like
11	74	GLOSS	S40	z	S40		s2 row B; hooked top	s2 lower row; n-shape with looped leg at line end
12	1	agree	28	a	28	a	s1 gloss over 2/8	s1
12	2	GLOSS	64	i	64	l	s1 gloss i or l	s1 gloss l/i over the 6
12	3	GLOSS	S38		S38	t	s1 marks above belong to line-11 row B	s1 tc; gloss a heavy crossed t
12	4	SIGN	-		X	p		s1 large A with a crossed f-hook at right (not plain S76, no hooked v); gloss p/r
12	5	SIGN	S27	r	|		s1 gloss r/v-like; a long descender from line-11 row B runs past it	s1 thin
12	6	agree	24	i	24	i	s1 could be 2 + 4	s1 gloss i
12	7	GLOSS	26	c	26	e	s1	s1 gloss over the 2
12	8	SIGN	10	u	-		s1 1 is an ink blot	
12	9	SIGN	2		102	u	s1	s1 the 1 is blotted
12	10	agree	|		|		s1	s1
12	11	GLOSS	S32	q	S32	que	s1 Y-shape; could be S79	s1 Y; gloss q with bar (que)
12	12	GLOSS	S35	so	S35	vos	s1 gloss b/s-o plus a small z-like mark	s1 long s + s; gloss 'vos'
12	13	agree	S52	m	S52	m	s1 lattice 3x3; gloss m or rn	s1 lattice; gloss m; S04 possible
12	14	agree	S35	s	S35	s	s1 tall long s + s; gloss a long-s letter; straddles tick, centre left	s2 tall long s + 5; tall stroke may be gloss s
12	15	SIGN	-		4	o		s2
12	16	SIGN	44	o	4		s2	s2
12	17	agree	60	i	60	i	s2	s2
12	18	GLOSS	62	c	62	e	s2	s2 gloss c/e
12	19	GLOSS	73	ll	73	n	s2 heavy ll/tt gloss over 7	s2 heavy gloss like N/u
12	20	GLOSS	S44		S44	ct	s2 p-loop with crossed stem; mark above is the cross of the S31 in line-11 row B	s2 crossed-stem loop; gloss small 'ct'/'3t'
12	21	agree	S40		S40		s2 omega-shaped with feet	s2 omega shape; no gloss seen
12	22	SIGN	-		9	p		s2
12	23	SIGN	-		12	a		s2
12	24	SIGN	-		5			s2 small s-shaped 5
12	25	SIGN	-		4	se		s2 gloss 'se'/'ſe' tall
12	26	SIGN	-		26			s2
12	27	SIGN	-		|			s2
12	28	agree	S31	p	S31	p	s2	s2 circle on a cross
12	29	SIGN	-		28	a		s2
12	30	SIGN	12	a	S40	r	s2	s2 R/omega with a crossbar; gloss r-like
12	31	SIGN	54	fr	5	d	s2 gloss long-s + r with tilde; could be 5 + 4	s2 faint gloss 'pardon' written small above tokens 30-33
12	32	GLOSS	26	?	26	o	s2 faint multi-letter gloss (y-a-3-o-t?) spans 26 and 9	s2
12	33	GLOSS	9	?	9	n	s2 see previous note	s2
12	34	agree	12		12		s2	s2
12	35	agree	|		|		s2	s2
12	36	agree	22	pu	22	pu	s2 gloss p (crossed) + u/o	s2 gloss pu/po
12	37	agree	|		|		s2	s2
13	1	GLOSS	12		12	a	s1 marks above are descenders from line 12	s1
13	2	GLOSS	S31		S31	p	s1 c-like loop on a cross; cross above is from line 12	s1
13	3	GLOSS	S34		S34	r	s1	s1
13	4	GLOSS	62	c	62	e	s1 gloss e/c	s1
13	5	GLOSS	4		4	s	s1 the tall stroke above is a descender from line 12, not a gloss	s1 tall f/long s rising (gloss)
13	6	agree	S32	q	S32	q	s1 Y with looped left arm; loop may be the q gloss	s1 Y with a q-loop gloss at top
13	7	GLOSS	S35	so	S35	ue	s1	s1 gloss ue/we spanning
13	8	agree	14	a	14	a	s1	s1
13	9	SIGN	10	u	-		s1	
13	10	SIGN	2		102	u	s1	s1
13	11	agree	S76	r	S76	r	s1 plain A, no o	s1 plain capital A; gloss heavy R-like
13	12	GLOSS	16	c	16	e	s1	s1
13	13	SIGN	73	z	72	s	s1 gloss crossed z/y over the 7; the 3 is crossed by the divider	s1 crossed 7 joined to 2; gloss a z/3-like s
13	14	agree	|		|		s1	s1
13	15	GLOSS	62	c	62	e	s1	s1
13	16	agree	15	n	15	n	s2	s2
13	17	agree	S37	t	S37	t	s2	s2
13	18	GLOSS	16	c	16	e	s2	s2
13	19	agree	S30	n	S30	n	s2 'na'	s2 ua shape
13	20	agree	5	d	5	d	s2	s2 s-shaped 5; gloss d-like
13	21	agree	104	u	104	u	s2	s2
13	22	agree	|		|		s2	s2
13	23	agree	9	c	9	c	s2	s2
13	24	SIGN	44	o	4	o	s2 gloss o or a	s2
13	25	SIGN	7	u	4		s2 gloss run 'u u v c' spans 7, 61 and 8	s2
13	26	SIGN	61	?	76	uu	s2 see previous	s2 gloss letters 'uuue' span tokens 25-26; could be 7 and 6 separately
13	27	SIGN	8	c	16	ue	s2 8 with loop descender (could be S51); may join 61	s2
13	28	agree	|		|		s2	s2
13	29	agree	S37	t	S37	t	s2	s2
13	30	SIGN	-		4	o		s2
13	31	SIGN	44	o	4		s2	s2
13	32	agree	104	u	104	u	s2	s2
13	33	agree	S37	t	S37	t	s2	s2
13	34	GLOSS	26	c	26	e	s2	s2
13	35	GLOSS	4	f	4	s	s2 tall long-s gloss	s2 tall long s gloss
13	36	agree	|		|		s2	s2
13	37	agree	9	c	9	c	s2	s2
13	38	agree	17	ch	17	ch	s2 gloss 'ch' over 1-7; could be 1 + 7	s2 gloss 'ch'
13	39	agree	82	o	82	o	s2	s2
13	40	GLOSS	4	f	4	s	s2 tall long-s gloss	s2 tall long s gloss
14	1	SIGN	-		2			s1 lone 2; could join 6 as 26
14	2	SIGN	26		6		s1	s1 no gloss
14	3	agree	S35		S35		s1 tall long s + s	s1 tall long s + 5; no separate gloss seen
14	4	agree	|		|		s1 thin stroke	s1
14	5	agree	S31	p	S31	p	s1	s1 circle on a cross; gloss cross-like p/t
14	6	agree	14	a	14	a	s1	s1
14	7	SIGN	-		5	f		s1 gloss tall stroke (f/l), shared with next
14	8	SIGN	54		4	s	s1 could be 5 + 4; strokes above are from line 13	s1 gloss tall long s
14	9	GLOSS	16		16	e	s1	s1 gloss 3/e-like
14	10	agree	S40	r	S40	r	s1	s1
14	11	agree	82	o	82	o	s1	s1
14	12	agree	15	n	15	n	s1	s1
14	13	agree	S37	t	S37	t	s1	s1 to
14	14	agree	|		|		s1	s1
14	15	SIGN	S61		5	s	s1 5/3-like body with open loop on top reaching gloss level (loop may be a y gloss)	s1 gloss curly s/p
14	16	SIGN	4	f	S36	f	s1 large crossed f gloss	s1 x over a long stem; gloss a heavy crossed f
14	17	agree	12	a	12	a	s1	s1
14	18	agree	60	i	60	i	s2	s2 centred right of tick
14	19	agree	S34	r	S34	r	s2	s2 Ao
14	20	GLOSS	16	c	16	e	s2	s2
14	21	agree	|		|		s2	s2
14	22	SIGN	S45	toute	S14	tous	s2 reversed-3 curl with a crossbar (euro-like); gloss word 'toute' spans it and the next c	s2 script E-like loop; gloss 'tous'/'toue'
14	23	agree	|		|		s2	s2
14	24	GLOSS	12	a	12	d	s2 gloss a with a stroke through it (d-like)	s2 gloss d sits between the 2 and the next 6
14	25	GLOSS	64	z	64	f	s2	s2 gloss z-shaped f
14	26	agree	15	u	15	u	s2 gloss u or n	s2
14	27	agree	4	f	4	f	s2 tall long-s gloss	s2 gloss tall f
14	28	agree	60	i	60	i	s2 gloss an ink dot	s2 gloss heavy dot/i
14	29	agree	|		|		s2	s2
14	30	GLOSS	S32	q	S32	g	s2 Y; large q-loop gloss	s2 V/Y shape; gloss a large G-like spiral
14	31	agree	|		|		s2	s2
14	32	agree	S35	so	S35	so	s2	s2 long s + s; gloss 'So'
14	33	agree	|		|		s2 thin stroke	s2
14	34	GLOSS	14	a	14	u	s2 gloss a or u	s2 gloss u
14	35	SIGN	5	d	-		s2	
14	36	SIGN	10	u	-		s2 1 is an ink blot	
14	37	SIGN	2		102	d	s2	s2 the 1 is a blot; gloss d
14	38	agree	60	i	60	i	s2	s2
14	39	agree	4	f	4	f	s2	s2 gloss tall f crossing the 4
14	40	GLOSS	16	c	16	e	s2	s2
14	41	GLOSS	S40	r	S40	x	s2 gloss r or x	s2 n with looped leg; gloss x-like
14	42	GLOSS	26	c	26	e	s2	s2
14	43	SIGN	2		-		s2 faint z at paper edge	
15	1	agree	X		X		s1 ink blot joined to a large wavy 2/hook stroke at line start (flourish or damaged sign, 	s1 large ink blot followed by an n/ʌ-shaped stroke (possibly S40 under a blot)
15	2	SIGN	-		|			s1 long slanting stroke
15	3	GLOSS	S35	so	S35	vos	s1	s1 long s + s; gloss 'vos' (partly above)
15	4	agree	12	a	12	a	s1	s1
15	5	agree	104	u	104	u	s1	s1
15	6	agree	S34	r	S34	r	s1	s1 Ao
15	7	GLOSS	16	c	16	e	s1 stroke over the 1	s1 heavy, partly blotted
15	8	SIGN	S20	i	72	s	s1 R-like with cross-tail; gloss a dot/tick	s1 R/7-like joined to 2; gloss s-like
15	9	agree	|		|		s1 thin stroke	s1
15	10	GLOSS	62	c	62	e	s1	s1
15	11	agree	15	n	15	n	s1	s1
15	12	agree	S37	t	S37	t	s1	s1 to; gloss heavy t
15	13	SIGN	-		2	u		s1 lone 2; gloss u
15	14	SIGN	26	u	6		s1	s1 may join 2 as 26
15	15	agree	S30	n	S30	n	s1 'na'	s1 ua shape
15	16	agree	5	d	5	d	s1 on the tick, centre marginally left	s2 gloss d
15	17	agree	7	u	7	u	s2 7 heavily inked	s2 heavy 7
15	18	agree	|		|		s2	s2
15	19	agree	9	c	9	c	s2	s2
15	20	SIGN	82	o	8	o	s2	s2 read separately; could be 98
15	21	SIGN	7	u	2	l	s2 gloss run 'u u m' over 7 6 1	s2 tall stroke above (gloss l, or descender from line 14)
15	22	SIGN	6	um	76	uu	s2 could be 61 with the next 1	s2 gloss 'uuu' spans 76 and 16
15	23	GLOSS	16	c	16	e	s2	s2
15	24	agree	|		|		s2	s2
15	25	GLOSS	60	z	60	f	s2	s2 gloss z-shaped f
15	26	GLOSS	62	c	62	e	s2	s2
15	27	agree	7	u	7	u	s2	s2
15	28	SIGN	44		4	s	s2 hooked stroke above is from line 14	s2 gloss s/dot with stroke
15	29	SIGN	10	u	4		s2	s2
15	30	SIGN	2		102	u	s2	s2
15	31	agree	5	?	5	?	s2 gloss position covered by an ink blot	s2 gloss blotted (L-shaped blot)
15	32	agree	82	o	82	o	s2	s2
15	33	agree	60	i	60	i	s2	s2
15	34	agree	4	f	4	f	s2 tall long-s gloss	s2 gloss tall f crossing the 4
15	35	SIGN	|		S75		s2 tall stroke joined to the 4 (H-like)	s2 bold capital H
15	36	SIGN	S28	m	S49	m	s2	s2 m with descending tail, preceded by a curl; gloss m
15	37	GLOSS	26	c	26	e	s2	s2 gloss over the 2/6
15	38	agree	58	tt	58	tt	s2 first digit s-like	s2 gloss tt
15	39	agree	16	o	16	o	s2	s2 gloss o over the 6
16	1	SIGN	S53		-		s1 looped 3/8-like curl with tail running down-left, joined to the 7	
16	2	SIGN	7		S74		s1 could form one sign with the preceding curl (cf S74)	s1 looped curl joined to a 4/7-like stroke; no gloss seen
16	3	agree	S34	r	S34	r	s1	s1 Ao
16	4	GLOSS	62	c	62	e	s1	s1 gloss c/e
16	5	agree	S35		S35		s1 tall long s + s	s1 very tall long s + 5
16	6	SIGN	10	u	-		s1	
16	7	SIGN	2		102	u	s1	s1
16	8	GLOSS	4	f	4	s	s1 tall long-s gloss	s1 tall long s rising through the 4 (gloss)
16	9	agree	|		|		s1	s1
16	10	GLOSS	5	r	5	x	s1 gloss r/x-like	s1 gloss x/r
16	11	agree	14	a	14	a	s1	s1
16	12	agree	S31	p	S31	p	s1	s1 circle on a cross
16	13	agree	S34	r	S34	r	s1	s1 Ao
16	14	agree	12	a	12	a	s1	s1
16	15	agree	S37	t	S37	t	s1	s1 to
16	16	agree	60	i	60	i	s1 0 lies on the tick	s1 centre left of tick
16	17	agree	S32	q	S32	q	s2 y with hooked barred arms (as line 05)	s2 Y/7 with long crossbar; gloss q
16	18	SIGN	10	u	-		s2	
16	19	SIGN	2		102	u	s2	s2
16	20	GLOSS	16	c	16	e	s2	s2
16	21	agree	|		|		s2	s2
16	22	agree	5	d	5	d	s2	s2
16	23	agree	7	u	7	u	s2	s2
16	24	agree	|		|		s2	s2
16	25	agree	9	c	9	c	s2	s2
16	26	agree	28	a	28	a	s2	s2 gloss a over the 2
16	27	SIGN	-		S37	t		s2 partly cut; to-like
16	28	SIGN	22	pr	X	rr	s2 first 2 blotted and 3-like; glosses p and r/k	s2 3/5-like curl with a dot, followed by a z; gloss heavy 'rr'; may be S64 plus 2
16	29	agree	60	i	60	i	s2	s2
16	30	agree	S38	t	S38	t	s2	s2 tc
16	31	agree	12	a	12	a	s2	s2
16	32	GLOSS	64	i	64	l	s2	s2
16	33	agree	15	n	15	n	s2	s2
16	34	GLOSS	16	c	16	e	s2	s2 gloss c/e
16	35	agree	|		|		s2	s2
16	36	SIGN	S27	l	X	f	s2	s2 large capital A fused with a crossed f (same shape as line 12 pos 4); gloss f/l
16	37	agree	24	i	24	i	s2 gloss i over an ink dot; long filler stroke follows	s2 gloss i with a blot
16	38	agree	X		X		s2 m-shaped mark with dot at right edge after the filler stroke (maybe S70/S49 or a catchw	s2 small m-like mark at the right edge above a ruled stroke; may be a catchword, not ciphe
17	1	agree	104	u	104	u	s1 4 set apart from 10; a long horizontal stroke runs under 104 64 44 (underline or cancel	s1 a ruled horizontal stroke crosses the line from here to the tick
17	2	SIGN	-		4			s1 no gloss
17	3	GLOSS	64	z	64	f	s1	s1 gloss z-shaped f
17	4	SIGN	-		4			s1
17	5	SIGN	-		4	s		s1 cross with a long-s stroke rising (gloss s/f)
17	6	SIGN	44	o	4		s1 gloss p/o-like over first 4	s1
17	7	agree	9	c	9	c	s1	s1 gloss c
17	8	GLOSS	16	c	16	e	s1	s1
17	9	agree	S32	fait	S32	fait	s1 Y with looped left arm; gloss word 'fait'	s1 Y with looped top; gloss 'fait' (a flourished f)
17	10	agree	14	a	14	a	s1	s1 gloss a
17	11	GLOSS	16	c	16	t	s1	s1 gloss t (crossed)
17	12	agree	12	a	12	a	s1	s1
17	13	agree	15	n	15	n	s1	s1
17	14	GLOSS	S37	t	S37		s1	s1 to with a heavy t; no gloss seen
17	15	SIGN	X		4		s1 vertical stroke with two slanting crossbars (double-barred cross)	s1 cross over a long-s stroke that falls to the tick (possibly S36)
17	16	agree	|		|		s2	s1 on the tick
17	17	SIGN	S58		S46	f	s2 crossed long s with a 7/2-shaped tail	s2 crossed long s with a j/7-like tail; gloss tall f
17	18	SIGN	X	faut	S14	fait	s2 c-hook joined to a z-shape with tail below; gloss word 'faut' over it and the 9	s2 script E-curl; gloss 'fait' plus c/d letters
17	19	GLOSS	9		9	c	s2 gloss zone taken by 'faut'	s2
17	20	GLOSS	16	c	16	e	s2	s2
17	21	SIGN	-		S58	ll		s2 6 joined to a z/8 flourish (crossed long s + 2); gloss 'll'/'fl'
17	22	SIGN	68	ll	102	u	s2	s2 the 0 is blotted
17	23	SIGN	104	u	4		s2 0 blotted	s2
17	24	SIGN	60	r	82	r	s2 gloss v/r-like	s2 gloss r
17	25	agree	|		|		s2	s2
17	26	agree	S32	q	S32	q	s2 y with hooked barred arms	s2 y with long crossbar; gloss q
17	27	agree	7	u	7	u	s2	s2
17	28	SIGN	-		2			s2
17	29	SIGN	24	tt	4	h	s2 gloss H-like (tt)	s2 gloss H-like
17	30	agree	5		5		s2 faint, tick after	s2 small s-shaped 5
17	31	agree	|		|		s2	s2
17	32	SIGN	X	t	-		s2 TRUNCATED: large C-shape with T-like top; line slopes below crop bottom from here on	
17	33	SIGN	12	a	-		s2 TRUNCATED: only tops visible	
17	34	SIGN	10	u	-		s2 TRUNCATED	
17	35	SIGN	2		-		s2 TRUNCATED	
17	36	SIGN	S37	t	-		s2 TRUNCATED	
17	37	SIGN	X	o	-		s2 TRUNCATED: 8/delta-like loop, maybe 82 or S31	
17	38	SIGN	X	u	S16	t	s2 TRUNCATED: only the gloss u visible, code below crop edge; line-end dash follows	s2 heavy long s with a curl, gloss t; the cipher row then drops below the crop bottom (tok
18	1	GLOSS	16	e	16	c	s1; x780; two-stroke gloss mark read as e (could be c)	s1 small c/s-like gloss above the 6
18	2	agree	7	u	7	u	s1; x855	s1
18	3	SIGN	|		-		s1; x890; thin diagonal stroke x890	
18	4	SIGN	S34	f	S37	f	s1; x930; A joined to o	s1 crossed t joined to o; F-like mark above read as gloss
18	5	SIGN	S28	m	S49	m	s1; x985; thin c-hook then m with tilde	s1 m with lead-in stroke
18	6	agree	12	a	12	a	s1; x1030	s1
18	7	GLOSS	16	e	16	c	s1; x1195; two-stroke gloss mark read as e (could be c)	s1
18	8	SIGN	S21		S59		s1; x1265; x1260 f-like, tall curved top, crossbar	s1 tall looped l crossed low; could be a tall 4
18	9	GLOSS	9	?	9	c	s1; x1330; mark above mixed with descender from line above	s1 small hook above, near a descender from line above
18	10	agree	S33		S33		s1; x1395; x1370-1420 long-s leg with crossbar and second leg, dot after	s1 pi-shape with tall left leg, crossbar and dot after (could be S10)
18	11	agree	64	z	64	z	s1; x1480; gloss 3/z-shaped	s1 gloss 3/z-like
18	12	GLOSS	S44	t	S44		s1; x1580; loop on crossed stem with foot	s1 crossed t-top over a closed loop on a stem with base bar; t-top may be a gloss
18	13	agree	S38	t	S38	t	s1; x1630	s1
18	14	SIGN	-		11			s1 two minims, second taller (il)
18	15	SIGN	X	quil	S79		s1; x1760; x1730-1790 cursive cluster like 'ily'	s1 y
18	16	agree	X		X		s1; x1855; x1830-1885 long heavy descender with flat hooked flourish at top	s1 tall descending stroke with flat hook to the right at top
18	17	SIGN	X	cy	5		s1; x1912; x1900-1925 small s-shaped curl with descending tail	s1 lone s-shaped 5 (could be S53), under the letters cy
18	18	GLOSS	S29	gm	S29		s2; x2010; x1965-2060 run of minims	s2 minims (auu-like)
18	19	GLOSS	6	e	6	c	s2; x2095; two-stroke gloss mark read as e (could be c)	s2
18	20	agree	60	t	60	t	s2; x2165	s2 0 has a short descender; gloss t or l
18	21	GLOSS	68	ll	68	lk	s2; x2255	s2 8 has a crossed descender (could be S63)
18	22	agree	2	u	2	u	s2; x2330	s2 lone z
18	23	agree	6		6		s2; x2385; x2385 faint stroke above, not read as gloss	s2
18	24	agree	10	u	10	u	s2; x2440	s2
18	25	agree	4		4		s2; x2515	s2
18	26	agree	S34	r	S34	r	s2; x2585; gloss r- or z-like	s2 Ao
18	27	agree	|		|		s2; x2640	s2
18	28	agree	62	?	62	?	s2; x2700; gloss mark merged with descender from line above	s2 hook above 6 joined to a descender from line above
18	29	agree	7	u	7	u	s2; x2780	s2
18	30	SIGN	4	o	-		s2; x2860	
18	31	GLOSS	4		4	o	s2; x2920	s2
18	32	SIGN	8	f	-		s2; x2960; gloss l/f-like with crossbar	
18	33	SIGN	8		48	l	s2; x3005; P-shaped 8	s2 split of 4 4 8 8 2 into codes uncertain
18	34	SIGN	2	?	82	c	s2; x3070; two blobs above, possibly descender of line above	s2
18	35	agree	15	u	15	u	s2; x3140	s2 5 written as long-s shape
18	36	agree	S37	t	S37	t	s2; x3220	s2
18	37	SIGN	-		1	e		s2 gloss e with bar
18	38	SIGN	16	e	6		s2; x3300; two-stroke gloss mark read as e (could be c)	s2 crossed by a thin slash
18	39	agree	|		|		s2; x3340; thin slash through/after the 6 at x3330	s2 thin slash
18	40	SIGN	52	d	12	d	s2; x3400; s-shaped 5 then z	s2 gloss d-like, larger
18	41	GLOSS	6	e	6	c	s2; x3490; two-stroke gloss mark read as e (could be c)	s2 large 6 with tall thin stroke; c-like mark above
18	42	SIGN	-		|			s2 thin tall stroke after the 6
19	1	agree	S27	s	S27	s	s1; x785; gloss long s	s1 gloss long-s shape
19	2	agree	14	a	14	a	s1; x860	s1
19	3	agree	S37	t	S37	t	s1; x975; faint to	s1
19	4	SIGN	2	a	-		s1; x1040	
19	5	SIGN	8		28	a	s1; x1085	s1 8 could open the next code
19	6	agree	15	n	15	n	s1; x1165	s1
19	7	agree	S38	t	S38	t	s1; x1255	s1
19	8	agree	16	e	16	e	s1; x1365; two-stroke gloss mark read as e (could be c)	s1
19	9	agree	S34	r	S34	r	s1; x1455; tilde over A plus r-like gloss	s1
19	10	GLOSS	S32	t	S32		s1; x1545; bold y/gamma with long descender	s1 y-like with hook and long descender
19	11	GLOSS	5	que	5		s1; x1590; gloss 'que' spans over 5 and next sign	s1 lone s-shaped 5
19	12	SIGN	S44		S62	que	s1; x1645; loop on stem with crossbar, long tilde flourish on top	s1 delta/d-like with long flourish over it; gloss que may belong to the 5
19	13	agree	X	n	X	n	s1; x1740; x1705-1780 'ua': two minims then closed a-shape	s1 u joined to a (ua ligature), not in atlas
19	14	agree	12	a	12	a	s1; x1830	s1
19	15	GLOSS	60	l	60	t	s1; x1925; s1/s2 boundary near 1950	s2 gloss t or l
19	16	agree	14	a	14	a	s2; x2015	s2
19	17	agree	S29	on	S29	on	s2; x2135; four minims	s2
19	18	SIGN	2	a	-		s2; x2230	
19	19	SIGN	8		28	a	s2; x2275	s2
19	20	GLOSS	64	n	64	h	s2; x2355; gloss n-like with ascender	s2
19	21	agree	S21		S21		s2; x2440; tall f with crossbar	s2 f with crossbar and descending tail
19	22	SIGN	|		-		s2; x2500; thin slash	
19	23	SIGN	2		12		s2; x2530	s2 preceded by a dot
19	24	GLOSS	6	e	6	c	s2; x2585; two-stroke gloss mark	s2
19	25	agree	S35		S35		s2; x2645; long s + small s(5-shape)	s2 long s followed by s, long s rises high
19	26	agree	S37	t	S37	t	s2; x2735	s2
19	27	GLOSS	16	e	16	c	s2; x2820; two-stroke gloss mark	s2
19	28	SIGN	X	et	S38	et	s2; x2925; c-hook joined to crossed t with long stem (ct order, reverse of S38)	s2
19	29	GLOSS	5	?	5		s2; x3020; faint s-shaped 5	s2 lone s-shaped 5
19	30	GLOSS	S28	m	S28	en	s2; x3095	s2 gloss 3n/en-like
19	31	SIGN	2		12	m	s2; x3190	s2
19	32	GLOSS	6	e	6	c	s2; x3240; faint 6	s2
19	33	agree	60	l	60	l	s2; x3305	s2
19	34	agree	68	ll	68	ll	s2; x3380	s2
19	35	GLOSS	16	e	16	c	s2; x3475; two-stroke gloss mark	s2
20	1	GLOSS	7		7	u	s1; x765	s1
20	2	agree	S34	r	S34	r	s1; x825; small r-like mark above A	s1
20	3	GLOSS	62	e	62	c	s1; x945; two-stroke gloss mark	s1
20	4	GLOSS	16	e	16		s1; x1060; two-stroke gloss mark	s1
20	5	SIGN	S21		S59		s1; x1130; tall stroke through a crossbar joined to preceding 6 (same shape as line18 x126	s1 tall looped stroke crossed low, same shape as line 18; could be a tall 4
20	6	agree	S44	p	S44	p	s1; x1215; loop on stem with foot	s1 crossed top over closed loop on long stem
20	7	GLOSS	62	e	62	c	s1; x1290; two-stroke gloss mark	s1
20	8	GLOSS	S33	r	S33		s1; x1385; loop top, two legs	s1
20	9	agree	14	a	14	a	s1; x1470	s1
20	10	agree	15	n	15	n	s1; x1570	s1
20	11	GLOSS	9	e	9	c	s1; x1645; blob+hairline gloss mark	s1
20	12	GLOSS	26	e	26	c	s1; x1750; two-stroke gloss mark centred between 2 and 6	s1 6 may be its own code
20	13	SIGN	X		S63		s1; x1865; circle on a descending stem, long crossbar through the circle top, 2-shaped hoo	s1 q-like with crossbar joined from the 6, stem descending
20	14	agree	7	u	7	u	s1; x1945	s2
20	15	GLOSS	16	e	16	c	s2; x2025; two-stroke gloss mark	s2
20	16	agree	68	ll	68	ll	s2; x2120	s2
20	17	GLOSS	26	e	26	c	s2; x2240; two-stroke gloss mark between 2 and 6	s2
20	18	GLOSS	S33		S33	u	s2; x2345; pi-like: crossbar with two legs, R/p-like loop on top, dot after	s2 tall-legged pi shape with dot after; mark above read as gloss
20	19	GLOSS	16	e	16	u	s2; x2430	s2
20	20	SIGN	10	u	-		s2; x2485	
20	21	SIGN	4		104	u	s2; x2545; faint vertical crease just right of it	s2
20	22	agree	S21		S21		s2; x2650; tall f with crossbar	s2 tall f with crossbar
20	23	GLOSS	9	e	9	c	s2; x2690	s2
20	24	GLOSS	60	?	60	c	s2; x2770; gloss t/r-like blob	s2
20	25	GLOSS	S34	r	S34	e	s2; x2850; z/r-like gloss	s2
20	26	agree	14	a	14	a	s2; x2955	s2
20	27	agree	58	d	58	d	s2; x3060	s2
20	28	agree	2	o	2	o	s2; x3140; gloss o/e-like	s2
20	29	agree	15	n	15	n	s2; x3220	s2
20	30	GLOSS	S37		S37	t	s2; x3300; tall t	s2
20	31	SIGN	-		S47			s2 tall crossed ascender joined to o, written higher; z below it
20	32	SIGN	22	bo	2		s2; x3410; two faint grey 2s under a bold bo/to-like mark read as gloss (same combination 	s2 z under the preceding sign
21	1	GLOSS	9		9	c	s1; x765	s1
21	2	SIGN	2	?	-		s1; x815; small blob above, may be stroke of line 20	
21	3	SIGN	6		26	u	s1; x870; ascender stroke from line above crosses it	s1 2 and 6 may be separate codes
