line	position	sign	gloss	confidence	source	why
16	21	7	u	H	both	agree
16	22	|		H	both	agree
16	23	9	c	H	both	agree
16	24	28	a	H	both	agree
16	25	52	pr	M	new	s-curl digit (5-like, possibly 3; dot at its foot) + z, tight; p gloss over the first, r over the second; stems of glosses touch the digits
16	26	60	i	H	both	agree
16	27	S38	t	H	both	agree
16	28	12	a	H	both	agree
16	29	64	i	M	G	short single stroke with a small head over the 6, no l-foot
16	30	15	n	H	both	agree
16	31	16	e	M	both	two-stroke e gloss
16	32	|		H	both	agree
16	33	S27	l	M	G	A-like stem fused to crossed ff = S27 (as line 11 pos 42, line 12 pos 5); gloss an l with a foot and a cross-stroke
16	34	24	i	H	both	agree
16	35	X		H	both	agree
17	1	104	u	H	both	agree
17	2	64	z	M	both	gloss is a 3/z-shaped mark over the 6
17	3	44	e	M	G	44 with one gloss over first 4; gloss is an epsilon/e-like loop (could be s), not o
17	4	9	c	H	both	agree
17	5	16	e	M	both	two-stroke gloss (hook plus stroke) read e, as in the agreed 16 e at 19/8
17	6	S32	fait	H	both	agree
17	7	14	a	H	both	agree
17	8	16	c	M	both	c directly above 16; the cross higher up is a descender from line 16
17	9	12	a	H	both	agree
17	10	15	n	H	both	agree
17	11	S37		M	both	heavy t-top belongs to the sign; no separate gloss above
17	12	X		M	G	vertical stroke with two slanting crossbars (double-barred cross), no 4 tail; not S36
17	13	|		H	both	agree
17	14	S58		M	G	crossed long s with 2/7-shaped tail; tall stroke above is a descender from line 16, no gloss
17	15	X	faut	M	G	c-hook joined to a z-shape with tail below; gloss word faut over it
17	16	9	c	M	H	first of two c glosses after faut sits over 9
17	17	16	c	M	both	second c gloss over 16 (tall l beside it is a line-16 descender)
17	18	68	ll	M	G	6 then 8 with descender; gloss ll
17	19	104	u	M	G	1, blotted 0, 4 under one gloss u (same code as line start)
17	20	60	r	M	G	delta-like 6 then round 0; gloss r/v; uncertain 6 vs 8
17	21	|		H	both	agree
17	22	S32	q	H	both	agree
17	23	7	u	H	both	agree
17	24	24	tt	M	G	z then 4, one H/tt-like gloss over both
17	25	5		H	both	agree
17	26	|		H	both	agree
17	27	X	t	M	G	heavy hooked long stroke (top bulb curls right, descends below line), cross gloss t; like S16 but no top loop
17	28	12	a	M	G	seen at top of line18_s2: 1 z, gloss a
17	29	102	u	M	recode	10 and 2 written as one group under a single u gloss; 102 = V
17	30	S37	t	M	G	line18_s2 top: crossed t joined to o, gloss t
17	31	X	o	M	G	line18_s2 top: 8-like closed bottom loop with top stroke curling back; gloss small o
17	32	7	u	M	new	line18_s2 top: final code is a 7 (G's X, code below crop); gloss u to its right before the line-end dash
18	1	16	e	M	both	two-stroke gloss, same form as agreed 16 e at 19/8
18	2	7	u	H	both	agree
18	3	|		M	G	thin separate diagonal stroke between 7 and Ao, not the 7's tail
18	4	S34	f	M	G	capital A joined to closed o; F-like gloss above
18	5	S28	m	M	G	thin c-hook lead-in then m, no descending tail
18	6	12	a	H	both	agree
18	7	16	e	M	both	two-stroke gloss, same form as agreed 16 e at 19/8
18	8	S36		M	recode	ZX-TR349E: long-s stroke from above (top hooking right) ending in a single crossbar/x at the foot, stem stops straight below the bar with no leftward tail = the letter-body S36 form (x over long descender, key s); confused with S21 (f with mid crossbar and a tail curling left). Gives e-s-c-r-i-t
18	9	9	c	M	H	small hook above 9, partly merged with a descender from line 17
18	10	S33		H	both	agree
18	11	64	z	H	both	agree
18	12	S44	t	M	G	small mark above the loop-on-stem sign read as gloss t (uncertain)
18	13	S38	t	H	both	agree
18	14	X	quil	M	G	written cluster like ily (minims then y) under the single gloss word quil; H split it 11+S79
18	15	X		H	both	agree
18	16	5	cy	M	H	s-shaped 5 with descending tail, gloss letters cy above
18	17	S29	gm	M	G	run of minims with gloss gm(m) above
18	18	6	e	M	both	two-stroke gloss read e (as agreed 19/8)
18	19	60	t	H	both	agree
18	20	68	ll	M	G	gloss ll (second l looped); same 68 ll as line 17
18	21	26	u	M	recode	z and 6 written as one group under one e gloss (dotted c); 26 = E; the u gloss belongs to the following 10
18	22	104	u	M	recode	10 and 4 written as one group under a single u gloss; 104 = V
18	23	S34	r	H	both	agree
18	24	|		H	both	agree
18	25	62	?	H	both	agree
18	26	7	u	H	both	agree
18	27	44	o	M	new	4 4 with one gloss o over the first 4 (as 44 in line 17); uncertain split
18	28	5	l	M	recode	S-shaped digit (top hook, closed lower loop), unlike the pointed 8 of the next 82; reads as the s-form 5 = l, matching gloss
18	29	82	e	M	H	8 then z; two-stroke gloss between them read e (as agreed 19/8); uncertain split
18	30	15	u	H	both	agree
18	31	S37	t	H	both	agree
18	32	16	e	M	G	1 6 under one two-stroke barred gloss, read e
18	33	|		H	both	agree
18	34	5	d	M	recode	first sign after the divider is the s-form 5 (d gloss), not 1; the following z belongs with the 6
18	35	26	e	M	recode	z (read as the 2 of 12) plus 6 form 26 under the e gloss; pos36 becomes 5 (d)
18	36	|		M	H	tall thin stroke rising after the 6
19	1	S27	s	H	both	agree
19	2	14	a	H	both	agree
19	3	S37	t	H	both	agree
19	4	28	a	M	H	z then 8 with one gloss a over the z
19	5	15	n	H	both	agree
19	6	S38	t	H	both	agree
19	7	16	e	H	both	agree
19	8	S34	r	H	both	agree
19	9	S32		M	H	the T-shape above the y is the base of line 18's S44 descending, not a gloss
19	10	5	que	M	G	gloss que begins directly over the s-shaped 5
19	11	S62		M	new	loop with a slash through it and a long tilde flourish (delta with slash, as H), gloss que belongs to the 5 (as G)
19	12	X	n	H	both	agree
19	13	12	a	H	both	agree
19	14	60	l	M	G	gloss is a vertical with a small hook, no clear crossbar: l (t possible)
19	15	14	a	H	both	agree
19	16	S29	on	H	both	agree
19	17	28	a	M	H	z then 8, one gloss a
19	18	64	h	M	H	gloss is an h with ascender
19	19	S36		M	recode	ZX-TR349E: tall long-s stroke hooked at the top with a single crossbar low on the stem, stem ends straight, no left-curling tail = letter-body S36 (key s); confused with S21 f-shape. Gives mais
19	20	|		M	G	thin faint slash before the z is a divider, not a 1
19	21	26		M	recode	z and 6 written as one group under one e gloss; 26 = E
19	22	S35		H	both	agree
19	23	S37	t	H	both	agree
19	24	16	e	M	G	two-stroke gloss read e
19	25	X	et	M	G	c-hook then crossed t (ct order), reverse of S38; kept apart
19	26	5	en	M	new	s-shaped 5 with a 3n/en-like gloss above it
19	27	S28	m	M	G	gloss over the c-hook-m is a plain m
19	28	26		M	recode	z and 6 written as one group under one e gloss; 26 = E
19	29	60	l	H	both	agree
19	30	68	ll	H	both	agree
19	31	16	e	M	G	two-stroke gloss read e
20	1	7	u	M	H	u-like gloss above the 7 at the crop top
20	2	S34	r	H	both	agree
20	3	62	e	M	G	two-stroke gloss read e
20	4	16	e	M	G	two-stroke gloss above the 16 at crop top
20	5	S36		M	recode	ZX-TR349E: thick long-s stroke from above crossed low by a diagonal thin bar forming an x, no tail curl = S36 (key s); confused with S21. Gives e-s-p-e-r-a-n-c-e
20	6	S44	p	H	both	agree
20	7	62	e	M	G	two-stroke gloss read e
20	8	S33	r	M	G	clear r gloss above the pi-shape
20	9	14	a	H	both	agree
20	10	15	n	H	both	agree
20	11	9	e	M	G	two-stroke hook gloss read e
20	12	26	e	M	G	two-stroke gloss centred over 2 and 6
20	13	X		M	G	circle on descending stem, crossbar through the circle top, hook at top right; crossbar not on the stem so not S63
20	14	7	u	H	both	agree
20	15	16	e	M	G	two-stroke gloss read e
20	16	68	ll	H	both	agree
20	17	26	e	M	G	two-stroke gloss between 2 and 6
20	18	S33		M	G	the crossed dark mark above is the long stem of line 19's ct sign descending, not a gloss
20	19	16	e	M	G	two-stroke gloss read e, no u
20	20	104	u	M	H	1 0 4 with gloss u over the 10
20	21	S36		M	recode	ZX-TR349E: long-s stroke with hook at top running into a diagonal crossbar near its foot (x over descender) = S36 (key s); confused with S21. Gives reuscira
20	22	9	e	M	G	two-stroke hook gloss read e
20	23	60	l	M	new	short vertical with curl and blob, l-like (t possible); not c
20	24	S34	r	M	G	r-like gloss with flourish, as S34 r elsewhere
20	25	14	a	H	both	agree
20	26	5	d	M	recode	d gloss sits over the 5 alone; the blotted 8 belongs with the following 2 (re-split 58|2 -> 5|82)
20	27	82	o	M	recode	o gloss sits over the 8-2 pair; 82 = O, with the 8 taken from pos26's 58
20	28	15	n	H	both	agree
20	29	S37		M	G	the tall cross above is the sign's own t, no separate gloss
20	30	22	bo	M	G	two faint grey 2s on the baseline under a bold bo mark read as gloss (uncertain: could be an overwritten S47)
21	1	9	e	M	H	hook-shaped two-stroke mark above the 9 at crop top, read e
21	2	26	e	M	H	z then 6 under one two-blob gloss, read e (H's u doubtful)
21	3	S35		H	both	agree
21	4	S13	t	M	H	plain cross, no 4 hook or tail (checked at 6x)
21	5	26	e	M	G	two-stroke gloss read e
21	6	17		M	G	heavy mark above is the foot of line 20's S44 descending, not a gloss
21	7	16	e	M	G	two-stroke gloss read e
21	8	7	u	H	both	agree
21	9	S76	r	M	H	small r/k-like gloss above the barred A
21	10	62	e	M	G	two-stroke gloss read e
21	11	60	t	H	both	agree
21	12	62	e	M	G	two-stroke gloss read e
21	13	S52	m	M	G	three minims (m) above the lattice
21	14	S35	le	M	new	long s then small 8/s shape, as agreed S35 at pos4; gloss thick l plus 3/e-like mark
21	15	9	t	H	both	agree
21	16	7	u	H	both	agree
21	17	64	t	M	H	6 then 4, single gloss t over the 6
21	18	S36		M	recode	ZX-TR349E: long-s stroke from above with a top hook, crossed near its foot by a thin diagonal bar (x), stem ends at the cross = S36 (key s); confused with S21 f-shape
21	19	5	d	H	both	agree
21	20	60	t	H	both	agree
21	21	S33	u	M	H	gloss u above the pi-shape, a small hook at its right
21	22	16		H	both	agree
21	23	|		H	both	agree
21	24	12	a	H	both	agree
21	25	102	u	M	recode	10 and 2 written as one group under a single u gloss; 102 = V
21	26	S13	tu	M	H	plain cross, no 4 hook; gloss tu spans cross and Ao
21	27	S34		H	both	agree
21	28	26	e	M	new	z then faint 6, two-stroke gloss over the z read e
21	29	9	e	M	G	two-stroke gloss read e
21	30	17	s	M	G	tall looped long-s-like gloss (s), not h
21	31	44	o	M	recode	two plain 4s side by side with the o gloss over the first; 44 = O; the long-s gloss belongs to the following x (pos34)
21	32	S36		M	recode	ZX-TR349E: ink is a thick short stroke crossed by a thin diagonal = single x, under a separate long-s gloss stroke = letter-body S36 (key s), as recoded elsewhere ("single x under a long-s gloss"); confused with S23 (cursive curl with horizontal tail). Gives chos(e)
22	1	26	?	M	G	z and 6 close, one code; a dark a/u-like mark high above may be its gloss or interference from line 21
22	2	|		H	both	agree
22	3	X	n	H	both	agree
22	4	16	a	M	H	small a-like mark with dots above the 16 (e possible)
22	5	S36		M	recode	ZX-TR349E: tall long-s stem with a hook to the right at top and a cross-stroke at the baseline, thin tail below = the key's S cell drawn as one sign (x across the long-s descender, S36); confused with S21 (f with arc and mid crossbar). Same sign as L24 pos 4/14 where 'resouldre','ensemble' need s. No gloss written over it. Moderate confidence (decode 'na s tant' still unclear)
22	6	S37	t	H	both	agree
22	7	14	a	H	both	agree
22	8	15	n	H	both	agree
22	9	S37	t	H	both	agree
22	10	|		H	both	agree
22	11	16	u	H	both	agree
22	12	15	n	H	both	agree
22	13	9	c	M	H	single c-hook gloss, not the two-stroke e form
22	14	44	o	M	recode	9 then 4 4, o gloss over the pair; 44=O
22	15	S34		H	both	agree
22	16	26	d	M	H	z straddles the tick, 6 follows; d-like gloss over the z
22	17	S36	e	M	recode	ZX-TR349E: stand-alone x: thin diagonal crossed by a heavy short down-stroke, no loop or horizontal tail = S36 (x, s); confused with S23 (x/z-like with horizontal tail). Gives 'encores retourne'; same stand-alone x glossed s at L24 pos 30
22	18	S33		M	G	blob above is fused with a descender from line 21, read as interference (H's u possible)
22	19	26	e	M	G	two-stroke gloss over the 2
22	20	S37	t	H	both	agree
22	21	82	o	M	H	8 with descender then z; single o gloss over the 8
22	22	104	u	M	recode	1 0 4 as one group after 82, u gloss over 10; 104=V (z gloss over the 4 unexplained)
22	23	S34		M	recode	ZX-TR349E: ink is a straight two-legged A with a small hooked v/o joined = S34 (Ao, r); S69 has a looped cursive A with a large curled v. Gloss is the glossator's z-like r; 'retourne' needs r
22	24	X	n	H	both	agree
22	25	62	e	M	G	two-stroke gloss read e
22	26	|		H	both	agree
22	27	5	d	M	recode	d gloss sits over the 5 alone; its z belongs to the following 6
22	28	26	e	M	recode	z6 under one e gloss; 26=E, z taken from token 29
22	29	S46		H	both	agree
22	30	S27	f	H	both	agree
22	31	64	f	M	G	crossed l/f-like gloss, joined to a descender from line 21 (t possible)
22	32	102	u	M	recode	1 0 z group at line end, u gloss; 102=V
23	1	60	t	H	both	agree
23	2	82	o	M	H	8 then z; single o gloss over the 8
23	3	S32	?	M	H	Y with long stem as S32; the large closed 9/q-like loop sitting on its left arm is probably a gloss (g/q), unsure
23	4	24	t	H	both	agree
23	5	14	a	H	both	agree
23	6	73		M	recode	ZX-TR349E: 3-shape directly after a 7 with no gap = second digit of 73 (Y, key alpha_Y); confused with S64 (3-shape 'quant'). Reads 'que iay envoye'
23	7	26	e	M	new	z then 6, two-stroke gloss over the z read e
23	8	15	n	H	both	agree
23	9	7	u	H	both	agree
23	10	44	o	M	recode	4 4 after 7, o gloss over first; 44=O
23	11	16		H	both	agree
23	12	S74		M	G	4 with a c/9-shaped hooked stroke on its top left, as atlas S74
23	13	60	t	H	both	agree
23	14	26	e	M	new	z then 6, two-stroke gloss over the z read e
23	15	102	u	M	recode	1 0 z group, u gloss; 102=V
23	16	62	u	H	both	agree
23	17	S34	s	M	G	heavy A (flagged apex) joined to o; gloss s/5-shaped over the o
23	18	S36		M	recode	4-like cross after Ao, s gloss above it; lone 4 not a code
23	19	5	f	H	both	agree
23	20	102	u	M	recode	1 0 z group, u gloss; 102=V
23	21	64	i	M	H	6 then 4, dotted i gloss over the 6
23	22	22	po	H	both	agree
23	23	12	a	M	G	a over the z of 12; a bold dotted ?/3-like mark over the 1 left unassigned (H's z possible)
23	24	5	d	M	G	large d-like gloss sits over the 5
23	25	102	u	M	recode	1 0 z group, u gloss; 102=V
23	26	60	i	M	G	short undotted vertical gloss, no crossbar
23	27	S36	s	M	recode	cross with tall s-stroke above after 60, s gloss
23	28	16	e	M	G	two-stroke gloss read e
23	29	S34	?	M	recode	ZX-TR349E: line-end sign is a straight two-legged A with a small hooked v = S34 (r), not the looped cursive A of S69; gloss is the glossator's x-like r; 'aduiser' needs r
24	1	S04		H	both	agree
24	2	S33	f	M	G	f-like mark (stem with bars) above the pi-shape read as gloss f
24	3	26	e	M	G	two-stroke gloss read e
24	4	S36		M	recode	ZX-TR349E: long-s stem hooked right at top, cross-stroke at the baseline with a thin tail below = S36 as drawn in the key's S cell; confused with S21 (f). 'resouldre' needs s
24	5	82	o	M	H	8 then z, single o gloss over the 8
24	6	102	u	M	recode	10 then 2 adjacent, u gloss; 102=V (pattern, not zoomed)
24	7	5	f	M	G	crossed l/f-like gloss, as 22/36
24	8	5	d	H	both	agree
24	9	S34	x	M	G	gloss is a small x with a dot-like tick, not r
24	10	16	e	M	G	two-stroke gloss read e
24	11	|		H	both	agree
24	12	62	z	H	both	agree
24	13	15	n	H	both	agree
24	14	S36		M	recode	ZX-TR349E: same long-s-with-cross-at-foot sign as pos 4 = S36, confused with S21; 'ensemble' needs s
24	15	26	e	M	new	z then 6, two-stroke gloss over the z read e
24	16	S29	m	H	both	agree
24	17	3	b	M	recode	ZX-TR349E: 3-shape standing alone after S29 'uu' = digit 3 (B, key alpha_B row 2); identical in form to the S64 crop, so the gloss b and 'ensemble' decide it; confused with S64
24	18	5	l	H	both	agree
24	19	16	e	M	G	two-stroke gloss read e
24	20	X		H	both	agree
24	21	5	d	H	both	agree
24	22	26	e	M	G	two-stroke gloss over the z read e
24	23	S36		M	recode	ZX-TR349E: same long-s-with-cross-at-foot sign = S36, confused with S21; 'des moyens' needs s
24	24	S29	m	H	both	agree
24	25	44	o	M	recode	looped 4 then plain 4 close together, o gloss over the pair; 44=O (partner row, not in input list)
24	26	73		M	recode	ZX-TR349E: 3-shape with a flat top bar immediately after the 7 = second digit of 73 (Y); confused with S64. Reads 'des moyens'
24	27	16	e	M	G	dot plus small curved stroke, read as the two-stroke e (i possible)
24	28	15	n	H	both	agree
24	29	S36	s	M	recode	small crossed x/4-like mark before divider, gloss s; lone 4 not a key code, no long stroke visible
24	30	|		H	both	agree
24	31	S32	?	M	H	Y with long stem; closed 9-like loop under an arching flourish above its left arm (same form as 23/4), part-of-sign vs gloss unsettled
24	32	X	f	M	G	hook-headed stem with two thin crossbars to the right, not an x; gloss f
24	33	12	a	H	both	agree
24	34	7	u	H	both	agree
24	35	5	d	H	both	agree
24	36	S34	x	M	G	gloss small x, as pos11
24	37	14	a	H	both	agree
25	1	S37	t	H	both	agree
25	2	26	a	H	both	agree
25	3	15	n	H	both	agree
25	4	60	l	M	G	tall vertical gloss with slight hook, no crossbar
25	5	S34	r	H	both	agree
25	6	22	po	H	both	agree
25	7	5	?	M	new	bold ?-shaped hook with a dot above the 5 (same mark as at 23/31, 25/30); neither f nor d settled
25	8	26	le	M	new	z then 6; gloss l over the z and a two-stroke e over the 6 (H read lc)
25	9	87	o	M	new	8 with a heavy loop above it (gloss o) and the 7's top bar running left through the 8; 8 and 7 tied into one code, unsure (H read a single X sign)
25	10	16	e	M	G	two-stroke gloss read e
25	11	S39		M	G	small closed loop at left joined to a long-s descender, as atlas S39
25	12	102	u	M	recode	1 0 z written as one group, u gloss over it; 102=V
25	13	S37	t	H	both	agree
25	14	62	e	M	G	two-stroke gloss read e
25	15	S34	x	M	G	gloss small x with a dot, not r
25	16	S28	m	H	both	agree
25	17	28	a	M	recode	short z/dash stroke joined before the 8, gloss a; 28=A (no separate 2 token in transcription)
25	18	62	e	M	G	faint two-stroke mark over the 62 read e (weak)
25	19	S74		M	G	4 with a c-curl and hooked stroke on top left, as 23/16 and atlas S74
25	20	60	i	M	G	short undotted vertical gloss, no crossbar
25	21	S36		M	recode	ZX-TR349E: long-s stem with hook at top and cross-stroke at the baseline = S36, confused with S21
25	22	5	?	M	G	5/3-shaped digit on the baseline under a bold p/B box mark joined by a stem; bold mark read as gloss (unsure, H read one X sign)
25	23	64	f	H	both	agree
25	24	26	e	M	G	two-stroke gloss read e
25	25	15	n	H	both	agree
25	26	|		M	G	long thin slash before the 5
25	27	5	o	M	new	s-shaped 5; the bold b-stroke above is the descender of line 24's long 5, leaving gloss o
25	28	9	?	M	H	bold ?-shaped hook above the 9 (same mark as 25/7), letter not settled
25	29	44	po	M	H	4 4 with bold po gloss spanning both
26	1	X	uu	M	G	V/U with dot inside, gloss uu above; H has it at pos4
26	2	26	c	M	H	z and 6 written as one group, single c-mark over the z (an &-like mark also sits over the 6)
26	3	S40		M	new	n-shape with right leg curling into loop, dot after = atlas S40 (G's squiggle, H's S40 at pos6)
26	4	S35	bo	M	new	tall long s + small s with bo above = atlas S35
26	5	28	a	M	H	z8 one group, a gloss over the join
26	6	S27		H	both	agree
26	7	4		H	both	agree
26	8	16	u	M	G	u-shaped mark above the 16
26	9	104	u	M	recode	1 0 4 as one group, u gloss over it; 104=V
26	10	S34	u	M	G	u with hooked left stroke above Ao
26	11	26	c	M	H	z6 group with c-like mark (thick comma) over the z
26	12	S33		H	both	agree
26	13	S32		M	H	symmetric Y on long stem; loop with dot over left arm is part of the sign, not a gloss
26	14	S53		M	G	long s rising into a 3-curl at top, one continuous glyph (matches S53), no small s
26	15	66		M	G	two 6s with curled heads, digit-sized
26	16	S52	m	H	both	agree
26	17	S02	f	M	recode	single cross with descender (t-like), gloss f; lone 4 not a code, F=S02
26	18	60	i	H	both	agree
26	19	X	f	M	G	vertical with hooked top crossed by two bars; not the S23 x-with-tail shape; f above
26	20	16	i	H	both	agree
26	21	S34	r	M	H	r-like gloss (stem with arm) above Ao, same as agreed 28/36
26	22	14	a	H	both	agree
26	23	S32	q	M	new	symmetric Y on long stem (S32 as elsewhere), q/9-shaped gloss above
26	24	S35	bo	M	H	long s + small 5-like s, bo above
26	25	15	n	M	G	n over the 15 (3-hook further left)
26	26	16	u	M	G	u directly over 16
26	27	X	n	M	G	ua cluster, n above it
26	28	S36	s	M	recode	long s stroke from above running into a crossed x at its foot; S36
26	29	82	s	M	recode	8 then z-shape 2 adjacent; 82=O (s gloss above belongs to the S36 displaced right)
26	30	64	i	M	H	64 tight pair, i over the 6
27	1	62		M	recode	6 then z-shape 2 at line start; 62=E, no gloss visible
27	2	S20		M	H	3-top joined to looped R-like body with foot; closer to S20 than to S67 'sa'
27	3	14	a	H	both	agree
27	4	5	d	H	both	agree
27	5	102	u	M	recode	1 0 z group, u gloss; 102=V
27	6	16	co	M	H	co/w-like mark over 16
27	7	S34		H	both	agree
27	8	X		M	G	upright with hooked top and two bars (as 26/24); no gloss visible beyond a dot
27	9	6		M	G	6 joined to next 7 by its bar (could be one group 67)
27	10	7		M	G	7 after the 6 (possibly 67 with pos11)
27	11	S64		M	H	flat-topped 3-shape = atlas S64
27	12	S04	e	M	G	hash; small e/c-like mark above right
27	13	S32	q	M	H	symmetric Y, 9/q-loop above as gloss
27	14	5	d	H	both	agree
27	15	26	c	M	H	z6 group, c-with-dot mark over the z
27	16	5	d	M	G	d-like loop above between 5 and 1
27	17	16	c	M	H	small c mark over the 16
27	18	9	c	H	both	agree
27	19	28	a	M	H	z8 group, a over the join
27	20	S52	ac	M	G	'ac' above the lattice
27	21	S36	s	M	recode	cross after the S52 hash, s gloss; lone 4 not a code
27	22	16	u	M	G	u-like mark above 16
27	23	S35		M	new	very tall long s descending + small s = S35; no gloss seen
27	24	S31	p	M	G	circle standing on a cross, p above
27	25	12	a	H	both	agree
27	26	S34	r	M	H	r gloss above Ao (clear in zoom)
27	27	X	g	M	H	closed rho-like loop at body level with long tail below (not crossed, so not S63); g above
27	28	15	n	H	both	agree
27	29	62	a	M	H	6z tight pair, a over the 6
27	30	S33	ra	H	both	agree
27	31	14		M	recode	1 4 adjacent; 14=A (partner row, not in input list)
27	32	X	r	M	new	L-stroke joined to plain A (LA ligature, not atlas S76/S24); r above
27	33	60	i	H	both	agree
27	34	26	c	M	new	z6 group at line end, c-like mark above the join
28	1	S12		M	G	small t-like cross at line start
28	2	5		M	G	thin s-shaped 5 (H's t-mark is pos1)
28	3	5		M	G	bold s-shaped 5, same height as the one before; not long-s + small s
28	4	16		H	both	agree
28	5	S57		H	both	agree
28	6	9		H	both	agree
28	7	26	e	M	new	z6 group; two-tick dotted mark above (read e)
28	8	S39		M	G	9/d loop joined to long descending s = S39; no gloss
28	9	S23		H	both	agree
28	10	16	e	M	G	closed e-like blob above 16
28	11	S44	r	M	G	loop on a stem crossed at top (S44); r-like mark above
28	12	44	o	M	recode	4 4 after S44, o gloss over first; 44=O
28	13	102	d	M	recode	clear 1 0 z group; 102=V though gloss reads d
28	14	56		M	recode	the stroke before 6 is an s-form 5, not a divider; 56=rr (partner row, not in input list)
28	15	28	a	M	new	z8 group; a over the 8
28	16	X	f	M	G	vertical crossed by two bars (as 26/24), f above
28	17	28	a	M	H	z8 group, a above the z
28	18	64	i	M	H	64 tight pair, i over the 6
28	19	S34	r	M	H	r-rotunda-like mark above Ao
28	20	16	e	M	G	two comma-strokes above 16 (two-tick mark read e)
28	21	22	w	M	G	w above; the cross over the first z is where line 27's long-s descender ends
28	22	5	n	M	H	n-like mark above the 5
28	23	104	u	M	recode	1 0 4 group, u gloss; 104=V
28	24	26	e	M	new	z6 group; two-blob mark over z (read e, H read a)
28	25	15	n	H	both	agree
28	26	60	i	H	both	agree
28	27	S34	r	H	both	agree
28	28	12	a	H	both	agree
28	29	S64	bo	M	G	flat-topped 3-shape; large 'bo' (looks like 60) written above
28	30	44		M	G	two 4s after the S64
29	1	102	u	M	recode	1 0 z group at line start, u gloss; 102=V
29	2	S37	t	H	both	agree
29	3	S35		M	new	very tall long s from above the line; with the agreed small 5 (pos5) it forms S35 -- reconciler: pos5 is its small s
29	4	5		H	both	agree
29	5	64	b	M	new	64 pair; tall b/l-like mark over the 6
29	6	5		H	both	agree
29	7	S23	f	H	both	agree
29	8	16	e	M	G	e-like dotted mark above 16
29	9	S33	e	M	H	pi-shape with two legs and crossed top = S33; e loop at top right is the gloss
29	10	14	a	H	both	agree
29	11	S31	p	H	both	agree
29	12	82	o	M	recode	8 z after S31, o gloss over 8; 82=O
29	13	S27		H	both	agree
29	14	4		H	both	agree
29	15	24	i	M	recode	z 4 pair, i gloss; 24=I
29	16	S64		M	G	faint flat-topped 3-shape present; big interlinear '6C' above 29/20-21
29	17	5		M	G	s-shaped 5 after the S64
29	18	26	e	M	new	z6 group, two-tick mark above (read e)
29	19	60	f	H	both	agree
29	20	28	a	M	H	z + triangular 8, a over the join
29	21	7	v	M	recode	a 7 with a z-like double bar on top, v gloss; 7=V
29	22	S64		M	new	flat-topped 3-shape below-right of the 4
29	23	16	e	M	G	two-tick mark above (read e)
29	24	15	n	H	both	agree
29	25	102	u	M	recode	1 0 z group, u gloss; 102=V
29	26	44	o	M	recode	4 4, o gloss; 44=O
29	27	64	i	M	H	64 pair, i-stroke over it
29	28	62	e	M	G	two-tick mark (read e)
29	29	S60	o	M	G	loop with long S-tail curling down into line 30 (yogh/rho), o above
29	30	26		M	recode	z6 pair after S60, e gloss over 6; 26=E
29	31	15	n	H	both	agree
30	1	S36		M	recode	ZX-TR349E: lone x at line start, a long stroke coming down from above into its upper-left arm; this is the letter's S36 (s), confused with S23 (small x/z with flat right stroke); no gloss over it
30	2	5	m	M	H	m-like mark in the interline directly over the 5
30	3	12	a	M	H	a directly over 12
30	4	68	ll	M	H	two long-s strokes in the interline over 68
30	5	16	e	M	G	two-tick mark (read e)
30	6	S28	m	H	both	agree
30	7	28	a	M	H	z8 group, a above
30	8	60	t	M	H	stem with hook/cross stroke = t
30	9	X	g	M	H	ink blot over a sign, g visible above
30	10	5	i	M	G	short i-like strokes above
30	11	26	e	M	new	z6 group; two-tick mark above z (read e)
30	12	S27	l	M	recode	ZX-TR349E: ff ligature with hooked/arched tops and both stems descending below the baseline = S27 (L), confused with S17 (straight tt with crossbar sitting on the baseline); gloss is a clear cursive L (les-quelz)
30	13	16	e	M	new	1 and 6 with two-tick mark centred above them
30	14	S36		M	recode	long s-stroke from above runs into the crossed x; S36
30	15	S32		M	recode	ZX-TR349E: y-shaped sign: small hooked left arm, long flat right arm, stem descending and curling left = S32 (Q); confused with S63 (q on a crossed stem) because the gloss q's tail runs down into the sign's flat arm; lesquelz
30	16	7	u	H	both	agree
30	17	16	e	M	G	two-tick mark (read e)
30	18	8	b3	M	new	bold filled 8 (open-s form of 8) after the 16, joined at its base to the S40; 'b3' above
30	19	S40		M	H	n-shape with right leg curling (as 26/4)
30	20	S52	m	H	both	agree
30	21	S65	wol	M	new	tall leaf-shaped loop = S65; 'wol' above with a bar
30	22	26	u	M	H	u-like mark above
30	23	15	n	H	both	agree
30	24	9	c	M	H	c above 9 (as agreed 9 c elsewhere)
30	25	44	o	M	recode	9 then 4 4, o gloss over first; 44=O
30	26	S34	r	M	both	r mark sits just left over the Ao
30	27	16	e	M	G	two-tick mark over 16; the long-s above belongs to the next sign
30	28	S36	s	M	recode	cross after 16 under a tall s-stroke, s gloss
30	29	S33	r	M	H	r above the pi sign
30	30	64		M	G	no gloss; blob above is line 29's curl
30	31	16	e	M	G	two-tick mark (read e)
30	32	15	n	M	G	broken n-like marks above
31	1	S36	fa	M	recode	ZX-TR349E: lone x (two crossing strokes, no t-join and no tail, so not S02 F) = S36 per the letter's lone-x form, confused with S23; ink and gloss may disagree: gloss above is f or long s (crossbar ambiguous), "a" sits over pos2; if the gloss is f the word is "fait" and the ink would need S02
31	2	12		H	both	agree
31	3	60	l	H	both	agree
31	4	S37	t	H	both	agree
