line	position	sign	value	grade	reason
29	1	10	u	I	10 is not a key code: a split 102/104 (V)
29	3	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
29	5	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
29	6	64	i	M	gloss 'b' disagrees with key 64=i; key kept
29	7	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
29	8	S23	f	I	word code S23 (armee de mer) inside spelled text, glossed 'f': atlas confusion, gloss taken
29	10	S33	r	M	gloss 'e' disagrees with key S33=r; key kept
29	13	8	o	I	unkeyed sign 8; value from its gloss
29	14	2	u	I	unkeyed sign 2; value from its gloss
29	17	2	i	I	unkeyed sign 2; value from its gloss
29	20	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
29	22	60	i	M	gloss 'f' disagrees with key 60=i; key kept
29	24	4	u	I	unkeyed sign 4; value from its gloss
29	28	10	u	I	10 is not a key code: a split 102/104 (V)
29	30	4	o	I	unkeyed sign 4; value from its gloss
29	34	S60	o	I	word code S60 (vne?) inside spelled text, glossed 'o': atlas confusion, gloss taken
29	36	6	e	I	unkeyed sign 6; value from its gloss
30	2	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
30	4	68	ll	I	68 is not a key code; the Doubles ll code is 69
30	8	60	i	M	gloss 't' disagrees with key 60=i; key kept
30	9	X	g	I	unkeyed sign X; value from its gloss
30	10	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
30	12	S17	fist|Monsr [ ]	M	S17 gloss 'l' settles neither fist nor Monsr
30	18	8	b	I	unkeyed sign 8; value from its gloss
30	20	S52	m	I	word code S52 (ne) inside spelled text, glossed 'm': atlas confusion, gloss taken
30	21	S65	mon?	M	gloss 'wol' disagrees with key S65=mon?; key kept
30	22	26	e	M	gloss 'u' disagrees with key 26=e; key kept
30	24	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
30	25	4	o	I	unkeyed sign 4; value from its gloss
30	29	4	s	I	lone 4 glossed s: S36 (S) per ZX-TR349D lead 1
31	1	S23	fa	I	word code S23 (armee de mer) inside spelled text, glossed 'fa': atlas confusion, gloss taken
31	3	60	i	M	gloss 'l' disagrees with key 60=i; key kept
31	4	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
31	6	X	n	I	unkeyed sign X; value from its gloss
31	7	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
31	8	2	r	I	unkeyed sign 2; value from its gloss
31	11	5	d	C	gloss d over 5 (D and L share 5; gloss d 21, l 10)
31	13	S34	r	M	gloss 'z' disagrees with key S34=r; key kept
31	23	X	fait	I	unkeyed sign X; value from its gloss
31	24	9	c	I	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
31	25	1	p	I	unkeyed sign 1; value from its gloss
31	26	6	e	I	unkeyed sign 6; value from its gloss
31	28	4	s	I	lone 4 glossed s: S36 (S) per ZX-TR349D lead 1
31	29	2	i	I	unkeyed sign 2; value from its gloss
31	32	S32	que	I	rule S32 not before V = que (gloss que/quel 8; never n'aye)
31	33	5	l	C	gloss l over 5 (D and L share 5; gloss d 21, l 10)
32	2	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
32	4	4	o	I	unkeyed sign 4; value from its gloss
32	8	4	s	I	lone 4 glossed s: S36 (S) per ZX-TR349D lead 1
32	10	4	y	I	unkeyed sign 4; value from its gloss
32	13	8	o	I	unkeyed sign 8; value from its gloss
32	15	X	n	I	unkeyed sign X; value from its gloss
32	16	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
32	18	4	y	I	unkeyed sign 4; value from its gloss
32	20	26	e	M	gloss 'c' disagrees with key 26=e; key kept
32	22	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
32	25	10	u	I	10 is not a key code: a split 102/104 (V)
32	30	18	cc	M	gloss 'u' disagrees with key 18=cc; key kept
32	31	4	s	I	lone 4 glossed s: S36 (S) per ZX-TR349D lead 1
32	33	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
32	34	8	o	I	unkeyed sign 8; value from its gloss
32	35	7	u	M	gloss 'umm' disagrees with key 7=u; key kept
33	1	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
33	3	S17	fist	C	gloss f over S17: fist (Monsr/fist homograph)
33	5	6	e	I	unkeyed sign 6; value from its gloss
33	8	06	uu	I	unkeyed sign 06; value from its gloss
33	9	62	e	M	gloss 'r' disagrees with key 62=e; key kept
33	14	10	u	I	10 is not a key code: a split 102/104 (V)
33	16	4	o	I	unkeyed sign 4; value from its gloss
33	18	10	u	I	10 is not a key code: a split 102/104 (V)
33	20	5	d|l	M	no gloss: 5 is D or L (gloss d 21, l 10; no positional rule separates them)
33	21	5	d	C	gloss d over 5 (D and L share 5; gloss d 21, l 10)
33	23	8	o	I	unkeyed sign 8; value from its gloss
33	28	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
