folio	line	position	sign	confidence	value	grade
f30r	L21	29	xr	h	I	H
f30r	L21	30	n6	m	N	H
f30r	L21	31	m	h	T	H
f30r	L21	32	sl	m	E	H
f30r	L21	33	nr	m	N	H
f30r	L21	34	z3	h	I	H
f30r	L21	35	br	h	R	H
f30r	L21	36	ss2	h	NULL	M
f30r	L22	0	[?]	l	?	U
f30r	L22	1	9	h	E	H
f30r	L22	2	h	h	V	H
f30r	L22	3	ST	h	L	S
f30r	L22	4	rho	l	F	M
f30r	L22	5	nq	m	Q	H
f30r	L22	6	n	m	V	S
f30r	L22	7	sl	l	E	M
f30r	L22	8	h	h	V	H
f30r	L22	9	Tb	m	O	S
f30r	L22	10	nr	m	N	H
f30r	L22	11	2	h	S	H
f30r	L22	12	FL	m	S	S
f30r	L22	13	sl	m	E	H
f30r	L22	14	Af	l	M	M
f30r	L22	15	E	h	B	M
f30r	L22	16	BOX	h	E	S
f30r	L22	17	br	h	R	H
f30r	L22	18	lam	h	A	H
f30r	L22	19	2	h	S	H
f30r	L22	20	lt	h	O	H
f30r	L22	21	g	h	V	H
f30r	L22	22	2	h	S	H
f30r	L22	23	dl	m	P	H
f30r	L22	24	sl	m	E	H
f30r	L22	25	h	h	V	H
f30r	L22	26	g	h	V	H
f30r	L22	27	9	h	E	H
f30r	L22	28	nr	h	N	H
f30r	L22	29	m	h	T	H
f30r	L22	31	rho	m	F	H
f30r	L22	32	lam	h	A	H
f30r	L22	33	xr	h	I	H
f30r	L22	34	r3	h	R	H
f30r	L22	35	9	h	E	H
f30r	L23	0	2	l	S	M
f30r	L23	1	BOX	h	E	S
f30r	L23	2	br	h	R	H
f30r	L23	3	h	h	V	H
f30r	L23	4	xr	h	I	H
f30r	L23	5	5	h	C	H
f30r	L23	6	sl	m	E	H
f30r	L23	7	ss2	h	NULL	M
f30r	L23	8	zb	m	NULL	M
f30r	L23	9	HASH	l	?	U
f30r	L23	10	Af	m	M	H
f30r	L23	11	9	h	E	H
f30r	L23	12	2	h	S	H
f30r	L23	13	sl	m	E	H
f30r	L23	14	v	h	?	U
f30r	L23	15	E	m	B	M
f30r	L23	16	E	m	B	M
f30r	L23	17	c	h	L	H
f30r	L23	18	9	h	E	H
f30r	L23	19	Sx	m	Q	S
f30r	L23	20	h	h	V	H
f30r	L23	21	xr	h	I	H
f30r	L23	22	c	h	L	H
f30r	L23	23	n6	m	N	H
f30r	L23	24	z3	h	I	H
f30r	L23	25	lam	h	A	H
f30r	L23	26	xr	h	I	H
f30r	L23	27	nr	h	N	H
f30r	L23	28	bb	h	COM	H
f30r	L23	29	h	h	V	H
f30r	L23	30	9	h	E	H
f30r	L23	31	nr	h	N	H
f30r	L23	32	TRI	l	?	U
f30r	L23	33	A2	h	E	S
f30r	L23	34	n6	m	N	H
f30r	L23	35	m	h	T	H
f30r	L24	0	dl	h	P	H
f30r	L24	1	h	h	V	H
f30r	L24	2	xr	h	I	H
f30r	L24	3	2	h	S	H
f30r	L24	4	xr	l	I	M
f30r	L24	5	n	m	V	S
f30r	L24	6	9	l	E	M
f30r	L24	7	h	h	V	H
f30r	L24	8	n6	m	N	H
f30r	L24	9	lam	l	A	M
f30r	L24	10	ss2	h	NULL	M
f30r	L24	11	zb	m	NULL	M
f30r	L24	12	5	h	C	H
f30r	L24	13	A2	l	E	M
f30r	L24	14	lam	h	A	H
f30r	L24	15	2	h	S	H
f30r	L24	16	lt	l	O	M
f30r	L24	17	h	h	V	H
f30r	L24	18	nr	h	N	H
f30r	L24	19	h	h	V	H
f30r	L24	20	lt	h	O	H
f30r	L24	21	g	h	V	H
f30r	L24	22	FL	m	S	S
f30r	L24	23	lam	h	A	H
f30r	L24	24	2	h	S	H
f30r	L24	25	sl	m	E	H
f30r	L24	26	r3	h	R	H
f30r	L24	27	h	h	V	H
f30r	L24	28	z3	h	I	H
f30r	L24	29	HASH	l	?	U
f30r	L24	30	h	h	V	H
f30r	L24	31	2	h	S	H
f30r	L24	32	nq	m	Q	H
f30r	L24	33	n	m	V	S
f30r	L24	34	9	h	E	H
f30r	L24	35	2	h	S	H
f30r	L25	0	ss2	h	NULL	M
f30r	L25	1	nr	l	N	M
f30r	L25	2	mx	h	NULL	H
f30r	L25	3	lam	h	A	H
f30r	L25	4	dl	m	P	H
f30r	L25	5	r3	h	R	H
f30r	L25	6	9	h	E	H
f30r	L25	7	2	h	S	H
f30r	L25	8	sl	m	E	H
f30r	L25	9	nr	h	N	H
f30r	L25	10	m	h	T	H
f30r	L25	12	QQ	l	D	M
f30r	L25	13	9	h	E	H
f30r	L25	14	4t	m	ET	M
f30r	L25	15	FL	m	S	S
f30r	L25	16	sl	m	E	H
f30r	L25	17	Af	m	M	H
f30r	L25	18	E	m	B	M
f30r	L25	19	c	h	L	H
f30r	L25	20	lam	h	A	H
f30r	L25	21	lt	l	O	M
f30r	L25	22	ST	h	L	S
f30r	L25	23	9	h	E	H
f30r	L25	24	2	h	S	H
f30r	L25	25	BOX	h	E	S
f30r	L25	26	n6	m	N	H
f30r	L25	27	B8	l	?	U
f30r	L25	28	m	h	T	H
f30r	L25	29	r3	h	R	H
f30r	L25	30	9	h	E	H
f30r	L25	31	v	h	?	U
f30r	L25	32	sl	m	E	H
f30r	L25	33	5	m	C	H
f30r	L25	34	m	h	T	H
f30r	L25	35	4t	m	ET	M
f30r	L26	0	z3	h	I	H
f30r	L26	1	c	h	L	H
f30r	L26	2	9	h	E	H
f30r	L26	3	2	h	S	H
f30r	L26	4	m	h	T	H
f30r	L26	6	ss2	h	NULL	M
f30r	L26	7	h	h	V	H
f30r	L26	8	r3	h	R	H
f30r	L26	9	lam	h	A	H
f30r	L26	10	aq	m	Y	H
f30r	L26	11	nq	m	Q	H
f30r	L26	12	h	h	V	H
f30r	L26	13	9	h	E	H
f30r	L26	14	bb	h	COM	H
f30r	L26	15	Af	m	M	H
f30r	L26	16	sl	m	E	H
f30r	L26	17	sl	m	E	H
f30r	L26	18	m	h	T	H
f30r	L26	19	br	h	R	H
f30r	L26	20	A2	h	E	S
f30r	L26	21	FL	m	S	S
f30r	L26	22	lam	l	A	M
f30r	L26	23	h	h	V	H
f30r	L26	24	Af	m	M	H
f30r	L26	25	E	m	B	M
f30r	L26	26	c	h	L	H
f30r	L26	27	9	h	E	H
f30r	L26	28	2	h	S	H
f30r	L26	29	h	h	V	H
f30r	L26	30	E	m	B	M
f30r	L26	31	FL	l	S	M
f30r	L26	32	[?]	l	?	U
f30r	L26	33	5	h	C	H
f30r	L26	34	eh	h	D	H
f30r	L26	35	HASH	m	?	U
f30r	L27	0	2	h	S	H
f30r	L27	1	sl	m	E	H
f30r	L27	2	r3	m	R	H
f30r	L27	3	h	l	V	M
f30r	L27	4	xr	h	I	H
f30r	L27	5	m	h	T	H
f30r	L27	6	9	h	E	H
f30r	L27	7	h	h	V	H
f30r	L27	8	br	h	R	H
f30r	L27	9	zb	m	NULL	M
f30r	L27	10	null_o	l	NULL	M
f30r	L27	11	nq	m	Q	H
f30r	L27	12	n	h	V	S
f30r	L27	13	9	h	E	H
f30r	L27	14	z3	h	I	H
f30r	L27	15	sl	m	E	H
f30r	L27	16	B8	l	?	U
f30r	L27	17	g	h	V	H
f30r	L27	18	lt	h	O	H
f30r	L27	19	h	h	V	H
f30r	L27	20	2	h	S	H
f30r	L27	21	FL	m	S	S
f30r	L27	22	g	h	V	H
f30r	L27	23	xr	h	I	H
f30r	L27	24	2	h	S	H
f30r	L27	25	z3	h	I	H
f30r	L27	26	9	h	E	H
f30r	L27	27	g	h	V	H
f30r	L27	28	Tb	h	O	S
f30r	L27	29	re	l	V	M
f30r	L27	30	2	h	S	H
f30r	L27	31	ss2	h	NULL	M
f30r	L27	32	Af	l	M	M
f30r	L27	33	z3	l	I	M
f30r	L28	0	zb	m	NULL	M
f30r	L28	1	QQ	l	D	M
f30r	L28	2	lt	h	O	H
f30r	L28	3	xr	h	I	H
f30r	L28	4	E	m	B	M
f30r	L28	5	2	h	S	H
f30r	L28	6	fh	h	D	H
f30r	L28	7	z3	h	I	H
f30r	L28	8	r3	h	R	H
f30r	L28	9	9	h	E	H
f30r	L28	10	nq	m	Q	H
f30r	L28	11	n	h	V	S
f30r	L28	12	sl	m	E	H
f30r	L28	13	xr	h	I	H
f30r	L28	14	9	h	E	H
f30r	L28	15	h	h	V	H
f30r	L28	16	h	h	V	H
f30r	L28	17	lt	h	O	H
f30r	L28	18	g	h	V	H
f30r	L28	19	2	h	S	H
f30r	L28	20	fh	h	D	H
f30r	L28	21	Tb	h	O	S
f30r	L28	22	z3	h	I	H
f30r	L28	23	lt	l	O	M
f30r	L28	24	2	h	S	H
f30r	L28	25	QQ	m	D	S
f30r	L28	26	z3	h	I	H
f30r	L28	27	r3	h	R	H
f30r	L28	28	9	h	E	H
f30r	L28	29	nq	m	Q	H
f30r	L28	30	h	h	V	H
f30r	L28	31	9	h	E	H
f30r	L28	32	ss2	h	NULL	M
f30r	L28	33	2	h	S	H
f30r	L28	34	re	l	V	M
f30r	L28	35	br	h	R	H
f30r	L28	36	c	h	L	H
f30r	L28	37	lam	h	A	H
f30r	L29	0	rho	m	F	H
f30r	L29	1	lt	h	O	H
f30r	L29	2	aq	l	Y	M
f30r	L29	3	Sx	m	Q	S
f30r	L29	4	n	h	V	S
f30r	L29	5	A2	h	E	S
f30r	L29	6	xr	h	I	H
f30r	L29	7	9	h	E	H
f30r	L29	8	h	h	V	H
f30r	L29	9	lt	h	O	H
f30r	L29	10	n	h	V	S
f30r	L29	11	2	h	S	H
f30r	L29	12	fh	h	D	H
f30r	L29	13	Rt	h	O	H
f30r	L29	14	z3	h	I	H
f30r	L29	15	E	m	B	M
f30r	L29	16	2	h	S	H
f30r	L29	17	xr	h	I	H
f30r	L29	18	sl	m	E	H
f30r	L29	19	g	m	V	H
f30r	L29	20	9	h	E	H
f30r	L29	21	Tb	h	O	S
f30r	L29	22	aq	l	Y	M
f30r	L29	23	c	h	L	H
f30r	L29	24	sl	m	E	H
f30r	L29	25	bb	l	COM	M
f30r	L29	26	lam	h	A	H
f30r	L29	28	ll	l	LL	M
f30r	L29	29	9	h	E	H
f30r	L29	30	br	h	R	H
f30r	L29	31	zb	m	NULL	M
f30r	L29	32	ss2	h	NULL	M
f30r	L29	33	9	m	E	H
f30r	L29	34	n6	h	N	H
f30r	L30	0	m	h	T	H
f30r	L30	1	Rt	h	O	H
f30r	L30	2	g	h	V	H
f30r	L30	3	eh	h	D	H
f30r	L30	4	sl	m	E	H
f30r	L30	5	2	h	S	H
f30r	L30	6	5	h	C	H
f30r	L30	8	lz	m	H	S
f30r	L30	9	lt	h	O	H
f30r	L30	10	g	h	V	H
f30r	L30	11	2	h	S	H
f30r	L30	12	9	h	E	H
f30r	L30	13	FL	m	S	S
f30r	L30	14	nq	m	Q	H
f30r	L30	15	n	h	V	S
f30r	L30	16	xr	m	I	H
f30r	L30	17	h	h	V	H
f30r	L30	18	lt	h	O	H
f30r	L30	19	re	m	V	S
f30r	L30	20	2	h	S	H
f30r	L30	21	m	h	T	H
f30r	L30	22	lt	h	O	H
f30r	L30	23	g	h	V	H
f30r	L30	24	5	h	C	H
f30r	L30	26	lz	m	H	S
f30r	L30	27	g	h	V	H
f30r	L30	28	nr	h	N	H
f30r	L30	29	m	h	T	H
f30r	L30	31	fh	h	D	H
f30r	L30	32	sl	m	E	H
f30r	L30	33	2	h	S	H
f30r	L30	34	xr	h	I	H
f30r	L30	35	E	m	B	M
f30r	L30	36	lt	h	O	H
f30r	L30	37	n6	m	N	H
f30r	L30	39	dl	h	P	H
f30r	L30	40	xr	h	I	H
f30r	L30	41	9	h	E	H
f30r	L30	42	fh	h	D	H
f30r	L31	0	nq	m	Q	H
f30r	L31	1	re	m	V	S
f30r	L31	2	z3	h	I	H
f30r	L31	3	c	h	L	H
f30r	L31	4	9	h	E	H
f30r	L31	5	FL	m	S	S
f30r	L31	6	m	h	T	H
f30r	L31	8	z3	h	I	H
f30r	L31	9	Af	h	M	H
f30r	L31	11	dl	h	P	H
f30r	L31	12	lt	h	O	H
f30r	L31	13	T	h	SS	H
f30r	L31	14	xr	h	I	H
f30r	L31	15	E	m	B	M
f30r	L31	16	c	h	L	H
f30r	L31	17	9	h	E	H
f30r	L31	18	fh	h	D	H
f30r	L31	19	sl	m	E	H
f30r	L31	20	v	h	?	U
f30r	L31	21	z3	h	I	H
f30r	L31	22	BOX	h	E	S
f30r	L31	23	sl	l	E	M
f30r	L31	24	g	h	V	H
f30r	L31	25	eh	h	D	H
f30r	L31	26	ev	m	?	U
f30r	L31	27	h	h	V	H
f30r	L31	28	lt	h	O	H
f30r	L31	29	aq	m	Y	H
f30r	L31	30	r3	h	R	H
f30r	L31	31	9	h	E	H
f30r	L31	32	xr	h	I	H
f30r	L31	33	g	m	V	H
f30r	L31	34	2	h	S	H
f30r	L31	35	nq	m	Q	H
f30r	L31	36	n	m	V	S
f30r	L31	37	9	h	E	H
f30r	L31	38	2	h	S	H
f30r	L32	0	lam	h	A	H
f30r	L32	1	2	h	S	H
f30r	L32	2	sl	m	E	H
f30r	L32	3	FL	m	S	S
f30r	L32	4	m	h	T	H
f30r	L32	5	br	h	R	H
f30r	L32	6	9	h	E	H
f30r	L32	7	xr	h	I	H
f30r	L32	8	lam	h	A	H
f30r	L32	9	fh	h	D	H
f30r	L32	10	9	h	E	H
f30r	L32	11	5	h	C	H
f30r	L32	12	c	h	L	H
f30r	L32	13	z	h	A	H
f30r	L32	14	r3	h	R	H
f30r	L32	15	9	h	E	H
f30r	L32	16	nq	m	Q	H
f30r	L32	17	re	m	V	S
f30r	L32	18	xr	h	I	H
f30r	L32	19	c	h	L	H
f30r	L32	20	h	h	V	H
f30r	L32	21	9	h	E	H
f30r	L32	22	n	h	V	S
f30r	L32	23	c	h	L	H
f30r	L32	24	m	h	T	H
f30r	L32	26	lam	h	A	H
f30r	L32	27	ll	m	LL	H
f30r	L32	28	sl	m	E	H
f30r	L32	29	ST	h	L	S
f30r	L32	30	9	h	E	H
f30r	L32	31	n6	m	N	H
f30r	L32	32	lam	h	A	H
f30r	L32	33	g	m	V	H
f30r	L32	34	xr	h	I	H
f30r	L32	35	Mx	l	L	M
f30r	L32	36	n6	l	N	M
f30r	L32	37	lt	m	O	H
f30r	L32	38	nr	h	N	H
f30r	L33	0	dl	m	P	H
f30r	L33	1	ss2	h	NULL	M
f30r	L33	2	zb	m	NULL	M
f30r	L33	3	Tb	m	O	S
f30r	L33	4	g	h	V	H
f30r	L33	5	br	h	R	H
f30r	L33	6	r3	h	R	H
f30r	L33	7	9	h	E	H
f30r	L33	8	5	h	C	H
f30r	L33	9	lt	h	O	H
f30r	L33	10	g	h	V	H
f30r	L33	11	h	m	V	H
f30r	L33	12	br	l	R	M
f30r	L33	13	sl	m	E	H
f30r	L33	14	r3	h	R	H
f30r	L33	15	CROSS	h	?	U
f30r	L33	16	9	h	E	H
f30r	L33	17	nq	m	Q	H
f30r	L33	18	h	h	V	H
f30r	L33	19	A2	h	E	S
f30r	L33	20	2	h	S	H
f30r	L33	21	FL	m	S	S
f30r	L33	22	dl	m	P	H
f30r	L33	23	r3	h	R	H
f30r	L33	24	9	h	E	H
f30r	L33	25	fh	h	D	H
f30r	L33	26	sl	m	E	H
f30r	L33	27	5	h	C	H
f30r	L33	28	9	h	E	H
f30r	L33	29	T	h	SS	H
f30r	L33	30	A2	h	E	S
f30r	L33	31	h	h	V	H
f30r	L33	32	br	h	R	H
f30r	L33	33	2	h	S	H
f30r	L34	0	zb	m	NULL	M
f30r	L34	1	INF	h	?	U
f30r	L34	2	ss2	h	NULL	M
f30r	L34	3	aq	m	Y	H
f30r	L34	4	lt	h	O	H
f30r	L34	5	n6	m	N	H
f30r	L34	6	m	h	T	H
f30r	L34	8	dl	m	P	H
f30r	L34	9	sl	m	E	H
f30r	L34	10	br	h	R	H
f30r	L34	11	fh	h	D	H
f30r	L34	12	h	h	V	H
f30r	L34	13	zb	m	NULL	M
f30r	L34	14	g	h	V	H
f30r	L34	15	n6	m	N	H
f30r	L34	16	n6	m	N	H
f30r	L34	17	Mx	l	L	M
f30r	L34	18	B8	l	?	U
f30r	L34	19	5	h	C	H
f30r	L34	20	lz	m	H	S
f30r	L34	21	lam	h	A	H
f30r	L34	22	2	h	S	H
f30r	L34	23	4t	m	ET	M
f30r	L34	24	g	h	V	H
f30r	L34	25	nr	h	N	H
f30r	L34	26	nq	m	Q	H
f30r	L34	27	n	h	V	S
f30r	L34	28	z3	h	I	H
f30r	L34	29	ST	h	L	S
f30r	L34	30	9	m	E	H
f30r	L34	31	n6	m	N	H
f30r	L34	32	eh	h	D	H
f30r	L34	33	sl	m	E	H
f30r	L34	34	nr	m	N	H
f30r	L34	35	fh	h	D	H
f30r	L35	0	dl	m	P	H
f30r	L35	1	sl	m	E	H
f30r	L35	2	nr	h	N	H
f30r	L35	3	2	h	S	H
f30r	L35	4	9	h	E	H
f30r	L35	5	nq	m	Q	H
f30r	L35	6	n	m	V	S
f30r	L35	7	xr	h	I	H
f30r	L35	8	c	h	L	H
f30r	L35	9	q	h	B	S
f30r	L35	10	x	h	A	H
f30r	L35	11	r3	h	R	H
f30r	L35	12	ST	h	L	S
f30r	L35	13	9	h	E	H
f30r	L35	14	QQ	m	D	S
f30r	L35	15	sl	m	E	H
f30r	L35	16	c	h	L	H
f30r	L35	17	lam	h	A	H
f30r	L35	18	ss2	h	NULL	M
f30r	L35	19	r3	h	R	H
f30r	L35	20	9	h	E	H
f30r	L35	21	dl	m	P	H
f30r	L35	22	h	h	V	H
f30r	L35	23	zb	m	NULL	M
f30r	L35	24	m	h	T	H
f30r	L35	25	z	h	A	H
f30r	L35	26	eh	h	D	H
f30r	L35	27	xr	h	I	H
f30r	L35	28	lt	h	O	H
f30r	L35	29	nr	h	N	H
f30r	L35	31	4t	m	ET	M
f30r	L35	32	fh	h	D	H
f30r	L35	33	sl	m	E	H
f30r	L35	34	Af	h	M	H
f30r	L35	35	lam	h	A	H
f30v	L01	0	INF	l	?	U
f30v	L01	1	dl	m	P	H
f30v	L01	2	z	h	A	H
f30v	L01	3	br	h	R	H
f30v	L01	4	m	h	T	H
f30v	L01	6	ss2	h	NULL	M
f30v	L01	7	z3	h	I	H
f30v	L01	8	9	h	E	H
f30v	L01	9	5	h	C	H
f30v	L01	10	r3	h	R	H
f30v	L01	11	lt	h	O	H
f30v	L01	12	HASH	h	?	U
f30v	L01	13	nq	m	Q	H
f30v	L01	14	n	h	V	S
f30v	L01	15	xr	h	I	H
f30v	L01	16	c	h	L	H
f30v	L01	17	n6	m	N	H
f30v	L01	18	lam	h	A	H
f30v	L01	19	z	h	A	H
f30v	L01	20	h	h	V	H
f30v	L01	21	5	m	C	H
f30v	L01	22	re	m	V	S
f30v	L01	23	nr	h	N	H
f30v	L01	24	9	h	E	H
f30v	L01	25	fh	h	D	H
f30v	L01	26	sl	m	E	H
f30v	L01	27	2	h	S	H
f30v	L01	28	ST	h	L	S
f30v	L01	29	z3	h	I	H
f30v	L01	30	E	m	B	M
f30v	L01	31	sl	m	E	H
f30v	L01	32	br	m	R	H
f30v	L01	33	lam	h	A	H
f30v	L01	34	m	h	T	H
f30v	L01	35	z3	h	I	H
f30v	L01	36	lt	h	O	H
f30v	L01	37	n6	m	N	H
f30v	L02	0	zb	m	NULL	M
f30v	L02	1	QQ	m	D	S
f30v	L02	2	xr	h	I	H
f30v	L02	3	lam	h	A	H
f30v	L02	4	ll	m	LL	H
f30v	L02	5	9	h	E	H
f30v	L02	6	br	h	R	H
f30v	L02	7	2	h	S	H
f30v	L02	8	z3	h	I	H
f30v	L02	9	5	h	C	H
f30v	L02	10	sl	m	E	H
f30v	L02	11	n6	m	N	H
f30v	L02	12	BOX	h	E	S
f30v	L02	13	2	h	S	H
f30v	L02	14	m	h	T	H
f30v	L02	15	Sx	m	Q	S
f30v	L02	16	h	h	V	H
f30v	L02	17	sl	m	E	H
f30v	L02	18	ss2	h	NULL	M
f30v	L02	19	ST	m	L	S
f30v	L02	20	z	h	A	H
f30v	L02	21	fh	h	D	H
f30v	L02	22	9	h	E	H
f30v	L02	23	5	h	C	H
f30v	L02	24	c	h	L	H
f30v	L02	25	lam	h	A	H
f30v	L02	26	br	h	R	H
f30v	L02	27	z	h	A	H
f30v	L02	28	eh	h	D	H
f30v	L02	29	xr	h	I	H
f30v	L02	30	lt	h	O	H
f30v	L02	31	nr	h	N	H
f30v	L02	32	fh	h	D	H
f30v	L02	33	9	h	E	H
f30v	L02	34	c	h	L	H
f30v	L02	35	lam	l	A	M
f30v	L03	0	c	h	L	H
f30v	L03	1	xr	h	I	H
f30v	L03	2	E	h	B	M
f30v	L03	3	9	h	E	H
f30v	L03	4	br	h	R	H
f30v	L03	5	m	h	T	H
f30v	L03	6	9	h	E	H
f30v	L03	7	fh	h	D	H
f30v	L03	8	sl	m	E	H
f30v	L03	9	rho	h	F	H
f30v	L03	10	c	h	L	H
f30v	L03	11	lt	h	O	H
f30v	L03	12	r3	h	R	H
f30v	L03	13	9	h	E	H
f30v	L03	14	nr	h	N	H
f30v	L03	15	5b	m	C	M
f30v	L03	16	sl	m	E	H
f30v	L03	17	sl	m	E	H
f30v	L03	18	2	h	S	H
f30v	L03	19	lt	h	O	H
f30v	L03	20	xr	h	I	H
f30v	L03	21	m	h	T	H
f30v	L03	22	9	h	E	H
f30v	L03	23	nr	h	N	H
f30v	L03	24	h	h	V	H
f30v	L03	25	Tb	h	O	S
f30v	L03	26	H	m	I	H
f30v	L03	27	Af	m	M	H
f30v	L03	28	lam	h	A	H
f30v	L03	29	xr	h	I	H
f30v	L03	30	n6	m	N	H
f30v	L03	31	2	h	S	H
f30v	L03	32	4t	m	ET	M
f30v	L03	33	ss2	h	NULL	M
f30v	L03	34	2	h	S	H
f30v	L03	35	xr	h	I	H
f30v	L03	36	c	h	L	H
f30v	L03	37	9	h	E	H
f30v	L03	38	2	h	S	H
f30v	L03	39	nr	m	N	H
f30v	L04	0	ss2	h	NULL	M
f30v	L04	1	zb	m	NULL	M
f30v	L04	2	lam	h	A	H
f30v	L04	3	z3	h	I	H
f30v	L04	4	n6	m	N	H
f30v	L04	5	2	h	S	H
f30v	L04	6	xr	h	I	H
f30v	L04	7	h	h	V	H
f30v	L04	8	lt	h	O	H
f30v	L04	9	g	h	V	H
f30v	L04	10	2	h	S	H
f30v	L04	11	dl	m	P	H
f30v	L04	12	Rt	h	O	H
f30v	L04	13	h	h	V	H
f30v	L04	14	n	h	V	S
f30v	L04	15	9	h	E	H
f30v	L04	16	H	h	I	H
f30v	L04	17	bb	l	COM	M
f30v	L04	18	2	h	S	H
f30v	L04	19	xr	h	I	H
f30v	L04	20	fh	h	D	H
f30v	L04	21	9	h	E	H
f30v	L04	22	br	h	R	H
f30v	L04	23	BOX	h	E	S
f30v	L04	24	r3	h	R	H
f30v	L04	25	2	h	S	H
f30v	L04	26	xr	h	I	H
f30v	L04	27	h	h	V	H
f30v	L04	28	lt	h	O	H
f30v	L04	29	g	h	V	H
f30v	L04	30	2	h	S	H
f30v	L04	31	c	h	L	H
f30v	L04	32	sl	m	E	H
f30v	L04	33	Af	m	M	H
f30v	L04	34	9	h	E	H
f30v	L04	35	n6	m	N	H
f30v	L04	36	BOX	h	E	S
f30v	L05	0	sl	m	E	H
f30v	L05	1	4t	m	ET	M
f30v	L05	2	lam	h	A	H
f30v	L05	3	g	h	V	H
f30v	L05	4	lt	h	O	H
f30v	L05	5	zb	m	NULL	M
f30v	L05	6	g	h	V	H
f30v	L05	7	FL	m	S	S
f30v	L05	8	r3	h	R	H
f30v	L05	9	9	h	E	H
f30v	L05	10	dl	m	P	H
f30v	L05	11	c	h	L	H
f30v	L05	12	x	m	A	H
f30v	L05	13	z3	m	I	H
f30v	L05	14	o	h	S	H
f30v	L05	15	xr	h	I	H
f30v	L05	16	r3	h	R	H
f30v	L05	17	4t	m	ET	M
f30v	L05	18	h	h	V	H
f30v	L05	19	lt	h	O	H
f30v	L05	20	g	h	V	H
f30v	L05	21	2	h	S	H
f30v	L05	22	FL	m	S	S
f30v	L05	23	h	h	V	H
f30v	L05	24	oi	m	E	H
f30v	L05	25	c	h	L	H
f30v	L05	26	z3	h	I	H
f30v	L05	27	9	h	E	H
f30v	L05	28	m	h	T	H
f30v	L05	29	br	h	R	H
f30v	L05	30	9	h	E	H
f30v	L05	31	2	h	S	H
f30v	L05	32	lz	m	H	S
f30v	L05	33	g	h	V	H
f30v	L05	34	Af	m	M	H
f30v	L05	35	E	m	B	M
f30v	L05	36	c	h	L	H
f30v	L06	0	v	h	?	U
f30v	L06	1	9	h	E	H
f30v	L06	2	nr	h	N	H
f30v	L06	3	m	h	T	H
f30v	L06	4	2	h	S	H
f30v	L06	5	xr	h	I	H
f30v	L06	6	r3	h	R	H
f30v	L06	7	sl	m	E	H
f30v	L06	8	ss2	h	NULL	M
f30v	L06	9	zb	m	NULL	M
f30v	L06	10	v	h	?	U
f30v	L06	11	9	h	E	H
f30v	L06	12	h	h	V	H
f30v	L06	13	lt	h	O	H
f30v	L06	14	g	h	V	H
f30v	L06	15	c	h	L	H
f30v	L06	16	lt	l	O	M
f30v	L06	17	B8	l	?	U
f30v	L06	18	H	l	I	M
f30v	L06	19	r3	h	R	H
f30v	L06	20	dl	m	P	H
f30v	L06	21	z	h	A	H
f30v	L06	22	br	h	R	H
f30v	L06	23	fh	h	D	H
f30v	L06	24	lt	h	O	H
f30v	L06	25	Mx	l	L	M
f30v	L06	26	9	h	E	H
f30v	L06	27	br	h	R	H
f30v	L06	28	2	h	S	H
f30v	L06	29	xr	l	I	M
f30v	L06	30	z3	h	I	H
f30v	L06	31	9	h	E	H
f30v	L06	32	h	h	V	H
f30v	L06	33	lt	h	O	H
f30v	L06	34	g	h	V	H
f30v	L06	35	c	h	L	H
f30v	L07	0	sl	m	E	H
f30v	L07	1	nr	h	N	H
f30v	L07	2	fh	h	D	H
f30v	L07	3	z3	h	I	H
f30v	L07	4	5	h	C	H
f30v	L07	5	m	h	T	H
f30v	L07	6	2	h	S	H
f30v	L07	7	Af	m	M	H
f30v	L07	8	lt	m	O	H
f30v	L07	9	n6	m	N	H
f30v	L07	10	lam	h	A	H
f30v	L07	11	fh	h	D	H
f30v	L07	12	h	h	V	H
f30v	L07	13	xr	h	I	H
f30v	L07	14	o	h	S	H
f30v	L07	15	nq	m	Q	H
f30v	L07	16	h	h	V	H
f30v	L07	17	xr	h	I	H
f30v	L07	18	9	h	E	H
f30v	L07	19	2	h	S	H
f30v	L07	20	m	h	T	H
f30v	L07	22	nq	m	Q	H
f30v	L07	23	n	h	V	S
f30v	L07	24	9	h	E	H
f30v	L07	25	ST	h	L	S
f30v	L07	26	sl	m	E	H
f30v	L07	27	Af	m	M	H
f30v	L07	28	xr	h	I	H
f30v	L07	29	9	h	E	H
f30v	L07	30	h	h	V	H
f30v	L07	31	c	h	L	H
f30v	L07	32	A2	m	E	S
f30v	L07	33	nq	m	Q	H
f30v	L07	34	h	h	V	H
f30v	L07	35	sl	l	E	M
f30v	L08	0	g	h	V	H
f30v	L08	1	lt	h	O	H
f30v	L08	2	h	h	V	H
f30v	L08	3	2	h	S	H
f30v	L08	4	FL	m	S	S
f30v	L08	5	lam	h	A	H
f30v	L08	6	h	h	V	H
f30v	L08	7	r3	h	R	H
f30v	L08	8	xr	h	I	H
f30v	L08	9	9	m	E	H
f30v	L08	10	H	l	I	M
f30v	L08	11	rho	m	F	H
f30v	L08	12	lam	h	A	H
f30v	L08	13	z3	h	I	H
f30v	L08	14	br	h	R	H
f30v	L08	15	sl	m	E	H
f30v	L08	16	dl	m	P	H
f30v	L08	17	lt	h	O	H
f30v	L08	18	g	h	V	H
f30v	L08	19	r3	h	R	H
