# Second reader f.30 (pass C) vs ciphertext_f30.tsv, 24 Sept 2026. One row per disagreeing alignment column (tools/reconcile_passes.py, NW). index = committed position (blank = pass C inserted a sign). class: namemap = pass C NEW code for a shape the reconciler already coded (counts as agreement); systematic = class checked on sample crops, committed upheld; other = one-off. proposed yes only where this worker saw the crop and the image supports pass C. NOT applied.
line	index	committed	yours	class	image_evidence	proposed
f30v_L07	22	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L07	23	n	NEW:n-two-strokes	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L07	24	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L07	29	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L07	33	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L08	8	xr	x	other	not re-checked on the crop by this worker	no
f30v_L08	9	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L08	28	bb	TRI	other	not re-checked on the crop by this worker	no
f30v_L08	29	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L09	10	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L09	23	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L09	29	Zs	zu	other	not re-checked on the crop by this worker	no
f30v_L10	2	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L10	4	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L11	13	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L11	18	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L12	5	T	Th	other	not re-checked on the crop by this worker	no
f30v_L12	8	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L12		-	INF	other-insert	not re-checked on the crop by this worker	no
f30v_L12	13	bb	dl	other	not re-checked on the crop by this worker	no
f30v_L12	25	v	NEW:v-shape	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L13	6	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L13	12	Af	fh	other	not re-checked on the crop by this worker	no
f30v_L13	16	Hb	Th	other	not re-checked on the crop by this worker	no
f30v_L13	25	bb	TRI	other	not re-checked on the crop by this worker	no
f30v_L14	0	B8	NEW:crossed-loop-rho	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L14	6	v	NEW:v-shape	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L14	13	br	bb	other	not re-checked on the crop by this worker	no
f30v_L14	15	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L14	25	T	Th	other	not re-checked on the crop by this worker	no
f30v_L14	27	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L14	28	n	NEW:n-two-strokes	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L14	29	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L15	10	Zs	H	other	not re-checked on the crop by this worker	no
f30v_L15	17	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L15	31	sl	paren	other	not re-checked on the crop by this worker	no
f30v_L16	0	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L16	8	ff	Af	other	not re-checked on the crop by this worker	no
f30v_L16	10	q	q9	other	not re-checked on the crop by this worker	no
f30v_L16	16	n	NEW:n-two-strokes	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L16	19	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L16	24	4t	d	other	not re-checked on the crop by this worker	no
f30v_L16	27	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L17	13	v	NEW:v-shape	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L17	15	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L17	18	eh	T	other	not re-checked on the crop by this worker	no
f30v_L17	19	v	NEW:v-shape	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L17	29	r3	QQ	other	not re-checked on the crop by this worker	no
f30v_L18	1	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L18	10	lt	4t	other	not re-checked on the crop by this worker	no
f30v_L18	12	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L18	15	nq	NEW:N-cursive-with-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L18	16	n	rho	other	not re-checked on the crop by this worker	no
f30v_L18	22	v	NEW:v-shape	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L19	0	tb	zb	other	not re-checked on the crop by this worker	no
f30v_L19	9	mx	Mx	other	pass C writes the arch+x compound as two signs (mx x); segmentation, not a reading (f30r_L02b checked)	no
f30v_L19	12	B8	NEW:crossed-loop-rho	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L19	16	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L19		-	c	other-insert	not re-checked on the crop by this worker	no
f30v_L19	23	Mx	NEW:N-cursive-with-hook	other	not re-checked on the crop by this worker	no
f30v_L19	28	9	g	systematic	image (f30v_L05a idx9, f30v_L07b idx18/24/29): long descender sweeping down-left = 9 (f.29r rule); block-C subagent used the inverse rule (long left tail = g)	no
f30v_L19	30	nr	NEW:small-r-hook	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L20	0	HASH	Tb	other	not re-checked on the crop by this worker	no
f30v_L20	3	g	9	systematic	same 9/g family; committed kept	no
f30v_L20	23	n	NEW:n-two-strokes	namemap	same shape, pass C had no atlas code (reconciliation_f30.md class 6)	no
f30v_L20	25	nq	mx	other	not re-checked on the crop by this worker	no
